以下是重排後的段落式逐字稿：。[436.48-438.64] 所以事實上也剛好給我們一些保障。特別是在中國大陸市場。[438.80-441.04] 我們在中國大陸市場這麼多年來，實際上也給我們一些保障。[441.20-442.48] 我剛才跟你們講，實際上我們都是做主力的車廠。[443.04-443.92] 我們都是做主力的車廠。

[444.08-446.08] 其實我們都是做主力的車廠，做主力的車廠。[446.24-448.80] 這麼多年來，實際上我們都是做主力的車廠。[448.96-450.72] 比亞迪比較可惜，因為比亞迪這個生產。[450.88-452.00] 比亞迪這個生產。[452.16-453.28] 它長期以來。[453.44-457.76] 它的公司的經營策略是以技術自主性為主。

[457.92-459.20] 所以自主性為主。[459.36-465.04] 它會希望說把它的營運廠商變成它的partner。[465.20-468.88] 最後這個營運廠商的function就由它自己來取代。[469.04-472.00] 所以你們看看比亞迪的趨勢整合很高。[472.16-472.88] 比亞迪的趨勢整合很高。[473.04-473.92] 比亞迪基本上的車子。

[474.08-477.12] 百分之七、八十的領取就是自己供應的。[477.28-478.72] 市場自己供應的就是。[478.88-480.72] 它的供應商交半成品給它。[480.88-483.28] 由它組成成品供應交給車廠。[483.44-486.48] 所以變成是說我本來是可以交產品給你。[486.64-488.64] 變成我幫你做半成品而已。

[488.80-491.92] 所以事實上過去像我們這樣子的廠商。[492.08-494.24] 其實可能在這樣子的策略上來講。[494.40-495.28] 總是會遲疑。[495.44-496.80] 所以就沒有特別加入。[496.96-499.52] 所以說比亞迪目前我們是比較沒做。[499.68-501.76] 除了比亞迪以外像吉利汽車。

[501.92-502.88] 吉利汽車去年。[503.04-504.24] 它車廠百分之二十。[504.40-506.64] 其實也是市場成長很大的一個車廠。[506.80-507.44] 賣得很好。[507.60-509.28] 特別是說它有幾款車子。[509.44-510.72] 特別它現在的吉克。

[510.88-512.56] 這幾天有看到吉克在講。[512.72-514.16] 它吉克的車子要先步。[514.32-516.16] 要賣一台一百萬的名品。[516.32-517.76] 大概就是四百多萬。[517.92-519.20] 它要把Land Rover幹掉。[519.36-521.76] 比如說其實中國大陸的一些品牌車廠。

[521.92-523.36] 其實它的企圖性很大。[523.52-526.24] 但這些以吉利來講。[526.40-527.60] 因為我們在中國。[527.76-530.08] 當然跟的廠商都是這些大的廠商。[530.24-532.64] 像吉利、像一氣牌。[533.04-536.24] 一氣汽車企就是中國大陸領導人用車。

[536.40-538.48] 就宏啟領導人用車。[538.64-539.60] 再來是長城。[539.76-542.64] 長城以前的車子就是大安廠的圖狗。[542.80-543.44] 大圖狗。[543.60-545.84] 因為大圖狗一個月才賣兩三萬台。[546.00-547.20] 也是很驚人的。

