## 增鼎科技 2023 年法說會逐字稿。**主持人:**。[3247.10-3248.64] 整個公司一個。[3248.88-3249.92] 大的成長的。[3250.22-3254.56] 領域那我想我們也樂觀跟積極去面對這一。[3254.82-3256.62] 這一塊的產品的開發。

[3256.88-3257.38] 謝謝。[3258.16-3264.30] 那整個它的單價的部分我想它的單價基本上ASP是比手機高因為它的複雜度。[3264.56-3267.36] 各片因為各片不太一樣。[3267.62-3271.72] 它有一些設計比較複雜基本上它的ASP是比手機高。[3274.28-3275.82] 好謝謝營運長說明。[3276.58-3278.12] 下一個投資人提問是。

[3278.64-3279.92] 預期磁幅機。[3280.22-3280.72] 應用。[3280.98-3282.00] 營收佔比。[3282.26-3284.82] 何時可望達到所謂的雙位數。[3285.60-3287.90] 那另外ASP複器毛利率。[3288.40-3290.96] 是否高於公司的平均呢。

[3292.50-3296.08] 這個也有我來說明因為我想。[3296.60-3298.90] 伺服器方面的開發我們也。[3299.92-3303.52] 很久那包含各個園區的一個部件。[3303.76-3305.30] 所以它整個。[3305.82-3308.38] 大的發酵會是在2027年。[3308.64-3309.92] 到2028年之間。

[3310.22-3310.98] 這個部分那要。[3311.24-3314.82] 會達到公司營收的10%以上那估計。[3315.08-3319.18] 整個它的ASP到2029年我想AI。[3319.44-3323.28] 伺服器的毛利率會高於我們整個公司的平均值。[3325.58-3326.08] 謝謝。[3327.12-3327.62] 好。

[3327.88-3329.68] 謝謝營運長的說明。[3330.96-3334.02] 下一個投資人提問是請問真鼎作為。[3334.28-3336.84] 矽光子產業聯盟的成員。[3337.10-3338.88] 在矽光子方面。[3339.14-3341.18] 真鼎扮演什麼樣的角色。[3341.44-3342.46] 有哪些佈局。

[3342.98-3345.28] 以及我們有看到哪些機會呢。[3346.56-3348.86] 這個也我先。[3349.38-3350.92] 做一個說明我想。[3351.16-3357.32] 剛在報告裡面也談到加入整個半導體產業鏈的一個協會。[3357.56-3359.62] 那尤其是矽光子因為。[3359.88-3362.94] 整個加入協會多聯繫跟。

[3363.20-3365.76] 產業之間的溝通我想可以。[3366.28-3368.84] 貢獻我們的一個專業的部分。[3369.14-3371.18] 那因為矽光子產品需要。[3371.44-3374.00] 包含整個一些設計。[3374.26-3375.54] 包含整個。[3376.04-3384.24] 整個ABF載板相關的部分那在精細線路跟高頻性能跟材料跟高度同的區域性。

[3384.50-3388.60] 及表面處理方面都比一般的規格更高。[3389.10-3393.20] 因為要做的。[3393.46-3396.02] 過去在PCB跟。[3396.28-3398.84] 載板的研發跟製造可以滿足。[3399.14-3401.70] 矽光子產品的嚴苛的要求尤其。[3401.96-3404.00] 方面產品非常的高階。

