以下是重排後的段落式逐字稿：。[1949.02-1949.78] 地主啊。[1950.04-1951.84] 政府机关啊。[1952.10-1954.14] 甚至在人力的部分的准备。[1954.40-1956.96] 我们都已经开始展开同步展开的动作。[1959.00-1962.08] 但是他我想这个持续变动状况是。

[1962.34-1963.36] 还是这样子。[1963.62-1965.14] 那在没有这个。[1965.40-1966.68] 排版做下决定去。[1966.94-1968.74] 之前都还有可能会。[1969.04-1969.80] 会变化所以。[1970.06-1970.58] 产能的。

[1970.82-1971.34] 这个。[1971.60-1972.10] 这个。[1972.62-1973.64] 产出大概也是。[1974.42-1977.48] 不同的时间然后有不同的这个规模大小产出。[1978.76-1979.78] 好那我以上回答。[1981.84-1986.96] 谢谢长长这个最后一个就是关税的follow up我想请问一下您刚有提到说。

[1987.22-1992.58] 有些客户可能他们就暂时停止出货但有些客户也是不介意缴关税就。[1992.84-1994.12] 还是想要赶快拿到。[1994.38-1995.66] 这个会。[1995.92-1998.22] 会跟就是那个zack本身的。[1998.48-1999.50] 金额大小是。[1999.76-2000.26] 成。

[2000.52-2001.04] 就是。[2001.30-2003.34] 一个关系就是越贵的越。[2003.60-2005.14] 越会请向先。[2005.38-2008.46] 看一看然后比较便宜的就愿意找关税吗。[2008.98-2009.74] 那是请问他有什么。[2011.02-2015.38] 这就一般来说这当然会是一个考量点。

[2015.62-2018.18] 那那事实上这行点其实都是。[2018.70-2019.46] 客人的考量。[2019.72-2022.80] 那我们我们就是推就我不会知道这里面。[2023.06-2026.64] 这个原因到底站的多这个考量点到底站了多大的。[2026.90-2027.40] 配比。[2028.22-2028.74] 那。

[2028.98-2030.02] 所以我。[2030.26-2032.06] 我没办法回答这个。[2032.32-2033.86] 这个因为这个指示都是客。[2034.10-2035.38] 不同的客户给的不同的。[2036.66-2037.18] 那。[2037.44-2039.48] 那我想停下来的意思好也。

[2039.74-2040.76] 也还我在。[2041.02-2042.56] 补充说明一下。[2042.82-2044.86] 停下来的意思一定有他的配套措辞。[2046.40-2049.98] 其实伺服器云端伺服器已经变成一种。[2051.26-2052.54] 刚性需求的必需品。[2052.80-2053.56] 他其实是。

[2054.08-2055.62] 就我们在疫情的过程中。[2055.86-2057.14] 就像我们前几年的疫情。[2057.40-2058.18] 这个所有的。[2058.48-2060.02] 这个拉档好都停下来。[2060.26-2062.58] 但是其实那个货物我们的这个。[2062.82-2064.36] 伺服器东西他其实是。

[2064.88-2067.94] 是必要物质的以三宿的这个这个物质的所以是。[2068.20-2068.72] 不会停的。[2070.00-2072.56] 在这个关税的情况下还不是疫情的情况下。[2072.82-2075.88] 其实我觉得这个考量点在这种刚性需求的。[2076.14-2076.90] 必需品的。[2077.16-2077.68] 的情况下。

[2077.94-2079.46] 这些成本的考量。[2080.24-2081.78] 是因素但是。[2082.02-2083.06] 他的必须性。[2083.56-2085.10] 其实是更重要的。[2085.36-2086.38] 那停下来的。[2086.90-2087.40] 不不。

[2088.22-2092.32] 因为是必需品不管对我们哪一个客人的资料中心都。[2092.82-2094.10] 没有办法去承担说。[2094.62-2096.66] 停止没有机器可以补充。[2097.18-2098.72] 算力出生空间的这种。[2098.98-2099.74] 这种情形所以。[2100.26-2102.82] 虽然我们停下来我们是停下来没有。

[2103.06-2103.58] 出货。[2104.10-2105.88] 但是我们公墨西哥的工厂的。[2106.14-2108.18] 的生产是没有停下来。[2108.70-2109.46] 然后我们在。[2109.72-2112.28] 美国已经有这个既有的成品仓。[2112.54-2114.58] 还是可以就我刚讲美墨边界。

[2114.84-2116.38] 还是我们已经有成品仓在。[2116.64-2118.18] 在美国是可以出货的。[2118.48-2121.30] 那也可以从这个欧洲的部分就开始。[2121.54-2123.60] 产作这个工单开始准备。[2124.10-2125.64] 去做新的一批的这个出货。[2125.90-2126.66] 所以都是有。

[2126.92-2127.94] 他的配套措施。[2128.46-2129.48] 所以。[2130.00-2132.04] 这个这个这个停下来只是。[2132.30-2134.60] 停下来从墨西哥出货到。[2134.86-2136.66] 到到到美国但是。[2136.90-2137.68] 配套措施。

[2137.94-2138.70] 都是有存在。[2140.50-2142.02] 很清楚谢谢财务长。[2144.84-2146.38] 接下来请。[2146.64-2147.66] 好儿好儿请开始。[2148.48-2150.52] 谢谢。[2150.78-2154.10] 那个财务长跟那里。

[2154.36-2155.64] 我是摩根山里的好。[2156.16-2157.70] 我想就是。[2157.94-2158.46] 的问题。[2158.72-2159.74] 可以。[2160.26-2162.04] 请那个财务长帮我们。[2162.82-2163.84] 讲一下。

[2164.10-2166.90] 我有可能有点忘记了但是这个东西他是。[2168.96-2171.78] 看你最后的组装地点在哪里然后。[2172.28-2173.82] 而下的。[2174.08-2175.10] 还是他会看。[2175.62-2176.64] 这个产品里面。[2176.90-2178.18] 绝大部分的。

[2178.48-2180.26] content跟领主权是从。[2180.52-2181.54] 哪个地方。[2181.80-2182.58] 生产的。[2186.66-2187.70] 我想。[2187.94-2188.46] 这个。[2188.98-2190.26] 关税的运作。

[2191.28-2192.82] 机制这个应该是。[2193.06-2193.84] 全球是。[2194.10-2195.88] 是一致的。[2196.40-2198.44] 就是讲就是原产地。[2198.96-2200.50] 今天要从一个。[2200.74-2204.84] 这个关区好国家不是关区到另外一个关区。

[2205.10-2207.92] 其实他他在申报过程中就是要去。[2208.48-2212.32] 揭露要去宣导就是说你这个产品要准备过这个海关。[2212.82-2213.34] 的。[2213.60-2214.36] 产品的。[2215.14-2216.42] 这个原产地。[2216.66-2218.20] 我们讲coo。

[2220.76-2221.54] 全民。[2224.86-2227.94] 原产地产品产品原产地。[2228.18-2229.22] 的。[2229.46-2230.50] 是在哪边做的那。[2230.74-2235.86] 那他也有一个代号全球全球统一的一个一个一个一个代号。[2236.38-2237.40] 所以。

[2237.66-2238.18] 回答。[2238.48-2238.98] 我问。[2239.24-2240.26] 不是从。[2240.52-2241.04] 他。[2241.30-2242.06] 就是。[2242.32-2244.88] 来怎么说生产者就要去报关的人要去自我。

[2245.14-2246.66] 自我宣告这个产品。[2246.92-2247.44] 在哪里。[2249.48-2253.06] 好那我我就讲我们自己公司的唯一公司的情况。[2253.32-2253.84] 那。[2254.10-2256.40] 我以公司在美墨这边的这个。[2256.90-2258.96] 这个营运的现在的设计是。

[2259.22-2259.72] 就是。[2259.98-2263.30] 通关从美国本从墨西哥的工厂。[2263.56-2264.58] 通关到。[2265.10-2266.90] 这个这个这个美国。[2267.14-2268.18] 我们还说在边境。[2268.48-2271.30] 那不管是去产品商还是去。

[2271.54-2273.34] 客人的资料中心其实通关。[2273.86-2274.88] 要去报关的。[2275.14-2278.72] 的进口人都是唯一公司唯一的美国公司。[2279.22-2285.38] 那所以我以美国公司要去宣告在报关单上面要去宣告说这个的原产地国家。[2285.62-2286.14] 哪个国家。[2286.66-2288.70] 那目前我们在墨西哥。

