[0.00-9.68] 欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[9.68-14.78] 今天主讲的长官是陈伟仲经理以及投资人关系团队
[14.78-19.32] 我们首先请Ninus跟各位分享一下2025年第一季的盈利概况
[19.32-20.98] Ninus麻烦您
[20.98-23.88] 好的 各位午安
[23.88-28.70] 欢迎大家来听亚农第一季的法说会
[28.70-34.02] 我们先来看到第一季我们已经公告的这些业绩数据的部分
[34.02-40.28] 好 先看到这一页
[40.28-47.22] 首先可以看到第一季的本业营业经历基本上是一个改善的状况
[47.22-50.42] 主要是在中国水泥这一块
[50.42-53.70] 亏损在第一季有大幅的减少
[53.70-58.26] 另外在我们的业外的权益房则是有一些下滑
[58.26-58.68] 所以我们先来看看第一季的本业营业经历
[58.70-61.32] 我们从各部门来看
[61.32-63.38] 在台湾水泥的部分
[63.38-68.24] 第一季基本上是偏向于稳定的一个状态
[68.24-74.12] 中国的部分则是营收虽然有一些下滑
[74.12-78.44] 但是因为盾毛利的回升 价格的回升
[78.44-83.36] 所以在营业经历的部分则是损失大幅的减少
[83.36-86.08] 在家会电力的部分
[86.08-88.62] 主要是因为一起
[88.70-91.76] 家会一起在第一季的大修
[91.76-96.92] 所以营收和获利在第一季是有一些减少
[96.92-100.28] 是因为它有一个四年一度的一个大修
[100.28-103.46] 那在不锈钢方面
[103.46-109.56] 则是维持着一个持续获利改善的一个状况
[109.56-111.64] 不过在营业经历方面
[111.64-115.74] 则是也是一个比较小型的一个获利状态
[115.74-117.56] 但比去年亏损改善
[118.70-125.46] 那在权益法投资的方面的话
[125.46-129.88] 可以看到远东新在第一季则是比去年成长
[129.88-135.26] 那虽然他在今年第一季
[135.26-140.02] 有因为这个一些一次性的一个业外损失
[140.02-145.88] 那但是他也有一些处分利益的部分有所贡献
[145.88-148.40] 那域名航运的部分
[148.40-148.68] 在第一季的一个月内也有所贡献
[148.70-152.00] 第一季则是稍微比去年再弱一些
[152.00-154.52] 主要是受到价格的部分影响
[154.52-159.84] 那山水部分则是比去年同期的亏损减少
[159.84-164.70] 这个趋势则是跟整个中国水泥行业来讲是一致的
[166.16-170.94] 那在细部讲到说整个台湾水泥的一个状况的话
[170.94-173.64] 其实在我们第一季来讲
[173.64-177.88] 价量基本上都是相对是比较稳定
[177.88-178.68] 但量的部分是比较稳定的
[178.70-181.70] 那这个部分稍微有比去年同期稍微改善一点
[181.70-185.38] 那就整个市场看起来的话
[185.38-191.30] 其实房市状况其实还是相对是基本上是比较好一点
[191.30-197.70] 那再看到后面接下来中国数据
[198.24-204.56] 那中国数据来看的话呢
[204.56-207.36] 其实量的部分呢
[207.36-208.06] 还是比去年还好一点
[208.06-208.08] 那这个部分呢
[208.08-208.16] 还是比去年还好一点
[208.16-208.22] 那这个部分呢
[208.22-208.30] 还是比去年还好一点
[208.30-208.40] 那这个部分呢
[208.40-209.16] 其实量的部分呢
[209.16-209.96] 还是比去年同期稍微少一点
[209.96-213.76] 但是因为整个水泥市场需求在第一季
[213.76-216.08] 其实还是略微下滑的
[216.08-219.62] 那在价格部分呢
[219.62-222.20] 则是比去年同期改善大概7个percent
[222.20-228.20] 那这其实是延续去年第四季的一个价格走势
[228.20-231.06] 那对毛利的部分呢
[231.06-232.66] 是第一季是25块
[232.66-235.62] 其实就是比去年同期改善不少
[235.62-237.84] 那主要的原因就是价格部分
[237.84-239.00] 是成长
[239.00-241.48] 当然还有煤炭成本部分
[241.48-243.32] 在第一季也是比去年少
[243.32-248.60] 所以第一季看起来中国大概是这样的一个架构
[248.60-250.44] 再往下
[250.44-252.60] 那再看到我们亚尼的这个
[252.60-256.40] 业外的部分
[256.40-259.94] 业外部分其实全英法投资刚刚报告
[259.94-262.76] 就是主要是
[262.76-264.88] 育民航运这一块有一些减少
[264.88-267.60] 其他部分其实都还OK还不错
[267.60-272.20] 那比较大的一个差异的话
[272.20-274.90] 会是在这个金融资产评价部分
[274.90-276.78] 跟去年同期也比较大的落差
[276.78-281.00] 那这一块去年其实数字比较大
[281.00-282.00] 大概19亿
[282.00-283.38] 主要是去年第四
[283.38-285.02] 去年去年的第一季
[285.02-290.18] 其实整个股票市场是上涨蛮多的
[290.18-292.92] 去年台股上涨第一季就涨了13个percent
[292.92-296.16] 那今年第一季反而股市是下跌
[296.16-297.12] 大概8个percent
[297.12-297.48] 所以
[297.60-300.16] 这部分的主要差距就会是在这里
[300.16-303.08] 就是同时间这个市场行情的一个落差
[303.08-305.40] 那汇兑的部分
[305.40-309.08] 其实在第一季来讲的话
[309.08-313.44] 美元还是在相对是升值的
[313.44-315.94] 所以我们第一季还有一些汇兑利益
[315.94-318.66] 但升值幅度没有到去年那么大
[318.66-322.96] 那但到第二季来讲的话
[322.96-325.46] 其实大概就会有反转了
[325.46-327.20] 因为四月开始
[327.20-329.08] 其实美元是贬值
[329.08-330.48] 然后台币是升值的
[330.48-332.04] 而且幅度是比较大
[332.04-335.44] 所以这边可以预期到
[335.44-337.32] 可能如果到6月底
[337.32-343.80] 我们台币升值的幅度没有明显的回转的话
[343.80-347.80] 那可能到第二季我们这边会有一些汇损出现
[347.80-352.32] 这是主要的影响
[352.32-354.70] 但投资性不动产的话
[354.70-357.16] 其实今年还有一季还有小幅的增加
[357.20-360.82] 那相比去年同期也是有一个差距
[360.82-366.36] 所以就业外整个数字上看来
[366.36-368.42] 主要跟去年差异比较大
[368.42-370.08] 就会是在金融资产评价
[370.08-372.82] 然后还会对这一块的落差
[372.82-375.08] 但是就营业经济本业这一块
[375.08-380.12] 其实我们今年第一季还是比较改善
[380.12-385.08] 那接下来我们看到这个资产负债表
[387.20-389.70] 那资产负债表这一块的话
[389.70-393.12] 就整个第一季来讲
[393.12-396.94] 其实净负债的数字是略微增加
[396.94-398.70] 那不过可以看到
[398.70-402.58] 如果细就我们的负债比例借款来看的话
[402.58-404.60] 其实水平是差不多持稳
[404.60-409.96] 那主要是在我们的短期投资这一块有减少一些
[409.96-415.24] 那这部分的减少主要是我们有一些定存
[415.24-417.00] 主要是中国
[417.20-420.20] 那边的定存改做长天期
[420.20-421.96] 长天期一年以上
[421.96-425.70] 所以它这个在会计刃科目上面
[425.70-427.74] 因为它的定存期间比较长
[427.74-431.32] 它就从流动转为非流动
[431.32-433.32] 所以导致这个短期投资下滑
[433.32-435.40] 所以这个其实是科目的影响
[435.40-438.54] 会计科目的影响
[438.54-441.40] 并不是说这个短期投资有损失
[441.40-443.54] 或是怎么样
[443.54-446.62] 那再看到下面
[446.62-447.12] 这个是
[447.12-447.88] 中国的
[447.88-450.62] 两年中国在第一季的一个损益表
[450.62-453.88] 那大致的趋势其实跟前面介绍差不多
[453.88-457.12] 就是营收的下滑主要是来自于量的部分
[457.12-460.20] 那价值部分其实是上涨
[460.20-463.42] 那所以毛利的部分是转正
[463.42-465.24] 营业经济也是转正
[465.24-470.54] 那其他收益这一块比去年同期稍微少一点
[470.54-472.36] 主要是坏账记题
[472.36-475.88] 还有金融评价的影响
[475.88-477.12] 那再看到
[477.12-480.46] 下面在跳下面
[480.46-485.54] 那我们就进入这个各行业的一个营运摘要的整理
[485.54-495.88] 那就我们现在五月来看整个今年中国水泥行业的一个情况来讲的话
[495.88-502.12] 以今年来讲需求部分降幅来说应该会比去年收敛
[502.12-505.88] 2024年我们整个水泥需求下滑了大概10%
[505.88-511.00] 今年的幅度应该有望可能在5%到6% 7%
[511.00-512.50] 这边去走
[512.50-515.54] 那整个中长期来讲
[515.54-520.18] 其实在结构上调整还是有一定的压力存在
[520.18-522.22] 那供给方面来看
[522.22-528.34] 目前错峰生产还是一个比较有效的一个控产的手段
[528.34-535.76] 那但是这个错峰生产仍然它是一个行业价格行业自律的一个作为
[535.88-542.80] 那当然地方各地方政府它其实会引导
