[30.00-34.00] 今天非常歡迎各位來到台新政卷
[34.00-39.00] 同時今天也非常榮幸邀請到台龍產業國會遊戲公司
[39.00-43.00] 來擔任本日法說會主講的嘉賓
[43.00-46.00] 今天將由台龍究其公司的產業狀況
[46.00-49.00] 營運成果以及未來的談判
[49.00-51.00] 將為各位進行簡報聰明
[51.00-55.00] 現在我將為各位介紹公司與外的經營團隊
[55.00-59.00] 首先第一位是發言人周中銘周先生
[59.00-66.00] 接下來是方踏慶財務經理以及王榮福經理
[66.00-70.00] 接下來我們將把時間交給台龍
[72.00-76.00] 感謝各位今天來參加台龍產業國會遊戲公司
[76.00-79.00] 114年第一次的法人說明會
[79.00-85.00] 今天將由我發言人周中銘來跟各位做相關的說明
[85.00-88.00] 首先宣讀免責聲明的部分
[88.00-89.00] 一本字是
[89.00-92.00] 資料可能包含對於未來展望的表述
[92.00-95.00] 該類表述是基於對現況的預期
[95.00-99.00] 但同時受限於已知或未知風險或不確定性的影響
[99.00-102.00] 因此實際結果可能明顯不同於表述內容
[102.00-109.00] 二除法令要求外公司並無義務因應新資訊的產生或未來事件的發生
[109.00-112.00] 主動更新對未來展望的表述
[112.00-115.00] 接下來我們今天的簡報會分成六大部分
[115.00-117.00] 第一個是公司的簡介
[117.00-118.00] 第二個是營運的業績
[118.00-120.00] 第三是經營願景
[120.00-122.00] 第四是經營目標與發展
[122.00-124.00] 第五是未來經營方向與展望
[124.00-127.00] 第六個部分開放各位做問答
[127.00-132.00] 首先我們進行公司簡介的部分
[132.00-134.00] 台龍產業成立於民國58年
[134.00-137.00] 資格可能目前是新台幣17.7億元
[137.00-140.00] 我們的位置總共是自帶台北市
[140.00-143.00] 漁民縣是我們的食藥廠位於漁民縣湖尾鎮
[143.00-145.00] 那食藥廠位於高雄市附屬區
[145.00-147.00] 主要業務包括食藥產品
[147.00-151.00] 食藥產品包括雞、豬、鴨、畜產食料
[151.00-154.00] 以及蟠、蝦、魚等水產食料
[154.00-157.00] 另外第二個部分是糖類的產品
[157.00-159.00] 包括果糖、麥芽糖及甘蔗益糖
[159.00-162.00] 第三個部分是玉米澱粉類的相關產品
[162.00-165.00] 公司簡介的部分再跟各位說明
[165.00-168.00] 我們114年第一季的產品組合比例
[168.00-172.00] 其中食藥產品大概佔了總數的22%
[172.00-174.00] 糖類產品大概佔了28%
[174.00-176.00] 玉米澱粉類的產品佔10%
[177.00-182.00] 玉米澱粉類的產品佔總總總額40%
[182.00-186.00] 接下我們說明營業業績
[186.00-189.00] 這個是我們提供的簡明資產不在表
[189.00-191.00] 是IFAS合併的部分
[191.00-193.00] 我們這邊可以看到113年的全年
[193.00-197.00] 還有113年的第一季跟114年第一季的比較
[197.00-199.00] 這個部分我們不多做說明
[199.00-202.00] 請各位與會跟各位普通參考
[202.00-205.00] 我們表列的六項數字
[205.00-208.00] 有關中和純一表的部分也是合併的部分
[208.00-212.00] 這邊我們一樣提供了112年全年度
[212.00-214.00] 113年全年度
[214.00-219.00] 還有113年第一季及114年第一季的相同級的比較
[219.00-223.00] 主要各位比較關心的一方面就是在基本美股營業的部分
[223.00-227.00] 今年的第一季的狀況目前是美股是虧損0.1
[227.00-230.00] 跟去年同期的0.29有一點差距
[230.00-233.00] 至於數字請各位參考
[233.00-234.00] 這個表格顯示的就是美股的成本是10.1%的成本
[235.00-239.00] 這也是針對113年跟114年第一季合併損益的比較表
[239.00-242.00] 包括我們的營業收入、營業毛利及營業損益
[242.00-244.00] 這個請各位參與
[244.00-247.00] 有關淨業頸的部分
[247.00-252.00] 我們同樣在今年度希望能夠持續凝聚團隊的士氣
[252.00-254.00] 然後建立企業及員工的共同價值
[254.00-257.00] 克盡企業的社會責任跟永續發展
[257.00-261.00] 另外是以邁向幸福企業為我們主要的經營宗旨
[261.00-263.00] 有關經營目標與發展
[263.00-264.00] 經營目標
[264.00-269.00] 我們同樣還是希望成為專業的玉米生加工企業
[269.00-273.00] 經營發展方向就是玉米生加工的方向
[273.00-276.00] 從最早期的玉米粉碎做飼料
[276.00-280.00] 開始進入到玉米濕磨的階段我們做澱粉
[280.00-284.00] 澱粉之後糖化做澱粉產出相關的糖類的產品
[284.00-289.00] 我們現在目前在自己開發就是以澱粉將來做食用酒精跟酒類
[289.00-292.00] 是我們未來的發展方向
[292.00-293.00] 未來的經營方向與展望是
[294.00-298.00] 我們希望能夠持續將永續目標整合到企業的策略中
[298.00-301.00] 強化臺中的體質以及韌性
[301.00-305.00] 另外建構所需人才的機制及組織文化
[305.00-308.00] 打造多元平等包容的工作環境
[308.00-312.00] 提升更多的流財的誘因
[312.00-315.00] 另外我們希望持續打造智慧數位科技的製造工廠
[315.00-318.00] 提升生產營運以及資源的使用率
[318.00-322.00] 我們也會持續建立多元的油物藥工業面
[322.00-326.00] 維持穩定供貨系統及彈性的產作策略
[326.00-330.00] 其他土地跟廠房利用我們持續推動綠能發展的策略
[330.00-333.00] 通過能源轉型落實低碳盤放
