[0.00-1.40] 各位來賓大家好
[1.40-3.54] 歡迎大家今天蒞臨參加
[3.54-6.00] 統一企業 統一中控 統一實業
[6.00-7.86] 以及大統一四家公司
[7.86-11.54] 共同舉辦的2024全年度業績聯合發布會
[11.54-14.46] 今天除了台北現場與會來賓外
[14.46-16.50] 海外投資人以及分析師
[16.50-20.22] 將以電話會議及線上直播方式同步進行
[20.22-22.06] 首先向各位介紹
[22.06-24.48] 我們今日出席的經營管理團隊
[24.48-28.66] 現場居中的是統一企業羅智仙董事長
[30.00-36.78] 在台南辦公室以電話會議方式與會的有
[36.78-39.76] 統一企業黃昭凱總經理
[39.76-43.78] 李清田總經理
[43.78-50.50] 再來會場左方為統一實業的張宥信總經理
[54.12-55.88] 徐金城總經理
[55.88-59.70] 會場右方為
[59.70-59.98] 大統一總經理
[59.98-61.98] 大統一陳昭良總經理
[61.98-67.62] 以及統一企業陳國輝財務長
[67.62-72.90] 在上海辦公室以電話會議方式與會的有
[72.90-75.66] 統一中控劉新華總經理
[75.66-76.90] 大家好
[76.90-81.20] 首先我們請羅董事長致詞
[81.20-86.28] 各位夥伴
[86.28-86.30] 各位夥伴
[86.30-86.32] 各位夥伴
[86.32-86.34] 各位夥伴
[86.34-86.36] 各位夥伴
[86.36-86.40] 各位夥伴
[86.40-89.96] 各位夥伴
[89.96-91.96] 各位夥伴
[91.96-93.96] 各位夥伴
[93.96-95.96] 各位夥伴
[95.96-97.96] 各位夥伴
[97.96-99.96] 各位夥伴
[99.96-101.96] 各位夥伴
[101.96-103.08] 時間過得很快
[103.08-106.08] 又是一年大家又見面了
[106.08-109.16] 還是看到大家都身體健康
[109.16-111.16] 身材飛揚
[111.16-112.08] 很好的事情
[112.08-115.08] 那我們今天就按照我們的議程
[115.08-117.08] 就不耽誤這些時間
[117.08-119.36] 那我們就按照議程進行今天的會議
[119.36-119.88] 好 謝謝
[119.96-120.96] 好 謝謝
[120.96-124.76] 接下來向大家說明今日的會議進行方式
[124.76-127.96] 第一階段為簡報時間由統一企業開始
[127.96-131.96] 依序為統一中控統一實業以及大統一
[131.96-136.96] 由四家公司分別說明2024全年度的營運表現
[136.96-139.96] 第二階段則是羅董事長主持的Q&A時間
[139.96-142.96] 現在就先進行四家公司的簡報
[142.96-148.96] 首先請扣論說明統一企業統一中控2024全年度業績
[148.96-149.96] 現在就先進行四家公司的簡報首先請扣論說明統一企業統一中控2024全年度業績
[149.96-157.28] 好的我们首先跟各位说明一下
[157.28-159.94] 统一企业在2024年的营运状况
[159.94-163.48] 在2024年我们统一企业的合并营收
[163.48-167.00] 合并毛利及合并的营业利益都创历史新高
