[0.00-5.40] 主持人我們就先介紹今天的與會嘉賓
[5.40-7.40] 林聖冠資深副總經理
[7.40-8.40] 副總您好
[8.40-9.40] 你好
[9.40-11.80] 劉祺霆資深經理
[11.80-12.80] 經理你好
[12.80-13.80] 你好
[13.80-17.00] 那我們今天的會議將會分為兩個階段
[17.00-20.40] 第一階段將由劉經理就公司第一季營運績效機
[20.40-22.40] 未來營運展望為各位簡報說明
[22.40-24.40] 第二階段為Q&A的時間
[24.40-26.40] 我們現在就把時間交給經理
[26.40-27.40] 經理請
[27.40-28.90] 謝謝
[29.30-33.10] 非常感謝康和政見今天邀請台碩
[33.10-36.10] 舉辦下午的線上法受會
[36.10-39.10] 我是台碩公司的發言人
[39.10-42.70] 接下來我先請劉資深經理
[42.70-47.10] 來跟各位報告今年第一季我們各產品的經營狀況
[47.10-50.30] 結束之後我們再來進行Q&A
[50.30-51.30] 來 請
[51.30-52.30] 我們就開始好了
[52.30-56.30] 各位投資人現在應該看到畫面上就是我們
[56.70-59.70] 每季都有一個presentation的資料
[59.70-61.70] 目前大家看到這一頁
[61.70-63.70] 其實我們都有放在網路上
[63.70-65.70] 就請各位投資人參考
[65.70-67.70] 接下來部分的話
[67.70-69.70] 我們應該是針對各產品的部分
[69.70-72.70] 來跟各位投資人稍微說明一下
[72.70-75.70] 首先第一個產品是PVC的部分
[75.70-77.70] 在圖的左邊這部分
[77.70-80.70] 可以看得到我們今年第一季的營業額
[80.70-82.70] 跟去年第一季相比
[82.70-84.70] 大概掉了15.5%
[85.70-87.70] 這個原因其實就是從右邊看
[87.70-89.70] 不論是柱狀圖的量
[89.70-92.70] 或是縫線圖的價格都是往下走的
[92.70-94.70] 那量往下走的原因
[94.70-96.70] 如同這邊第二點的說明是說
[96.70-101.70] 我們那時候人工廠有做在3月15到3月18
[101.70-104.70] 有停下來做一個稅修的動作
[104.70-106.70] 同時因為庫存也稍微比較偏高
[106.70-108.70] 所以我們有稍微調整一下生產
[108.70-111.70] 所以是銷售量也跟著減少
[111.70-113.70] 價格部分的話
[113.70-115.70] 跟去年第一季比
[115.70-117.70] 大概是微幅下跌了2.7%
[118.70-120.70] 接下來營業的部分
[120.70-122.70] 就是講整個生產的狀況跟開通率
[122.70-124.70] 如同剛大家報告的
[124.70-126.70] 我們第一季的開通率90.6%
[126.70-129.70] 就是比去年第四季的99.6%要低一點
[129.70-131.70] 原因就是剛才我們報告過的
[131.70-133.70] 我們有一個稅修以及庫存調整的關係
[134.70-139.70] 在這個毛利跟OP Margin的部分
[139.70-143.70] 其實在今年第一季OP已經轉到富了
[143.70-145.70] 這個原因就是剛剛也提到了
[145.70-146.70] 你的價當率比較低
[146.70-148.70] 而且產品的價格也是下滑的
[150.70-153.70] 在整個銷售區域的部分
[153.70-156.70] 以左邊來講當然就是在台灣部分的市占率
[156.70-159.70] 我們基本上還是占大概接近7成
[159.70-161.70] 右手邊這一張整個銷售區域的分布
[161.70-165.70] 其實可以看得出來還蠻平均而且蠻分散的
[165.70-168.70] 以大陸來講的話大概占31%
[168.70-172.70] 南亞最主要就是賣到印度占19%
[172.70-174.70] 台灣是占18%
[176.70-179.70] 東南亞這邊當然就是因為各地的交通廠比較多
[179.70-181.70] 東南亞也有占16%
[181.70-183.70] 澳洲的話大概是從我們幾年前
[183.70-186.70] 打入澳洲市場之後就蠻固定的
[186.70-188.70] 一直維持在10%的上下
[190.70-194.70] 接下來第二個產品講的是意見的部分
[194.70-196.70] 營業額看起來是上漲的
[196.70-198.70] 從右邊的柱狀圖跟線看得出來
[198.70-201.70] 無論是量還是價都是上漲的趨勢
[201.70-203.70] 就是增加的趨勢
[203.70-207.70] 量的增加最主要是在去年12月底的時候
[207.70-210.70] 配合客戶傳奇的要求
[210.70-213.70] 我們延到1月交易所以變成第四季稍微低一點
[213.70-215.70] 第一季比較明顯的增加
[215.70-221.70] 價格部分的話最主要是大陸這邊有新的氧化離廠投產了
[221.70-223.70] 投產之後對於意見的需求增加
[223.70-225.70] 所以量跟價都是上來的
[226.70-230.70] 在生產的部分的話有稍微比較少一點
[230.70-233.70] 第一季是大概78.3%
[233.70-236.70] 比去年第四季的89.1%要低
[236.70-239.70] 最主要是一樣我們在3月份的時候
[239.70-241.70] 3月3號到16號
[241.70-243.70] 公務廠這邊有安排做停車稅修的動作
[245.70-248.70] 麻糬部分的話這個狀況
[248.70-251.70] 跟去年第四季比起來是又更好了
[251.70-253.70] 毛利的話已經超過20%
[253.70-256.70] OP的部分也有達到18%
[256.70-258.70] 最主要是價格上漲的關係
[260.70-262.70] 以銷售的地區來講的話
