[0.00-5.72] T mankind
[90.00-93.60] 那我們就接下來把時間交給南亞團隊
[93.60-96.90] 為各位法輪先進分享近期的營運概況
[96.90-97.60] 謝謝
[97.60-98.60] 謝謝
[98.60-100.60] 好 謝謝
[100.60-104.90] 那我想先簡單的利用這個簡報的
[104.90-109.90] 跟各位說明一下南亞公司第一季的營運的概況
[109.90-114.70] 我們今天會針對整個公司的那個概況
[114.70-116.70] 財務狀況
[116.70-120.10] 以及第二季市場的展望
[120.10-122.90] 還有我們目前的一些擴建的計畫
[122.90-127.10] 跟著四大部分跟各位做一個說明
[129.10-132.70] 首先是在這個公司概況方面
[132.70-135.30] 我們先來講一下
[135.30-139.30] 首先是在這個公司概況方面
[139.30-144.70] 我們這一頁主要是提供我們2024年度
[144.70-148.00] 不含南亞科技公司
[148.00-153.70] 合併營收的那個金額是2596億元
[153.70-159.10] 那這裡面我們區分為四個主要的產品
[159.10-161.50] 其中比重最大的是電子材料
[161.50-164.50] 佔42%
[164.50-166.10] 化工產品是幾次
[166.10-168.90] 佔了23%
[168.90-172.10] 那再接下來是矩質產品部分
[172.10-174.70] 營收佔比是19%
[174.70-176.90] 最後是塑膠加工部分
[176.90-179.00] 佔比15%
[179.00-182.50] 基本上我們這最近這幾年來講的話
[182.50-186.50] 整個產品的那個營收結構的分佈
[186.50-194.00] 大致上就是接近我們現在看到的2024年的這個數字
[194.00-196.50] 那至於在全球的佈局方面
[196.50-200.60] 當然我們主要的生產基地是在台灣
[200.60-204.10] 目前在台灣有59個生產場
[204.10-206.20] 那另外在中國大陸地區
[206.20-208.20] 包括昆山
[208.20-210.00] 惠州
[210.00-211.80] 寧波
[211.80-213.00] 南通等等
[213.00-215.80] 有34個生產場
[215.80-217.70] 以及在美國地區
[217.70-220.00] 包括在路易斯坦那州
[220.00-221.80] 南卡羅蘭那州
[221.80-223.40] 德克薩斯州等
[223.40-225.20] 總共有8個場
[225.20-228.60] 維繫是102個生產場
[228.60-235.60] 目前的員工人數達到29,108個人
[235.60-238.60] 那在今年5月份
[238.60-241.00] 我們的市值是新台幣
[241.00-244.10] 差不多是2400多億元
[244.10-250.50] 讓這個數字是跟著國家的在變動
[250.50-255.20] 在我們所生產的這些產品裡面
[255.20-258.20] 目前塑膠的加工的部分
[258.20-261.20] 我們是統計到2024年底的資料
[261.20-262.40] 塑膠加工是
[262.40-265.60] 我們的產能是在全球排名第一
[265.60-268.00] 那另外在電子材料方面
[268.00-269.90] 包括銅箔
[269.90-270.80] 銅箔基板
[270.80-272.80] 電子機的波纖絲
[272.80-276.60] 目前的產能是在全球排名第二
[276.60-279.40] 那至於電子材料的另外的部分
[279.40-280.80] 塑膠環繞數值
[280.80-282.80] 波纖部分
[282.80-286.80] 目前的產能是在全球排行第三
[286.80-288.40] 那至於在化工產品的部分
[288.40-292.80] 包括BPA還有NVG
[292.80-300.40] 目前的全球產能是來到全球排名第四
[300.40-302.80] 那這也是我們南亞公司
[302.80-307.80] 整個產業佈局發展的一個說明
[307.80-309.80] 我們從1958年
[309.80-312.80] 以塑膠加工事業來起家以後
[312.80-314.80] 跟著時代的潮流
[314.80-316.80] 還有產業趨勢的變化
[316.80-321.80] 逐步切入聚酯事業
[321.80-323.80] 還有包括印裝電弧板
[323.80-325.80] 以及上游的電子材料事業
[325.80-330.80] 到下游的半導體就是低潤的部分
[330.80-333.80] 還有到1996年的時候
[333.80-335.80] 再進入化工事業
[335.80-339.80] 所以整個南亞目前的產業結構
[339.80-343.80] 是到1996年的整個佈局都相對比較完整
[343.80-346.80] 相對於我們其他的企業類的
[346.80-348.80] 這些姐妹公司來講的話
[348.80-351.80] 南亞塑膠公司算是多角化
[351.80-354.80] 比較完整的一家公司
[354.80-358.80] 所以相對我們受到的一些
[358.80-361.80] 個別產業的變化的衝擊會比較小一點
[361.80-364.80] 至少我們有一些其他商業
[364.80-368.80] 可以cover這些不同產業趨勢的變化
[371.80-374.80] 在產業結構的分析上面
[374.80-378.80] 左手邊塑膠加工還有化工產品的部分
[378.80-381.80] 基本上我們的營收來源
