[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[13.48-18.10] 即亚洲聚合股份有限公司联合法人说明会
[18.10-23.28] 那首先为各位介绍今日的与与会的经营团队
[23.28-27.48] 台湾聚合化学品股份有限公司
[27.48-29.44] 吴培基总经理
[29.44-33.82] 发言人吴明忠业吴副总
[33.82-38.20] 以及郭娟华会计经理
[38.20-43.52] 亚洲聚合股份有限公司吴培基总经理
[43.52-47.52] 发言人黄克明业务处处长
[47.52-51.76] 以及张胜川会计经理
[51.76-55.64] 那就让我们欢迎亚聚的经营团队
[55.70-58.50] 先就亚聚的公司盈利以及财务状况
[58.50-59.40] 来为我们进行
[59.40-60.92] 检报谢谢
[60.92-62.02] 谢谢
[62.02-64.38] 那
[64.38-67.60] 各位投资朋友各位法人
[67.60-69.50] 媒体还有以及
[69.50-71.36] 线上还有
[71.36-73.28] 现场的来宾
[73.28-74.96] 先各位先生各位女士大家好
[74.96-76.60] 那我们开始今天的
[76.60-78.28] 亚聚的法说会
[89.40-93.22] 我们就参考一下
[93.22-94.38] уй
[94.38-95.40] caps
[95.40-108.44] soybean
[108.44-111.50] 他的哇
[111.50-117.04] mom
[117.04-117.32] 芦
[117.32-117.86] 声音
[117.86-118.80] 依一 application
[118.80-119.28] bearing
[119.40-123.16] 我們今天的簡報大綱分為四個部分
[123.16-127.48] 首先由我來報告公司的簡介 產品的介紹
[127.48-129.48] 還有營運概括和展望
[129.48-135.32] 接著第三個部分會由我們的快速經理張經理來報告財務資訊
[135.32-139.88] 之後等台聚的報告結束之後
[139.88-144.44] 再由我們總經理來主持Q&A的部分
[149.40-154.52] 首先公司簡介跟產品介紹
[154.52-163.88] 截至到4月30號本公司的員工人數是230億人
[163.88-169.40] 第一季合併的營業額是15.34億
[169.40-174.36] 跟去年同期比起來差不多
[179.40-184.52] 跟產能部分目前我們還是4號高壓生產線
[184.52-187.08] 總計有15萬噸的產能
[187.08-190.28] 我們產出的主要產品是LDP跟EVA
[190.28-202.44] 雅聚的LDP產品主要是應用在LDP的應用領域的比較中高端的部分
[202.44-205.32] 裡面這邊可以看到一些包含醫療器材
[205.32-208.36] 包含一些半導體的包裝
[208.36-209.32] 還有一些這個
[209.32-211.88] 我們叫低經典的保護膜
[211.88-216.04] 另外一個比較主要的應用是在食品包裝
[216.04-219.56] 國內也有稱之為才藝包裝
[219.56-227.24] 甚至包含比如說我們去超商喝的咖啡杯的圖庫
[227.24-230.28] 還有一些電子包裝以及未採用品
[230.28-233.24] 包含化妝品的包裝
[233.24-237.48] 這個部分是本公司產品的強項
[237.48-239.08] 用在一些比較
[239.08-239.24] 一些比較有效的產品的包裝
[239.24-241.24] 要求檔次比較高的
[241.24-245.24] 也是我們這幾年一直努力的方向
[245.24-249.48] 所以我們這邊看我們在第一季的銷售量
[249.48-252.04] 達到11000多噸
[252.04-254.60] 跟往年比起來的話
[254.60-259.72] 這個數字也是明顯有成長
[259.72-266.12] 雅聚的EVA的主要產品應用大概分了這四個領域
[266.12-268.36] 包含EVA太陽能的包裝膜
[268.36-269.08] 然後EVA的特殊產品應用
[269.08-271.08] 包括我們在台積電的圖庫
[271.08-273.16] 還有我們比較傳統的發泡鞋材
[273.16-274.20] 以及電線電腦部分
[274.20-281.88] 接著第二部分是營運的概況跟展望
[281.88-288.84] 首先我們來看一下我們上游原料的部分
[288.84-292.12] 我們的上游原料是乙烯跟原油
[292.12-298.20] 原油的部分因為其實它在今年度的第一季的時候
[298.20-302.06] 它在1月中旬的时候涨到高峰点的时候
[302.06-303.54] 大概在1月15号
[303.54-309.32] 后面就是因为整个全球的贸易冲突
[309.32-315.16] 还有主要是大家对于后续的经济成长的展望
[315.16-317.52] 会有不确定性
[317.52-322.44] 另外OPEC在当时其实就已经有些讯息提到
[322.44-324.78] 大概在3、4月份甚至4、5月份
[324.78-327.00] 他们不仅不打算减产
[327.00-329.20] 甚至还打算增产的部分
[329.20-331.72] 所以原因有其实从1月中旬之后
[331.72-334.60] 价格就开始很明显的往下滑
[334.60-338.56] 大家可以看到这个图表里面蓝线的部分
[338.56-341.30] 那紫色的部分是乙烯
[341.30-345.78] 乙烯的部分它在1、2月的时候表现相对比较坚挺
[345.78-347.82] 最主要的原因有两个
[347.82-350.38] 第一个是中国大陆有些石化厂
[350.38-351.62] 它有一些新的产能
[351.62-354.86] 但是它新的产能它下游的部分完成了
[354.86-356.28] 但上游的部分没有完成
[356.28-360.74] 那为了要试营运试车的时候
[360.74-364.38] 所以他们必须要去市场上去购买乙烯
[364.38-366.24] 所以在1、2月份的时候
[366.24-369.24] 乙烯的买气是比较强劲的
[369.24-372.56] 那第二个原因是因为在1、2月份的时候
[372.56-375.92] 韩国有一些石化厂有一些停工
[375.92-379.54] 所以1、2月份的部分是价格是比较坚挺的
[379.54-383.92] 那3月份就随着韩国厂恢复开工
[383.92-385.86] 以及油价的下跌之后
[386.28-388.52] 所以可以看到在3月份的时候
[388.52-389.72] 油价就呈现一个
[389.72-394.52] 对不起乙烯的价格就呈现一个整个往下滑的走势
[394.52-400.12] 那1月的部分
[400.12-406.56] 1月的这个走势基本上是延续了去年年底反弹的态势
[406.56-407.92] 所以它在第一季的时候
[407.92-411.76] 其实整个1月的行情基本上还是往上涨的
[411.76-415.64] 我们可以看到图表中里面的上面三个部分
[416.28-420.04] 上面那一个绿色的线是图富级的EVA
[420.04-426.08] 那蓝色的那条线是高VA含量的EVA
[426.08-434.56] 那橘色橙色的这条线是普通14%到20%大概发泡级的EVA
[434.56-440.92] 大家都会看到基本上在第一季的时候是呈现往上走的这个态势
[440.92-446.12] 那LDP的行情相对来讲比较平稳的
[446.28-451.96] 那它在大概1、2月份的时候是基本上大概是持平的
[451.96-455.40] 那3月份之后有稍微往下小跌一点
[455.40-456.80] 但跌幅并不是太大
[456.80-462.20] 那我们来看一下文字说明的部分
[462.20-465.06] 那第一季的LDP的营运
[465.06-468.04] 大陆因为有一家主要的石化厂
[468.04-471.26] 它生产图级的LDP
[471.26-475.78] 那它目前的消息是它在第二季
[476.28-481.04] 大概在这个月底减休之后后面可能就会停产
[481.04-483.32] 那因为这样的关系
[483.32-487.80] 所以因为它又是大陆图级LDP的主要供应商
[487.80-492.26] 所以大家预期后面图级的LDP会缺货
[492.26-495.80] 那雅聚在图级LDP又是它的强项
[495.80-498.92] 所以它在第一季的时候
[498.92-505.18] 进口行情它一度涨到1450美金以上
[506.28-509.24] 这个东西刚好是雅聚产品的强项
[509.24-512.98] 所以我们在第一季的时候有去争取这样的商机
[512.98-515.62] 调整我们的生产的产品的组合
[515.62-517.80] 所以去增加LDP的生产量
[517.80-521.16] 所以我们的第一季的LDP的这个销售量
[521.16-524.54] 大概跟去年的同期增加了40%
[524.54-528.28] 那另外可能大家会关心
[528.28-532.40] 我们的产品会不会受到这个美国关税政策的影响
[532.40-534.50] 那在LDP的部分
[536.28-538.78] 主要是以内销为主
[538.78-542.88] 那外销的部分其实是中国大陆的这个部分
[542.88-546.26] 那它主要的应用就是在彩衣包装
[546.26-548.56] 或者是我刚提到咖啡杯
[548.56-550.10] 或者是一些未彩用品
[550.10-555.10] 那这些应用主要大部分还是以内销市场为主
[555.10-558.94] 那所以受到美国关税的政策的影响
[558.94-564.54] 相对来讲比较小
[564.54-565.90] EV的部分
[566.28-570.12] EVA刚刚提到大概第一季的行情
[570.12-572.94] 大概是延续去年底的这个反弹态势
[572.94-574.98] 那为什么第一季会反弹
[574.98-576.78] 最主要的原因是在于
[576.78-579.52] 去年的第四季市场过度的看空
[579.52-584.26] 其实第一季原本是EVA里面一个大宗的应用
[584.26-585.18] 是光复级的应用
[585.18-586.70] 它原本应该是它的淡季
[586.70-590.00] 可是因为它在第四季的时候过度的看空
[590.00-592.58] 所以包含石化厂包含贸易商
[592.58-596.12] 包含太阳能的这个胶膜的
[596.28-598.08] 这个厂家
[598.08-600.24] 它的库存都非常非常的低
[600.24-602.42] 那第一季虽然是光复的淡季
[602.42-609.42] 但是他们会认为说可能在第三月份四月份
[609.42-612.54] 光复的这个会有一波这个抢装潮
[612.54-616.58] 所以它在第一季的时候其实一直持续在做补库的动作
[616.58-621.12] 所以但是因为大家的库存其实相对量还是低的
