[0.00-5.06] 好,各位投资先进
[5.06-8.48] 欢迎参加台达化学工业股份有限公司
[8.48-10.14] 线上法人说明会
[10.14-13.76] 那首先为各位介绍今日的与会长官
[13.76-16.72] 台达化学工业股份有限公司
[16.72-18.12] 吴培基总经理
[18.12-20.86] 发言人黄俊豪协理
[20.86-23.40] 以及李纯瑶会计经理
[23.40-26.54] 那就让我们欢迎黄协理
[26.54-30.24] 就公司营运来先为我们进行简报
[30.24-30.58] 谢谢
[30.58-36.94] 各位线上的还有现场的投资先进
[36.94-41.82] 那今天是主要是跟大家报告台达化的法说会
[41.82-45.56] 那主要的内容有公司简介
[45.56-49.84] 还有营运的概况和Q2的展望
[49.84-52.40] 那接下来是财务资讯
[52.40-55.68] 最后一个环节就是Q&A
[56.54-61.14] 那首先跟大家介绍一下台达化学
[61.14-63.86] 主要成立是在1960年
[63.86-67.24] 那资本额是40亿左右
[67.24-68.84] 新台币40亿左右
[68.84-71.14] 那整个营业额的话
[71.14-73.30] 是合并申报的
[73.30-77.84] 合并的营业额大概是186亿
[77.84-79.24] 那主要的产品
[79.24-82.38] 主要的产品是有ABS跟SAR
[82.38-84.88] 主要是用在玩具加电
[84.88-86.52] 那GPS跟SAR是用在玩具加电
[86.54-91.60] 跟HIPS也是用在日常的用品比较多
[91.60-94.98] 那EPS主要是用在包材的部分
[94.98-97.16] 还有做一些隔热保温
[97.16-100.64] 那是剧本乙烯发泡的产品
[100.64-103.16] 那第四个产品是玻璃棉
[103.16-109.50] 主要是做保温还有隔音的部分
[109.50-115.52] 那我们工厂主要是分布在台湾跟中国大陆
[115.52-116.34] 那台湾的工厂呢
[116.34-118.50] 台湾的部分是有投粪厂
[118.50-122.66] 那投粪厂主要是生产玻璃棉
[122.66-126.84] 那南部的工厂主要是前振厂跟零元厂
[126.84-129.86] 那前振厂是一个老厂
[129.86-131.74] 是1960年成立
[131.74-136.68] 那主要是生产刚刚所说的EPS
[136.68-142.60] 可发性的剧本乙烯跟GPS跟HIPS
[142.60-146.20] 那零元厂是成立在1979年
[146.20-146.32] 那台湾的工厂主要是生产玻璃棉
[146.34-150.52] 那主要是生产ABS跟SAN
[150.52-152.70] 那年产能有12万吨
[152.70-157.80] 那中国大陆是在广东省中山市
[157.80-162.70] 那主要是生产可发性的剧本乙烯
[162.70-164.72] 那产能是有18万吨
[164.72-168.88] 那总公司是在台北的内湖科学园区
[168.88-176.16] 那我们去年的鼓励是发放
[176.16-176.32] 是发放的工厂
[176.34-179.22] 那是现金鼓励是0.2元
[179.22-181.26] 那股票是没有发
[181.26-185.58] 大概这几年大概是维持这个水准
[185.58-189.56] 那接下来跟大家报告一下
[189.56-192.78] 2025年Q1的营运概况
[192.78-195.90] 那大概分成总体面
[195.90-198.88] 那个价差的部分
[198.88-200.26] 还有美股盈余
[200.26-203.48] 那首先我们看到
[203.48-204.12] 其实
[204.12-206.32] 我们台湾的股票
[206.34-207.96] 台湾的主力的产品
[207.96-209.56] 主要是跟本乙烯有关
[209.56-211.50] 那跟本乙烯有关
[211.50-214.20] 其实这几年
[214.20-216.28] 尤其是今年面临的
[216.28-220.50] 比较新的是美国关税的侦测问题
[220.50-224.38] 那在我们第一季的营运的时候
[224.38-228.54] 其实受到美国关税在三月份的影响
[228.54-232.40] 是冲击是比较大了
[232.40-236.22] 那接下来就是大陆新产能的投放
[236.34-240.06] 还有大陆在Q1的内卷非常
[240.06-243.22] 尤其是美国关税开始发布以后
[243.22-246.86] 其实大陆的经济整个状况
[246.86-249.18] 其实是相对比较差一点
[249.18-252.38] 那所以它产能过剩的状况下
[252.38-255.66] 尤其是我们这些剧本乙烯类的产品
[255.66-261.66] 其实是对整个中国大陆产能过剩的时候
[261.66-262.94] 竞争太激烈
[262.94-265.42] 其实它出口到
[265.42-266.20] 全球的产品之外
[266.20-268.12] 全球的很多地方
[268.12-271.96] 导致我们全球的竞争变得非常大
[271.96-280.88] 这一点其实是我们在第一季充满了挑战的一个主要的原因
[280.88-286.00] 我们在第一季的挑战是什么原因
[286.00-294.84] 我们在第一季的挑战是什么原因
[296.20-298.44] 我们在第一季的挑战是什么原因
[298.44-298.84] 好
[298.84-300.84] 那我们看一下
[300.84-304.48] 就是Q1我们第一季的表现
[304.48-307.20] 那我们在产品的销售部分
[307.20-310.16] 如果同比去年的第一季
[310.16-314.56] ABS的部分有增加了17个%
[314.56-318.20] 那主要的增加的
[318.20-322.08] 的那个国家跟区域主要是南亚
[322.08-323.96] 尤其是印度
[323.96-325.56] 巴基斯坦
[325.56-326.04] 还有孟加拉
[326.04-326.08] 还有孟加拉
[326.08-328.12] 这些地方
[328.12-330.28] 那主要增加的部分是这里
[330.28-333.64] 那GP大概有成长4%
[333.64-337.00] 主要是我们在GPS的销售
[337.00-339.36] 在几年的布局
[339.36-345.56] GPS在应用上还有在广度上有所增加
[345.56-349.44] 虽然遇到中国大陆的一些请销
[349.44-352.16] 但是我们在价格上面
[352.16-355.92] 其实还是有所领先
[355.92-360.28] 主要是我们在GP剧本以西的产品上面
[360.28-362.52] 有一些独特的特性
[362.52-365.20] 所以价差稍微有一点拉大
[365.20-367.64] 那EPS不管是中国大陆
[367.64-369.80] 还有我们台湾
[369.80-375.96] 其实受到刚刚所说的大陆经济内卷太厉害
[375.96-379.72] 所以它整个市场的销售
[379.72-381.72] 其实是往下档的
[381.72-383.96] 那那么多的产能没地方没地方消费的
[383.96-384.96] 那么多的产能没地方没地方消费的
[384.96-385.76] 那么多的产能没地方没地方消费的
[385.76-386.00] 那么多的产能没地方消费的
[386.00-386.40] 那那么多的产能没地方消费的
[386.40-387.60] 所以它整个市场的销售只有往外跑
[387.60-391.88] 那所以价格的话其实就竞争的很厉害
[391.88-395.76] 那因为有一些价格实在是我们没办法接
[395.76-401.68] 所以整个市场状况就比去年同期稍微有一点差
[401.68-406.16] 那玻璃棉的部分大概量也没有很大
[406.16-410.52] 所以起伏上面看起来是会有有一点大
[410.52-412.88] 大概有14%
[412.88-414.18] 那其实大概都是20%左右
[414.18-414.32] 那其实大概都是20%左右
[414.32-415.46] 那其实大概都是20%左右
[415.46-415.48] 那其实大概都是20%左右
[415.48-415.72] 那其实大概都是20%左右
[415.72-417.40] 3万吨左右一季
[417.40-426.52] 刚所说的
[426.52-427.64] ABS在
[427.64-430.16] 1到4月
[430.16-432.74] 我们就从
[432.74-435.96] 从之前的一些
[435.96-438.08] 台达的营运策略
[438.08-439.28] 就是要
[439.28-443.38] 要撇开中国市场
[443.38-444.26] 开发
[444.26-448.00] 开发非大陆的市场
[448.00-449.88] 那主要这几年
[449.88-451.78] 就是印度
[451.78-453.22] 东南亚
[453.22-455.68] 南亚巴基斯坦这些国家
[455.68-457.82] 其实是我们在第一季
[457.82-459.06] 主力的市场
[459.06-461.54] 也是因为这些市场的
[461.54-462.82] 的花费
[462.82-465.42] 让我们在第一季
[465.42-467.42] 有跟同期有
[467.42-469.76] 比较多的一个
[469.76-470.96] 销售量
[470.96-472.06] 那GPS
[472.06-473.36] 目前
[473.36-475.92] 在1到4月
[475.92-477.90] 大概非大陆市场
[477.90-479.40] 有占了94%
[479.40-481.38] 那主要的市场
[481.38-483.58] 还是非洲东南亚中南美
[483.58-486.02] 这个主要的开发市场
[486.02-487.74] 那这些市场主要用在
[487.74-489.72] 一次性餐具会比较多
[489.72-491.34] 那ABS的部分
[491.34-493.94] 还是家电日常用品
[493.94-494.68] 玩具
[494.68-497.12] 这个占了比较大的应用
[497.12-501.84] 那接下来我们看一下
[501.84-503.02] 在
[503.02-505.58] 营运的部分
[505.58-508.04] 那营运其实有包含
[508.04-509.78] 刚刚说的数量
[509.78-512.02] 那这个价差的部分
[512.02-514.04] 稍微跟大家说明一下
[514.04-516.18] 其实从去年开始
[516.18-518.24] 虽然价差没有像
[518.24-520.02] 二三年那么惨
[520.02-522.30] 但是其实是慢慢
[522.30-523.90] 有变得比较好
[523.90-525.62] 尤其是今年的
[525.62-527.54] 第三
[527.54-529.98] 三月以后其实价差
[529.98-531.10] 稍微有一点拉大
[531.10-532.70] 因为你们看到
[533.02-535.70] 黄色的线是本乙烯的价格
[535.70-537.44] 它叠的比较厉害
[537.44-540.82] 那整个价差会
[540.82-543.20] 会有一点放大
[543.20-546.84] 那详细有跟大家说明一下
[546.84-548.88] 在ABS的价差部分
[548.88-551.86] 在今年的第一季
[551.86-555.02] 大概从去年的平均300
[555.02-556.68] 价差300
