[0.00-8.52] 现在时间是下午两点整
[8.52-12.34] 本场次法人说明会正式开始
[12.34-16.10] 各位线上的产业先进媒体朋友们
[16.10-17.46] 大家下午好
[17.46-20.74] 我是联城的公关暨发言人陈一真
[20.74-23.56] 同时也是今天的主持人
[23.56-26.40] 欢迎大家一起来关心联城
[26.40-30.78] 首先介绍联城今天与会的经营团队有
[30.78-32.80] 毕淑倩总经理
[32.80-35.66] 徐兆华资深副总经理
[35.66-38.08] 吴胜权副总经理
[38.08-41.48] 以及新事业张静怡资深经理
[41.48-46.46] 今天的议程将分以下三大部分来进行
[46.46-50.38] 首先是市场展望与公司发展说明
[50.38-52.90] 再来是经营绩效报告
[53.06-55.24] 最后是Q&A Session
[55.24-58.70] 在进入公司简报之前
[58.70-62.98] 请各位先详细阅读简报中的免责声明
[62.98-64.92] 同时也提醒您
[64.92-67.86] 若有与公司营运相关问题
[67.86-71.62] 欢迎随时利用WebEx问语达功能区
[71.62-73.78] 文字输入您的提问
[73.78-77.94] 我们将会于Q&A阶段为您详尽回复
[77.94-79.82] 也敬请留意
[79.82-81.92] 今天法说会的内容
[81.92-85.22] 可能会含有前瞻预测性的资讯
[85.24-91.24] 但一切的讯息还是要与公司正式公告的版本为准
[91.24-95.24] 接下来我们将进入简报的部分
[95.24-98.24] 首先有请张静怡资深经理
[98.24-102.74] 为大家进行市场展望与公司发展的说明
[102.74-108.24] 各位线上的贵宾以及业界先进大家好
[108.24-109.24] 那接下来呢
[109.24-113.24] 先由我来报告第一部分的市场展望跟公司发展的部分
[113.24-115.24] 那联城公司从事公司的公司展望与公司发展的部分
[115.24-118.24] 从1976年成立以来深耕树化领域
[118.24-123.24] 那目前已发展成为全球最大的可塑剂跟粉干制造商
[123.24-129.24] 我们在台湾中国大陆马来西亚等地设有八个产销跟物流基地
[129.24-132.24] 在香港泰国越南设有营销据点
[132.24-135.24] 可以快速因应市场的一个需求变化
[135.24-139.24] 那在去年的合并营业额是733亿元台币
[139.24-143.24] 今年第一季的营业额是146亿元
[143.24-144.24] 联城的化学事业领域是733亿元台币
[145.24-147.24] 我们的产品业内部的产品有三个领域
[147.24-150.24] 一是可塑剂、酸钢、PVC、特用化学品
[150.24-157.24] 可以供应建筑、汽车、消费电子、玩具、食品包装以及医疗等不同行业的需求
[157.24-159.24] 我们设有三座研发中心
[159.24-164.24] 持续投入创新、开发高附加价值、环保低碳的永续产品
[164.24-169.24] 目前产品的中产能已经达到495万吨
[169.24-173.24] 那其中可塑剂是335万吨、粉干74万吨
[173.24-175.24] 在2020年
[175.24-179.24] 联城产品的总销售量达到199万吨
[179.24-181.24] 中国大陆是主力市场
[181.24-187.24] 但是东南亚、印度、中东、非洲、日本市场也持续成长当中
[187.24-192.24] 联城在去年可塑剂产品的全球市占率是13.9%
[192.24-196.24] 在大陆市场的市占率是22.1%
[196.24-200.24] 那粉干产品的全球市占率是12.4%
[200.24-204.24] 在大陆的市占率是20.1%
[205.24-207.24] 在物流服务事业
[207.24-210.24] 联城拥有码头跟专属运输车队
[210.24-213.24] 搭配超过70万立方公尺的储藏
[213.24-217.24] 以及7.7万平方公尺的仓库储存量
[217.24-223.24] 可以提供从生产、仓储、运输到技术服务的一体化解决方案
[223.24-227.24] 那其中盘井基地因应东北绿色燃料的储运需求
[227.24-233.24] 明年会再增加4.7万立方公尺的储存量
[233.24-235.24] 另外从2023到2025年
[235.24-240.24] 我们投入了4700万台币导入智慧物流平台
[240.24-245.24] 包括地棒监测、车牌辨识、智慧装卸、控量装车
[245.24-248.24] 以及智慧锁持管制等
[248.24-250.24] 来建立即时出货监控
[250.24-255.24] 有效提升供应链的效率以及客户的即时交货能力
[255.24-257.24] 在经济局势方面
[257.24-261.24] 美国川普总统在1月上任之后
[261.24-263.24] 开始对全球贸易国家实施一联的贸易计划
[263.24-268.24] 导致全球贸易环境出现高度的不确定性
[268.24-272.24] 对中国大陆的关税一度高达145%
[272.24-274.24] 虽然5月中达成协议
[274.24-278.24] 对中的关税有90天的缓冲期降到30%
[278.24-283.24] 不过仍然让制造业和石化产品的需求承受压力
[283.24-286.24] 根据国际货币基金的预测
[286.24-288.24] 全球经济成长将趋缓
[288.24-291.24] 在今年仅成长2.8%
[291.24-293.24] 美国预估会增加2.8%
[293.24-298.24] 中国大陆因为对出口的高度依赖性
[298.24-302.24] 预计今年经济成长率会降到10%
[302.24-308.24] 所以全球工业面临重组跟企业投资会趋于保守
[308.24-314.24] 至于美国关税政策对连城产品销售的影响
[314.24-318.24] 连城直接出口美国的可数计数量
[318.24-321.24] 只占总销售量的0.2%
[321.24-324.24] 所以关税的直接影响是有限的
[324.24-328.24] 我们利用台湾跟马来西亚厂作为出口美国的平台
[328.24-331.24] 来避开贸易壁垒的冲击
[331.24-335.24] 不过大陆PVC制品包括手套、地板
[335.24-338.24] 对美国出口的比重是相对比较高的
[338.24-341.24] 所以对下游客户有形成一点压力
[341.24-346.24] 同时外移东南亚的下游制品产业出口美国也受限了
[346.24-350.24] 所以对DOTP可数计需求的渐渐影响是比较大的
[351.24-355.24] 5月中旬中美关税缓和后
[355.24-358.24] 市场需求出现一波比较明显的提升
[358.24-360.24] 但是可以持续多久呢
[360.24-364.24] 后续仍然需要密切观察关税的动向
[364.24-369.24] 中国大陆政府应对房地产市场低迷、内需不振
[369.24-372.24] 中美贸易摩擦这些挑战
[372.24-375.24] 有推出一系列的刺激经济政策
[375.24-378.24] 短期应该有助于消费和提振基建
[378.24-380.24] 但是终端信心比较不足
[380.24-383.24] 所以内需的复苏是比较缓慢的
[383.24-387.24] 化工产品的需求基本上是以刚需为主
[387.24-392.24] 在油价方面由于供应过剩跟需求疲弱
[392.24-398.24] 美国人员署预测今年布兰特的均价会回落到每桶66美元
[398.24-401.24] 明年会再降到59美元
[401.24-406.24] 不过油价下跌将有助于改善化工产品的利差
[406.24-408.24] 在PPC的市场部分
[408.24-409.24] 去年全球的PPC预测是有助于改善化工产品的利差
[410.24-413.24] PPC需求大概4800万吨
[413.24-416.24] 其中中国大陆是2100万吨
[416.24-418.24] 占全球44%
[418.24-421.24] 不过房地产低迷再加上中美贸易战
[421.24-425.24] 所以中国大陆的PPC需求是放缓的
[425.24-427.24] 产能利用率也有所下降
[427.24-430.24] 再加上新产能持续扩增
[430.24-435.24] 所以PPC厂商的出口依存度目前增加到13%
[435.24-440.24] 预计今年中国大陆PPC出口将超过310万吨
[440.24-443.24] 也形成价格上的竞争
[443.24-445.24] CMA报告预测
[445.24-451.24] 今明两年PPC的价格会在每吨700到800美元之间波动
[451.24-456.24] 今年PPC跟VCN的价差平均会在每吨161美元
[456.24-461.24] 预计明年的价差会进一步缩小到149美元
[461.24-465.24] 在大陆PPC市场部分
[465.24-467.24] 需求整体持平
[467.24-469.24] 目前行业开工率在77%左右
[470.24-474.24] 连城一式矿采取最适化的产销策略
[474.24-475.24] 在下游市场
[475.24-479.24] 虽然电缆和建材的需求是比较疲弱的
[479.24-485.24] 但是文具、玩具和医疗用的PVC表现相对比较好
[485.24-487.24] 除了大陆市场之外
[487.24-491.24] 我们也重点扩展非洲、南亚、中东这些新兴市场
[491.24-495.24] 在可塑机市场部分
[495.24-498.24] 去年全球的需求是大概1000万吨
[498.24-499.24] 中国大陆的需求是5%
[500.24-502.24] 521万吨
[502.24-504.24] 占全球的52%
[504.24-507.24] 在2024到2029年期间
[507.24-512.24] 预计市场需求年复合成长率在2.3%左右
[512.24-516.24] 因市场逐步转向高性能和环保要求
[516.24-519.24] 对于高碳链的铃本可塑机
[519.24-526.24] 像是DNP、DPHP、非铃本以及功能型的可塑机市场将持续成长
[526.24-529.24] 目前可塑机行业整体的成长是
[530.24-531.24] 公过于球
[531.24-533.24] 需求比较低迷
[533.24-536.24] 整体开工率在五六成左右
[536.24-540.24] 这张图是过去一年的DOP可塑机跟原料
[540.24-543.24] 易兴存和本杆的价格趋势图
[543.24-546.24] 易兴存随着新产能开出
[546.24-548.24] 价格已经有明显的下跌
[548.24-552.24] DOP的价格则大致跟着易兴存来波动
[552.24-554.24] 不过目前油价已经处于低档
[554.24-558.24] 所以我们预期未来DOP价格再跌的幅度是有限的
[560.24-567.24] 接下来这张图是市场前三大可塑机DOP、DNP、DOTP的价格趋势图
[567.24-569.24] 我们可以看到三月份以来
[569.24-573.24] 因为易仁存和原料的装置检修供应比较紧张
[573.24-576.24] 所以导致部分DNP的厂商停产
[576.24-579.24] 使得DNP的价格上扬
[579.24-583.24] 跟DOP和DOTP的价差是明显扩大的
[583.24-584.24] 不过联成公司
[584.24-589.24] 我们跟国际主要的易仁存原料供应商都有签订长期供应的计划
[590.24-594.24] 所以可以确保原料的长期稳定供应
[594.24-597.24] 降低在供应上的波动风险
[597.24-599.24] 而且成本上具有竞争力
[599.24-603.24] 同时联成也是中国大陆最大的DNP供应商
[603.24-608.24] 去年在当地的DNP销售量达到31万吨
[608.24-611.24] 市占率在77%左右
[611.24-617.24] 另外在国际政策上
[617.24-619.24] 对DOP使用的限制是持续的
[619.24-625.24] 市场向朝向DNP这些高贪恋的产品转换
[625.24-628.24] 所以我们预期DNP的市场将持续扩大
[628.24-634.24] 尽管市场低迷
[634.24-637.24] 联成可数计销售量仍然持续增长
[637.24-639.24] 展现稳定的销售力道
[639.24-642.24] 我们积极导入润滑油添加剂
[642.24-643.24] 玩具文具
[643.24-646.24] 新能源车以及衣材等应用领域
[646.24-649.24] 并且居家拓展日本中东非洲营业
[649.24-651.24] 和印度中亚市场
[651.24-655.24] 同时预期未来美国市场在制造商回流之后
[655.24-658.24] 也将增加原物料的需求
[658.24-660.24] 在本甘市场方面
[660.24-663.24] 由于油价持续回落
[663.24-666.24] 02甲本跟本甘的价差已经有所改善
[666.24-669.24] 印度是本甘的最大进口市场
[669.24-672.24] 对产品要求要具备必时认证
[672.24-676.24] 台湾联成的本甘产品正在申请认证当中
[676.24-677.24] 除了关税贸易战役之外
[677.24-680.24] 全球化工产业目前还面临产能过剩
[680.24-682.24] 经营碳排低人政治风险
[682.24-684.24] 环保法规等挑战
[684.24-687.24] 联成公司拟定了七大核心转型策略
[687.24-689.24] 来迎接市场的变局
[689.24-692.24] 包括加速高质化跟环保产品的研发跟布局
[692.24-695.24] 利用趋势市场优势跟多元通路
[695.24-698.24] 来推动智慧营销跟精准客户管理
[698.24-700.24] 提高市场渗透率
[700.24-702.24] 并提高市场的质量
[702.24-704.24] 并提高市场的质量
[704.24-706.24] 并提高市场的质量
[706.24-708.24] 提高市场渗透率
[708.24-712.24] 我们跟上游进行策略联盟建立绿色供应链
[712.24-716.24] 同时导入AI智能制造跟公安品质监控
[716.24-718.24] 并深化全球供应商合作
[718.24-722.24] 来确保稳定且具竞争力的原料供应
[722.24-725.24] 同时我们推动数位转型
[725.24-726.24] 升级ERP系统
[726.24-728.24] 建构智慧营销平台
[728.24-731.24] 透过Power BI决策仪表板
[731.24-735.24] 来及时掌握制造销售物流以及财务数据
[735.24-736.24] 提高决策的成果
[736.24-738.24] 提高决策的成果
[738.24-740.24] 提高决策的成果
[740.24-742.24] 推动组织优化跟人才培育
[742.24-744.24] 推动组织优化跟人才培育
[744.24-746.24] 形成从营运到供应链的全面强化体系
[746.24-748.24] 形成从营运到供应链的全面强化体系
[748.24-750.24] 来提升企业的韧性跟市场竞争力
[750.24-752.24] 来提升企业的韧性跟市场竞争力
[752.24-754.24] 在高质化产品部分
[754.24-756.24] 我们持续推动产学研合作
[756.24-758.24] 我们持续推动产学研合作
[758.24-760.24] 发展高性能环保产品
[760.24-762.24] 并且切入新应用领域
[762.24-764.24] 像是高分子的聚酯可塑剂
[764.24-766.24] 像是高分子的聚酯可塑剂
[766.24-768.24] 我们在去年的销售量已经成长了一倍
[768.24-770.24] 我们在去年的销售量已经成长了一倍
[770.24-772.24] 不过今年3月以后
[772.24-774.24] TMA跟TOTM的价格开始大幅回落
[774.24-776.24] 所以利用高分子取代TOTM的利基是减少的
