[0.00-3.44] 地球綜合工業股份有限公司法人說明會
[3.44-4.56] 我們正式開始
[4.56-7.56] 接下來我們把時間交給黃明慶總經理
[7.56-10.56] 各位同志先進大家好
[10.56-14.16] 我是地球綜合工業股份有限公司總經理
[14.16-15.56] 黃明慶
[15.56-17.56] 今天非常感謝大家
[17.56-21.56] 多多來參加我們公司2025年的法人說明會
[21.56-25.56] 今天法人說明會的內容主要有四大部分
[25.56-29.56] 包含第一個是公司的概況
[29.56-31.56] 第二個是產品概況
[31.56-33.56] 第三是財務概況
[33.56-35.56] 第四是未來的展望
[35.56-39.56] 首先我跟大家報告一下公司的概況
[39.56-43.56] 我們公司是設立在1964年12月8號
[43.56-46.56] 在2000年的9月11號上市
[46.56-52.56] 資本額是新台幣715,121.820元
[52.56-55.56] 主要是做各式膠帶的製造加工
[55.56-59.56] 並且以我們Globe這個品牌行銷全世界
[59.56-61.56] 總公司是設在台北市
[61.56-65.56] 目前我們有三座工廠
[65.56-67.56] 兩座在台灣一座在中國大陸
[67.56-73.56] 在台灣的兩個廠都是位在桃園柚子工業區
[73.56-75.56] 裡面的兩個廠
[75.56-79.56] 第一個廠我們一般做熟成叫做柚子一廠
[79.56-87.56] 這個是在民國61年成立主要是做OVB膠帶
[87.56-91.56] 柚子二廠是在民國76年成立的
[91.56-94.56] 主要是做PVC膠帶跟其他特殊膠帶
[94.56-101.56] 這兩座工廠都有ISO9001、14001跟45001的認證
[101.56-106.56] 中國大陸的那個廠是在廣東省的珠海市
[106.56-111.56] 這是在民國91年成立主要是生產PVC膠帶
[111.56-115.56] 這座工廠有ISO9001的認證
[117.56-119.56] 那公司的產品
[119.56-123.56] 第一個跟大家報告公司的整個產品的概況
[123.56-128.56] 那產品的類別主要是有十大項
[128.56-133.56] 像PVC膠帶、OVB膠帶、布膠帶、雙面膠帶、玻璃紙膠帶
[133.56-138.56] 磁物膠帶、鋁箔膠帶、膠帶切割器、PE綻綁
[138.56-142.56] 還有這個抗靜電液
[142.56-144.56] 膠帶的產品用途很多
[144.56-146.56] 那比較主要常見的有
[146.56-148.56] 用在絕緣方面
[148.56-150.56] 還有用在汽車的方面
[150.56-152.56] 還有用在建築方面
[152.56-154.56] 還有用在警示的方面
[154.56-158.56] 警示是大部分是在工廠裡面的安全警示用的
[161.56-163.56] 另外還有用在家電方面
[163.56-166.56] 還有用在包裝的方面
[166.56-171.56] 這個量是比較一般來講是非常大量的用途
[171.56-173.56] 還有用在文具方面
[173.56-175.56] 還有在版收藏的使用
[176.56-180.56] 那產品的安規和品質管理
[180.56-185.56] 公司都具備了基本的一些要件
[185.56-191.56] 主要的有這個品質管理方面有ISO9001-2015年版的
[191.56-195.56] ISO14001-2015年版的
[195.56-199.56] 還有ISO45001-2018年版的
[199.56-202.56] 我們有ROSE認證的這個產品
[202.56-204.56] 那在這個PVC權益方面呢
[204.56-205.56] 產品的安規和品質管理方面呢
[205.56-208.56] 產品的安規我們有取得一些國家的認證
[208.56-210.56] 像這個加拿大的CSA
[210.56-212.56] 這個義大利的IMQ
[212.56-214.56] 日本的JIS
[214.56-216.56] 美國的UL
[216.56-218.56] 還有德國的VTE
[220.56-224.56] 那在這個產品的碳土機的歷程裡面
[224.56-230.56] 我們從這個2009年開始就導入了ISO14064-1
[230.56-234.56] 這個是主要是進行組織型溫室氣體開放的盤查
[235.56-238.56] 我們是進一步減少碳排放量
[238.56-242.56] 並有取得SGS的外部驗證
[242.56-246.56] 目前我們是持續進行優適二廠天然氣的部件
[246.56-248.56] 等這個建設完成之後
[248.56-251.56] 將可以進一步減少溫室氣體排放量
[251.56-254.56] 這個工程預計進一步完成
[254.56-260.56] 還有我們是台灣第一家取得碳土機標籤認證的交代製造廠商
[260.56-263.56] 下面跟各位介紹一下碳土機認證標籤認證的這個交代
[263.56-264.56] 下面跟各位介紹一下碳土機認證標籤認證的這個交代製造廠商
[265.56-268.56] 碳土機交代主要有三大類
[268.56-270.56] 碳土機交代主要有三大類
[270.56-272.56] 兩類是OPP包裝交代
[272.56-274.56] 一類是PPC的這個部分交代
[274.56-276.56] 一類是PPC的這個部分交代
[276.56-278.56] 第一類的OPP包裝交代
[278.56-280.56] 我們的品號是701A
[280.56-282.56] 規格是48mm x 35mm
[282.56-284.56] 規格是48mm x 35mm
[284.56-286.56] 有兩種包裝方式
[286.56-288.56] 一個是單捲一個是六檢級數
[288.56-290.56] 這個就是單捲包裝
[290.56-292.56] 這個是六檢的級數
[292.56-293.56] 第二個也是OPP包裝交代
[293.56-294.56] 品號是7011
[294.56-296.56] 規格是48mm x 80mm
[296.56-298.56] 規格是48mm x 80mm
[298.56-300.56] 它的包裝方式也是同樣兩種
[300.56-302.56] 一個是單捲包裝一個是六檢級數
[302.56-304.56] 一個是單捲包裝一個是六檢級數
[304.56-306.56] 單捲包裝跟這個六檢級數
[306.56-308.56] 第三類的產品是PPC的部分交代
[308.56-310.56] 第三類的產品是PPC的部分交代
[310.56-312.56] 我們的產品品號是112
[312.56-314.56] 規格是48mm x 12mm
[314.56-316.56] 規格是48mm x 12mm
[316.56-318.56] 包裝方式也是兩種
[318.56-320.56] 單捲跟六檢平平置
[320.56-322.56] 這個是單捲這個是六檢皮
[322.56-324.56] 這個是單捲這個是六檢皮
[324.56-326.56] 這是六檢平置
[328.56-332.56] 第一層部分跟大家報告公司的財務概況
[332.56-338.56] 下面報告的財務數字的金額的幣別是新台幣
[338.56-344.56] 第一個報告是2023年到2024年季別的營運概況
[344.56-348.56] 在這個圖表裡面藍色的部分是營業收入
[348.56-350.56] 這個橘色部分是本期淨利
[350.56-352.56] 這個灰色的部分是毛利率
[354.56-358.56] 從2023年第三季到2024年第四季
[358.56-360.56] 每季的營業收入分別是
[360.56-362.56] 2億3704萬6千元
[362.56-364.56] 2億3704萬6千元
[364.56-366.56] 2億3704萬6千元
[366.56-368.56] 2億2317萬
[368.56-370.56] 1億9915萬6千元
[370.56-372.56] 1億9915萬6千元
[372.56-374.56] 2億0560萬5千元
[374.56-376.56] 2億0560萬5千元
[376.56-378.56] 1億8248萬4千元
[378.56-380.56] 1億8248萬4千元
[380.56-382.56] 2億0795萬2千元
[382.56-384.56] 2億0795萬2千元
[384.56-386.56] 這個淨利部分
[386.56-388.56] 從2023年第三季到2024年第四季
[388.56-390.56] 每季的本期淨利分別是
[390.56-392.56] 1億801萬9千元
[392.56-394.56] 1億801萬9千元
[394.56-396.56] 1億582萬2千元
[396.56-398.56] 1億5802萬2千元
[398.56-400.56] 1億245萬5千元
[400.56-402.56] 1億113萬9千元
[402.56-404.56] 2024年第三季很不幸是有營業淨利
[404.56-406.56] 本期淨損是2億207萬2千元
[406.56-408.56] 本期淨損是2億207萬2千元
[408.56-410.56] 2024年第三季是
[410.56-412.56] 本期淨利是
[412.56-414.56] 750萬萬2千元
[414.56-416.56] 本期淨利的過分
[416.56-418.56] 從2023年第三季到2024年第四季
[418.56-420.56] 分別是
[420.56-422.56] 21.4%
[422.56-424.56] 22.26%
[424.56-426.56] 18.56%
[426.56-428.56] 18.69%
[428.56-430.56] 18.66%
[430.56-432.56] 16.57%
[432.56-434.56] 2022年到2024年的營運概況
[434.56-436.56] 同樣的是
[436.56-438.56] 同樣的是
[438.56-440.56] 藍色的過分是營業收入
[440.56-442.56] 橘色的是本期淨利
[442.56-444.56] 橘色的是本期淨利
[444.56-446.56] 綠色的是勞力率
[446.56-448.56] 銀月收入的部分
[448.56-450.56] 2022年是
[450.56-452.56] 9億8301萬7千元
[452.56-454.56] 9億8301萬7千元
[454.56-456.56] 2023年是
[456.56-458.56] 9億2141萬
[458.56-460.56] 2024年是
[460.56-462.56] 7億9519萬7千元
[462.56-464.56] 本期淨利
[464.56-466.56] 2022年是
[466.56-468.56] 480萬3千元
[468.56-470.56] 2023年是
[470.56-472.56] 3945萬7千元
[472.56-474.56] 2024年是683萬2千元
[474.56-476.56] 2023年是
[476.56-478.56] 680萬2千元
[478.56-480.56] 2022年是15.64%
[480.56-482.56] 2023年是21.39%
[482.56-484.56] 2023年是18.1%
[484.56-486.56] 2023年是18.1%
[486.56-488.56] 2023年是18.1%
[488.56-490.56] 2022年到2024年的
[490.56-492.56] 現金鼓勵跟EPS
[492.56-494.56] 現金鼓勵跟EPS
[494.56-496.56] 藍色的是現金鼓勵
[496.56-498.56] 橘色的是EPS
[498.56-500.56] 現金鼓勵2020年到2024年
[500.56-502.56] 每年都是0.2%
[502.56-504.56] EPS的部分
[504.56-506.56] 2022年是0.06元
[506.56-508.56] 2023年是0.53元
[508.56-510.56] 2024年是0.09元
[510.56-512.56] 2023年是0.53元
[512.56-514.56] 2024年是0.09元
[514.56-516.56] 最近兩年度的
[516.56-518.56] 內外銷的營收
[518.56-520.56] 在2023年的部分
[520.56-522.56] 外銷的部分是
[522.56-524.56] 4億2531萬3千元
[524.56-526.56] 佔的整體的
[526.56-528.56] 46%
[528.56-530.56] 內銷是4億9609萬7千元
[530.56-532.56] 佔了53%
[532.56-534.56] 內銷是4億9609萬7千元
[534.56-536.56] 佔的53%
[536.56-538.56] 內銷是4億9609萬7千元
[538.56-540.56] 佔了53%
[540.56-542.56] 內銷是4億9609萬7千元
[542.56-544.56] 佔了53%
[544.56-546.56] 內銷是4億5609萬9千元
[546.56-548.56] 佔了57%
[548.56-550.56] 第四個部分跟大家報告一下未來的展望
[550.56-552.56] 第四個部分跟大家報告一下未來的展望
[552.56-554.56] 我們公司主要是以ESG
[554.56-556.56] 我們公司主要是以ESG
[556.56-558.56] 也就是環境保護
[558.56-560.56] 社會責任公司治理
[560.56-562.56] 作為公司永續發展的一個目標
[562.56-565.36] 主要內容包括下面幾個要點
[565.36-569.06] 第一個是研發高性能讓環保取向的產品
[569.06-573.46] 提升品牌價值跟開創新的商機
[573.46-576.96] 第二個是以潛能簡單和永續發展為導向
[576.96-579.16] 開發環保的材料
[579.16-582.16] 採用更前提的生產設備跟製程
[582.16-583.96] 建立環境管理系統
[583.96-588.66] 這個環境管理系統在2021年2月
[588.66-593.86] 已經通過ISO 14001 2015年版的
[593.86-597.76] 然後據以精進探盤查能力努力檢探
[597.76-602.16] 朝這個2050-50排放的目標邁進
[602.16-605.46] 第三個是維護勞資兩好關係
[605.46-608.46] 在2024年1月我們有取得這個
[608.46-611.86] ISO 45001 2018年版的
[611.86-615.16] 職業健康安全管理系統支出
[615.16-618.62] 這將繼續遵循人權
[618.62-621.22] 政策優化人力資源制度
[621.22-623.82] 建構友善市場
[623.82-627.82] 第四個要點是遵循誠信經營原則
[627.82-629.82] 原公道德行為準則
[629.82-631.32] 防患電子交易
[631.32-635.22] 資訊安全管理辦法等等的各項規範
[635.22-637.82] 目的是要透過全員教育宣導
[637.82-642.42] 安內部管控強化公司的治理的機制
[642.42-645.32] 第五個是運用數位科技
[645.32-647.32] 建構數位經營
[647.32-648.52] 邁向數位
[648.52-651.72] 直接轉型
[651.72-653.66] 今天的報告到這裡結束
[653.66-655.16] 謝謝大家的聆聽
[678.52-680.52] 地球綜合工業的詳細解說
[680.52-682.52] 地球綜合工業股份有限公司
[682.52-684.52] 法案說明會用到此約法結束
[684.52-686.52] 謝謝各位投資先進的參與
[686.52-688.52] 謝謝
