[0.00-4.24] 好,今日歡迎各位參加凱基證券與IR Trust的
[4.24-8.00] 舉辦2025世界新經濟秩序趨勢論壇
[8.00-13.24] 現場與各位介紹公司長官廣華黃建中總經理
[13.24-16.24] 以及邱守瑞財務協理
[16.24-22.24] 接下來兩位長官會與各位分享公司以及產業的境況
[22.24-25.24] 接下來我們就將時間交給兩位長官
[25.24-31.24] 首先謝謝凱基證券IR Trust提供機會與場地
[31.24-35.24] 讓我們跟各位說明公司的情況
[35.24-39.24] 我先自我介紹一下,因為可能第一次跟各位見面
[39.24-42.24] 我是廣華控股今年一度開始行政的發言人
[42.24-44.24] 我叫邱守瑞
[44.24-49.24] 今天就會由我和總經理黃總來跟各位分享公司的情況
[49.24-53.24] 這個免責聲明的部分因為大同小異
[53.24-55.24] 所以我們就直接揭曉一下
[55.24-57.24] 我們今天要講的一個主題
[57.24-60.24] 首先可能會跟各位帶到的是我們公司目前的一個境況
[60.24-65.24] 最後的話因為現在市場其實是一個蠻激烈的一個狀態
[65.24-67.24] 所以我們也會跟各位帶到一下我們目前
[67.24-71.24] 觀察到的一些市場的一個狀況還有各位來的預估
[71.24-75.24] 這邊先介紹一下我們公司
[75.24-77.24] 我們公司是在2009年這邊成立
[77.24-81.24] 但是這個成立日期其實就是我們的廣華控股這一家
[81.24-84.24] 我們公司的實際營運的總部是在東莞
[84.24-85.24] 這邊是一個叫廣華控股的公司
[85.24-86.24] 東莞廣澤的
[86.24-89.24] 那實際成立的日期其實已經25年了
[89.24-92.24] 那首先起家都是在大陸東莞這邊
[92.24-94.24] 就是起家做汽車的內事件
[94.24-99.24] 那在經歷了就是2000年代的一個發展之後呢
[99.24-102.24] 我們在2010年代就是在台灣成功的上市
[102.24-106.24] 那也首先迎來了第一次的一個據點的擴展
[106.24-110.24] 這邊有我們的華南地區也就是廣東地區向華中地區擴展
[110.24-113.24] 那擴展的首先可能就是有我們華中的
[113.24-114.24] 像湖南啊 襄陽 台豐 武漢
[114.24-117.24] 這些就是我們第一階段擴展的一些據點
[117.24-120.24] 那在第二階段到了我們上市完成之後
[120.24-122.24] 第二階段就是2010到20年代
[122.24-124.24] 我們也開始向外去做一個擴展
[124.24-128.24] 這邊就包含了就是我們北美還有墨西哥的據點
[128.24-130.24] 那來到20年代其實我們可以觀察到
[130.24-133.24] 整個中國的車市還有世界的市場上
[133.24-135.24] 都有一個比較劇烈翻天覆地的變化嘛
[135.24-138.24] 所以我們在20年代這邊其實也迎來了極端的一個轉型期
[138.24-141.24] 還有第二次的一個據點的衝速還有擴展
[141.24-143.24] 那我們可以看一下我們現在一頁這邊
[144.24-149.24] 這邊是我們集團的一個據點的一個分佈
[155.24-158.24] 首先中國這邊我們可以看到畫面的比較下邊這邊
[158.24-160.24] 就是我們集團的一個總部東光廣澤
[160.24-163.24] 那第一階段的擴展這邊就是到華中這邊
[163.24-166.24] 有我們襄陽 湖南 武漢 台豐
[166.24-169.24] 那再來是到了我們的華東地區
[169.24-171.24] 就是我們新成立的蘇州廣興這邊
[171.24-173.24] 它主要供貨對應的對象就是我們上汽的集團
[174.24-177.24] 目前我們在中國大陸的據點大概是可以
[177.24-180.24] 比較完整的去供應整個大陸這邊的一個車市的需求
[180.24-182.24] 還有客戶的一個需求啦
[182.24-188.24] 我們的據點都是採用就是配合客戶的一個在地化生產的方式
[188.24-191.24] 好那剛剛也講到了我們在海外的一些據點
[191.24-193.24] 也是我們目前佈局的一個重點
[193.24-195.24] 那可以看到畫面左邊這邊
[195.24-197.24] 我們在美洲這邊的主要一個據點的佈局
[197.24-202.24] 就是在北美這邊有一個對應的一個服務客戶的據點
[202.24-203.24] 在墨西哥這邊有我們的一個生產區的一個據點
[204.24-206.24] 這是我們在美洲的一個佈局
[206.24-208.24] 那這也是我們第一階段的海外佈局
[208.24-209.24] 到了第二階段呢
[209.24-213.24] 我們這邊開始在台灣韓國還有日本這邊都相繼成立據點
[213.24-217.24] 台灣和韓國這邊是會有設置生產工廠
[217.24-220.24] 日本這邊也是一個就近服務客戶的據點
[220.24-223.24] 這是我們目前海外的一個佈局狀況
[223.24-230.24] 那當然這個佈局狀況其實也是為了因應就是現在可能全球的一些關稅的壁壘
[230.24-232.24] 那我們有這個比較多元的海外據點
[232.24-234.24] 也可以更多的去供應整個的一個佈局狀況
[234.24-237.24] 更多元的去配合客戶的一個生產據點調配的需求
[237.24-240.24] 去因應關稅可能帶來的一些不確定變化
[240.24-242.24] 或是敵人政治上的一些風險
[242.24-248.24] 那首先這邊也跟各位介紹一下
[248.24-250.24] 這是我們公司的一個核心技術
[250.24-255.24] 這二十幾年來其實我們集團一直是專注於汽車配件的一個表面架式
[255.24-259.24] 那這個表面架式其實是受到水的時代的演進去做到一些進展
[259.24-263.24] 從畫面最左邊這邊的可能是一些比較既有的表面處理
[263.24-264.24] 像水轉移動的表面處理
[264.24-265.24] 或是噴漆
[265.24-269.24] 到可能因為有環保或是降本的一些增效的需求
[269.24-273.24] 可能出現像EPF這種膠膜的一個轉移工藝
[273.24-277.24] 再到現在畫面右邊這邊可能是現在車市裡面比較流行的
[277.24-281.24] 就是車面可能要發光氛圍燈的這種電裝工藝
[281.24-283.24] 這個部分我們都是在配合客戶的一個
[283.24-286.24] 還有產業的發展我們持續就是在進步的
[286.24-291.24] 那當然這個我們可以看到這些工藝是有一個新舊之分
[291.24-293.24] 但是其實它們是不存在一個取代的地方
[293.24-299.24] 就是我們只有在就是最適合應用的這個工藝是什麼時候
[299.24-301.24] 我們就可以提供給客戶
[301.24-303.24] 所以說我們集團這二十幾年來
[303.24-307.24] 等於說這個工藝的一個科技數字點的比較完整的
[307.24-311.24] 我們從這個既有的一個比較以前的工藝到現在最新的一個電裝
[311.24-314.24] 這邊我們都是有一個完整的核心技術掌握
[314.24-317.24] 那在配合客戶這邊的一個技術提供的時候
[317.24-322.24] 我們可以給客戶一個比較能應對他們需求的一個solution
[323.24-328.24] 好那剛剛有提到我們目前最新的一個工藝就是電裝的部分
[328.24-336.24] 大家可以看到其實電裝發光這個工藝已經跟傳統我們理解上面的車用的一些架式是有一個比較大的不同
[336.24-343.24] 從可能比較靜態的以前的一個架式到現在發光這些是一個可能是一個比較動態的展現
[343.24-348.24] 那我們需要具備的像是光學啊熱流啊電子電路還有驅動軟體設計這些
[348.24-351.24] 對我們集團來講都是一個比較具有挑戰性的突破
[351.24-359.24] 那為了掌握這樣的技術其實我們也是在這幾年都投入很多的人才儲備還有一些研發的花費
[359.24-364.24] 那這部分都是每年都有提前在我們採報的一個研發費用這邊
[364.24-371.24] 再來同時就是像我剛才提到的就是新一代的工藝這邊我們不斷的投入成本去掌握之外呢
[371.24-374.24] 既有這些工藝因為它也不存在被淘汰的問題
[374.24-379.24] 所以我們也持續不斷的在精進就是有關色彩紋理加飾這方面的工藝
[379.24-387.24] 那藉由多年的一個產業經驗其實我們已經可以有效的整合就是我們上游端的供應鏈的一個資源
[387.24-393.24] 那也可以配合這些供應鏈的資源來為我們客戶提供一個就是更有效的整合的一個解決方案
[393.24-402.24] 那更重要的一點是其實我們在這個發展的過程中其實我們也慢慢開發出了自己公司自己對產品的一個自主設計能力
[402.24-409.24] 那也這裡就代表說其實我們原本我們公司是做一個純的OEM就是車廠的二階一個代工的一個角色
[409.24-413.24] 那現在開始慢慢的因為經驗的累積具備了這些設計能力之後呢
[413.24-418.24] 我們也可以開始跟車廠這邊來直接來討論參與產品的設計
[418.24-423.24] 那在這方面其實我們就等於是朝著一階的供應商來賣已經
[423.24-431.24] 所以在這個成為一階的過程中其實也有幾個比較大的一個我們可以看的優勢就是首先供應鏈上的選擇這邊
[431.24-435.24] 還有產品的一價這邊我們可以比較有比較大的話語權
[435.24-437.24] 這是可能我們可以看到第一個好處
[437.24-439.24] 第二個好處是
[439.24-441.24] 在成為一階供應商的這個同時呢
[441.24-443.24] 我們參與產品設計的話
[443.24-445.24] 那可能也比較不容易
[445.24-452.24] 因為你可能以前做的是純代工比較不容易陷入一個壓價競爭的一個漩渦裡面
[452.24-455.24] 這是成為一階的就是我們其中一個轉型的目標
[455.24-463.24] 就是成為車廠的一階供應商具備產品的一個跟車廠這邊共同開發設計的一個能力
[463.24-467.24] 那除了我們剛剛講到既有的一個加制技術
[467.24-469.24] 這邊我們具備了一個新的一個工具
[469.24-470.24] 設計能力
[470.24-476.24] 其實電裝的部分我們同時現在也都是在跟著車廠一起參與設計還有開發
[476.24-486.24] 那現在我們很多發光產品這邊目前都是跟著日系的炸路這邊的合資品牌來共同做開發還有產品的設計
[486.24-489.24] 那這邊可以看到我們目前集團掌握的一個專利
[489.24-493.24] 從既有的一個加濕應用到發光啊
[493.24-497.24] 氛圍燈這邊的應用還有車內照明這邊的應用是都有具備的
[497.24-503.24] 而且地點的話從臺灣大陸美國甚至德國這邊都有相關的一個專利
[503.24-510.24] 前面跟各位大概介紹完了就是公司的一個核心技術
[510.24-514.24] 那這邊我們也來看一下目前公司的一個營運時機
[514.24-517.24] 首先看到的是公司近五年的一個損益表現
[517.24-522.24] 我們可以看到23年到24年的時候這兩年是呈現一個虧損的狀態
[522.24-525.24] 那雖然說24年的虧損狀況已經有所收斂了
[525.24-527.24] 但是其實來
[527.24-532.24] 我們坦白來講這兩年也是公司就是成立以來一個最不好的一個狀況
[532.24-535.24] 那可是在這最不好的狀況下我們還是有值得觀察的點
[535.24-541.24] 就是在我們毛利率的部分其實還是維持著一個比較穩定的都是穩定在20%以上
[541.24-547.24] 這也就歸因於我們前面有提到就是我們在核心技術這方面不斷的投入成本
[547.24-552.24] 還有一些努力那讓我們的產品還是始終是在保持競爭力
[552.24-557.24] 尤其在中古大陸現在那個市場競爭這麼激烈的一個狀況
[557.24-562.24] 那可是我們剛才講到就是那最後結果還是虧損的嘛
[562.24-568.24] 那個虧損的原因其實也很明顯就是因為我們的營收還有這個加工力的部分不足
[568.24-578.24] 那可以歸因於就是因為我們一直以來其實都是比較在跟著大陸這邊的日系的一個合資品牌的在共和
[578.24-584.24] 那大家應該知道這個最近幾年日系的一個合資品牌在大陸的銷售其實不是很好
[584.24-587.24] 就是收到電動車啊這些的大陸的電動車啊這些的大陸的電動車啊
[587.24-592.24] 那就是因為我們在大陸的自主品牌的一個衝擊日系的一個市佔率是有一個很明顯的一個下滑
[592.24-599.24] 那也導致我們可能前幾年在這個營收上方面的表現就是有往下掉
[599.24-609.24] 那後面我們會呈現給大家看就是有關日系還有中國自主品牌的一個市佔率的一個漲跌的一個表現
[609.24-614.24] 大家可以可能到時候可以比較明確的感受到這種市佔氛圍的一個轉變
[617.24-619.24] 再來我們可以看到就是公司的獲利能力的部分
[619.24-623.24] 剛才有提到在2023年2024年呈現虧損的一個狀態下
[623.24-631.24] 那主要就是歸因於說我剛才講到的我們日系上真的是我們配合日系這邊受到了一個市場的一個比較大的衝擊
[631.24-639.24] 那在公司處於一個低潮的時候我們接下來可能要關注的也包含的就是像公司的常在能力就是畫面的左下角這邊
[639.24-645.24] 那可以看到我們這五年來雖然就是在日系的我們既有客戶這邊就是有一個比較大的一個下滑
[645.24-646.24] 但是我們常在能力就是畫面的左下角這邊那可以看到我們這五年來雖然就是在日系的我們既有客戶這邊就是有一個比較大的一個下滑
[646.24-651.24] 但是我們常在能力的部分的表現都還是在一個比較穩定的地位階
[651.24-658.24] 那再來是經營績效的部分也可以看到就是在中國這個比較激烈競爭市場的這幾年下來的話
[658.24-663.24] 我們經營績效還是很努力的在維持一個比較相對的水準
[663.24-670.24] 另外我們集團這邊也是在資金水位的部分長期是保持在20%到25%
[670.24-673.24] 總資產的20%到25%的這個水位
[673.24-676.24] 一直以來我們集團都是以一個比較省盛的水位來做這個計畫
[676.24-680.24] 所以我們有一個很慎重的態度在面對我們資金的一個調控
[680.24-689.24] 再來我剛才有跟各位提到的是我們的毛利率的部分一直維持的算是還算穩定
