[0.00-10.12] 各位投资先进好
[10.12-13.02] 欢迎来到大统新创的公开法说
[13.02-15.48] 今天很荣幸邀请到公司经营团队
[15.48-16.70] 为我们做今天的解说
[16.70-18.28] 把现在公司经营团队谢谢
[18.28-21.20] 谢谢 谢谢罗文
[21.20-23.92] 那我现在来先公开
[30.00-37.46] 你们看得到答案吗
[37.46-39.88] 嗯 答案很清楚 谢谢
[39.88-40.84] 好
[40.84-48.58] 那各位先进五关
[48.58-51.74] 我是大统新创的科技主管
[51.74-54.32] 接下来会先给大家做一个
[54.32-56.58] 第一个问稿告
[56.58-59.18] 然后之后就是QA时间
[59.18-59.98] 那我们就先进去
[59.98-63.38] 各位有约的提问
[63.38-66.46] 那简报会分成两个部分
[66.46-70.92] 主要是前段是做简介
[70.92-76.70] 那后半段的话就报告一下设计
[76.70-79.50] 那首先向大家报告一下
[79.50-84.04] 大统新创相对这十年
[84.04-87.30] 大统于1986年设立经济
[87.30-89.98] 那我们在1988年的时候呢
[89.98-93.98] 逐个桃园这边新建了一间
[93.98-96.64] 那个专业的燃整载工
[96.64-99.74] 那接着呢相隔八年
[99.74-103.22] 我们在开辈园成立了一间
[103.22-104.58] 贸易团的公司
[104.58-107.30] 那在隔年1997年
[107.30-111.62] 我们桃园厂又新建了一间造厂
[111.62-112.98] 这个时候呢
[112.98-115.18] 我们自己可以执照
[115.18-116.86] 燃整卖户
[116.86-119.94] 已经成为了一间一贯作业
[119.98-124.74] 那因应这个世界市场
[124.74-126.98] 对于保险重视
[126.98-129.58] 当然我们也不得已
[129.58-133.74] 所以我们申请了多项的认证
[133.74-136.36] 那因为认证蛮多的
[136.36-139.98] 所以跟着几个项目相互相互相互相互
[139.98-143.98] 首先我们拿到了第一张的保险证
[143.98-145.98] 是Opotex Pender 100
[145.98-148.98] 近亲仿物品证证
[148.98-149.98] 那这个认证呢
[149.98-153.98] 取得呢代表了我们的商品
[153.98-158.98] 对于消费者来说是不害怕的
[158.98-160.98] 那在2014年呢
[160.98-163.98] 取得广资业
[163.98-167.98] 难度相当高的一个赛认证
[167.98-170.98] 那在相隔的一年呢
[170.98-172.98] 我们拿到了ISO 14064
[172.98-175.98] 温室气体采放的认证
[175.98-179.98] 这个认证呢这几年非常受到支持
[179.98-181.98] 那我们也有讨论
[181.98-183.98] 公开发行中心的话在
[183.98-185.98] 中央会联报里面做揭露
[185.98-188.98] 那我们在2015年就开始
[188.98-190.98] 实行
[190.98-192.98] 那在2017年呢
[192.98-194.98] 我们投入了
[194.98-197.98] 设立一间百分之百持有的公司
[197.98-199.98] 叫做投发率呢
[199.98-202.98] 那投入了将近8千百万
[202.98-205.98] 在我们的桃园场部里
[205.98-208.98] 建了一个太阳门房
[208.98-210.98] 那这个太阳门场呢
[210.98-216.98] 对这个减碳的效益非常有贡献
[216.98-219.98] 那它带来的效益有多大呢
[219.98-221.98] 看下一张简报
[221.98-224.98] 我们的太阳门场一年能够为
[224.98-228.98] 能够减碳的量大约1069
[228.98-230.98] 做的一个碳排量
[230.98-233.98] 那这个碳排量如果要把它量化
[233.98-236.98] 相当于205辆轿车
[236.98-238.98] 在一年内行驶掉
[238.98-240.98] 它会有10万公里的碳排量
[240.98-242.98] 所以对我们
[242.98-244.98] 都有贡献
[244.98-249.98] 那当然在除了太阳门之外呢
[249.98-250.98] 我们在生产端呢
[250.98-253.98] 在2022年生产的新藏
[253.98-257.98] 蓝莓 菠萝被我们淘汰了
[257.98-259.98] 更换的是天然水果
[259.98-261.98] 那更换之后呢
[261.98-263.98] 当然这个空气污染的体积
[263.98-266.98] 绝对是有大幅的增低
[266.98-267.98] 那另外呢
[267.98-269.98] 我们的太阳门场的效益
[269.98-271.98] 也有明显的上升
[271.98-272.98] 那以上呢
[272.98-274.98] 大概就讲定这40年
[274.98-280.98] 接下来我们要向大家报告一下
[280.98-282.98] 我们合作的领域
[282.98-285.98] 跟主要的合作品牌
[285.98-287.98] 大同的合作领域
[287.98-288.98] 大约分成
[288.98-291.98] 分别是小大分装
[291.98-292.98] 户外休闲
[292.98-295.98] 运动休闲配件
[295.98-297.98] 还有人手带工
[297.98-300.98] 那在这几个领域里面呢
[300.98-301.98] 最主要的
[301.98-303.98] 户外休闲
[305.98-306.98] 这个户外技能
[306.98-309.98] 是个最重要的
[309.98-311.98] 作品
[311.98-314.98] 我们已经合作了许多年
[314.98-317.98] 当然也是它在台湾最主要的
[317.98-319.98] 甚至是有
[319.98-322.98] 那当然很多品牌都有合作
[322.98-324.98] 也都在发现
[325.98-327.98] 那这些合作品牌
[327.98-329.98] 其实也有些
[329.98-332.98] 以上三张的简报
[332.98-333.98] 我们就介绍一下
[333.98-335.98] 这些历程
[335.98-336.98] 做介绍
[336.98-338.98] 接下来向大家报告一下
