[0.00-4.68] 各位投资先进大家午安
[4.68-7.74] 欢迎参加江山工业股份有限公司
[7.74-9.12] 现象法说明会
[9.12-13.80] 本次代表出席人为曾总志总经理
[13.80-17.34] 那今夜法说会流程将先针对经营成果报告
[17.34-19.78] 简报后再行QA间交流时间
[19.78-23.28] 那首先有请曾总经理为我们开始
[23.28-26.36] 谢谢大家好
[26.36-29.02] 参加今天的江山公司的法说会
[29.02-30.78] 那照例我们
[30.78-35.42] 首先我还是先请那个我们财务经理陈奕宇
[35.42-38.18] 经理来做一个简单的经营报告
[38.18-41.04] 那之前是唱亚历协议
[41.04-43.04] 因为他已经今年戒临退休
[43.04-45.20] 所以这次由陈经理来担任
[45.20-48.38] 完了以后我再做一些补充的说明
[48.38-49.96] 以上我们先请陈经理
[49.96-55.52] 各位媒体先进以及我们的投资人朋友们
[55.52-56.26] 大家好
[56.26-57.90] 那我是江山工业陈奕宇
[57.90-58.76] 那欢迎
[59.02-64.02] 各位参拨控参加2025年第一次的法人
[64.02-65.42] 第一季的法人说明会
[65.42-68.70] 那首先在开始前呢
[68.70-69.96] 有关公司声明呢
[69.96-71.56] 请各位自行先参阅
[71.56-75.68] 那在本次的会议议程的部分呢
[75.68-79.82] 主要说明2024年与2025年第一季的营运成果
[79.82-82.82] 那以及报告江山公司未来的展望
[82.82-89.00] 那公司简介及转投资的概况呢
[89.02-93.32] 那江山工业的主要经营项目与转投资的营运架构呢
[93.32-94.48] 并无重大的变化
[94.48-99.00] 这部分再请各位参阅即可
[99.00-104.90] 那接下来我们说明2024年度与2025年第一季的营运绩效重点
[104.90-116.90] 那首先回顾2024年销售业绩的表现
[116.90-117.70] 2024年销售业绩的表现
[117.70-117.94] 2024年销售业绩的表现
[117.94-118.02] 2024年销售业绩的表现
[118.02-118.10] 2024年销售业绩的表现
[118.10-118.36] 2024年销售业绩的表现
[118.36-118.38] 2024年销售业绩的表现
[118.38-118.62] 2024年销售业绩的表现
[118.62-121.98] 2024年台湾汽车市场总销量为45.8万辆
[121.98-122.98] 那年减4%
[122.98-126.66] 那其中国产车的销量为22.9万辆
[126.66-128.12] 那年减5.8%
[128.12-134.04] 那江山呢在2024年前三季有受惠于客户的中大型商车的订单增长
[134.04-135.70] 那车架销售稳健
[135.70-138.56] 为第四季的中大型商车全面停产
[138.56-143.66] 而电动巴士的车架也受到法规的验证跟电子供应的问题影响
[143.66-147.46] 车架及载台的出货呢均落后于去年同期
[147.46-147.70] 那全年营收为2024年台湾汽车市场总销量为45.8万辆
[147.70-150.08] 那全年营收为14.59亿元
[150.08-151.26] 年减9%
[151.26-156.10] 好接下来看到在2024年呢
[156.10-158.58] 虽然全年的营收衰退9%
[158.58-162.18] 但本公司的营业利益为5466万元
[162.18-164.54] 那本期净利为3.02亿元
[164.54-165.80] EPS4.12
[165.80-167.80] 仍维持在正常的水准
[167.80-171.24] 那图表为近五年的营收及获利情形
[171.24-172.30] 再供各位参考
[172.30-176.92] 好接下来进入
[176.92-177.68] 合并的情况
[177.70-179.26] 进入综合损益表的部分呢
[179.26-182.98] 2025年第一季营收为2.77亿元
[182.98-187.10] 采权印法认列之投资收益为5337万
[187.10-189.76] 税后净利为5876万元
[189.76-192.06] 第一季EPS为0.8元
[192.06-196.38] 交通器成长21%
[196.38-200.22] 再请看到第一季的产品别营业收入
[200.22-202.10] 2025年第一季的营收呢
[202.10-204.70] 较去年减少10%
[204.70-207.66] 那主要原因包括客户的大车价暂时停产
[207.66-210.32] 以及东南亚的零件的转为在地化生产
[210.32-211.68] 影响销售量
[211.68-214.66] 以及台湾整体的市场的需求调整
[214.66-216.30] 那至订单减少
[216.30-217.86] 那不过电动巴士车价呢
[217.86-219.00] 则叫同期成长
[219.00-223.22] 后续人聚机会
[223.22-228.22] 再看到第一季的转投资收益状况
[228.22-232.82] 2025年第一季的采权印法短投资收益为5337万元
[232.82-235.70] 那较去年同期成长32%
[235.70-237.54] 那其中福州福祥呢
[237.54-239.90] 受惠于小米新能源车的订单带动
[239.90-241.64] 营运显著有成长
[241.64-244.58] 那厦门金融江森的车价的表现呢
[244.58-245.48] 亦稳健
[245.48-250.26] 那虽然广州及襄阳和田园分别受到不同程度的影响了
[250.26-253.12] 面临结构压力的结构调整的压力
[253.12-254.44] 但整体而言呢
[254.44-257.08] 大陆市场仍有为我们带来成长的动能
[257.08-258.98] 再来
[258.98-263.70] 再来我们看一下江森公司的整体的财务状况
[263.70-267.52] 2025年第一季的资产总额
[267.54-269.14] 59.25亿元
[269.14-271.90] 那其中现金有17.55亿元
[271.90-274.12] 负债总额为7.9亿元
[274.12-276.48] 那权益总额为51.35亿元
[276.48-278.72] 那每股净值为69.96元
[278.72-281.50] 那依公司目前整体的财务评估呢
[281.50-283.16] 现金水位与去年相近
[283.16-284.94] 负债比持续的下降
[284.94-285.96] 显示呢
[285.96-289.18] 营运与资金的调度皆维持良好的状况
[289.18-290.46] 那公司的体质稳健
[290.46-293.34] 好
[293.34-294.20] 再来说明
[294.20-297.52] 2024年度的现金股利分派状况
[297.54-300.56] 那在江森2024年度结算后呢
[300.56-303.30] 我们拟配发现金股利3.1元
[303.30-305.32] 那配许率达75%
[305.32-308.74] 那若以3月7号公告的股价计算呢
[308.74-310.78] 我们的殖利率约为5.1%
[310.78-313.56] 那本案将于5月26号呢
[313.56-314.88] 提报股东常会承认
[314.88-316.20] 好
[316.20-317.22] 最后呢
[317.22-319.52] 进入未来展望的部分
[319.52-321.38] 再有请我们总经理说明
[321.38-323.06] 大家好
[323.06-323.86] 我现在
[323.86-326.56] 以后我等我自来补充这个状况
[326.56-326.88] 我刚
[327.54-331.44] 我现在先讲一下转投资的部分
[331.44-332.72] 广州
[332.72-334.74] 广州部分那营收
[334.74-336.32] 的确有受到
[336.32-339.16] 因为之前大陆表现就是不太好
[339.16-340.30] 这大概都大家知道
[340.30-344.58] 但是因为第一季有受到这个川普关税的影响
[344.58-349.32] 所以说在外交北美及墨西哥部分是有受到影响
[349.32-351.54] 但是下降并不多
[351.54-352.38] 不过还好
[352.38-352.82] 还好
[352.82-357.24] 那个整个他降低成本的一些做法
[357.24-357.54] 那个
[357.54-359.54] 在这方面做的不错
[359.54-363.54] 所以说刚才也看到其实他的获利其实并没有下降
[363.54-365.54] 甚至应该还成长
[365.54-367.54] 这也是比较欣慰的
[367.54-368.54] 当然以后呢
[368.54-372.54] 以后目前来看是因为中美之间好像
[372.54-376.54] 目前以我教学做的这边他们认为就是说
[376.54-377.54] 比较缓和一点
[377.54-384.54] 所以说外交北美墨西哥部分应该量应该不会持续再往下跌
[384.54-386.54] 加上整个外销日本的货币呢
[386.54-387.54] 加上整个外销日本的货币呢
[387.54-388.54] 这个的部分也有拓展
[388.54-393.54] 所以说下半年预估是会更去稳定
[393.54-399.54] 所以整个营收预计整年会有些下滑
[399.54-404.54] 但是获利应该还会有些些微成长
[404.54-406.54] 这一点是比较好的
[406.54-407.54] 那襄阳部分呢
[407.54-409.54] 刚刚大家也看了
[409.54-412.54] 其实第一季表现并不太好
[412.54-416.54] 因为第一季还是出现一个小亏的一个状况
[416.54-417.54] 主要是因为这个小亏的一个状况
[417.54-420.54] 其实主要亏损一个因为整个大陆市场
[420.54-422.54] 因为它主要以做内销为主
[422.54-426.54] 所以整个大陆市场并没有说很明显的就是说
[426.54-428.54] 往上的一个趋势
[428.54-433.54] 所以说其实它在今年有做一波的的裁员
[433.54-434.54] 一波的裁员
[434.54-438.54] 所以说把一些裁员一些费用把认内进去
[438.54-441.54] 所以说造成第一季的一个亏损
[441.54-442.54] 不过呢
[442.54-445.54] 现在我们也开始调整一些策略
[445.54-446.54] 那个我们请向这边
[446.54-451.54] 而且NTN总公司那边搭配一下
[451.54-457.54] 就是说把欧洲的一些订单转到由襄阳来城市
[457.54-460.54] 所以说目前已经在承接当中
[460.54-462.54] 目前都在开发了
[462.54-466.54] 在开发中下半年开始会有部分可以量产
[466.54-469.54] 不过其实大部分的部分还是可能会到明年去
[469.54-472.54] 因为现在开发都需要一些时间
[472.54-474.54] 不过整体来看应该慢慢趋稳了
[474.54-476.54] 整体获利整个下半年
[476.54-478.54] 整体获利整年来看
[478.54-482.54] 会应该会有一个还是一个小额盈余
[482.54-483.54] 不会亏损
[483.54-487.54] 目前也积极的在开拓外销
[487.54-488.54] 也不只是欧洲
[488.54-492.54] 我们日本也是一个很重要的一个区域
[492.54-494.54] 辅助部分
[494.54-498.54] 其实它成长今年成长蛮多的
[498.54-501.54] 主要是说会整个大陆电动车的部分的成长
[501.54-504.54] 因为它主要客户还是领德时代
[504.54-507.54] 所以说营售一直在增长
[507.54-511.54] 目前也在评估还要在扩敞
[511.54-517.54] 另外它最近也接到欧洲某大车厂
[517.54-521.54] 某大车厂的一个电池盒的全球订单
[521.54-522.54] 这个量很多
[522.54-527.54] 大概26年下半年应该会有开始小量出货
[527.54-532.54] 这个部分也是目前一直在评估要扩敞的一个主要原因
[532.54-533.54] 这个应该是一个很重要的一个原因
[533.54-535.54] 这个应该是可期
[535.54-540.54] 因为如果说这一个案子如果能够做完全做成功
[540.54-541.54] 整个是可期的
[541.54-544.54] 不管它大陆的市场电动车市场会不会变化
[544.54-547.54] 稍微如果说走下降都不会受影响
[547.54-549.54] 因为这个订单是很大的
[549.54-555.54] 另外下面部分大概是因为也维持了一个小幅成长的状况
[555.54-556.54] 获利也持续稳定
[556.54-559.54] 因为主要是整个大陆的在电动车的部分
[559.54-561.54] 它目前还是很稳定的
[561.54-562.54] 再来我讲一下
[563.54-566.54] 台湾国内的这个部分
[566.54-573.54] 第一季主要第一季我们表现跟相较于去年来讲是
[573.54-576.54] 比较差了
[576.54-577.54] 比较差了
[577.54-579.54] 那个
[579.54-582.54] 我
[582.54-583.54] 也比较差了
[583.54-584.54] 因为主要是原因
[584.54-586.54] 主要是那个
[586.54-588.54] 刚才讲的一个大车价
[588.54-591.54] 因为有一时停产
[591.54-592.54] 但是这一时停产
[592.54-593.54] 从去年第四季
[593.54-594.54] 开始
[594.54-595.54] 有一时停产
[595.54-598.54] 预计八月不能说恢复生产
[598.54-601.54] 另外还有说到电巴
[601.54-606.54] 虽然电巴大家看到数据是比去年第一季是成长的
[606.54-610.54] 但是这一个成长比我们预计的是少很多
[610.54-615.54] 主要是电巴还是受到主要零件的欠缺的关系
[615.54-620.54] 所以整个第一季的表现的确是并不太理想
[620.54-621.54] 不过
[621.54-622.54] 哎
[622.54-652.54] 
[652.54-682.54] 
[682.54-712.54] 
[712.54-714.84] 工资量来得很重
[715.10-717.92] 然后我利用江森的一个新的技术
[718.18-718.68] 做
[718.94-722.26] 一体成型的一个轻型大量
[722.52-725.34] 这个整个会比现行的
[725.60-726.62] 工资量
[726.88-732.26] 还轻差不多500到600,如果40尺货柜大概500到600的一个
[732.50-733.28] 一个
[733.78-735.58] 的重量,这样的话
[735.84-736.86] 其实目前
[737.38-740.70] 我们客户调查结果目前国内几家
[740.70-744.54] 那个大型的货柜公司都会来采用
[744.80-747.86] 现在我们已经完成试坐车,现在
[748.12-749.40] 有四台试坐车
[749.66-751.20] 现在目前已经在
[751.46-752.48] 那个做
[752.98-755.04] 那个乘车耐久实验中
[755.30-756.82] 如果
[757.60-758.36] 这个
[758.88-761.94] 到目前为止已经测试了大概快两个月了
[762.20-762.98] 如果
[763.74-769.38] 状况目前为止应该没什么问题,如果可以的话我们预计第3季
[769.62-770.66] 应该可以
