[0.00-11.70] 各位投资先进大家晚安
[11.70-16.00] 欢迎大家参加乐视绿能的第一季线上发言说明会
[16.00-20.32] 那首先介绍今天的主讲人为简世昌财务长
[20.32-23.26] 那稍后会议一程将分为两个部分
[23.26-27.96] 第一部分会先请财务长为我们更新公司的近期营运状况
[27.96-29.98] 接下来再进行QA交流
[29.98-31.72] 把时间交给财务长
[31.72-32.10] 谢谢
[32.10-43.64] 财务长您那边要解除静音
[57.96-60.34] 这样子有声音了
[60.34-62.96] 有现在有的
[62.96-66.62] 祝福大家午安
[66.62-70.82] 那今天是我们乐视绿能
[70.82-77.78] 在今年114年第一季的线上发言说明会
[77.78-83.26] 那因为我们在过去的
[83.26-85.40] 大概一两年当中
[85.40-87.86] 我们都是每一季都有做
[87.86-87.94] 我们的第一季的线上发言说明会
[87.96-91.24] 我这个法人的说明会
[91.24-96.72] 基本上我们乐视这几年来讲的
[96.72-103.28] 大概就还算是经营的整个方向
[103.28-105.12] 大概都还算是蛮一致
[105.12-106.58] 也算是蛮稳定
[106.58-111.58] 也就是在我们原来的重电这一块
[111.58-115.50] 还有绿能就是太阳能的这一块
[115.50-117.70] 这两个
[117.70-117.94] 然后我们的这个
[117.94-123.30] 然后再加上我们在有个子公司是营造
[123.30-124.52] 营造的部分
[124.52-128.56] 这个部分它会承担一些工程
[128.56-129.74] 那工程的话
[129.74-132.06] 看案子
[132.06-134.58] 那如果有些案子的话
[134.58-137.62] 就会有一部分的所谓积电的部分
[137.62-141.04] 那这个部分就对母公司会有
[141.04-146.12] 挹注一些这个所谓的营收
[146.12-147.92] 那现在我就开始
[147.94-152.24] 来跟各位做一个说明还有报告
[152.24-159.44] 那这个部分是乐视绿能的一个基本资料
[159.44-165.90] 基本上都跟之前的跟各位报告的都差不多
[165.90-171.04] 那我们的资本额现在是5亿5000万
[171.04-172.54] 这样子的一个资本额
[172.54-177.44] 那主要的产品也是
[177.94-178.78] 主要的服务
[178.78-183.64] 就一样是在太阳能这一块的这个所谓的EPC
[183.64-187.84] 一般来讲就是所谓的帮人家代件
[187.84-192.30] 还有在太阳能电厂的这个投资
[192.30-198.06] 另外就是在重电的输配电的系统这一块
[198.06-203.88] 另外就是一些电机类的一个所谓原件类的产品
