[0.00-12.32] 子公司就是我们有生鑫、金来还有群里这部分
[12.32-16.00] 我们主要是ONLINE电厂
[16.00-25.32] 这个在后面也会跟各位说明一下我们目前电厂装置容量的情况
[25.32-30.32] 再来的话是做BPC,最近也做的比较少
[30.32-37.32] 因为今年以来整个太阳能包括除能
[37.32-42.32] 在台湾来讲的话就是说可能政策的关系
[42.32-46.32] 因为这个部分政策面的影响是比较大一点
[46.32-54.32] 所以整个市场的状况没有像之前那么热络
[54.32-55.32] 都比较少
[55.32-56.32] 比较停滞一点
[56.32-61.32] 再来的话太阳能的部分我们做电厂的维运
[61.32-71.32] 电厂的维运最主要我们是通常还是会以我帮人家做的BPC
[71.32-74.32] 维运会就会由我来做
[74.32-79.32] 这个部分也是算是业务量不大
[79.32-84.32] 再来的部分是我们还有一个子公司
[84.32-85.32] 是万全铁工业
[85.32-91.32] 就是我们的一个业务的业务
[91.32-93.32] 这个是万全营造
[93.32-94.32] 万全营造这个部分
[94.32-97.32] 这个刚刚有跟各位稍微提到
[97.32-102.32] 目前我们已经就是在上转的部分
[102.32-109.32] 各位可以看得到就是说大概有37M多一点点
[109.32-110.32] 37M多一点点
[110.32-111.32] 这个是在上转
[111.32-114.32] 就是说已经在受电
[114.32-116.32] 这个已经在上转的部分
[116.32-120.32] 在这个还没有弄
[120.32-121.32] 就还没有闻
[121.32-122.32] 还没有并点发电
[122.32-123.32] 还在盖的
[123.32-126.32] 大概有3.7M
[126.32-128.32] 将近4M
[128.32-135.32] 这个3.7M的部分是就是高速公路的人的休息站
[135.32-140.32] 跟南投区的南投的服务区
[140.32-143.32] 南投的这个南投区的这个南投区的这个服务区的这个。
[143.32-148.60] 南投区的休息站这两个地方还没有完成
[148.60-150.48] 那整个完成以后
[150.48-159.68] 我们大概就将近41M的太阳能的装置容量
[159.68-165.96] 那因为这个也算是对集团来讲
[165.96-172.68] 是一个营收稳定的一个算是贡献
[172.68-173.60] 那相对来讲
[173.60-177.80] 它的毛利率也算是蛮稳定的这个部分
[177.80-182.32] 那再来的话
[182.32-186.52] 跟各位报告一下
[186.52-190.54] 这个我们营收的一个情况
[190.54-194.78] 那各位可以看得到我们营销货收入的话
[194.78-200.20] 比去年同期来讲算是成长蛮多的
[200.20-201.42] 将近有一倍
[201.42-202.34] 将近有一倍
[202.34-202.66] 那这个
[202.66-207.66] 这个部分就是刚刚跟各位报告的这个停市式变压器的贡献
[207.66-208.86] 它就是一个标
[208.86-214.26] 因为台电的交货是他通知我交货才可以交货
[214.26-220.86] 不是说我做完以后我就就可以出厂交货
[220.86-226.46] 所以在相对也就是说去年有一些交货
[226.46-229.26] 他有稍微有delay到今年
[229.26-232.58] 所以去年同期是比较
[232.66-235.42] 去年的基期比较低一点
[235.42-237.54] 那售电的话就差不多了
[237.54-240.82] 售电就是可能季节性的关系
[240.82-242.06] 季节性的关系
[242.06-247.30] 那再来工程收入的话
[247.30-248.42] 工程收入的话
[248.42-253.14] 最主要是刚刚在前面跟各位报告过的这个
[253.14-257.08] 我们子公司万全营造来自于那边是比较多
[257.08-260.38] 那其他的部分的EPC是比较少
[260.38-262.32] 那其他收入的部分啊
[262.32-265.32] 就算是比较少
[265.32-266.68] 所以各位可以看得到
[266.68-270.04] 所以我们今年来讲的话
[270.04-275.32] 整个这个营收是比去年还算是增加蛮多的
[275.32-276.12] 增加蛮多的
[280.20-287.16] 那这边我是没有做这个损益的状况
[287.16-289.12] 那去年营收的
[290.32-292.12] 基本上我们讲说
[292.32-294.88] 可以可能可以再看到
[294.88-295.88] 假如说
[295.88-301.00] 可以翻阅我们这个公告的这个财报
[301.00-306.08] 那大概毛利跟去年同期是相当的
[306.08-309.00] 大概16%左右
[309.00-314.92] 那就整个如果营收的营业净利的话
[314.92-316.04] 就是我的本业
[316.04-320.88] 我的本业基本上它的这个毛利是稳定嘛
[320.88-322.00] 所以假如说
[322.32-327.32] 我现在的这个营收比较多
[327.32-328.68] 营收比较多的话
[328.68-332.76] 那我相对我的毛利的这个绝对金额就会比较多
[332.76-336.76] 我因为手上是有去有财报了
[336.76-337.92] 在营业净利的话
[337.92-342.04] 我们今年是大概2700多万
[342.04-344.84] 那去年的话才大概800多万
[344.84-351.32] 所以在整个营业净利的部分也算是增加蛮多了
[351.32-352.32] 增加蛮多的
[352.32-355.04] 那在业外的部分
[355.04-361.36] 业外的部分除了最主要是我的财务成本
[361.36-362.60] 就是我的利息
[362.60-368.20] 利息的话跟这多比去年同期没有增加多少
[368.20-373.56] 大概因为我们的借款就是我会有一些营运周转
[373.56-375.52] 购料的这个借款
[375.52-377.20] 除了这个以外
[377.20-381.20] 部分最大部分是来自于我太阳
[381.20-382.16] 泵太阳能电池
[382.32-384.76] 这个部分的这个融资借股
[384.76-387.28] 那另外在业外的部分
[387.28-393.60] 我们有一个就是我持有适合证券
[393.60-395.76] 还有持有这个下都
[395.76-400.24] 下都的这个股票
[400.24-402.00] 大概这两家公司的股票
[402.00-404.96] 那这个部分在第一季的话
[404.96-411.24] 因为评价评价的这个部分有稍微亏了大概1000多万
[411.24-412.24] 那整个
[412.32-418.72] 我的税前的经历来讲的话还是算是
[418.72-422.68] 但是正数这个是有大概
[422.68-426.40] 获利大概836万
[426.40-430.00] 大概836万
[430.00-432.92] 那各位在看到我们这个
[432.92-435.48] 和平的资产负债表的部分
[435.48-437.92] 也差不多
[437.92-442.16] 是整个我的流动负债跟流动资产的部分
[442.16-445.24] 是差不多了
[445.24-446.00] 变化不大
[446.00-446.92] 变化不大
[446.92-452.68] 那这个占总资产的百分比也差不多
[452.68-454.96] 如果跟去年同期来讲的话
[454.96-458.80] 那流动负债的部分
[458.80-463.92] 流动负债的部分跟非流动的负债的部分
[463.92-467.76] 流动的部分是稍微多了一点
[467.76-470.32] 流动负债是稍微多了一点
[470.32-472.12] 这个最主要是
[472.16-476.92] 我的这个购料的这个收转金的增加了
[476.92-478.56] 购料收转金增加
[478.56-481.64] 那非流动负债的部分
[481.64-484.44] 是来自于我这个
[484.44-488.44] 刚刚跟各位报告我太阳能电厂的部分的融资
[488.44-492.12] 的这个所谓的长期借款的增加
[492.12-497.00] 那整个来讲就是刚刚在负债的
[497.00-499.40] 流动负债跟非流动负债都增加
[499.40-501.08] 所以这个整个我的负债的金额也增加了
[501.08-502.12] 所以这个整个我的负债的金额也增加了
[502.16-504.88] 就比去年多了一点
[504.88-508.56] 所以整个负债比也多了一点
[512.40-516.52] 那再来跟各位报告一下我们这个
[516.52-521.36] 在就电机事业这一块的这个
[521.36-523.40] 未来的发展跟策略
[523.40-525.20] 那一样我们就是
[525.20-530.32] 加速来取得我们新彩贵的产品的认证
[530.32-532.12] 比如说因为台电
[532.16-534.20] 做台电的生意就是说
[534.20-536.04] 你的产品要认证
[536.04-540.16] 然后你的这个所谓制造的这个
[540.16-545.04] 能力包括刚刚之前我提到的就是说这个场域
[545.04-546.68] 他比如说我
[546.68-550.12] 杨梅厂要认证
[550.12-554.96] 那相对的我在台南厂我也需要做认证
[554.96-559.80] 所以这个部分就是我们会分两个厂
[559.80-561.60] 我们都会在往这个部分来认证的
[561.60-562.12] 所以这个部分就是我们会分两个厂我们都会在往这个部分来认证的
[562.16-562.68] 所以这个部分就是我们会分两个厂我们都会在往这个部分来认证的
[562.68-572.72] 那第二个就是提升我们这个制造的产能跟品质
[572.72-577.52] 那因为你产品认证了以后
[577.52-588.28] 那你拿到标案就要有这个产能来供应台电的这个所需
[588.28-591.60] 那当然在品质上面也是要
[591.60-595.32] 把它做好
[595.32-598.88] 因为有一些新的彩绘可能在刚开始初期的时候
[598.88-603.64] 你的这个所谓品质来讲换句话就是量率的
[603.64-606.44] 像我们在做变压器的时候
