[0.00-8.00] 大家好,今天是2025年6月12日
[8.00-12.00] 居田機械股份影線公司訪人說明會
[12.00-16.00] 股票代碼1539,我是代理發言人莊特竹
[16.00-20.00] 那我們今天就要進行我們的訪人說明會
[20.00-27.00] 首先呢,簡書公司的簡介還有長篇
[27.00-30.00] 公司成立於民國70年8月
[30.00-33.00] 民國90年2月上會
[33.00-37.00] 並在隔年91年10月轉上市
[37.00-41.00] 製造的產品為木工機器的品牌代工
[41.00-46.00] 服務的項目有委託製造以及委託設計製造
[46.00-50.00] 主要出口的市場是北美以及歐洲
[50.00-56.00] 那公司木工機械的產品有自動跑木機
[56.00-61.00] 手動跑木機、圓鋸機、單地走機
[61.00-65.00] 擺盪開放式沙袋機還有沙冰機
[65.00-69.00] 以及其他的機台還有設備
[69.00-75.00] 那今年的新產品有桌上型的自動跑木機
[75.00-79.00] 還有擺盪開放式沙袋機以及沙冰機
[79.00-83.00] 那木工機的運用是
[83.00-85.00] 一般的工具的設計
[85.00-88.00] 那木工機的運用的區塊很廣泛
[88.00-97.00] 主要是可以用在建築、居家補償、家具、搬收、文創還有業餘的木工
[97.00-105.00] 那聚庭的長期合作客戶涵蓋數十幾個品牌
[105.00-108.00] 大部分的客人都是在北美地區
[108.00-111.00] 那在木工機市場的產品多樣化之下
[111.00-114.00] 每位客人的產品都是彼此的競爭的
[115.00-118.00] 在客戶與客戶之間的設計內容
[118.00-124.00] 公司秉持對客人的設計保密以取得客人的信任
[124.00-135.00] 那我們現在來看2022年到2025年Q1營收一產品也來看
[135.00-143.00] 2025年的第一季營收相較2024年的佔比有微乎的變動
[143.00-144.00] 自動跑木機的設計內容是非常明顯的
[145.00-150.00] 自動跑木機的佔比還是居高來到47%
[150.00-154.00] 再來是原聚機23%
[154.00-157.00] 手動跑木機9%
[157.00-162.00] 其他的產品還有配件21%
[162.00-170.00] 2024年產品營收原來是以自動跑木機居高40%
[170.00-174.00] 佔比從2023年減少8%
[175.00-179.00] 2024年原聚機佔比30%
[179.00-189.00] 手動跑木機佔比與2023年的佔比持平來到11%
[189.00-199.00] 2024年的其他產品19%相較2023年成長3%來到19%
[199.00-200.00] 2022年到2025年成長3%來到19%
[200.00-201.00] 2022年到2025年成長3%來到19%
[201.00-202.00] 2022年到2025年成長3%來到19%
[202.00-203.00] 2022年到2025年成長3%來到19%
[203.00-204.00] 2022年到2025年成長3%來到19%
[204.00-208.08] 2025年秋運宵阻值優勢
[208.08-230.16] 90%佔比以中茂區
[230.16-232.00] 奉寧紹表示明他的財產品目前均疊失功
[232.00-233.00] 2024年再臨增贊了salt id
[233.00-234.00] 2024年佔比以度高 oblivious依靠在hai
[234.00-238.22] 歐洲地區佔5.07%
[238.22-242.96] 其他地區則佔6.18%
[248.08-252.18] 2023年與2024年的水利比較
[252.18-258.58] 2024年的營業收入13億3800萬元
[258.58-264.26] 同期2023年15億3300萬元
[264.26-267.56] 減少1億9400萬元
[267.56-270.76] 等同減少12.69%
[270.76-277.02] 2024年的營業毛利共1億5700萬元
[277.02-281.48] 相較2023年的1億7200萬元
[281.48-284.28] 減少1500萬元
[284.28-288.26] 減少8.85%
[288.26-291.34] 毛利的金額減少的原因是
[291.34-294.40] 因為營業的收入減少而導致的
[294.40-298.24] 那以毛利率來看
[298.24-303.88] 2024年度的毛利率11.76%
[303.88-308.22] 相較2023年11.27%
[308.22-311.04] 升高約0.49%
[311.04-317.70] 由於營收的金額減少1億9400萬元
[317.70-318.22] 2023年度的毛利率11.76%
[318.22-325.38] 2024年的營業費用相較2023年增加了770萬元
[325.38-328.46] 但是產能未能有效的產出
[328.46-334.86] 所以費用的比率由2023年的6.05%
[334.86-341.00] 增加到2024年的7.50%
[341.00-343.30] 在營業經歷方面
[343.30-347.14] 2024年的營業經歷5700萬元
[348.22-353.34] 與2023年的營業經歷8000萬元相較
[353.34-356.42] 減少了2300萬元
[356.42-360.26] 等同減少28.77%
[360.26-366.14] 營業經歷率由2023年的5.22%
[366.14-370.50] 微幅減少到2024年的4.26%
[370.50-377.66] 主要是因為毛利的減少還有費用770萬的增加而導致
[378.22-380.02] 增加了2023年的營業優勢
[380.02-381.54] 本期經歷是9200萬元
[381.54-385.14] 相較2023年的本期經歷6300萬元
[385.14-388.46] 增加2900萬元
[388.46-391.78] 增加46.38%
[391.78-394.60] 增加的主要原因是
[394.60-398.70] 2024年的營業外收入的部分
[398.70-401.78] 較2023年增加5000萬元
[401.78-403.56] 增加的主要原因是
[403.56-405.86] 2024年的營業外收入的部分
[405.86-408.18] 較2023年增加5000萬元
[408.22-409.24] 增加 그건億 centimetres
[409.24-410.74] 從2024的 aproximadamente
[410.74-413.08] 也將是超過90個 %的營 agreement
[413.08-414.68] 順SD 到2022將是
[414.68-416.08] tough times
[417.18-418.98] 好 лет speaking
[418.98-420.00] 我們回нал
[420.00-420.76] 說明 Algun men
[420.76-422.04] let me to sell
[422.04-422.96] 而不是說
[422.96-426.40] 私人 relieve
[426.40-427.48] α سے
[427.48-428.46] 您先把
[428.46-429.92] 收入平台
[429.92-436.96] 的
[436.96-437.78] Vielen
[437.78-438.18] 操兩
[438.18-447.18] 2024年相較,在2024年自動投目機的營收減少了1億9千7百萬元
[447.18-451.18] 圓聚機增加1千5百萬元
[451.18-456.18] 手動投目機減少1千9百萬元
[456.18-460.18] 其他的產品增加750萬元
[460.18-467.18] 總共合計2024年的營收共計減少約1億9千4百萬元
[467.18-475.18] 營收減少的主要原因是市場需求低,還有全球大半屆經濟低盈與不景氣
[475.18-483.18] 2024年與2023年營業外收支的比較
[483.18-492.18] 2024年的利息收入比2023年減少130萬元
[492.18-495.18] 2024年的外幣兌換利益
[495.18-497.18] 增加4千6百萬元
[497.18-503.18] 財務成本減少2百5十萬元
[503.18-507.18] 其他的收支約增加3百萬元
[507.18-514.18] 因此,2024年相較,2023年的營業外收支增加5千1百萬元
[514.18-523.18] 外幣兌換利益增加主要是2024年新台幣兌換元
[523.18-525.18] 會與由年初的30.075元貶值到2024年新台幣兌換元的分別
[525.18-535.18] 貶值到2.08元,所以產生了4千4百萬的兌換利益
[535.18-549.18] 營運風險公司上看到的有三個,就是匯率風險、原物料風險、還有市場匯值風險
[549.18-553.18] 公司的營收主要是來自出口
[553.18-555.18] 北美是主要的市場
[555.18-562.18] 北美的市場在公司的營收佔比90%,潛在的匯兌的高風險
[562.18-565.18] 2025年的Q1匯率穩定
[565.18-572.18] 5月之後匯率大幅的波動,在短短的幾天,台幣兌每米精深值
[572.18-577.18] 所以公司有特別的緊張,並且實施關注美國整個政策的變化
[577.18-581.18] 還有川普每天發布的新政策
[581.18-590.18] 並且準備好與個人來溝通,因為匯率上面的變化而受到的售價調整
[590.18-599.18] 在原物料上面,我們看到的是,我們知道疫情在2023年的時候已經結束了
[599.18-607.18] 但我們現在面臨的是川普的關稅政策問題,還有全球市場的不確定性
[607.18-611.18] 川普的政策一提出來,所以其中會有很多的問題
[611.18-614.18] 我們也想到各個國家的原物料供應
