[0.00-12.98] 各位凱基的客户大家午安
[12.98-17.72] 非常欢迎大家今天参加凯基证券第一季度的投资论坛
[17.72-20.40] 接下来我们要进行下午的议程
[20.40-24.52] 这次的会议很高兴邀请到值得科技
[24.52-28.30] 首先介绍公司今天与会的公司团队
[28.30-30.72] 许新浦总经理特助
[30.72-32.28] 特助好
[32.28-34.96] 许文浦特助
[34.96-38.58] 以及吴嘉荣会计部经理
[38.58-39.44] 经理好
[39.44-42.64] 那线上同时参与的还有李伯昌财务长
[42.64-48.60] 好那接下来的会议我们就先请许新浦特助帮我们做公司的简报
[48.60-49.24] 有请
[58.30-65.42] 大家好谢谢凯基证券的邀请还有刚刚的介绍
[65.42-69.16] 那我是许新浦在值得科技担任总经理特助
[69.16-75.64] 今天非常谢谢大家波容来参加值得科技2025年的第一场公开法说会
[75.64-78.30] 其实我还蛮惊讶我们的场地这么大
[78.30-80.68] 然后大家这么踊跃的参与
[80.68-87.20] 那因为现在其实我知道我们现在有这个工具机展正在南港做展览嘛
[87.20-88.28] 那其实这几天我们的公司的公司的公司是在南港的
[88.28-91.30] 那今天我们也接待了很多的法人朋友们
[91.30-93.66] 然后有蛮多的熟悉的面孔
[93.66-99.20] 那大家在摊上的时候可能主讲人主要是我们负责国内业务的许文浦特助
[99.20-103.18] 那所以可能大家也我不知道他是不是会以为今天主讲人是他
[103.18-103.96] 所以才来的
[103.96-107.14] 但是我希望我也可以做一个比较好的简介
[107.14-109.34] 那等一下在QA的部分的时候
[109.34-111.16] 当然我们财务长也在线上
[111.16-115.54] 所以可能很多比较不说财报的部分其实因为也已经公开了
[115.54-118.14] 那我相信其实可能大家也有蛮多的资讯
[118.14-118.26] 那我相信其实可能大家也有蛮多的资讯
[118.26-123.98] 那今天其实我这个部分的话会蛮多的着重在我们其实非常以技术为本嘛
[123.98-126.28] 所以会很多着重在技术上面啊
[126.28-127.08] 产品上面
[127.08-129.66] 那也希望可以等一下跟大家多做交流
[129.66-130.42] 谢谢大家
[130.42-136.60] 好那我因为我们其实去年的法说会是在12月半的
[136.60-140.02] 所以当然在产品别上或者是产品的突破
[140.02-146.32] 可能如果是去年有过来关注的朋友们可能会觉得有点相似
[146.32-148.12] 那我想这个也是蛮能理解的
[148.12-150.12] 那我希望大家可以去到这个地方
[150.12-152.12] 因为其实我们在这个地方有很多的事情
[152.12-154.12] 因为其实才过没有很久
[154.12-160.12] 但是今天在最后的时候我有尽量的让大家让这个简报比较不一样
[160.12-162.12] 然后准备了一个比较小小的惊喜
[162.12-164.12] 也是大家最近很热门的话题
[164.12-168.12] 所以希望大家就是希望不会让大家失望这样
[168.12-172.12] 那从第一张大家可以先看到我们的产品线
[172.12-173.12] 几大产品线
[173.12-176.12] 那在产品线的部分的话我会在最后在
[176.12-177.98] 因为我们今天分成三大部分等一下会先
[177.98-179.98] 我们会先介绍一下我们的产品线
[179.98-181.98] 我们有很多新的朋友嘛
[181.98-183.98] 所以让大家介绍一下公司的
[183.98-185.98] 从成立以来到目前的状况几个重大的里程碑
[185.98-187.98] 然后公司目前的概况
[187.98-191.98] 然后第二部分我们就会到比较仔细的到产品的部分
[191.98-195.98] 然后最后再让大家看一下这个比较重要的几个财务数字
[195.98-197.98] 但就像我刚刚提到的
[197.98-199.98] 我相信其实在网路上大家已经都有看到了
[199.98-200.98] 好
[200.98-202.98] 那我们就接进入今天的主题
[202.98-204.98] 让大家知道一下我们共同的创办人
[204.98-206.98] 也就是陈立芬陈董事长以及许明哲许明哲
[206.98-208.98] 许总经理
[208.98-213.98] 那两位创办人在1980年代的时候都是在德国读书
[213.98-215.98] 还有工作
[215.98-219.98] 那个是在那个年代里面比较特别一点点的经历
[219.98-221.98] 因为当时其实比较多的
[221.98-226.98] 可能比较多的人都选择在英语系国家就是求学啊或者是工作
[226.98-232.98] 那其实那个时候我相信德国这个很严谨的工作的态度啊
[232.98-234.98] 还有对于工业技术的这些坚持
[234.98-236.98] 其实在后期
[236.98-242.98] 对于我们值得来说也奠定了非常大的文化企业文化的这个基础
[242.98-245.98] 还有我们产品上面的设计理念等等的
[245.98-253.98] 那这张让大家看一下我们在成立以来以后的几个重大的里程碑
[253.98-260.98] 我们成立于刚刚提到的我们两个共同的创办人成立于1998年
[260.98-265.98] 然后我们在其实在中间大家可以看到我们说在产品线上面的
[265.98-270.98] 扩张当然我们公司也在几个我们觉得非常重要的
[270.98-273.98] 市场区域做了投资
[273.98-275.98] 然后成立了子公司
[275.98-277.98] 所以在版图上面也做了扩张
[277.98-282.98] 那当然对于公司来说很重要的时间点还有2012年
[282.98-285.98] 在那一年我们就是正式的上柜
[285.98-288.98] 然后还有2020年的柜转世
[288.98-293.98] 那就是在2020年值得科技也正式成为在台湾的上市公司
[293.98-297.98] 那这边我们特别的标出了2018年这个年份
[297.98-304.98] 是因为在2018年开始值得投入了非常大量的这个研发的量能
[304.98-308.98] 在这个智慧制造的不论是硬体或者软体的开发
[308.98-314.98] 那其实我们一直以来从成立以来就一直都致力于在高端应用的运动系统
[314.98-318.98] 以及零组件的开发以及制造
[318.98-323.98] 那后续就是我们新开发几个时间点就是我们推出我们的新的新开发计划
[323.98-326.98] 就是我们新的产品线的部分
[326.98-331.98] 那其实大家知道说现在提到这个
[331.98-333.98] 我们先看一下公司的架构
[333.98-335.98] 但其实公司的架构非常的单纯
[335.98-340.98] 就是我们所有的子公司其实都是有总公司100%控股的
[340.98-349.98] 那大家知道说其实在提到这个CPC的全球的布局的时候
[349.98-352.98] 大家知道我们是在南科我们总部位于在南科
[352.98-362.98] 然后所有的主制程主要都还是线轨的主制程都是在总公司完成
[362.98-365.98] 那刚刚在一开始有提到李承辈的时候有提到说
[365.98-368.98] 我公司在我们觉得很重要的几个区块
[368.98-372.98] 亚洲啊欧洲啊美洲都设有子公司
[372.98-374.98] 那当然除了我们自己的子公司以外
[374.98-380.98] 我们也有很多很长期一起很紧密的工作的经销商代理商
[380.98-382.98] 让我们可以一起推广值得的
[382.98-384.98] 产品到世界各地
[384.98-389.98] 然后当然也是很重要的就是要提供在地的客户非常及时的
[389.98-397.98] 比如说技术上面的的支援啊或者是贝库等等的
[397.98-401.98] 那给大家看几张我们在总公司的的照片哦
[401.98-406.98] 那在总公司的部分的话我们是位于在台湾台南科学园区
[406.98-410.98] 然后刚刚提到的这个所有的线轨的主要制程的基本上都还在台湾的科学园区
[410.98-411.98] 然后刚刚提到的这个所有的线轨的主要制程的基本上都还在台湾的科学园区
[412.98-416.98] 还是在我们的场区里面在台南南科的这个总公司场完成
[416.98-417.98] 还是在我们的场区里面在台南南科的这个总公司场完成
[417.98-424.98] 还是在我们的场区里面在台南南科的这个总公司场完成
[424.98-431.98] 然后接下来我相信其实如果有在关注值得的法人朋友们
[431.98-436.98] 可能对于我们在新厂的扩张这一块并不陌生这个主题哦
[436.98-440.98] 那硕骨我们的新厂一厂二厂都是在硕骨园区
[440.98-447.98] 硕骨园区其实就在南科就是临接着南科的一个很大的园区
[447.98-452.98] 那那里呢我们的一厂的部分其实两厂都已经建制的差不多了
[452.98-455.98] 那一厂的部分也已经开始启用
[455.98-462.98] 那一厂主要因为我刚刚有提到说我们的这个产品线有不同的产品线嘛
[462.98-466.98] 那刚刚说在重大里程碑的时候有提到说我们从先行滑轨
[466.98-468.98] 大家比较熟知从先行滑轨起家
[468.98-470.98] 那在中央的这个产品线有不同的产品线嘛
[470.98-472.98] 在中央的这个产品线有不同的产品线
[472.98-474.98] 那这两大产品线也都是我们会讨论的
[474.98-476.98] 那在中央的这个产品线也有不同的产品线
[476.98-477.98] 我们当然也开发了其他的产品像是先行马达啊
[477.98-478.98] 我们当然也开发了其他的产品像是先行马达啊
[478.98-480.98] 然后我们有往上位做发展驱动器控制器等等的
[480.98-482.98] 有一种文化活动的产品的 drawback
[482.98-484.98] 那在大概啊约末2010年的时候
[484.98-486.98] 我们也开始做整合
[486.98-492.98] 就是把我们这些所有的机械产品机电产品一起做整合
[492.98-493.98] 把它模组化
[493.98-495.98] 所以我们在那个时候也正式的
[495.98-498.14] 成为次系统的供应商
[498.14-501.20] 所以大部分的限码的模组的组装
[501.20-503.40] 我们就都在数股一起完成
[503.40-506.04] 那在数股二厂的话呢
[506.04-509.16] 其实我上一次在法说也有提到
[509.16-510.90] 就是这个厂我们有一个
[510.90-513.10] 不是只是可能大家一般过厂
[513.10-517.46] 想要主体想要提升产能这件事情而已
[517.46-519.78] 我们除了提升提高我们的产能
[519.78-521.92] 我们还想要做的一件事情
[521.92-523.94] 就是我们想要在这里
[523.94-530.46] 呈现一个自动化智慧化的产线
[530.46-531.50] 所以这边呢
[531.50-534.14] 我们想要结合所有我们自有的产品
[534.14-536.72] 我们自己的刚刚提到的这个
[536.72-538.90] 机械的零组件
[538.90-542.22] 然后还有我们其他产品线的部分
[542.22-544.12] 我们也会利用我们的
[544.12-545.82] 刚刚讲到的机械手臂啊
[545.82-547.70] 还有我们可能刚刚
[547.70-550.54] 等一下会再提到的这个软体PLC的部分
[550.54-551.96] 来做结合
[551.96-553.92] 所以这里面的整体的
[553.94-557.46] 设备我们也会做自行的开发
[557.46-560.14] 那其实里面的设备我们现在也已经
[560.14-561.00] 跟大家报告一下
[561.00-564.50] 也已经在前两台的测试当中
[564.50-566.80] 所以其实进度一直都蛮好的
[566.80-568.74] 那当然其他的设备的话
[568.74-571.70] 也陆续都在建制当中
[571.70-582.08] 这个就是刚刚提到的
[582.08-583.22] 我们希望在
[583.22-583.50] 呃
[583.94-588.10] 二厂比较特别的地方就是这边的自动化的部分
[588.10-591.34] 我们希望可以在设备自动化制程等等的
[591.34-593.10] 都利用我们自己的
[593.10-594.94] 当然因为像软体PLC的部分
[594.94-598.94] 其实我们也已经陆续的在自己现在的场内在做测试
[598.94-600.50] 然后结果都非常的好
[600.50-604.44] 所以也会把它运用在我们的新厂上面
[604.44-607.94] 那所以从设备上面的自动化一直到
[607.94-610.76] 这个智慧管理就是工厂管理的智慧化
[610.76-613.78] 我们都希望可以透过我们自己的产品来实现
[613.78-617.40] 那再提到一下
[617.40-620.26] 带到一下我们刚刚讲到的几个子公司
[620.26-623.86] 我们在美国的子公司是在呃
[623.86-624.90] 就是California
[624.90-626.02] Ontario那边
[626.02-630.82] 然后在中国的话是在昆山
[630.82-634.52] 欧洲的话
[634.52-637.18] 我们当然还是选择在这个工业的重镇
[637.18-638.66] 老在德国的部分
[638.66-640.22] 那德国在非常南边
[640.22-642.90] 所以因为他也跟其他的国家很邻近
[642.90-643.52] 所以在
[643.52-645.70] 交通上面是一个非常便利的位置
[645.70-648.08] 一个叫做Goldmaringen的城市
[648.08-651.48] 那上次或是之前其实也已经有提到我们
[651.48-653.62] 因为呃空间的关系
[653.62-658.36] 所以在德国也或在欧洲也要准备做一个新的投资
[658.36-663.32] 那已经在新的厂区大概有离我们现在厂区20分钟
[663.32-666.52] 然后在那里已经购置了我们新的地
[666.52-669.12] 然后也已经在跟承包商啊
[669.12-672.80] 建商等等在谈接下来的
[672.80-674.36] 破产的部分
[674.36-677.32] 那因为其实大家都知道说欧洲
[677.32-679.90] 近几年来当然因为战争的关系啊
[679.90-680.22] 等等
[680.22-682.26] 所以经济就不是那么的稳当
[682.26-686.12] 所以我想我们都会选择在我们在评估的时候
[686.12-689.60] 一定会选择对我们最好的最有利的时程
[689.60-692.42] 来下去做这个新厂的建制
[695.08-696.74] 那这些
[697.76-700.00] 我们在这些子公司
[700.00-702.64] 当然真的就是可以让跟我们
[702.80-707.98] 其他的伙伴一起提供我们呃在地的客户啊
[707.98-709.28] 最及时的服务
[709.28-712.46] 那当然还有他当然还是以被库为主
[712.46-714.76] 然后会有一些末段加工的部分
[719.04-722.90] 那在这里给大家看一下的原因是因为其实参加展会
[722.90-728.30] 一直是值得科技非常重要的一个行销的平台
[728.30-731.86] 那当然不只是行销上面也是我们新技术交流上面
[731.86-732.76] 一个很重要的
[732.80-735.36] 对于我们来说很重要的平台
[735.36-738.22] 那我们也因为我们的新产品的关系
[738.22-742.42] 所以尝试了很多不一样的
[742.42-746.80] 从以前到现在不大一样的一些新的主题的
[746.80-747.68] 展会啊
[747.68-752.12] 然后也跟我们除了我们自己总公司去参加子公司去参加
[752.12-755.40] 也有很多的我们跟代理商一起来合作
[755.40-757.58] 因为我想其实现在大家应该有听说
[757.58-759.16] 其实展会的部分
[759.16-761.86] 我想人潮也已经满恢复的
[761.86-762.60] 所以我想
[762.60-765.56] 接下来我们也会继续往这个方向做发展
[765.56-772.00] 把这个全世界各地不同主题的展会也当作是一个很重要的行销平台
[772.00-774.44] 那现在当然刚刚有提到的
[774.44-776.42] 我们现在也正在展出中
[776.42-777.60] 在Timtoos
[777.60-782.22] 我们的部是Q0824在二馆那边
[782.22-783.84] 那我知道应该也有在座
[783.84-786.34] 蛮多人也有去过我们的展摊的
[786.34-790.32] 那如果还还没有去过的法人朋友也欢迎
[790.32-792.48] 因为明天后天也都还有那边
[792.48-794.98] 当然有很多我们实际的展品在那边
[794.98-797.72] 或实际的这个不是只是展品
[797.72-799.84] 而是我们的产品在那边
[799.84-804.32] 然后也可以给大家更直接直观的应用上面的解说
[804.32-808.96] 所以如果有兴趣的话都可以透过明天后天再到我们的摊上来再来看看
[814.96-817.92] 好那这边在第二部分
[817.92-820.52] 我们再回到一下我们的产品的部分
[820.52-822.48] 那其实现在还是很多
[822.48-826.32] 很多的朋友们不只是法人朋友们
[826.32-828.76] 或者是在产业上面的朋友们
[828.76-830.92] 只要听到值得科技CPC
[830.92-834.24] 就是还是会很大的想到微型的线性滑轨
[834.24-838.50] 那当然我们以非常这个独特的设计
[838.50-839.88] 还有我们制程的knowhow
[839.88-843.96] 我们现在也是全球前三大的微轨供应商
[843.96-847.62] 那但是我们我们当然不是只有微型线性滑轨
[847.62-849.84] 我们的研发团队以这个为基础
[849.84-852.06] 其实我们现在已经拓展到
[852.06-854.54] 当然是全系列的线性滑轨我们都有
[854.54-857.58] 那所以我们现在尺寸是从size2
[857.58-861.50] 这是目前市面上能够量产的最小规格
[861.50-863.34] 因为我们所谓的量产跟你能够制造
[863.34-864.74] 这是很不一样的事情
[864.74-868.14] 你当然可以一直在把线性滑轨再往下做
[868.14-871.90] 可是你做一只两只一个月跟你可以做到几千只
[871.90-873.12] 那是很不一样的事情
[873.12-875.62] 然后因为我们在微小化这件事情上面
[875.62-878.42] 不是只是单纯的把设计微小
[878.42-879.96] 我们也有想到制程的部分
[879.96-881.58] 我们让他变得很
[882.06-883.60] 就是比较特殊的制程
[883.60-885.32] 然后让他简单化
[885.32-888.98] 所以在这个量产上面就有很大的优势
[888.98-893.04] 那所以我们现在从两mm一直到size55
[893.04-896.16] 也就是滑轨款55的55mm的部分
[896.16-898.04] 我们都有那滚珠式
[898.04-899.96] 滚子式滚子式的话
[899.96-907.58] 就是在比较需要高刚性的需求下会运用到的这个线性滑轨
[907.58-909.36] 那我们也都有
[909.36-911.90] 然后后期刚刚提到说我们在
[912.06-913.56] 线性滑轨之后呢
[913.56-916.68] 我们就往机电的零组件开始做发展
[916.68-919.78] 然后发展出了这个线性马达
[919.78-924.94] 就是有铁芯式的无铁芯式的还有旋转型的力矩马达
[924.94-930.02] 然后刚刚也提到的我们往上位做控制控制器驱动器做发展
[930.02-931.08] 然后还有编码器
[931.08-932.54] 然后一直到次系统的部分
[932.54-934.04] 我把它做整合
[934.04-934.94] 那这一块呢
[934.94-938.94] 我们都把它分别在cpc cells里面
[938.94-939.96] 其实之前没有特别的做很大的产品了
[939.96-940.04] 其实之前没有特别的做很大的产品了
[940.04-942.04] 其实之前没有特别的做很大的产品了
[942.06-944.16] 我们有做一些产品别的区分
[944.16-946.08] 但是因为后期推出这两个产品
[946.08-950.16] 其实跟前面的产品真的是性质属性太不一样了
[950.16-953.68] 所以我们就把它现在我们就是分成三大的产品线
[953.68-956.88] 那刚刚提到的都是cpc cells的部分
[956.88-962.64] 那cpc我们cpc robot就是我们的微型六轴机械手臂
[962.64-968.52] 那我们同时推出了协作型以及工业型S0跟DB0的部分
[968.52-969.12] 那这两个
[970.38-971.56] 机械手臂都是
[971.56-972.04] 目前是
[972.04-974.66] 市面上最小规格的机械手臂
[975.88-978.44] 然后cpc studio
[978.44-981.70] 则是我们纯软体的一个产品软体PLC
[985.84-989.44] 那其实我们的软体PLC就是我刚刚有提到说
[989.44-993.64] 这个是我们希望能够拿来拿来当做我们
[995.02-998.98] 可以做到全场控制自动化智慧化的部分
[998.98-1001.54] 非常重要一个非常非常重要的关键产品
[1001.54-1012.30] 那这个产品扩缩了交叉棍子
[1012.30-1014.66] 就是其实大家知道说这近一两年
[1014.66-1016.58] 或者是近两三年了
[1016.58-1019.66] 其实我们非常大力的在推广我们的新产品
[1019.66-1022.42] 我们的cpc robot还有我们的cpc studio
[1022.42-1026.62] 可是这不代表说我们在我们的cpc cell上面都没有在精进
[1026.62-1029.38] 其实我们对于现在即使是非常成熟的产品线线性滑轨的部分
[1029.38-1030.46] 我们也还在推广我们的cpc studio的产品线性滑轨的部分
[1030.46-1030.66] 我们也还在推广我们的cpc studio的产品线性滑轨的部分
[1030.66-1031.18] 我们也还在推广我们的cpc studio的产品线性滑轨的部分
[1031.18-1034.14] 我们也还是一直都有在聆听我们可能客户上面的需求
[1034.14-1037.46] 尤其像这次的Tintos很多的工具机的客户
[1037.46-1041.86] 他们在实际运用上面有没有什么不一样的需求
[1041.86-1044.06] 或者是我们应该要再做改善的部分
[1044.06-1046.98] 那像是这一次在Tintos应该大家也有看到
[1046.98-1050.26] 我们一直很大力的推的就是那个金属护盖
[1050.26-1054.82] 它对于我们有一些很需要防尘需求的工具机客户
[1054.82-1057.06] 是非常重要的一个关键
[1057.06-1060.96] 那除了在这些既定的这个产品线上面
[1060.96-1061.16] 那除了在这些既定的这个产品线上面
[1061.16-1064.48] 我们也一直在去聆听客户的需求去做及时的改变
[1064.48-1066.58] 或是增加一些周边商品之外
[1066.58-1069.88] 我们也有推出新的产品
[1069.88-1074.26] 但是交叉轨子其实也是因为在美国的客户的需求之下
[1074.26-1077.50] 他们也一直希望我们推他们有这样应用的需求
[1077.50-1081.64] 然后我们跟他在研发上面谈了很多细节以后呢
[1081.64-1085.42] 也就推出了交叉轨子这个产品
[1085.42-1086.88] 那交叉轨子呢
[1086.88-1088.12] 它其实是一个
[1088.12-1090.94] 它也跟线性滑轨一样是传动型的原子轨
[1090.94-1096.06] 但是它的行程比较短
[1096.06-1099.54] 就是如果你的行程是很短的
[1099.54-1103.58] 可是你又有比较高的这个承载的需求
[1103.58-1108.00] 或者是你要很高的运行精度
