[0.00-6.20] 各位好,我們今天是本年度的第一場法說會
[6.20-10.48] 那今天4月18號法說會
[10.48-15.50] 那我們今天的主題主要是在說明
[15.50-20.74] 就是去年2024年的公司整年度的營運狀況
[20.74-25.00] 那我們這個免責聲明就是請大家看一下
[25.00-29.46] 那基本上就是我們就是基於一些財報資訊
[29.46-35.36] 然後還有公司的目前的營運狀況的一些說明
[35.36-41.52] 那所以就是沒有明示或暗示就是任何預測性的資料
[41.52-46.22] 那就是說後續的部分
[46.22-50.14] 我們就是在看我們之後的第一季的財報的狀況
[50.14-55.26] 好,那一樣是公司的基本的簡介
[55.26-58.38] 那我們公司的股票代碼是1618
[58.38-59.44] 持收資本
[59.44-61.44] 而19.27億
[61.44-64.80] 我們去年底的人工人數的話是217人
[64.80-70.20] 我們主要的生產據點是桃園的觀音工業區
[70.20-73.62] 好,那這也是我們最主要的產品
[73.62-75.06] 交聯PE電纜
[75.06-77.16] 那交聯PE電纜的話就是
[77.16-81.08] 最主要就是在高壓電力電纜的部分
[81.08-85.30] 還有69KV以上的超高壓的電力電纜
[85.30-87.50] 那另外我們還有就是超高壓電力電纜的接續電纜的部分
[87.50-89.44] 那另外我們還有就是超高壓電力電纜的接續電纜的部分
[89.44-92.24] 這邊就是微軟 whereas it is very small
[92.24-93.84] 要長時間的進行遞渠
[93.84-95.34] 所以我們沒有在浪費ordable
[95.34-96.52] 沒有走不動兩 백克 KV
[96.52-96.68] 是特殊的,謝謝
[96.68-96.98] 不減吉利
[96.98-98.12] 因為這就是我們準備的
[98.12-99.16] 我們裡面還有那種
[99.16-99.96] 累積流程的� м creatures
[99.96-102.92] 它就是Government
[102.92-103.32] 它就是grain
[103.32-105.62] 就是能夠這變成一個
[105.62-106.88] 水深正裡的水 repetitly
[106.88-107.48] internationally
[107.48-109.16] 我們還有很多裡面是它 anything
[109.16-110.00] 就是過程的東西
[110.00-111.08] 它就是綠化的
[111.08-119.04] 它就是一個
[119.44-124.44] 耐熱鋼線鋁線或者是耐熱鋁包鋼線鋁線鋁紮線鋁紮帶這一些
[124.44-126.44] 那另外我們還有就是屬於
[126.44-131.44] 像電信商所使用的電訊的通信電纜
[131.44-134.44] 那就是光纜就是大家一般熟知的
[134.44-139.44] 像中華電信的網路這種光纜的電纜
