[0.00-2.60] 好OK 各位投資見面大家午安
[2.60-5.50] 我想先請到現行委員大臣這邊
[5.50-9.40] 邀請到我們中聯化者這邊的發言人
[9.40-12.40] 來跟大家說一下公司進行的一個說明
[12.40-14.70] 我們市場線上會議的話
[14.70-18.20] 邀請到我們的發言人就是余選協力
[18.20-20.60] 以及財務部的蔣中偉協力
[20.60-23.20] 蔣協力他也是代理發言人
[23.20-27.20] 我想接下來的話就是把時間交給我們
[27.20-30.00] 發言人這邊跟各位投資進行交流
[30.00-33.00] 那介紹公司進行之後
[33.00-34.50] 會有一首紀錄的一集專欄
[34.50-36.20] 那再請大家提出問題
[36.20-37.20] 謝謝
[37.20-38.70] 那再麻煩協力 謝謝
[38.70-40.70] 好的
[40.70-42.90] 各位證券投信投顧
[42.90-46.70] 還有投資法人的各位分析師
[46.70-47.70] 大家好
[47.70-52.50] 歡迎各位參加我們第一季
[52.50-55.20] 東聯化學的法人說明會
[55.20-57.20] 那
[57.20-69.20] 我想先
[69.20-71.20] 這個不會動
[71.20-72.70] 卡住了
[72.70-73.20] 不好意思
[73.20-76.20] 我們的那個PPT有一點卡住
[76.20-82.20] 那我們必用30秒的時間來把它修復一下
[87.20-99.20] 請問現在可以看得到畫面嗎
[99.20-101.20] 目前沒有
[101.20-103.20] 好難受等一下
[103.20-106.20] 現在可以看到畫面嗎
[106.20-108.20] 目前沒有
[108.20-110.20] 好難受等一下
[110.20-112.20] 現在可以看到畫面嗎
[112.20-114.20] 現在可以看到畫面嗎
[114.20-116.20] 現在可以看到畫面嗎
[116.20-117.20] ましょう
[117.20-122.20] audi
[122.20-123.20] 好眼癢
[123.20-125.88] 好眼癢
[125.88-126.20] 好的
[126.20-127.20] 好好看
[127.20-128.20] 好匿名
[128.20-129.20] Thank you
[129.20-130.20] Oh
[130.20-131.30] 李
[131.30-132.20] 到
[132.20-133.70] 我們
[133.70-134.90] 精神
[134.90-135.70] 到
[135.70-136.30] 我們
[136.30-136.70] 到
[136.70-137.24] 我們
[138.24-139.70] 推打
[139.70-140.20] 我們
[140.20-141.10] 推打
[141.10-141.60] 哦
[141.60-142.20] 哦
[142.20-143.70] 噢
[143.70-144.20] 噢
[144.20-144.70] 噢
[144.70-145.20] 噢
[145.20-145.70] 我知道
[145.70-146.20] ★
[146.20-149.20] 第二頁 秉澤生理
[153.20-156.20] 有 他到投資人 人交流會議
[156.20-158.20] 好的 不好意思喔
[158.20-159.20] 請報告大綱
[159.20-163.20] 好 那我們就開始今天的法人說明會
[163.20-167.20] 簡單的跟各位介紹一下公司
[167.20-172.20] 東聯化學是1975年12月成立的
[172.20-179.20] 2025年剛好是我們要迎來第50週年的慶典
[179.20-185.20] 我們會是在下半年來舉辦一系列的一個相關的活動
[185.20-188.20] 我們的資本額有88.6億
[188.20-189.20] 還不到100億
[189.20-194.20] 所以我們一些後續對上市上位公司的規範
[194.20-200.20] 我們還是在適用100億以下資本額的這樣的一個標準
[200.20-202.20] 公司主要是
[202.20-204.20] 我們要營業的這個業務
[204.20-207.20] 我就不一一的用念的
[207.20-213.20] 但是我們最早最早開始的時候是做乙二醇
[213.20-214.20] 也就是1G
[214.20-220.20] 這個是設廠的時候最大的一個產品
[220.20-223.20] 那持續了很長一段時間
[223.20-227.20] 當然我們也發現大概在十幾年前吧
[227.20-232.20] 我們就開始針對乙二醇的原料
[232.20-234.20] 就是還氧乙烷這個部分
[234.20-236.20] 我們開始做轉型
[236.20-239.20] 目前我們是以還氧乙烷衍生物
[239.20-245.20] 也就是特用化學品還有氣體這兩個產品為我們的主力
[245.20-248.20] 1G的部分仍然在生產
[248.20-253.20] 但是以台灣高雄林園廠來說的話
[253.20-257.20] 1G的比例會逐步的下降
[257.20-261.20] 我們聯合揚州廠的這個部分
[261.20-264.20] 待會我會比較詳細的介紹
[264.20-268.20] 它也是朝還氧乙烷衍生物的方向在發展
[268.20-271.20] 那最終呢我們是希望
[271.20-276.20] 先達到高雄林園廠1G的這個佔營收比
[276.20-278.20] 大概降到10%
[278.20-281.20] 這是我們三年內的一個目標
[281.20-283.20] 接下來我們看下一張
[283.20-286.20] 這是我們公司的大試劑
[286.20-288.20] 請各位做參考
[288.20-290.20] 我就不一一的這個細念
[290.20-292.20] 各位可以發現
[292.20-293.20] 我們從
[293.20-295.20] 可以找一下我們從哪一年開始
[295.20-298.20] 我們開始做這個特用化學品的
[298.20-301.20] 以高雄的來說的話
[301.20-305.20] 會是落在2002年
[305.20-309.20] 2002年高雄EA廠跟EC廠
[309.20-312.20] 這個是EA就是乙醇胺
[312.20-314.20] EC就是碳酸乙烯酯
[314.20-318.20] 這個2002年高雄廠就開始生產
[318.20-320.20] 那一直到現在我們
[320.20-323.20] 已經衍生出非常多的品項
[323.20-325.20] 是跟還氧乙烷有關的
[325.20-328.20] 那後面呢我們還會持續的
[328.20-330.20] 針對這個方向去發展
[332.20-336.20] 這是我們轉投資的簡單的一個架構圖
[336.20-339.20] 東聯化學呢轉投資並不複雜
[339.20-343.20] 有透過兩家海外公司呢去控股
[343.20-346.20] 揚州的遠東聯石化
[346.20-349.20] 佔比是55.8%
[350.20-353.20] 另外還有一個100%投資的東富投資
[353.20-356.20] 非常簡單的一個投資架構
[356.20-358.20] 那我們三大事業體呢
[358.20-364.20] 乙二醇是我們的最原始的產品
[364.20-368.20] 一直從1975年生產到現在
[368.20-370.20] 那我們在這個方面的工藝呢
[370.20-372.20] 是相當的純熟
[372.20-374.20] 那氣體事業的部分呢
[374.20-377.20] 其實我們在做乙二醇
[377.20-379.20] 或者是還氧乙烷的過程當中呢
[379.20-381.20] 我們需要的是氧氣
[381.20-384.20] 所以我們自建了空分廠
[384.20-387.20] 那它的附帶產品包括了氮氣
[387.20-390.20] 還有額外多出來的氧氣
[390.20-392.20] 還有稀有的亞氣
[392.20-397.20] 都是我們整個氣體事業的
[397.20-399.20] 這個銷售的這個產品
[399.20-403.20] 那推用化學品是相當的一個豐富的一個領域
[405.20-409.20] 這張產能的圖呢也跟各位參考
[409.20-411.20] 我用口頭報告
[411.20-416.20] 近年來我們從去年開始吧
[416.20-418.20] 有幾個項目呢
[418.20-421.20] 我們是在董事會通過之後呢
[421.20-423.20] 我們正在進行
[423.20-425.20] 其中呢包括EA
[425.20-427.20] EA就是乙醇鞍的部分
[427.20-430.20] 我們會正在做屈平井的工作
[430.20-435.20] 會從4萬噸的產能變成6萬噸
[435.20-438.20] 這個會是在今年12月的時候呢
[438.20-440.20] 來完工
[440.20-442.20] 那另外一個第二項是EB
[442.20-444.20] 乙二醇丁糜的部分
[444.20-446.20] 我們也在做屈平井的工作
[446.20-451.20] 會從8萬噸一支擴充到10萬噸
[451.20-454.20] 也是在今年年底呢來做完工
[454.20-456.20] 另外還有一個HPEO
[456.20-458.20] 沒有在這個上面
[458.20-461.20] 就是高醇度的環氧以外
[461.20-463.20] 這個部分呢是從我們
[463.20-465.20] 金六塔裡面的底層呢
[465.20-467.20] 再提煉出來
[467.20-469.20] 成高醇度的EO
[469.20-473.20] 來擴大我們這個
[473.20-476.20] 成品的這個利用率
[476.20-477.20] 這個部分呢
[477.20-480.20] 同樣的也是在今年年底會完工
[480.20-481.20] 有三個這個
[481.20-484.20] 屈平井跟增產能的這個計畫
[484.20-486.20] 我們正在進行
[486.20-488.20] 另外還有兩個儲槽的部分呢
[488.20-490.20] 跟各位報告
[490.20-492.20] 第一個是安的儲槽
[492.20-495.20] 這個我們已經建設多年了
[495.20-496.20] 在今年
[496.20-498.20] 這個個案呢
[498.20-504.20] 會是在今年的第三季完工
[504.20-506.20] 所謂安儲槽呢就是
[506.20-508.20] 目前我們跟國內採購的
[508.20-511.20] 都是在國內做採購
[511.20-514.20] 自主性比較低
[514.20-516.20] 而且價格也不盡理想
[516.20-518.20] 所以呢我們就自建安儲槽
[518.20-521.20] 然後自己從海外進口
[521.20-523.20] 可以大幅度的降低
[523.20-525.20] 可以大幅度的降低
[525.20-528.20] 我們安的這個
[528.20-530.20] 採購的成本
[533.20-534.20] 不好意思啊
[534.20-536.20] 我們現在這個現場剛好
[536.20-539.20] 這個時點是在做消防的測試
[544.20-546.20] 並沒有真的發生火警
[551.20-553.20] 好的另外還有就是值得一提的
[553.20-554.20] 就是以西的這個
[554.20-556.20] 儲槽
[556.20-559.20] 相信各位在這個新聞媒體上
[559.20-562.20] 都看過這樣的一個建設的這個新聞
[562.20-566.20] 會是在今年第二季完工
[566.20-568.20] 這個以西呢也是
[568.20-570.20] 我們主要的原料來源
[570.20-572.20] 那現在呢
[572.20-575.20] 絕大部分都是由中油管線工藝
[575.20-578.20] 那自建儲槽之後呢
[578.20-580.20] 那自主性提高
[580.20-582.20] 我們會自己進口
[582.20-586.20] 相對的也是一個成本降低的一個
[586.20-588.20] 不錯的一個建設
[592.20-594.20] 接下來的這幾頁呢
[594.20-597.20] 就是我們特用化學品
[597.20-598.20] 還有氣體的
[598.20-600.20] 還有整體產業的
[600.20-602.20] 整體產品的這個
[604.20-606.20] 配方還有應用圖
[606.20-608.20] 請各位做參考
[610.20-612.20] 接下來呢我們請
[612.20-614.20] 財務部的蔣協理
[614.20-617.20] 為大家報告我們的財務概括
[617.20-620.20] 接下來針對2024年度
[620.20-622.20] 全年度的合併財報
[622.20-624.20] 做一個簡要的說明
[624.20-627.20] 那2024年度全年度的營收是
[627.20-630.20] 237.8億元
[630.20-633.20] 相較2023年增加30億元
[633.20-636.20] 增加的幅度是14%
[636.20-639.20] 營業毛利的部分是10.9億元
[639.20-642.20] 相較2023年增加7.6億元
[642.20-645.20] 增加幅度225%
[645.20-648.20] 三大視野體的銷售占比
[648.20-650.20] 這邊可以看到
[650.20-653.20] 乙二醇的部分是63%
[653.20-655.20] 特化的部分31%
[655.20-657.20] 氣體的部分7%
[657.20-659.20] 那這邊大概要再說明一下
[659.20-663.20] 就是說這個部分乙二醇的63%
[663.20-666.20] 是兩岸合併的一個銷售占比
[666.20-668.20] 那在台灣的部分
[668.20-671.20] 乙二醇的部分大概是在30%左右
[672.20-677.20] 那大陸的部分大概是65%左右
[677.20-680.20] 那營業淨損的部分是
[680.20-682.20] 虧損0.7億元
[682.20-685.20] 那其中氣體視野獲利3.3億元
[685.20-688.20] 特化視野獲利1.8億元
[688.20-691.20] 那虧損主要還是來自於乙二醇視野
[691.20-693.20] 虧損6.2億元
[693.20-696.20] 但乙二醇的部分相較2023年度
[696.20-699.20] 乙二醇視野虧損11.6億元來看
[699.20-702.20] 已經大幅減少5.5億元的虧損
[702.20-705.20] 那虧損的情況持續改善中
[705.20-710.20] 2024年歸屬於母公司的淨利是0.2億元
[710.20-715.20] 相較2023年2.6億元減少2.4億元
[715.20-719.20] 主要是因為2023年度有出售小港區的土地
[719.20-722.20] 獲利7.4億元所致
[722.20-725.20] EPS每股0.02元
[725.20-728.20] 那本年度並沒有配發股利
[732.20-739.20] 合併的總資產是314億元
