[0.00-6.80] 新农股份有限公司法人说明会会议开始
[6.80-9.62] 各位投资先进午安
[9.62-13.00] 我是新农公司发言人于奎如
[13.00-17.48] 感谢大家参加新农公司线上法说会
[17.48-20.10] 今天在线上的团队
[20.10-23.96] 还有公司治理主管江沛山
[23.96-26.68] 会计主管赖慧娟
[26.68-30.38] 本公司完整的财务业务资讯
[30.38-34.62] 请自公开资讯观测线上查阅
[34.62-35.08] 谢谢
[35.08-40.96] 首先我们请江协理来说明简报的第一部分
[46.66-48.44] 各位投资先进午安
[48.44-52.02] 首先简要的介绍今天简报的部分
[52.02-53.62] 总共分成三个部分
[53.62-55.50] 第一个部分是介绍
[55.50-56.52] 简单介绍新农
[56.52-60.84] 第二段是报告2024年的财务资讯
[60.84-63.60] 最后我们进行QA的提问时间
[63.60-70.10] 首先简单进行简要进行
[70.10-72.02] 新农公司的介绍
[72.02-74.46] 新农成立于1955年
[74.46-77.20] 今年已迈入70周年
[77.20-81.98] 营业项目主要为植物保护产品的加工制造与分装销售
[81.98-84.66] 以及与民生相关的风康超市
[84.66-86.30] 玉美书锅产销
[86.52-87.22] 团扇
[87.22-88.38] 家庭用品
[88.38-90.18] 以及塑胶制品产销
[90.18-91.58] 还有玉瓣混凝土
[91.58-96.74] 这是新农公司公司这里评鉴的成绩
[96.74-99.74] 自2014年开始受评以来
[99.74-103.88] 三度排行在上市公司前5%的最高荣誉
[103.88-107.96] 同时也连续四年在非金融电子类股排名
[107.96-110.18] 在同类型公司的最佳集聚
[110.18-115.76] 集团整体事业是聚焦在四大领域
[115.76-116.50] 包括公司的生产业务
[116.52-117.40] 化学合成
[117.40-118.50] 生物科技
[118.50-119.70] 植物保护
[119.70-121.70] 安全食品与民生用品
[121.70-126.52] 在友善农业及食品安全是持续发展的重点方向
[126.52-130.72] 从种子到餐桌
[130.72-133.42] 就是新农集团整个核心的主轴
[133.42-135.82] 从优良品种的种子开始
[135.82-138.40] 透过友善环境的栽培管理
[138.40-140.54] 产出好品质的农作物
[140.54-144.04] 透过玉美农产运销及团扇餐食事业
[144.04-145.46] 以及风康超市
[145.46-146.50] 提供安心的食物
[146.52-148.90] 从健康食品到餐桌
[148.90-152.72] 并藉由持续推出新产品及扩充服务范畴
[152.72-155.70] 使集团的业务可以持续稳健的成长
[155.70-164.78] 目前全台约有260家的新农供应中心
[164.78-167.44] 提供农友一站式购足的服务
[167.44-169.10] 包括种子种苗
[169.10-171.08] 植物保护商品与资材
[171.08-174.20] 并由专业人员透过田间拜访观摩
[174.20-176.50] 推广属于新农自己的新农食品
[176.52-179.08] 并利用流作物栽培管理模式
[179.08-180.62] 在地服务农友
[180.62-185.22] 这些是新品上市的推广活动
[185.22-187.02] 持续与学校
[187.02-188.56] 农事所
[188.56-191.62] 农改厂等单位合作技术授权
[191.62-194.18] 试验与登记新产品
[194.18-201.10] 在此公司
[201.10-203.92] 风康超市目前有50家店
[203.92-206.48] 未来持续会在合适的地点
[206.52-210.62] 进行新增新的据点
[210.62-212.66] 风康超市以连续19年获得
[212.66-215.48] 蔬果药物残留快速检验
[215.48-217.52] 评鉴及特优的表现
[217.52-220.08] 连续19年都是获得极特优
[220.08-223.42] 严格控管商品限度及药物残留
[223.42-225.72] 同时也与台湾各县市合作
[225.72-228.28] 推广台湾农林榆木优质商品
[228.28-233.92] 提供客户最好的产品
[233.92-235.70] 在裕美生技公司
[235.70-236.48] 主要是经营
[236.48-240.32] 农产运销加工及民生消费与团散事业
[240.32-241.86] 拥有自有的农场
[241.86-243.64] 优良的器作农友
[243.64-247.24] 以及通过多项认证合格的蔬果加工厂
[247.24-250.56] 持续开发新品与客制化的商品
[250.56-255.16] 及增加合作的客户
[255.16-258.50] 在团散餐食事业主要是学校的
[258.50-261.06] 团散及供应生鲜食材
[261.06-264.90] 拥有专业的营养师跟食品技师与厨师的团队
[264.90-266.44] 并选用优质的好食物
[266.44-266.46] 并选用优质的好食物
[266.48-279.80] 并选用优质的好食物
[279.80-293.14] 并选用优质的好食物
[296.48-302.74] 首先我们看到
[302.74-306.08] 2024年营业项目占比的部分
[306.08-310.46] 2024年合并营收189.3亿
