[0.00-5.56] 那现在时间是下午2点
[5.56-7.08] 那本场是正式开始
[7.08-9.06] 欢迎各位投资先进参加
[9.06-11.96] 新农股份有限公司的法人说明会
[11.96-15.70] 首先为各位介绍今天新农的经营团队
[15.70-17.60] 于奎如发言人
[17.60-21.00] 江沛山公司治理主管
[21.00-23.58] 以及奈慧娟代理发言人
[23.58-27.28] 那我们这边就将时间交给经营团队
[27.28-29.50] 就公司营运及财务的状况
[29.50-30.66] 为我们进行简报
[30.66-31.08] 谢谢
[31.08-40.42] 各位投资先进
[40.42-41.22] 大家午安
[41.22-44.34] 我是新农公司发言人于奎如
[44.34-47.62] 感谢群立经顶证券邀请
[47.62-51.44] 及各位先进参加本公司法人说明会
[51.44-54.26] 本公司完整财务业务资讯
[54.26-57.26] 请至公开资讯观测站查阅
[57.28-62.50] 首先我们请江学离说明简报内容
[62.50-67.36] 各位先进午安
[67.36-70.12] 今天的简报主要分为三个部分
[70.12-73.16] 第一个部分是简单的介绍新农集团
[73.16-77.08] 第二个部分是做第一季的财务状况报告
[77.08-79.42] 第三个部分是进行Q&A
[79.42-84.04] 首先我们简单介绍新农集团
[85.54-87.04] 新农成立于1955年
[87.28-90.04] 今年已经迈入第70周年
[90.04-96.04] 营业项目主要为在新农市植物保护产品制造与国内外销售
[96.04-98.92] 另外在民生相关的风康超市
[98.92-101.72] 育美公司的蔬果产销
[101.72-103.92] 团散食品家庭用品等
[103.92-108.92] 这是新农的公司治理评鉴成果
[108.92-112.92] 这几年都是维持在上市公司的前段班
[112.92-116.92] 2024年排名为前6%至20%的极具
[117.28-123.28] 集团的事业发展持续聚焦在四大领域
[123.28-129.48] 包括化学合成、植物保护、生物科技、安全食品与民生用品
[129.48-133.20] 除了持续与国际公司合作代工与销售外
[133.20-135.48] 在友善农业及食品安全
[135.48-138.28] 更是公司持续发展的重点方向
[138.28-144.88] 从种子到餐桌是集团事业的核心主轴
[144.88-147.88] 从优良品种的种子开始
[147.88-150.88] 透过友善环境的栽培管理
[150.88-152.88] 产出优良品质的农作物
[152.88-156.88] 再透过育美农产运销及团散餐食事业及丰康超市
[156.88-160.88] 提供给消费者安心、安全、健康食物到餐桌
[160.88-164.88] 并藉由持续推出新产品及扩充服务范畴
[164.88-167.88] 使集团的业务能够稳健地成长
[167.88-172.88] 目前全台有260家的新农供应中心公司
[172.88-175.88] 提供农友一站式的购足服务
[175.88-179.88] 包括种子种苗、植保商品与自材
[179.88-182.88] 并由专业人员透过田间拜访官模
[182.88-186.88] 推广属于新农自己的新农流的作物栽培管理模式
[186.88-188.88] 在地服务农友
[190.88-196.88] 新农持续与学校、农事所、农业改良厂等单位合作技术授权
[196.88-201.88] 试验与登记新产品、新农业务、新农业务等
[201.88-209.88] 在全球追求农业简要、友善环境的大趋势之下
[209.88-216.88] 新农在4月份正式推出全球第一支光感菌维生物的制剂
[216.88-219.88] 杀蚊效果不亚于化学农药
[219.88-221.88] 也没有残留的问题
[221.88-225.88] 光感菌制剂的问世代表着维生物农药新的里程碑
[225.88-230.88] 另外在免登记植物保护资材、缓湿型肥料、有机质肥料
[230.88-232.88] 也是持续推广中
[232.88-237.88] 在子公司方面
[237.88-239.88] 锋芳超市目前有50家店
[239.88-244.88] 持续在人流集中的桃竹苗、新北等地区增加新的据点
[244.88-247.88] 并深化客户的经营
[247.88-252.88] 育美生技公司曾于2012年
[252.88-257.88] 是新农集团旗下经营农产运销加工及民生消费与谈删事业
[257.88-259.88] 在供应中心建立多年丰富的农业生技公司
[260.88-262.88] 并在丰富丰厚的传统栽培基础上
[262.88-265.88] 辅以科学专业改善管理方式
[265.88-268.88] 并导入智慧化的管理
[268.88-271.88] 提供安全安心的农产品
[271.88-274.88] 透过拥有各项认证的蔬果加工厂
[274.88-277.88] 确保每项产品都从生产开始
[277.88-279.88] 就是依循食品安全系统
[279.88-281.88] 保障品质及食品安全
[281.88-288.88] 育美的团扇餐食事业主要是从事校园团扇的供应
[288.88-289.88] 拥有专业的食品安全系统保障品质及食品安全
[290.88-291.88] 并选用优质好农食材来源
[291.88-292.88] 品质及服务生货客户肯定
[292.88-293.88] 在每年的午餐大赛也多次获奖
[293.88-294.88] 家庭用品的产销
[294.88-295.88] 目前有一滴镜、新加安素、无雨、风康、花公竹等多个品牌
[295.88-296.88] 持续推出新品于各大烹乳上市
[296.88-305.88] 接下来请会计主管赖智深处长说明财务灾药
[305.88-312.88] 请负责投放产品在有限公司的商场上
[312.88-314.88] 丰富的货品和商品
[314.88-315.88] 丰富的货品和商品
[315.88-317.88] 请负责出品与责任
[317.88-318.88] 有限公司的货品指定
[318.88-319.88] 丰富的货品
[319.88-320.88] 有限公司的货品
[320.88-321.88] 有限公司的货品
[321.88-322.88] 丰富的货品
[322.88-323.88] 有限公司的货品
[323.88-324.88] 有限公司的货品
[324.88-325.88] 有限公司的货品
[326.88-331.34] 各位投资先进晚安
[331.34-334.24] 接下来我们来看第一季的财务灾药
[334.24-338.02] 首先我们看到1到4月的合并营收
[338.02-343.20] 66.5亿与去年同期相当
[343.20-347.74] 植物保护的部分40.4亿
[347.74-350.84] 减少了1.2亿年减3%
[350.84-355.64] 主要是植物保护的非选择性的除草剂
[355.64-358.32] 这个原体市价的同期比
[358.32-363.34] 仍然是比去年同期略微下跌
[363.34-366.84] 所以造成整个植物保护的业绩略微衰退
[366.84-370.18] 超市的部分13.7亿
[370.18-374.08] 成长2197万年增2%
[374.08-378.06] 主要是竹北跟桃园有新占两个点
[378.06-380.64] 所以同期比业绩也有成长
[380.64-384.26] 再来家用品团散的部分9.5亿
[384.26-385.62] 成长1.2亿
[385.62-387.62] 年增14%
[387.62-392.92] 主要是玉莓严选产品业绩增加了9000万
[392.92-395.94] 然后另外团散的部分业绩也有提
[395.94-397.84] 也有成长2000多万
[397.84-401.56] 所以整个家用品团散的部门
[401.56-404.20] 那个成长率比较高
[404.20-408.92] 那第四个部分其他是玉瓣混泥土失业2.9亿
[408.92-413.70] 衰退了1300万年减4%
[415.62-417.62] 总看地区别的销售比
[417.62-421.62] 新农集团地区别的销售占比
[421.62-424.12] 在台湾的部分占53%
[424.12-428.12] 分别是台湾纸宝14%
[428.12-429.62] 超市21%
[429.62-431.62] 家用品团散14%
[431.62-432.62] 礼品4%
[432.62-436.62] 其余的47%都是海外的营收
[436.62-440.62] 那海外的营收都是来自海外的植物保护部门
[440.62-445.62] 其中东北亚的部分主要是日本跟韩国占5%
[445.62-447.62] 中国13%
[447.62-449.62] 其他亚洲地区6%
[449.62-453.62] 那欧洲部分是8%
[453.62-455.62] 美洲15%
[455.62-462.62] 全球布局均匀可以分散南北半球的淡旺季的经营风险
[462.62-464.62] 接下来合并损益表的部分
[464.62-466.62] 就本业来看
[466.62-469.62] 利益是减少了1079万
[469.62-473.62] 从营收来看的话营收是少1.1亿
[473.62-475.62] 少了2%
[475.62-478.62] 主要少的部分也是植物保护部门
[478.62-483.62] 我要特别提的是毛利率的部分
[483.62-487.62] 毛利率两期比成长了快3%
[487.62-491.62] 这个成长主要是因为产品组合的关系
[491.62-494.62] 毛利率较高的单位营收成长
[494.62-497.62] 比如说超市、玉美
[497.62-499.62] 在整个集团里面
[499.62-503.62] 它的单位的毛利率是比较高的部门
[503.62-505.62] 它的营收是比较高的部门
[505.62-508.62] 它们的营收占比提高的同时
[508.62-512.62] 这个会造成合并报表的毛利率成长
[512.62-519.62] 另外植物保护部门的毛利率也是比去年同期成长许多
[519.62-522.62] 所以整个合并的毛利率会成长
[522.62-524.62] 主要就是因为这两个关系
[524.62-527.62] 营业费用的部分增加了1.1亿
[527.62-529.62] 主要是推销费用增加
[529.62-533.62] 推销费用里面增加比较多的是独立登记的费用
[533.62-536.62] 还有运费主要是成长
[536.62-539.62] 主要增加的是增加在这两个部分
[539.62-543.62] 营业外收支减少了383万
[543.62-545.62] 两期比差异不大
[545.62-550.62] 两期比差异比较多的科目是
[550.62-553.62] 对营的部分两期比增加了3000万
[553.62-557.62] 透过损益按公允价值衡量的金融资产损失
[557.62-560.62] 两期比增加了3900万
[560.62-562.62] 所以这两个科目相加的话
[563.62-565.62] 营业外收支减少了1.1亿
[565.62-567.62] 就比去年少916万
[567.62-569.62] 是造成营业外收支减少的原因
[569.62-572.62] 因为上面上述的这些原因
[572.62-575.62] 造成税前净利减少1462万
[575.62-578.62] 母公司业主净利3.3亿
[578.62-580.62] EPS 0.8
[580.62-584.62] 接着我们来看获利能力的部分
[584.62-587.62] 毛利率同期比增加了2.77个
[587.62-590.62] 可是你看我有简单的提到
[590.62-592.62] 它就是产品组合的关系
