[0.00-4.00] 各位先進
[4.00-8.00] 合同化學股份有限公司法人說明會正式開始
[8.00-12.00] 接下來我們把時間交給張元榮財務主管
[12.00-14.00] 各位投資先進朋友大家好
[14.00-17.00] 歡迎必領合同化學法人說明會
[17.00-19.00] 我是財務主管張元榮
[19.00-22.00] 接下來將會為大家說明今天的簡報內容
[22.00-28.00] 在進入主題之前請敬請參閱免責聲明
[28.00-31.00] 今天的報告會有三大主題
[31.00-33.00] 首先我們會說明公司簡介
[33.00-36.00] 再來是盈餘概況以及財務資訊
[36.00-38.00] 然後最後是問答時間
[38.00-41.00] 公司簡介
[41.00-44.00] 合同化學成立於西元1980年
[44.00-47.00] 於1991年掛牌上市
[47.00-51.00] 目前持收資本為新台幣101.7億元
[51.00-54.00] 主營業務為化學品的生產與銷售
[54.00-57.00] 董事長為張立秋先生
[57.00-58.00] 總經理為張立秋
[58.00-61.00] 陳儒女士
[61.00-66.00] 同同化學位於清潔劑產業鏈的中上游
[66.00-71.00] 提供清潔劑與表面活性劑的各種原料
[71.00-73.00] 目前公司的營運及生產據點
[73.00-76.00] 主要位於中國與台灣
[76.00-79.00] 涵蓋表面活性劑各種多樣產品線
[79.00-85.00] 同時亦有牛品除草機水泥產銷等業務
[85.00-87.00] 黃化是表面活性劑的重要製程之一
[87.00-93.00] 目前統計大陸黃化產能
[93.00-96.00] 一年平均總產能為417萬噸
[96.00-99.00] 合同會區第二位佔領先地位
[99.00-101.00] 目前年產能為76萬噸
[101.00-104.00] 以上是公司簡介
[104.00-107.00] 第二部分是公司的營運概況
[107.00-110.00] 回顧2024年
[110.00-114.00] 因為中國經濟成長趨緩
[114.00-116.00] 同時競爭市場面積嚴重
[116.00-120.00] 加上XR關稅優惠關稅取消
[120.00-126.00] 同時因為在中國不利因素下
[126.00-128.00] 經營能力角度不錯的成績
[128.00-133.00] 但2024年的總營業收入為206億元
[133.00-136.00] 較前期增加3.3億元
[136.00-140.00] 其中歸屬母公司淨利為4.15億元
[140.00-143.00] 普通股每輸盈餘為0.4億元
[143.00-145.00] 公司的現金學位亦相當充足為
[145.00-148.00] 新台幣63.1億元
[148.00-152.00] 股東總權益成長至169億元
[152.00-155.00] 每股淨值為12.4億元
[155.00-160.00] 股東權益報酬率為4.32%
[160.00-162.00] 若依依序別來看的話
[162.00-165.00] 中國市場能為集團主要的銷售市場
[165.00-168.00] 佔總營收為7.3%左右
[168.00-172.00] 另外可以注意其他地區的百分比一流所增長
[172.00-173.00] 顯見經營團隊積極開發不同市場的客戶
[173.00-174.00] 顯見經營團隊積極開發不同市場的客戶
[175.00-183.00] 以調研機構於2025年1月發布的研究報告顯示
[183.00-186.00] 2024年全球表面活性劑市場的規模
[186.00-192.00] 達到美金455億元左右
[192.00-196.00] 至2034年可以成長到768億美金
[196.00-199.00] 年負的市場率為5.36%
[199.00-201.00] 若依市場份額來看
[201.00-203.00] 亞太地區人為表面活性劑最大市場
[203.00-204.00] 佔比3%左右
[205.00-208.00] 其次為北美及歐洲地區
[208.00-212.00] 在2024年亞太地區的本面活性劑市場
[212.00-215.00] 規模為164.1億美元
[215.00-218.00] 至2034年成長是280.4億美元
[218.00-221.00] 年負額成長率為5.5%
[221.00-225.00] 由以上報告可以顯示公司所在的本面活性劑產業
[225.00-229.00] 仍是正向成長的景氣狀況
[229.00-233.00] 第三部分為公司的財務資訊
[235.00-239.00] 年負額在2024年有206億元
[239.00-242.00] 較前期成長1.6%
[242.00-247.00] 年負額利率則施平為19.1億元左右
[247.00-255.00] 年負額的部分較前期減少11.9%
[255.00-258.00] 這部分的原因
[258.00-261.00] 主因收回客戶貸帳
[261.00-263.00] 原體列的被公
[263.00-268.00] 原體列的被離損失轉為預期信用損失回轉利益
[268.00-270.00] 這部分為費用減少
[270.00-273.00] 金額是2.34億元左右
[273.00-276.00] 營業利益的部分是9.09億元
[276.00-280.00] 較前期成長18.1%
[280.00-285.00] 業外支出較前期增加1.3億元
[285.00-292.00] 主因子公司中華全球體列工程整治費用準備金1.2億元左右
[292.00-293.00] 主因子公司中華全球體列工程整治費用準備金1.2億元左右
[293.00-297.00] 所得稅費用較前期增加1.6億元
[297.00-299.00] 有兩大原因
[299.00-301.00] 一個是收到BBI公司的鼓勵匯回
[301.00-304.00] 這部分增加了所得稅費為0.8億元
[304.00-309.00] 另一部分是因為大陸子公司鼓勵匯至BBI控股公司
[309.00-314.00] 集團一稅法提列CFC投資收益
[314.00-317.00] 這部分產生的所得稅費用為0.7億元
[317.00-322.00] 總結來說2024年的本業營業利益是增加的
[322.00-327.00] 但是因為業外的營業支出基準所得稅費用增加
[327.00-331.00] 導致今年的本期經濟更較前期減少
[331.00-337.00] 若以減壓資產負貸表來看
[337.00-340.00] 公司現金水會很大
[340.00-344.00] 同時總流動資產較前期增加14.5億元
[344.00-347.00] 主要原因是因為持有三個月以上的定存
[347.00-351.00] 這部分帳列流動金融資產增加了12.5億元
[351.00-356.00] 而公司的重要財務指標以流動比例來看
[356.00-359.00] 本期為386%
[359.00-362.00] 表示公司的營運資金充足
[362.00-365.00] 本期負債率比例為28%
[365.00-368.00] 表示公司財務體質穩健
[368.00-370.00] 以及現金水會中期為62點
[370.00-373.00] 表示公司的營運效率良好
[373.00-376.00] 以上是本次法術會的內容
[376.00-378.00] 接下來我們進入問答時間
[378.00-380.00] 謝謝
[381.00-386.00] 謝謝何同化學團隊的精彩分享
[386.00-390.00] 何同化學股份有限公司法人說明會到此圓滿結束
[390.00-393.00] 謝謝各位投資先進的參與
