[0.00-16.64] 各位貴賓午安
[16.64-21.28] 聖達化學指導五份有限公司法人說明會正式開始
[21.28-24.70] 今天非常高興邀請各位貴賓各位投資先進
[24.70-27.96] 不空前來參加聖達化學的法人說明會
[27.96-31.90] 首先為各位介紹聖達化學的主要經營團隊
[31.90-35.02] 讓我們掌聲歡迎范子廷董事長
[35.02-40.34] 以及張靜雯財務長
[40.34-46.62] 那接下來我們就恭請張靜雯財務長
[46.62-48.60] 為我們做本次的簡報說明
[56.54-57.66] 各位投資先進
[57.66-58.50] 下午好
[58.50-63.38] 歡迎各位博客參加聖達2025年法人說明會
[63.38-66.88] 以下先由我本人介紹一下公司的集團簡介
[66.88-69.00] 及2024年營運狀況
[87.66-99.66] 請大家請出示
[99.66-113.16] 聖達集團於1967年成立
[113.16-115.66] 那歷經50多年的一個成長
[115.66-117.62] 目前已經成為橫跨西藥
[117.66-121.78] 保健營養醫藥協同的製藥集團公司
[121.78-124.26] 那在西藥及保健營養的製造
[124.26-127.26] 跟它有原料藥的製造部分
[127.26-129.00] 目前聖達集團已經有
[129.00-133.14] 聖達 生長 生態三家三四規公司
[133.14-134.88] 在通路佈局方面
[134.88-139.74] 我們有深知 幼犬及端牆的三家短投資公司
[139.74-145.14] 其中深知是主要是代理國內外癌症用藥的銷售的部分
[145.14-147.62] 那幼犬為國內聯手通路的
[147.62-148.62] 部分
[148.62-152.24] 然後它在2024年3月已經上櫃
[152.24-153.50] 然後在端牆的部分
[153.50-158.90] 它是屬於嬰兒奶粉及生人保健品的代理銷售
[158.90-161.82] 那為因整個
[161.82-164.18] 高門檻藥物的一個開發
[164.18-166.62] 還有研發平台的建立
[166.62-170.86] 另外聖達集團在2021年的時候
[170.86-173.60] 成立所謂的核藥生技公司
[173.60-176.38] 目前這家公司也通過了國內醫藥
[176.38-177.54] 研發服務公司的
[177.62-178.62] 資格認定
[178.62-184.18] 聖達集團一直注重所謂的技術創新
[184.18-188.38] 還有品質管控這部分的發展
[188.38-191.18] 除了擁有多項專利以外
[191.18-194.46] 另外它也是台灣第一家藥廠
[194.46-196.46] 獲得ISO9001的認證
[196.46-199.34] 也獲得美國FDA的查核
[199.34-202.70] 另外也通過日本 澳洲 台灣 韓國
[202.70-207.60] 這些國家的GMP認證或查核的部分
[207.62-210.18] 也通過了美國FDA的查核的部分
[210.18-213.26] 在2024年的營運成果方面
[213.26-216.06] 聖達集團持續穩定成長
[216.06-219.66] 其中2024年的營收67.9億
[219.66-222.72] 相較於去年成長了8.8%
[222.72-226.82] 營業毛利率的部分是4.02%
[226.82-230.14] 相較於去年增加了0.34%
[230.14-233.74] 在營業外收入及支出
[233.74-237.58] 因為兌換利益還有其他收入的影響
[237.62-240.70] 所以營業外收入及支出增加
[240.70-243.76] 增加比例是29.6%
[243.76-246.06] 整體的EPS的部分
[246.06-248.62] 2024年度為4.93%
[248.62-251.70] 相較於去年增加了0.26元
[251.70-258.36] 觀察近五年聖達每季的營收的部分
[258.36-263.48] 因為聖達的營運策略基本上是比較穩紮穩打的部分
[263.48-266.80] 每季的營收相較於去年同期
[266.80-267.58] 基本上是在2024年增加了0.26%
[267.62-270.44] 但是成長5%至10%
[270.44-279.90] 聖達集團在去年考量整體資金轉換
[279.90-284.52] 我們決定將多餘的營運資金做償還銀行貸款的部分
[284.52-287.84] 所以我們可以看到現金及約單現金的會計科目
[287.84-290.40] 及負債的會計科目
[290.40-294.50] 相較於去年同期大幅減少的部分
[294.50-297.58] 聖達集團持續的破例
[297.62-301.72] 所以我們可以看到聖達集團在2024年度的負債比例
[301.72-303.50] 是9.7%
[303.50-308.38] 相較於去年27.3%也是大幅的下降
[308.38-311.70] 所以在面對現在未來的一個情形的變化
[311.70-314.78] 聖達集團其實是有足夠的資金做轉能力
[314.78-318.86] 能面對挑戰
[318.86-320.92] 在經濟流量的方面
[320.92-323.98] 聖達集團在2024年的現金流量由於
[323.98-326.54] 償還短期借款還有增加投資這個部分
[326.54-327.58] 所以在2024年度的負債比例上是19.7%的下降
[327.62-333.76] 所以在2024年度的現金流量其實是一個減向的部分
[333.76-341.96] 但事實上我們在期末現金還有15.2億元的現金的金額
[341.96-347.58] 所以在面對整個未來營運資金需求
[347.58-349.64] 事實上我們還是足夠的
[349.64-356.54] 整個聖達集團在近15年的一個破例來看
[356.54-357.58] 聖達集團在近15年的一個破例來看
[357.58-363.22] 在成立之後事實上是沒有一個營運虧損的狀況
[363.22-367.30] 尤其在近五年事實上呈現一個穩定成長
[367.30-369.86] 屢創歷史新高的一個狀況
[369.86-373.46] 我們的福利分配從2010年的1.2億元
[373.46-379.60] 成長到現在的年股2.8億元
[379.60-382.92] 我們有兩家重要子公司就是生態和生長
[382.92-387.28] 生態而言我們可以從它近五年的一個
[387.58-388.60] 狀況來看
[388.60-391.68] 除了2021年的部分因為火災的關係
[391.68-394.50] 所以它從6.2億下降從5.0以上
[394.50-396.54] 後續因為聖達
[396.54-398.84] 還有整併聖達的一個合成廠
[398.84-401.14] 還有它在後的一個產能重建的部分
[401.14-404.22] 所以它的獲利就是逐漸的恢復
[404.22-407.04] 在去年的時候就是
[407.04-408.82] 它的獲利及EPS
[408.82-412.66] 獲利史新高
[412.66-417.54] 生產的部分隨著我們的民眾對於所謂的
[417.58-419.38] 營養保健越來越重視
[419.38-420.66] 所以生產
[420.66-423.46] 它主要營業是在營養保健的部分
[423.46-427.30] 它的獲利跟營收其實是持續的穩定成長
[427.30-430.90] 尤其在2022年的時候因為community的影響
[430.90-434.74] 所以它的營收獲利在這個年度有大幅一個成長
[434.74-438.82] 那後續因為生產有併所謂雲科廠
[438.82-440.10] 然後它的
[440.10-443.44] 目前是在所謂的
[443.44-447.54] 做認證的部分所以它的費用發生但是雲域還沒有
[447.58-449.12] 營收還沒有創造出來
[449.12-451.94] 所以自然的獲利有稍微下降的一個狀況
[451.94-455.00] 但是持續它的獲利還是一個相對
[455.00-457.30] 8.86還是蠻高的一個情況
[457.30-465.24] 那以上是針對生產集團2024年的營運成果的一個報告
[465.24-470.62] 以下由我們董事長報告未來所謂的營運策略及企業社會責任
[477.58-479.88] 各位大家下午好
[479.88-482.18] 那接下來由我跟大家講
[482.18-483.98] 那個未來的營運策略
[483.98-489.36] 其實那個生產從大概六七年前還是到現在大概我們的策略都是一樣的
[489.36-492.94] 就是說在台灣這邊學名藥事實上是
[492.94-498.82] 你說要每年要要多大成長是會比較難雖然說量一定是會增加但是
[498.82-501.38] 藥價因為每年健保數它都會往下看
