[0.00-9.36] 各位投資先進大家好
[9.36-17.78] 非常歡迎大家來參加今天由凱基證券所主辦的中碳線上法人說明會
[17.78-20.90] 本次法說將採文字提問
[20.90-24.54] 等一下後半段的問與答交流時間
[24.54-27.08] 歡迎大家將問題留置聊天室
[27.08-30.14] 接下來介紹今天的主講人
[30.14-32.52] 發言人陳怡紅副總
[32.52-34.58] 副總你好
[34.58-36.60] 大家好
[36.60-38.04] 林小姐好
[38.04-39.54] 接下來
[39.54-40.82] 陳怡紅
[40.82-42.60] 是
[42.60-46.84] 那接下來有請副總幫我們進行公司的簡報說明
[46.84-48.10] 有請副總
[48.10-49.72] 好謝謝大家
[49.72-50.72] 謝謝林小姐
[50.72-54.38] 各位投資先進朋友大家好
[54.38-56.80] 我是中碳管理業務副總陳怡紅
[56.80-57.06] 我是中碳管理業務副總陳怡紅
[57.08-63.28] 那首先謝謝大家長期以來對中碳公司的一個支持與關注
[63.28-65.76] 那我們這邊也謝謝凱基證券
[65.76-69.12] 協助我們辦理這第二季的公開法說會
[69.12-71.58] 那也謝謝林小姐的主持開場
[71.58-78.30] 首先是投資安全聲明
[78.30-80.64] 這邊就請大家參閱
[80.64-83.64] 那今天的簡報大綱
[83.64-86.80] 包括了公司簡介經營績效
[86.80-89.36] 永續經營跟未來發展
[89.36-94.48] 首先是公司簡介
[94.48-95.24] 那
[95.24-99.60] 公司的基本資料在這邊請參閱
[99.60-102.92] 主要是我們資本額23.69億
[102.92-104.20] 然後我們有兩個工廠
[104.20-106.00] 在小港的
[106.00-110.86] 棉化學工廠還有在屏東屏南工業區的碳材料工廠
[110.86-114.96] 那我們是國內唯一的專業棉化學工廠
[114.96-115.72] 也是唯一專業的工廠
[115.72-116.76] 也是唯一專業的工廠
[116.80-118.84] 就是我們全世界石墨化爐的工廠
[118.84-124.48] 那這些唯一就是讓中碳在今天的整個台灣產業界裡面
[124.48-130.62] 我們有一個我們獨特的一個地位
[130.62-133.44] 介紹目前公司的股東
[133.44-137.02] 那今年前十大股東有一些變化
[137.02-139.58] 那中鋼跟國際中項
[139.58-142.66] 還是前兩大的股東
[142.66-146.76] 那其他的股東排序跟持股比例有一些變動
[146.80-148.84] 這個部分參閱
[148.84-155.24] 新進到前十大股東的新入榜是目前排在第十位的
[155.24-160.12] 范嘉的新興市場股票指數基金投資專戶
[160.12-162.68] 事實上他已經在榜上
[162.68-165.48] 已經在我們股東名單很久了
[165.48-167.28] 只是
[167.28-172.66] 最近就有變動進入到前十大裡面
[172.66-176.76] 那另外在中碳員工持股信託持股比例這個部分
[176.80-178.34] 也有所提升
