[0.00-4.08] 各位投资先进媒体朋友们
[4.08-5.02] 大家午安
[5.02-7.64] 我是友达光电投资人关系的Jerry
[7.64-10.22] 欢迎参加友达光电
[10.22-12.80] 2024年第四季的法人说明会
[12.80-16.00] 今天我们现场一共有四位主讲人
[16.00-19.24] 分别是董事长暨集团策略长
[19.24-20.52] 彭双浪Paul
[20.52-27.48] 执行长暨总经理科夫人Frank
[30.00-36.00] 显示策略事业群资深副总经理陈建斌James
[36.00-41.58] 以及财务长张博宜David
[41.58-47.16] 今天法授会的流程如下
[47.16-51.46] 首先财务长将简报2024年第四季的财报
[51.80-55.48] 接下来董事长及执行长将跟各位分享
[55.48-58.08] 公司经营策略的方向以及展望
[58.08-59.96] 之后我们将进行
[59.96-60.48] Q&A
[60.48-63.64] 目前我们已经搜集了一些法人的提问
[63.64-67.82] 各位主讲主讲人将针对目前的提问进行回复
[67.82-69.16] 回复之后
[69.16-70.60] 如果各位还有疑问
[70.60-72.88] 我们将会开放现场的Q&A
[72.88-75.32] 以上就是今天的会议流程
[75.32-79.76] 接下来在财务长报告之前
[79.76-81.86] 我将在此提醒各位
[81.86-85.94] 报告中任何前瞻性的预测是有其风险的
[85.94-89.34] 并请各位花一些时间阅读投影片第二页的
[89.34-89.94] Safe Harbor News
[89.96-93.56] 接下来我们请财务长为各位报告
[93.56-97.50] 好大家好
[97.50-100.02] 那接下来就由我来说明
[100.02-103.58] 友达光电的2024年第四季的财务数字
[103.58-109.86] 首先我们看到2024年第四季的整体营收来到687亿
[109.86-113.12] 这样叫上一个记录减少12个percent
[113.12-115.14] 那主要的原因是因为
[115.14-118.74] 因为忘记了备货需求已经告一个段落
[118.74-119.94] 那消费性的财务需求已经降到687亿
[119.96-121.28] 那是因为财务的需求趋缓
[121.28-124.78] 所以造成了整体的出货量跟营收下滑
[124.78-128.94] 那mobility的solution受到中国以外的车市低迷
[128.94-131.50] 跟有些客户的需求延后的影响
[131.50-133.66] 整体的出货也下降
[133.66-137.86] 但是我们看到中国的车市受惠到
[137.86-141.60] 汽车政策的推广跟海外的销量的一个增加
[141.60-143.58] 使得整体的一个出货增加
[143.58-145.76] 抵消了部分营收的一个减缓
[145.76-147.68] 那接下来我们看一下
[147.68-149.54] Vertical Solution
[149.96-153.88] 因为客户提前备货跟市场动能放缓的一个影响
[153.88-157.60] 还有第四季太阳能模组的需求不如预期
[157.60-160.64] 使得Vertical Solution的营收减少
[160.64-163.74] 那我们看到获利的方面
[163.74-166.54] 那第四季受到淡季的影响
[166.54-169.04] 整体的营运的规模下降
[169.04-171.56] 那TV monitor的售价下滑
[171.56-173.92] 以及太阳能的试矿不佳
[173.92-178.12] 使得第四季的营业毛利率下降到7.9个percent
[178.12-178.22] 那第四季的营业费用率下降到7.9个percent
[178.22-178.24] 那第四季的营业费用率下降到7.9个percent
[178.24-181.06] 那第四季的营业费用基本持平
[181.06-186.58] 那第四季的营业净损来到33亿元
[186.58-191.28] 但受惠于出售台南厂的获利净额是48亿
[191.28-193.12] 所以最终我们可以看到
[193.12-196.90] 有达第四季单季是获利转亏为盈
[196.90-198.94] 为净利了16亿元
[198.94-203.72] 那本季度的operating profit再加上DNA是47亿
[203.72-206.70] 那margin下降到6.9个percent
[206.86-208.22] 第四季的整体
[208.22-210.22] 的EPS是0.2亿元
[210.22-214.80] 那接下来我们看到
[214.80-217.38] 2024年全年的损益
[217.38-221.64] 2024年全年的营收是2802亿
[221.64-224.54] 相比前一年度成长了13个percent
[224.54-229.56] 那除了在第二季开始并入BHTC带来营收的正贡献外
[229.56-233.16] 主要是受到面盘的失控的一个回温
[233.16-235.12] 市场也更有秩序
[235.12-237.84] 那公司的营运的规模上升
[237.84-238.20] 已经是最高的
[238.22-240.44] 以及车用的市场需求增加
[240.44-244.04] 这些因素都使得公司2024年的营运状况
[244.04-246.68] 较2023年有所改善
[246.68-249.86] 那毛利是242亿
[249.86-253.42] 营业损失大幅缩小到85亿
[253.42-257.66] 全年归属于母公司的亏损是31亿
[257.66-262.54] 全年的operating profit再加DNA是256亿
[262.54-264.48] margin是9.1个percent
[264.48-267.70] 每股亏损是0.4元
[268.22-271.84] 接下来我们看资产负债表
[271.84-275.94] 公司第四季的现金大约684亿
[275.94-280.16] 长短期的负债合计是1183亿
[280.16-284.96] 那季底的净负债净值比是31.2个percent
[284.96-289.20] 跟上个季度相比减少了2.2个percent
[289.20-294.00] 那第四季底的库存绝对金额约当持平
[294.14-298.08] 那但是受到这个季营收下滑的影响
[298.22-302.54] 使得存货的周转天数歇回的提高到49天
