[0.00-6.66] 大家好,欢迎来到JP Morgan台湾CEO CFO Conference
[6.66-10.82] 那今天我们很荣幸邀请到富邦金控来参加我们的会议
[10.82-14.48] 那首先我们先交由IR团队来进行公司的简报
[14.48-17.10] 谢谢Amanda
[17.10-22.28] 那我们先来看到2024年第三季的法说简报
[22.28-26.94] 首先第四页的部分是金控前九月营运及财务摘要
[26.94-31.68] 可以看到富邦金控税后净利1213.1亿元
[31.68-33.44] 年增78.9%
[33.44-37.32] 那每股盈余跟税后净利都居业界第一
[37.32-40.76] 富邦人寿是税后净利749.2亿元
[40.76-41.80] 也是业界第一
[41.80-45.76] 台北富邦银行税后净利续创历史新高
[45.76-49.80] 那富邦产险呢就是税后净利34.3亿元
[49.80-51.54] 利润持续增加
[51.54-55.24] 那富邦证券市场排名级获利为十前三大
[55.24-56.92] 我们看到第五页
[56.92-61.08] 这边是用图表方式来呈现税后净利
[61.08-63.82] 及每股盈余在与去年同期的表现
[63.82-69.18] 第六页可以看到富邦金控获利成长来自各子公司
[69.18-73.44] 都较去年同期稳定的提升
[73.44-78.32] 那我们看第七页是富邦金控的资产净值
[78.32-81.02] 总资产已经超过11.8兆
[81.02-83.08] 年增6.6%
[83.08-85.32] 净值年增27.6%
[85.32-86.90] 那普通股每股净值
[86.92-88.92] 来到61.84元
[88.92-94.12] 第八页我们看到资产报酬率及股东权益报酬率
[94.12-96.42] 都较去年同期提升
[96.42-101.84] 好
[101.84-103.98] 那接下来我们来看到富邦人寿
[103.98-106.12] 首先在第十一页的部分
[106.12-107.90] 可以看到
[107.90-111.98] 初年度保费年增55.6
[111.98-114.96] 高于业界平均13.1%
[114.96-116.90] 那续年度保费的话是年增55.6%
[116.92-118.92] 年增幅7.1%也高于业界
[118.92-119.92] 初年度保费
[119.92-123.92] 去年的保费跟总保费收入都是业界第二
[123.92-127.92] 第十二页看到FYP的收入组成
[127.92-132.92] 商品销售是以提升分歧角跟保障型本高CSM的商品为主
[132.92-135.92] 那分歧角占比持续提升
[135.92-139.92] 第十三页可以看到FYP1跟VNB
[139.92-145.92] 我们持续转型分歧角商品让FYP1的年增幅达到27.9%
[145.92-147.92] 是高于业界平均的增幅
[147.92-155.92] 那也带动这个FYP1除以FYP的比率提升到45.5%
[155.92-158.92] 第十四页看到商售通路的部分
[158.92-162.92] 富邦人寿持续让通路可以均衡发展
[162.92-166.92] 银宝通路跟业务员通路的FYP都超过四成
[166.92-171.92] 那其中银宝通路的FYP是稳居业界第一
[171.92-174.92] 第十五页我们看到富邦的投资组合
[174.92-176.92] 国内外股票投资报酬率都有上升
[176.92-177.92] 那我们也反映到了
[177.92-183.92] 这就反映到了有实现股票的资本利得以及处分私募基金
[183.92-187.92] 第十六页是海外固定收益的组合
[187.92-191.92] 我们的海外固定收益配置呢是以投资等级公司债及金融债为主
[191.92-195.92] 地区的话就是以北美为主要投资区域
[195.92-198.92] 第十七页是投资收益的组成
[198.92-203.92] 可以看到避险及汇兑前后的投资报酬率都高于去年恒期
[203.92-204.92] 那主要就是变动费用的投资收益的组成是海外固定收益的组合
[204.92-207.92] 所以是变动收益类资本利得的增幅比较高
[207.92-217.92] 那利息收入跟基金收益分配增加为股票现金股利下滑
[217.92-221.92] 那经常性投资收益是年间1.7%
[221.92-225.92] 第十八页看到避险组合跟经常性收益率
[225.92-228.92] 连转会启动降息美元走弱
[228.92-230.92] 所以第三季产生汇兑损失
[230.92-233.92] 但前九月是维持汇兑利益
[233.92-235.92] 汇益率的波动呢
[235.92-237.92] 我们的避险比例会提高调整
[237.92-240.92] 那经常性避险成本上升
[240.92-242.92] 预期随着台美定差的缩减
[242.92-246.92] 换汇支出料将继续改善
[246.92-250.92] 第十九页是负债成本跟损益量评点
[250.92-252.92] 我们投资报酬率上升
[252.92-256.92] 带动与负债成本之间的振利差持续的扩大
[256.92-258.92] 第二十页是投资绩效
[258.92-262.92] 那我们富邦人寿持续把握市场时机去
[262.92-264.92] 逐渐操作实现资本利得
[264.92-268.92] 所以我们的金融资产位实现预额有下降
[268.92-270.92] 但净值比是11.6%
[270.92-273.92] RBC维持在382%是很好的水准
[278.92-281.92] 那再来是台美富邦银行部分
[281.92-283.92] 第22页是净收益的组成
[283.92-286.92] 那首先在整体的净收益的部分
[286.92-290.92] 前九个月年增幅来到了17.6%
[290.92-294.92] 主要是来自于利息净收益及手续费的增加
[294.92-298.92] 那其中利息净收益年增9.6%
[298.92-300.92] 主要是来自资产规模的成长
[300.92-304.92] 手续费净收益成长39.7%
[304.92-308.92] 那这方面主要是财管以及信用卡收益的增加
[308.92-311.92] 第23页在受信组成
[311.92-313.92] 整理受信来说
[313.92-316.92] 总放款年成长11.3%
[316.92-320.92] 年初至今这也有10%的增长
[320.92-324.92] 那第24页企业受信的部分
[324.92-326.92] 在外币的成长相对比较强
[326.92-330.92] 那YTD来说有13.3%的增长
[330.92-336.92] 右边大家可以看到中小企业成长YTD有12.2%
[336.92-341.92] 也贡献了整体的占全体企业受信的比重的提升
[341.92-344.92] 第25页为个人受信的部分
[344.92-348.92] 房屋贷款余额年初至今成长了12.2%
[348.92-350.92] 那右边的部分
[350.92-354.92] 是其他个人受信的分类
[354.92-356.92] 那其中个人信贷的部分
[356.92-359.92] 今年以来也成长了22.9%
[359.92-360.92] 那展望未来
[360.92-362.92] 此部分在未来也会是
[362.92-365.92] 北富银提升利差的一个重要的来源
[365.92-368.92] 第26页存款与存放比
[368.92-371.92] 台币存款今年以来成长8%
[371.92-374.92] 定存增加高于普存
[374.92-375.92] 那在外币的部分
[375.92-379.92] 总外币存款年初至今也成长了8.3%
[379.92-380.92] 那在外币的部分
[380.92-384.92] 我们持续强化外币资金的运用效率
[384.92-388.92] 外币放款以及债券的国资占外币存款比例
[388.92-391.92] 也较2023年底提升
[391.92-394.92] 第27页是我们的利差表现
[394.92-396.92] 那左上图呢
[396.92-401.92] 显示前9个月的存放利差年减15个BP
[401.92-403.92] 主因是定存的增加
[403.92-405.92] 另则是年增一个BP
[405.92-408.92] 主要反映台币放款的利率提升
[408.92-409.92] 而整体放款的结构是
[409.92-412.92] 包含刚刚所报告的中小企业
[412.92-416.92] 个人信贷以及非房贷占比的提升的贡献
[416.92-418.92] 那从单季的角度来看呢
[418.92-423.92] 第三季的存放利差以及净利差较第二季增加一个BP
[423.92-429.92] 主要是反映台币调升存款准备率以及放款成长的阻值
[429.92-433.92] 第28页资产品质以及信用成本
[433.92-436.92] 那在资产品质的部分整体来说
[436.92-438.92] 余放比以及被抵贷账覆盖率维持相当高
[438.92-441.92] 余放比在0.11个%
[441.92-443.92] 覆盖率超过1000%以上
[443.92-445.92] 个人无单受信用放比增加
[445.92-450.92] 不过这跟前几季已经向投资人说明的情形一样
[450.92-454.92] 主要是COVID期间的宽缓环角措施解禁
[454.92-456.92] 第29页信用卡业务
[456.92-459.92] 前9个月卡数以及欠账金额持续带动
[459.92-461.92] 市占率增加
[461.92-463.92] 每卡月平均欠账金额略降
[463.92-466.92] 反映有效卡数大幅攀升
[466.92-467.92] 6页信用卡业务
[468.92-470.92] 下图信用卡余放比略增
[470.92-474.92] 不过北富颖的资产品质还是优于市场平均
[474.92-479.92] 第31页手续费净收益与财富管理业务
[479.92-482.92] 整体来说手续费表现强劲
[482.92-485.92] 手续费净收益年增39.7%
[485.92-489.92] 其中财富管理手收成长37.2%
[489.92-493.92] 那来自更呈现的动能阶两套
[493.92-496.92] 那信用卡的净手收成长的幅度接近一倍
[496.92-498.92] 最后是海外货币的货币额
[498.92-500.92] 海外分行的获利
[500.92-503.92] 那我们可以看到净收益以及税后净利
[503.92-505.92] 皆成长超过14%
[505.92-507.92] 那我们接着来看富邦长线
[507.92-509.92] 看到第33页
[509.92-512.92] 我们千丹宝贝收入成长13.8%
[512.92-514.92] 市占率是达24.6
[514.92-516.92] 是聚居市场龙头
[516.92-518.92] 自由综合率是85.2%
[518.92-520.92] 较去年同期改善
[520.92-522.92] 那反映富邦长线持续优化业务结构
[522.92-525.92] 跟风险控管的成效
[525.92-528.92] 接着来看富邦证券第35页
[528.92-531.92] 富邦证券的税后净利年增48%
[531.92-533.92] 主要是受惠今年台股市况
[533.92-536.92] 2024年的台股市况
[536.92-539.92] 那我们的市场排名跟获利维持前三大
[539.92-543.92] 那最后是我们的海外银行业务
[543.92-548.92] 那我们看到富邦华益银行营运及财务摘要的部分
[548.92-552.92] 左上图可以看到存放款维持在5-6%
[552.92-554.92] 一个比较稳健的速度
[554.92-557.92] 另外在第3级我们有花旗信用卡应收账款资产的贡献
[558.92-561.92] 也带动了净利差有24个BP的提升
[561.92-565.92] 因此整体带动税后净利有比较显著的成长
[565.92-568.92] 在资产品质的部分则是持续维持稳健
[568.92-579.92] 好那以上是富邦金控的今年前9月的一个营运绩效
[579.92-582.92] 那这边看有什么样子的议题
[582.92-585.92] 我们可以再进一步做一个回应
[585.92-586.92] 谢谢
[586.92-587.92] 好的
[587.92-589.92] 那我们谢谢富邦金控的简报
[589.92-591.92] 那接下来我们就进到Q&A session
[591.92-593.92] 那首先的话想先请教公司
[593.92-598.92] 就是北富银在2024年的获利其实达305.4亿
[598.92-602.92] 那主要成长动能来源跟2025年的展望是什么
[602.92-605.92] 好谢谢
[605.92-608.92] 那从北富银的这个表现来看
[608.92-612.92] 24年的这个获利是我们营运以来
[612.92-615.92] 第一次突破年获利300亿以上
[615.92-617.92] 来到300亿以上以来的货力了
[617.92-619.92] 就是205.4亿
[619.92-620.92] 那这样的水准呢
[620.92-624.92] 其实跟前一个年度2023比起来的话
[624.92-627.92] 大概有25%的成长
[627.92-628.92] 那获利的表现
[628.92-630.92] 这样子来到新高
[630.92-638.92] 最主要一个是这个净利息收益的成长有8%的一个年增率
[638.92-641.92] 那手续费的部分成长也是相当亮眼
[641.92-645.92] 是来到超过30%以上的一个成长
[645.92-649.92] 那另外在信用卡在这个Costco卡的带动之下
[649.92-654.92] 这个签账的金额也年增大概也有25%左右
[654.92-656.92] 那同时呢
[656.92-658.92] 这个我们整体的那个资产品质
[658.92-661.92] 大概还是有0.12%这样的余放比
[661.92-664.92] 不过整个来说是相当稳定的
[664.92-666.92] 那再看25年的话
[666.92-670.92] 我们从这个整个资产的一个结构
[670.92-673.92] 我们觉得还有进一步可以持续优化的空间
[673.92-676.92] 那同时在整个受信的一个风险
[676.92-679.92] 我们预期也是可以同时兼顾
[679.92-682.92] 那整个放款的一个成长率
[682.92-684.92] 在25年来看的话
[684.92-688.92] 应该是有机会可以跟这个前一个年度24年
[688.92-691.92] 大概是维持在一个接近的一个水准
[694.92-696.92] 好的那另外就是针对北富银
[696.92-697.92] 就是还有另外一个问题
[697.92-702.92] 是想请问像2024年前9月的财富管理成长率非常高
[702.92-705.92] 那其中背后的原因跟2025年的展望为何
[705.92-707.92] 谢谢
[707.92-711.92] 对我们在这个去年前9月财管的收入
[711.92-713.92] 确实是成长蛮高的
[713.92-715.92] 大概有37%
[715.92-718.92] 那其实各个产品线
[718.92-721.92] 如果各位参考我们刚刚的报告上
[721.92-726.92] 有来自这个各个产品线包含保险基金
[726.92-729.92] 跟其他各类型的商品
[729.92-731.92] 其实都有一个很好的一个成长率
[731.92-733.92] 都动能是很好的
[733.92-736.92] 那另外在信用卡的部分
[736.92-740.92] 它的这个整个手收的一个成长率也相当的高
[740.92-742.92] 那这个也是来自于我们的卡数
[742.92-745.92] 签证金额增加的贡献
[745.92-748.92] 那从25年来看的话
[748.92-751.92] 我们预期整个财管的手收
[751.92-755.92] 应该还是可以继续有一个成长的一个动能
[755.92-759.92] 那不过整个来说还是要看这个国际情势的变化
[759.92-760.92] 因为毕竟现在的市场的部分
[760.92-763.92] 现在的市场的波动性是很大的
[763.92-766.92] 那还有就是整个经济成长的一个展望
[766.92-771.92] 那以我们自己内部在经营的一个策略管理上
[771.92-775.92] 我们的重点会是着重整合我们整个
[775.92-777.92] 境内境外的资源
[777.92-781.92] 那同时我们也会配合这整个市场的趋势变化
[781.92-784.92] 还有客群的一个特性
[784.92-789.92] 来推广我们的这个投保的不同的商品
[790.92-793.92] 好的谢谢
[793.92-795.92] 那另外就这个富邦人寿的部分
[795.92-800.92] 2024年前9月的保费收入成长力道其实蛮强劲的
[800.92-801.92] 那主要的原因为何
[801.92-805.92] 然后另外是想问2025年的保费收入展望
[805.92-807.92] 好谢谢
[807.92-810.92] 那用人寿来看的话
[810.92-813.92] 其实他的这个个体的前9月
[813.92-816.92] 我们在刚刚的报告里面可以看到
[816.92-819.92] 初年度保费大概是842亿
[819.92-820.92] YOY成长率是842亿
[820.92-823.92] 那这个年度的这个YOY成长率是16%
[823.92-826.92] 那用全年的一个FYP在我们的这个月字节公告
[826.92-828.92] 各位可以参考看得到
[828.92-832.92] 有大概有1100亿的FYP的贡献
[832.92-836.92] 那跟前一个年度的这个YOY来看的话
[836.92-839.92] 大概有17%的年成长
[839.92-844.92] 那这个比较快的一个业绩的一个表现
[844.92-847.92] 这个一方面是跟我们在推出这个台外币
[847.92-849.92] 还有多元的不同的
[849.92-851.92] 脚别的商品
[851.92-852.92] 那另外呢
[852.92-854.92] 我们也很积极的在推动这个凤凰保单
[854.92-857.92] 这个是一个富邦的一个特色商品
[857.92-863.92] 那在整个市场上是有一个比较领先的一个地位
[863.92-869.92] 我想这个是主要一个带动我们保费成长的一个重要来源
[869.92-874.92] 那我们现在在看整个这个客户
[874.92-877.92] 对于特别是高保障成分
[877.92-880.92] 还有有比较高的这个还本率
[880.92-882.92] 这样子的一个分红商品呢
[882.92-885.92] 其实是兴趣度是很高的
[885.92-887.92] 那我们的这个分红呢
[887.92-892.92] 其实台外币不同长短天期的都有
[892.92-899.92] 那也贡献我们整个FYP已经来到了五成以上的一个占比
[899.92-901.92] 那在2025年来看的话
