[0.00-4.22] 好
[4.22-5.72] 各位投资先进
[5.72-6.86] 及法人朋友们
[6.86-7.70] 大家午安
[7.70-11.08] 今天非常荣幸邀请
[11.08-13.06] 丰兴钢铁股份有限公司
[13.06-15.02] 受邀参加股票综合证券
[15.02-16.36] 举办法人说明会
[16.36-18.32] 说明公司的营运
[18.32-19.98] 业务以及财务状况
[19.98-21.40] 那今天的法说会
[21.40-22.26] 很荣幸邀请
[22.26-23.48] 陈德义陈协理
[23.48-24.82] 以及庄文哲庄协理
[24.82-26.12] 为我们主讲与分享
[26.12-27.54] 那我们现在就把时间
[27.54-28.28] 交给协理
[28.28-28.88] 协理请
[28.88-29.32] 谢谢
[29.32-31.94] 好那谢谢佩真
[31.94-34.38] 那也谢谢各位先进
[34.38-36.52] 那今天也是波龙
[36.52-38.32] 来参加今天这个法说会
[38.32-40.86] 那我们就开始进行
[40.86-42.94] 今天的这个法说会
[42.94-46.42] 那今天大概是跟以前一样
[46.42-49.20] 会先报告去年第四季
[49.20-50.54] 跟去年整个年度的
[50.54-51.62] 一些财务迹象
[51.62-52.96] 那再过来等一下
[52.96-54.76] 庄协理这边会
[54.76-58.68] 会根据这个产业
[58.68-59.14] 跟您的
[59.14-60.34] 开放
[60.34-62.70] 一说明一些未来展望
[62.70-64.14] 然后昨天我们有
[64.14-66.44] 这董事会有一个重大讯息
[66.44-68.76] 那可能等一下会把那个讯息
[68.76-70.72] 在本中说明一下
[70.72-72.04] 好那我们现在进行
[72.04-75.66] 那个先进行财务业务的绩效
[75.66-77.20] 好那这个数据
[77.20-79.46] 就是我们今天这个报告数据
[79.46-81.86] 就是昨天我们也经会计是查核
[81.86-85.90] 然后昨天董事会也通过了
[85.90-87.96] 好那公司检界这个部分
[87.96-89.00] 好大家就
[89.00-90.10] 没有什么变动
[90.10-92.72] 这个部分就请三月
[92.72-96.30] 那过来看到
[96.30-97.68] 销值表
[97.68-101.86] 那去年第四季是
[101.86-104.62] 营收是行钢是17.25亿
[104.62-106.46] 是比第三季
[106.46-109.70] 因为第三季通常是传统比较淡季
[109.70-111.64] 那还有那个税休的问题
[111.64-113.84] 所以说行钢这边是
[113.84-116.34] 增加了14个%
[116.34-118.16] 那条线的部分是
[118.16-118.88] 嗯
[118.88-122.44] 第四季去年第四季
[122.44-124.44] 营收是20.24
[124.44-126.54] 主要就是说
[126.54-128.12] 这个部分应该也差不多
[128.12-130.74] 这个可能等一下那个数字的变化
[130.74-131.68] 在等一下装卸里
[131.68-133.26] 他会再装说明
[133.26-136.08] 那当今的部分是49.2亿
[136.08-138.48] 那是增加9个%
[138.48-142.50] 那总是86.86亿
[142.50-146.12] 那大概比第三季增加6个%
[146.12-148.20] 那跟前年度比的话
[148.20-148.86] 好大概就是
[148.88-151.70] 不是不是大概都是个位数的变动
[151.70-153.98] 那有些可能产品组织中间的变动
[153.98-156.32] 哦
[156.32-160.88] 那以去那个再看去去年一整年度来看的话
[160.88-161.00] 哦
[161.00-163.16] 那行钢行钢的货
[163.16-165.60] 那个销售还是
[165.60-166.82] 又7.17
[166.82-167.78] 那比前年
[168.92-171.38] 你前年是减少8个%
[171.38-173.94] 那最主要是去年去年
[173.94-176.88] 那个售价大概是一路下跌
[176.88-178.52] 那第二个部分哦
[178.52-180.64] 小幅衰退这样子
[180.64-182.28] 那条线的话
[182.28-184.40] 条线的话就是前年
[184.40-187.56] 前年算是条线产业这个比较鼓鼎
[187.56-190.52] 那去去年有比较回温
[190.52-193.92] 所以说去年条线这边整个年度是82
[193.92-197.16] 82亿比前年是增加10个%
[197.16-200.02] 那钢筋大概就是维持差不多一样的水准
[200.02-202.94] 他去年营收是193亿
[202.94-205.40] 大概减少3个%
[205.40-206.96] 那全年度所有的产品加起来是343亿
[206.96-207.96] 那全年度所有的产品加起来是343亿
[207.96-209.10] 那全年度所有的产品加起来是343亿
[209.10-211.92] 那大概也跟前年差不多
[211.92-213.92] 那大概也跟前年差不多
[213.92-216.12] 那在过来产品组合方面
[216.12-218.12] 那在过来产品组合方面
[218.12-220.04] 大概目前都维持
[220.04-221.92] 钢筋是50多%
[221.92-223.52] 那接近六成这边
[223.52-228.02] 那新钢去年第四季是20个%
[228.02-229.76] 条线是23
[229.76-231.20] 钢筋57
[231.20-237.16] 跟第三季或前年的第四季
[237.16-237.20] 跟第三季或前年的第四季
[237.20-237.94] 大概大概
[237.96-240.00] 那个品质差异不大
[240.00-242.20] 那内销去年
[242.20-244.84] 去年那个是91个%
[244.84-246.96] 外销是9个%
[246.96-250.20] 大概也是没有太大的变动
[250.20-252.20] 那以整个年度来看
[252.20-253.92] 也大概就是维持那个比例
[253.92-257.20] 大概新钢就是20%
[257.20-258.72] 条线24%
[258.72-260.24] 钢筋56%
[260.24-264.00] 这个大概没有什么太大的变动
[264.00-267.56] 那再过来销量的部分
[267.56-270.56] 那去年第四季
[270.56-273.32] 新钢是77,000吨
[273.32-276.60] 那这边增加了19个%
[276.60-280.36] 那条线大概数量差不多
[280.36-281.52] 也是86,000吨
[281.52-282.84] 大概是持平
[282.84-286.84] 那钢筋的话是257,000吨
[286.84-290.48] 大概比第三季增加11个%
[290.48-293.88] 那最主要还是钢筋第三季就是
[293.88-296.48] 就是比较传统的氮气
[296.48-297.40] 然后加上工资的增加
[297.40-298.56] 工资有税休
[298.56-302.12] 所以说第三季就是相对会比较
[302.12-303.68] 出货量会比较少的
[303.68-306.40] 那再跟前一个年度比的话
[306.40-307.52] 那就
[307.52-309.56] 就那个数字就比较接近了
[309.56-311.96] 那去年第四季
[311.96-316.00] 总共的销售数量是42万吨
[316.00-320.68] 那比去年第三季是增加10个%
[320.68-322.60] 那再跟前年第四季比
[322.60-325.92] 大概就是接近持平
[325.92-327.40] 那整年度的话
[327.40-329.40] 去年行钢
[329.40-332.84] 行钢就是还是跟往年一样
[332.84-335.92] 就是逐步慢慢在衰退
[335.92-339.56] 那去年大概接近29万吨
[339.56-342.04] 那大概又减少了大概1万多吨
[342.04-343.60] 减少了4%
[343.60-345.00] 那条件的话
[345.00-349.44] 就是去年整年是33万5千吨
[349.44-351.44] 那大概增加11%
[351.44-353.88] 那钢筋98万8千吨
[353.88-356.52] 大概跟前一个年度大概
[357.40-358.68] 差距不大
[358.68-361.64] 那去年所有的产品加起来是
[361.64-363.56] 161万吨
[363.56-365.96] 那比去年前年增加
[365.96-367.88] 接近2万吨
[367.88-369.12] 大概也是
[369.12-373.80] 就是差距没有很大
[373.80-375.40] 那这个
[375.40-377.28] 以销量来看的话
[377.28-379.64] 那行钢大概就是维持
[379.64-381.80] 大概比20%少一点点
[381.80-384.12] 那条件大概就是比20%多一点点
[384.12-385.76] 那钢筋就是接近6成
[385.76-387.40] 大概就是220%
[387.40-389.20] 226%这个比率
[389.20-392.24] 大概这几个年度或者各季
[392.24-397.12] 大概就是那个变动都不会太大
[397.12-402.48] 那销售量全年度大概也是维持这个水准
[402.48-403.84] 大概就是
[403.84-405.76] 就行钢比20%少一点
[405.76-407.88] 条件比20%多一点
[407.88-409.44] 然后钢筋那6成
[409.44-412.60] 就是大概去年跟前几年的
[412.60-415.00] 这个最近这几年的这个产标多
[415.00-417.24] 大概没有太大的变动
[417.40-423.28] 那再过来这个是这5年的销售状况
[423.28-425.48] 其实我们看得出来就出了
[425.48-428.52] 2021是算我们公司
[428.52-430.72] 那个最景气的时候
[430.72-433.48] 那一年是销售17.7
[433.48-435.84] 177万吨
[435.84-437.52] 那其他大概就是
[437.52-440.52] 我一直在160万吨上下
[440.52-443.28] 去年也是大概就是161万吨
[443.28-445.96] 所以说我们的这个销售数量
[445.96-447.24] 大概就是
[447.24-451.32] 维持就是没有太大的变动
[451.32-455.12] 那简明合并资产付贷表
[455.12-456.20] 这个就请参阅
[456.20-461.56] 那去年的每股净值是38.28元
[461.56-464.48] 那这个
[464.48-466.08] 简明合并损益表
[466.08-467.40] 这个部分
[467.40-470.40] 大概就是都有先公告过了
[470.40-474.08] 那简单看几个数据就是
[474.08-477.08] 每股盈余是去年第四季是1.5%
[477.24-481.32] 那比第3季是增加0.33
[481.32-484.40] 那大概跟前年第4季差不多
[484.40-488.24] 那以整个年度
[488.24-490.04] 前年度来看的话
[490.04-495.04] 2024的每股税后净利是4.26元
[495.04-496.44] 那大概也是比前年
[496.44-498.24] 小幅增加一点点
[498.24-500.80] 增加到0.18
[500.80-502.84] 所以说昨天董事会
[502.84-505.28] 就是也通过就是这个要进一步的进行这个进展
[505.28-506.36] 就是这个要进一步的进展
[506.36-507.20] 就是这个要进一步的进展
[507.24-508.24] 就是这个要进一步的进展
[508.24-511.72] 就是要配发3.5元的现金鼓励
[511.72-514.28] 跟去年的水准是一样的
[514.28-518.24] 那以上大概就是第四季跟去年全年度
[518.24-521.72] 有关那个财务的数据
[521.72-524.84] 后来接下来请庄先生
[524.84-526.40] 简单介绍一下未来展望
[531.40-534.04] 大家好
[534.04-536.36] 接下来由我来报告公司产业
[536.36-538.36] 我们的财务计划
[538.36-542.56] 首先我们来看到第一个
[542.56-545.04] 就是钢铁业的现况
[545.04-548.40] 我们看到出钢的一个生产经济
[548.40-551.84] 我们看可以看得到说2024年
[551.84-556.20] 整体出钢量18亿3900万
[556.20-559.72] 是前年大概减少了0.9
[559.72-562.48] 那主要减少较多的
[562.48-565.48] 但是中国大陆大概减少了大概1.7%
[565.48-566.32] 将近
[566.36-570.36] 大概也是大概千多万个人
[570.36-573.88] 那如果把中国大陆的因素拿掉的话
[573.88-578.24] 事实上其实去年全球的出钢产量大概是持平
[578.24-579.80] 那这边印度呢
[579.80-582.28] 大概他的需求比较强
[582.28-585.16] 那他的增加幅度比较大
[585.16-586.32] 为人商科省
[586.32-588.96] 接下来是越南的较多数
[588.96-590.96] 大概14.5个科省
[590.96-595.76] 那中国大陆他其实去年的产量是大概
[596.36-598.60] 先高或低
[598.60-601.80] 上半年他其实他的
[601.80-604.96] 他的出钢产量是成长的
[604.96-608.84] 那跟但是伴随着他的整个内需啊
[608.84-610.36] 整个国际
[610.36-611.36] 这个
[611.36-613.00] 需求力道的减缓
[613.00-615.96] 所以他在下半年就实施一个
[615.96-617.20] 大概
[617.20-619.52] 将近半年的一个减少
[619.52-624.08] 他下半以上半年的减少减少了5200万个人
[624.08-626.20] 那全年是减少1700万个人
[626.36-628.36] 所以可见他上半年整个的
[628.36-631.36] 一个产量是大增
[631.36-636.36] 那他上半年的产量大增也导致他整整的一个价格趋势
[636.36-639.92] 就是整个国际市场大概都承受这个压力
[639.92-644.64] 所以整个钢价大概一整几乎都下跌不高
[644.64-648.40] 一直到去年的9月底还有一个小白牌
[648.40-653.56] 但是这个白牌他在也是没有多久就就继续的往下
[653.56-655.20] 所以去年钢价往下
[655.20-659.60] 其实最主要的还是在于需求
[659.60-663.28] 尤其是中国大陆需求更不上他的一个
[663.28-664.80] 成产量
[664.80-668.44] 所以导致他有一个大量的外销
[668.44-672.44] 然后就联动的国际钢价的下跌
[672.44-677.68] 所以我们都会关注中国大陆的一个产量的状态
[677.68-679.44] 他也影响了
[679.44-682.08] 大概全球钢价大概是相当大的一个
[682.08-684.04] 平时
[684.04-684.72] 那去年
[684.72-686.72] 中国大陆减少1700万吨
[686.72-691.44] 他一样反映他的产业别的需求
[691.44-694.84] 光融钢就减少了3300万吨
[694.84-697.44] 减少的数颗成相当大
