[0.00-5.00] 觸控佔75%,非觸控佔25%
[5.00-10.00] 細部來看,觸控板佔46%
[10.00-13.00] 觸控螢幕晶片佔19%
[13.00-15.00] 指紋佔10%
[15.00-21.00] 非觸控部分,指向裝置GuanSig佔19%
[21.00-25.00] 微控制器佔4%
[25.00-30.00] 其他2%來自於GuanSig企業的營收
[30.00-33.00] 緊接著看一下我們的損益表
[33.00-38.00] 去年第4季跟2023第4季的比較
[38.00-41.00] 營收部分年減了2.4%
[41.00-43.00] 小幅度的減少
[43.00-48.00] 不過我們的毛利率大概是19.6%
[48.00-52.00] 很明顯優於2023第4季
[52.00-55.00] 增長2.7%
[55.00-59.00] 同時我們也達到上一季
[59.00-62.00] 開發的時候給的高標超過
[62.00-67.00] 總體來講,我們的費用大概是7億8千5
[67.00-71.00] 晚編高於2023第4季
[71.00-74.00] 主要還是聚焦在產品的研發
[74.00-76.00] 還有光照等支出
[76.00-80.00] 所以去年第4季我們的本業淨利是
[80.00-83.00] 7億2千2百萬
[83.00-85.00] 業外的部分大概6百萬
[85.00-87.00] 一個淨收入
[87.00-90.00] 主要原因是去年我們有一些
[90.00-92.00] 所謂匯兌的收益
[92.00-94.00] 利息、股利等等
[94.00-98.00] 當然扣除平價利益的損失
[98.00-100.00] 所以淨利大概6百萬
[100.00-104.00] 所以稅前我們達到7億2千8百萬
[104.00-107.00] 稅後營餘是6億3百萬
[107.00-110.00] 每股營餘2萬億
[110.00-113.00] 所以這個部分我們從稅前稅後
[113.00-115.00] 稅後營餘是6億3百萬
[115.00-120.00] 每股營餘我想都優於2023年第4季
[120.00-125.00] 我們緊接著看第三季的比較
[125.00-130.00] 因為我想第4季常態性是消費性的淡季
[130.00-134.00] 所以我們在去年第4季的營收
[134.00-139.00] 相較第三季大概季減10.8%
[139.00-143.00] 不過實際上去年第4季因為美國
[143.00-145.00] 這個所謂銷售的問題是
[145.00-147.00] 新政府即將上任
[147.00-149.00] 我想這個
[149.00-151.00] 不安稅的一個因素影響
[151.00-154.00] 品牌客戶有提前拉貨
[154.00-157.00] 還有新增訂單這兩個動作
[157.00-163.00] 所以這個效益我想應該會落在第4季跟今年第1季
[163.00-166.00] 所以毛利率的部分大概49.6
[166.00-171.00] 我想也優於前一季的49.3
[171.00-173.00] 費用的部分我想都是相對的嘛
[173.00-175.00] 主要在研究的部分
[175.00-178.00] 也就是在超過20.8 費用的增加
[178.00-180.00] 所以整個來講
[180.00-182.00] 我們OPEMARGIN是23.8
[182.00-185.00] 那每股均2.1
[185.00-191.00] 所以我們整個去年下半年的營運是4.59元
[191.00-195.00] 那今天上午我們召開董事會
[195.00-198.00] 決議分派現金鼓勵
[198.00-200.00] 每股3.7元
[200.00-203.00] 我想還是維持我們原先的承諾
[203.00-205.00] 就是在我們的
[205.00-207.00] 比例的八成或八成以上
[209.80-211.80] 全年角度来看
[211.80-215.80] 我们2024年营收达到126.96亿
[215.80-220.80] 相较2023年年增的5.3%
[220.80-222.80] 毛利率部分
[222.80-226.80] 整个全年平均48.9%
[226.80-231.80] 明显较2023年的45%来得好
[231.80-234.80] 主要因素来自于
[234.80-238.80] 高毛利的产品的成长性比较明显
[238.80-243.80] 特别去年大概有三个产品成长
[243.80-245.80] 其中两个是高毛利产品
[245.80-249.80] 所以整个毛利带动的效应
[249.80-251.80] 就有发挥出来
[251.80-253.80] 整体来看
[253.80-257.80] 我们的OPEX大概是31.38亿
[257.80-261.80] 较2023年的29.98亿
[261.80-262.80] 高一些
[262.80-264.80] 主要是去年第一季
[264.80-266.80] 我们的认定互长股的一个费用
[266.80-268.80] 6500万
[268.80-270.80] 另外我们一龙电子
[270.80-274.80] 每年都有薪资的一个增加
[274.80-277.80] 就是说加薪的动作
[277.80-281.80] 这两个因素是OPEX
[281.80-284.80] 略增的一个主要原因
[284.80-288.80] 所以我们的本业绩率去年是30.66亿
[288.80-290.80] 业外部分大概有200亿
[290.80-291.80] 700亿
[291.80-292.80] 我想一样
[292.80-294.80] 去年一整年
[294.80-296.80] 第三季来讲汇兑
[296.80-300.80] 我想这个升值比较明显
[300.80-301.80] 前面角度看
[301.80-304.80] 我们的汇兑收益还是9500万
[304.80-306.80] 这一个正面的效益
[306.80-310.80] 其他还有些现金股利等等
[310.80-311.80] 利息收入
[311.80-313.80] 还有一些AI辅助款等等
[313.80-315.80] 不过当然评价损失
[315.80-316.80] 权益法这些
[316.80-319.80] 我想整个Net之后
[319.80-320.80] 大概还有一个
[320.80-323.80] 2107百万的一个收益
[323.80-328.80] 所以税前大概是32.73亿
[328.80-332.80] 我们税后是27.36亿
[332.80-337.80] 这样全年的美股平均大概是9.57元
[337.80-339.80] 所以去年总体营运
[339.80-341.80] 我们看在营收
[341.80-343.80] 在毛利率
[343.80-345.80] 在我们的营业净利
