[0.00-5.10] 各位投资先进下午好
[5.10-7.70] 欢迎参加永丰金证券主办的
[7.70-11.58] 巧心2024年第四季线上法人说明会
[11.58-15.86] 今天法说会主讲人为黄冠斌副总经理
[15.86-20.70] 黄惠斐经理及肖飞林董事长特助
[20.70-21.92] 会议开始
[21.92-24.62] 我们先请公司帮我们简报
[24.62-28.20] 2024第四季财务和营运状况
[28.20-30.18] 简报后回QA时间
[30.18-32.86] 若各位投资先进有任何问题
[32.86-35.04] 可将问题留在问与答
[35.04-37.70] QA时间公司会一一回复
[37.70-40.28] 那我们现在把时间交给巧心
[40.28-40.76] 谢谢
[40.76-42.66] 好谢谢主持人
[42.66-44.84] 那我这边是巧心公司的Ben
[44.84-46.62] 来跟各位做一个简单的说明
[46.62-47.96] 那当然我们这边还有朝长
[47.96-49.30] 以及我们发言人Fisha
[49.30-53.88] 那首先来跟各位报告一下
[53.88-56.42] 我们在2024年的整个营运的成果
[56.42-60.54] 如同昨天董事会后
[60.54-62.34] 跟就是我们上传到
[62.34-65.52] 中大公开经营交易站的一个资讯
[65.52-68.32] 在2024年的第四季
[68.32-70.02] 我们的营业收入是19亿
[70.02-72.28] 那营业毛利是5.32亿
[72.28-73.64] 那各位可以看到
[73.64-75.62] 我们在第四季的单季毛利率
[75.62-77.06] 来到了27.6
[77.06-78.56] 那这个是我们一直以来
[78.56-79.84] 在提升的目标
[79.84-81.66] 那营业费用率的部分
[81.66-84.40] 大概是在13%
[84.40-86.14] 那营业利率的部分
[86.14-86.40] 也在13%
[86.42-89.60] 也来到了14.56的百分比
[89.60-90.68] 那这个部分呢
[90.68-92.76] 也是朝着我们15%到20%
[92.76-94.06] 这样的一个目标在前进
[94.06-95.70] 那第四季的部分呢
[95.70-97.28] 主要因为还有一些汇率影响
[97.28-99.52] 所以在整个净非营业税的部分
[99.52-102.68] 它是大概有8千8百万的一个费用
[102.68-103.48] 因此呢
[103.48-104.90] 我们在整个税前税的部分
[104.90-106.50] 来到1.93亿
[106.50-108.50] 那我们在整体的一个
[108.50-110.48] 第四季的净利率的部分是7.95
[110.48-112.10] 那整个来说呢
[112.10-114.12] 我们大概数字上来讲的话
[114.12-115.10] 是比第三季
[115.10-116.34] 虽然营收有
[116.42-117.12] 稍微多一点
[117.12-118.58] 那因为有汇率的影响
[118.58-120.14] 所以在整个EPA的部分
[120.14-121.64] 有稍微的一个落后一些
[121.64-122.56] 在0.62
[122.56-124.68] 那我们来看一下一个
[124.68-127.34] 在全年的部分呢
[127.34-130.60] 23年的全年营收是77.77亿
[130.60-131.56] 那各位知道
[131.56-133.16] 我们在之前公关营收的时候
[133.16-134.08] 大概就有说明
[134.08-136.18] 今年的一个营业收入
[136.18-137.84] 是一个微幅的一个负成长
[137.84-138.68] 但是呢
[138.68-141.02] 在我们整体的一个效率提升
[141.02-143.08] 以及我们在整体的一个产品比的
[143.08-144.66] 一个调整的部分呢
[144.66-146.14] 当然包含我们在
[146.14-147.58] 整体的一个竞争型轮圈
[147.58-149.08] 已经生成与使用的部分
[149.08-151.40] 让我们整体的一个全年毛利率
[151.40-152.92] 来到了26.81
[152.92-155.16] 那确实如果说
[155.16-157.26] 以我们单季第四季来看的话
[157.26-158.34] 其实已经来到了
[158.34-160.02] 我们27到30这样的一个目标
[160.02-161.68] 那营业的费用的部分
[161.68-164.12] 主要应该还是在去年的一个
[164.12-165.76] 年终的部分
[165.76-168.76] 因为在整体的一个运费的部分
[168.76-171.90] 其实在年终的部分来到了高点
[171.90-172.44] 因此呢
[172.44-173.64] 我们的单季的
[173.64-175.22] 应该说20年的营业费用
[175.22-176.12] 稍微还是偏高的
[176.14-177.94] 那现在看起来的话
[177.94-179.08] 就是以结果来讲
[179.08-181.38] 是有在13.73个百分点
[181.38-182.64] 那因此呢
[182.64-183.64] 整个结算起来
[183.64-184.84] 我们的营业利益率
[184.84-187.62] 全年的营业利益率是13.08
[187.62-190.48] 那当然在非营业属益的部分的话
[190.48-192.44] 大概就会有一些抵消的部分
[192.44-192.88] 因此呢
[192.88-193.96] 我们大概看起来
[193.96-195.88] 它是小幅的一个负了3400万
[195.88-197.54] 那整个来说
[197.54-199.20] 24年的一个整体的成绩
[199.20-200.80] 在税前属益来到9亿
[200.80-202.76] 那归属于母公司的话
