[0.00-1.00] 今天的論壇
[1.70-4.40] 好 歡迎各位投資先進參加
[4.40-7.70] 台新舉辦的2025第一季全球投資論壇
[8.32-10.44] 本公司今天很榮幸邀請到
[10.44-12.76] 穆德科技股份有限公司
[12.88-15.64] 來參與到今天的這個論壇當中
[15.64-19.00] 那首先先來介紹今天與會的公司長官
[19.16-21.56] 第一位是我們汪峰夏董事長
[25.92-27.84] 以及蘇怡范財務長
[30.00-34.88] 本次的法說會分為公司簡報以及QA兩個階段
[34.88-36.60] 在簡報的過程中
[36.60-38.60] 若投資人有任何的問題
[38.60-41.32] 都可以在提問單上寫下您的問題
[41.32-44.68] 我們會與簡報階段結束後進行回收
[44.68-46.92] 並由公司統一進行答覆
[47.72-50.24] 那接下來就有請汪峰夏董事長
[50.24-53.40] 來為各位投資人介紹公司目前的營運概況
[56.16-57.16] 謝謝
[58.52-59.52] 各位先進
[60.00-62.00] 還有媒體的好朋友
[62.00-64.00] 大家午安
[66.00-69.20] 這個好久沒有來參加Rollshow了
[69.20-71.20] 疫情過後到現在
[71.20-75.04] 所以今天我會利用一點點的時間
[75.04-77.04] 跟各位報告一下
[77.04-79.04] 公司未來的發展的一些狀況
[79.04-83.04] 還有一些的生產的準備
[83.04-87.04] 跟未來可能會發生的一些事情
[87.04-89.96] 所以如果各位先進有什麼意見
[89.96-91.96] 也可以在我Presentation後
[91.96-94.96] 可以跟我一起來討教
[94.96-96.96] 時間很短
[96.96-98.96] 我今天的Presentation時間非常短
[98.96-100.96] 一共只有三張投影片
[100.96-104.96] 所以各位可以有充分的時間可以去做一些的討論
[104.96-108.96] 這個不包含在投影片之類的
[108.96-112.96] 所以第一張投影片已經看了
[112.96-115.96] 大概今天只有三個內容
[115.96-117.96] 第一個內容就是我會把公司的產品佈局
[117.96-118.96] 跟我們公司的產品佈局的內容來討論
[119.96-121.96] 第一個是市場發展方向
[121.96-122.96] 跟各位報告
[122.96-126.96] 第二個就是我們整個的將來以後
[126.96-128.96] Production的一些的佈局
[128.96-135.96] 因為現在公司的這個工廠的capacity是不夠的
[135.96-138.96] 我們將來以後要怎麼因應我們現在的一些的發展
[138.96-142.96] 要做一些期間的一些規劃
[142.96-145.96] 第三個就是有關於一些財務的一些的質量
[145.96-147.96] 也只有一張投影片
[147.96-148.96] 跟各位報告
[149.96-155.96] 所以我們來先看一下我們的Product Road Map
[155.96-160.96] 可能大家所知道的Mark Legion物質科技
[160.96-163.96] 它就是PCB的AOI的廠商
[163.96-166.96] 我們在PCB已經做了20多年
[166.96-171.96] 也算是PCB裡面AOI的leading的AOI company
[171.96-174.96] 這是大家傳統的印象
[174.96-179.96] 其實在過去就是包括在去年之前
[179.96-183.96] 我們的PCB的營收是佔了我們全部公司的95%
[183.96-187.96] 所以真正的我們雖然發展的半導體好多年了
[187.96-190.96] 真正的佔的percentage非常的低
[190.96-195.96] 那今天跟各位報告就是會有一個迥然不同的一個變革
[195.96-199.96] 以後PCB的佔比一定會大幅的下降
[199.96-202.96] 那我在這邊也跟各位報告一下
[202.96-205.96] 從過去的Mark Legion到現在的Mark Legion
[205.96-207.96] 它真的會有什麼樣的差別
[209.96-213.96] 我們來看一下我們整個電子產業
[213.96-216.96] 其實最下游的就是SMT
[216.96-219.96] 就是做一些service mount
[219.96-221.96] 放一些IC在PC板上面
[221.96-223.96] 再上游的話就是螺板
[223.96-225.96] 就是我們所謂的PC板
[225.96-230.96] 再往上走就是我們的所謂的封裝的產業
[230.96-233.96] 再上面一層就是我們的晶圓廠
[233.96-235.96] 就是做IC的晶圓廠
[235.96-239.96] 過去的話我們其實focus都是在PCB
[239.96-242.96] 也就是其他各位看到藍色的部分
[242.96-245.96] 所以PCB也有分成三類的PCB
[245.96-248.96] 一個是AirPCB就是所謂軟板的PCB
[248.96-252.96] 然後也有RigidPCB就是硬板的PCB
[252.96-255.96] 還有我們所謂的載板就是Subtrade
[255.96-258.96] 那這個三個就是PCB整個的一個關聯性
[258.96-262.96] 但是有一部分的人把Subtrade放在半導體頁
[262.96-264.96] 不把它放在PCB頁
[264.96-267.96] 但是我們基本上這個不是重點
[267.96-269.96] 所以我們
[269.96-273.96] MarkVision在過去之前都是在找中一些PCB的AOI
[273.96-276.96] 那也有在五六年前我們就開始佈局
[276.96-279.96] WAFER就是Packaging的部分
[279.96-281.96] Packaging的AOI這個WAFER的AOI
[281.96-285.96] 那就是說晶圓廠做好的這個晶圓WAFER
[285.96-288.96] 送到出貨前可能他要做檢查
[288.96-294.96] 跟送到封裝廠的入料的檢查
[294.96-296.96] 然後切割以後的檢查
[296.96-297.96] 大概就做了那一部分
[297.96-299.96] 可是我們五六年來
[299.96-302.96] 其實我們在半導體投入很久
[302.96-305.96] 但是其實效果非常的差
[305.96-311.96] 那因為半導體整個產業跟PCB的產業的文化是完全重大不同的
[311.96-314.96] PCB它的產業的文化很單純
[314.96-316.96] 因為它的利潤比較低
[316.96-318.96] 所以只要你的性價比好的設備
[318.96-320.96] 它是沒有重產度的
[320.96-322.96] 它都會願意來使用
[322.96-323.96] 可是半導體它完全不同
[323.96-326.96] 因為半導體它還要經過終端客服的認證
[326.96-328.96] 所以你光是看到半導體的設備
[328.96-330.96] 你認為說你可以做得比它好
[330.96-331.96] 你不見得有機會
[331.96-335.96] 應該說你沒有機會可以從中間的去攔截
[335.96-337.96] 你必須在in advance
[337.96-339.96] 在最早以前還沒開始
[339.96-341.96] 在profession生產量之前
[341.96-342.96] 你就應該要參與
[342.96-346.96] 如果你沒有參與前面的一些的前期的一些規劃
[346.96-348.96] 你後面看到人家的產線上面的設備
[348.96-350.96] 你在做你是來不及的
[350.96-352.96] 所以這也就是我們在半導體
[352.96-353.96] 過去的這麼多年來
[353.96-356.96] 一直沒辦法突破最大的一個原因
[356.96-358.96] 因為我們都是看別人的設備
[358.96-361.96] 別人的車尾燈在做這個產品
[361.96-364.96] 這個也是我們在兩年前
[364.96-365.96] 我們跟日月光
[365.96-367.96] 請問日月光成為我們策略性投資夥伴
[367.96-368.96] 一個最大的原因
[368.96-370.96] 因為它是封裝的龍頭
[370.96-373.96] 我們在那邊我們才能夠看到封裝
[373.96-374.96] 他們所需要設備
[374.96-377.96] 包括先進封裝他們所需要設備
[377.96-381.96] 在一開始還沒有到量產的階段
[381.96-382.96] 我們就應該要參與
[382.96-384.96] 否則的話等到他們已經量產的時候
[384.96-386.96] 我們參與就來不及了
[386.96-387.96] 這是最大不同
[388.96-390.96] 我跟各位報告
[390.96-394.96] 就是說過往在PCB這個AOI上面
[394.96-395.96] 我們是有一些發展
[395.96-397.96] 這是我們的發展
[397.96-400.96] 然後還有一部分就是在Wafer AOI我們發展
[400.96-402.96] 但是Wafer AOI直到去年為止
[402.96-404.96] 營收都不到5%
[404.96-406.96] 都很低
[406.96-409.96] 在從今年開始
[409.96-411.96] 就會有一個很大幅度的變革了
[411.96-415.96] 因為我們不是只是在這兩個產業裡面
[415.96-418.96] 只有兩個產業
[418.96-420.96] 我們是一個方向的產品
[420.96-423.96] 事實上我們的產品已經分成了四類的產品
[423.96-430.96] 在PCB上面我們今年推出了四線的測試機
[430.96-435.96] 這個測試機是我們在公司一共做了五年的研發
[435.96-438.96] 我們不像漢維科它做了十年
[438.96-439.96] 我一件
[439.96-441.96] 我們少了一半的時間
[441.96-443.96] 但這一件真的磨得很辛苦
[443.96-447.96] 因為我們把PCB四線的機器做出來以後
[448.96-449.96] 今年就要RUN去了
[449.96-452.96] 我們現在在BetaSight的測試中
[452.96-455.96] 這個Performance非常的優越
[455.96-457.96] 我們為了這台設備
[457.96-459.96] 自己開了兩顆晶片
[459.96-461.96] 兩顆都是類比的晶片
[461.96-462.96] 非常不容易開
[462.96-464.96] 開了好幾次才成功
[464.96-468.96] 這個產品現在目前正在BetaSight測試中
[468.96-474.96] 除了第三個PCB四線測試以外
[474.96-476.96] 我們在Package的IC的
[476.96-478.96] Package的IC的A1
[478.96-480.96] 我們也有很大的一個琢磨
[480.96-485.96] 那也是因為日月光加入我們的團隊以後
[485.96-487.96] 我們加入日月光團隊以後
[487.96-490.96] 我們看到的這個市場其實是蠻大的
[490.96-492.96] 所以在封裝其實我們應該在講
[492.96-493.96] 我們講的封裝
[493.96-497.96] 其實在應該是分成兩塊
[497.96-499.96] 一個是在晶圓的部分
[499.96-500.96] 叫做Wafer
[500.96-502.96] 封裝把晶圓切割後
[502.96-505.96] Bolding以後有長角有長棒的那時候
[505.96-506.96] 我們叫做Packaging
[506.96-508.96] 所以封裝的設備穿著這個方式
[508.96-509.96] 通常是兩類的設備
[509.96-511.96] 一個是Wafer的A1的設備
[511.96-514.96] 一個是Package的A1的設備
[514.96-518.96] 那我們在這兩個上面我們都有琢磨
[518.96-525.96] 那這個四個產業會變成是我們未來公司裡面發展的一個方向
[525.96-529.96] 那我們在四個產業上面都已經有重點的設備
[529.96-531.96] 都已經開始開發成功了
[531.96-535.96] 那所以我們在未來的發展就會從PCB A1
[535.96-537.96] 長成四個產業上面的發展
[537.96-543.96] 而每一個產業的發展其實它的市場的規模都不小於PCB A1
[543.96-546.96] 比方來講我們來講的視線
[546.96-549.96] PCB的視線的這個測試的規模
[549.96-556.96] 它剛剛差不多就是跟PCB A1的整個的PCB A1的這個市場規模差不多大
[556.96-558.96] 那我們可以
[558.96-560.96] 我可以舉幾個例子
[560.96-562.96] 比方說PCB視線的話
[562.96-566.96] 到目前為止我們所知道的話就已經有兩家
[567.96-570.96] 上市公司在這個市場裡面
[570.96-574.96] 那在package的IC這個AOI
[574.96-579.96] 也就是我現在在圖面上面右上角的這個
[579.96-583.96] 那四個目前在我們還沒有加入之前有三家上市的公司
[583.96-587.96] 包括KLA 包括韓國的一家上市公司
[587.96-590.96] 一家馬來西亞上市公司在這個市場裡頭
[590.96-594.96] 那在Wafer的AOI這個市場它更大了
[594.96-597.96] 這個市場裡面包含了KLA 包括Ontru
[597.96-599.96] 包括Kentac
[599.96-601.96] 還包括很多的一些日本的公司
[601.96-603.96] 這些他們都在這裡頭
[603.96-608.96] 那我們剛才講的各位所常常到的先進封裝也是屬於在這個
[608.96-610.96] 在這個Wafer AY裡面
[610.96-614.96] 那Wafer的但是像Fanout的PLP Fanout的WLP
[614.96-617.96] 這些都是屬於在這個Wafer
[617.96-619.96] package這個範圍中裡頭
[619.96-622.96] 那所以這個的市場其實各位都知道也是很大
[622.96-625.96] 所以我們現在的其實從PCB的單一的這個營收的這個市場
[627.96-631.96] 我們現在的支柱現在擴展成四個方向的一個發展
[631.96-633.96] 那我現在跟各位報告一下
[633.96-636.96] 我們現在進度的status跟各位報告一下
[639.96-641.96] 在PCB AOI上面
[641.96-643.96] 目前的我們主要的營收是來自於PL
[643.96-647.96] 我們現在有15個產品在PCB AOI的市場上面
[647.96-649.96] 在過去20幾年來
[649.96-652.96] 陸陸續續的一些的泰格換新還有一些
[652.96-655.96] 所以不管是在軟板 彩板還有這個硬板上面
[655.96-657.96] 我們一共有15個設備
[657.96-663.96] 那有很多設備都是現在目前是世界的leading
[663.96-668.96] 比方說我們的盲孔的檢測
[668.96-670.96] 是世界在流率是最高的
[670.96-674.96] 那比方說我們線路的檢查是世界在流率是最高的
[674.96-676.96] 那這個15個設備裡面
[676.96-683.96] 我們就是目前就支撐著整個MarkVision的它主流的營收
[683.96-686.96] 但是從後面我們還有一個就是
[686.96-689.96] 我們看紅色的就是Wafer AOI
[689.96-695.96] 這個在今年開始也有不少的量也開始出現
[695.96-696.96] 那已經有這個產品
[696.96-697.96] 這個產品已經做好幾年了
[697.96-702.96] 所以這個在我們今年營收也會開始有貢獻
[702.96-703.96] 那目前看到的
[703.96-707.96] 您所看到的我們所有財務的數據
[707.96-710.96] 就是這兩個設備 這兩端的設備
[710.96-712.96] 一個是這邊的 一個這邊的所謂貢獻
[712.96-715.96] 那其他的貢獻的情況我跟各位報告一下
[716.96-721.96] 我們看到有兩個黃色的這個部分
[721.96-724.96] 是我們現在正在BetaSight測試的設備
[724.96-730.96] 一個是Package IC的這個右面檢的這個檢查的設備
[730.96-737.96] 那這個設備做出來的這個Performance相當的優越
[737.96-741.96] 我想我在很多次的法術會我都跟各位先進報告
[741.96-744.96] MarkVision從來不做MeToo的設備
[744.96-746.96] MarkVision也不做60%毛利
[746.96-748.96] 我們現在是做50%以下的設備
