[0.78-9.18] 各位投资先进午安,欢迎参加新路投资控股股份有限公司2024年第四季度法人说明会。
[9.74-13.42] 我是新路投控投资人关系业务窗口庄雨萱。
[14.04-22.60] 今天的会议由新路投控执行长张芳心女士及财务部副总经理童雅静女士进行本次会议简报。
[23.16-24.76] 会议将分为两大部分。
[24.76-32.58] 首先进行2024年第四季度财务重点说明,并报告三大事业体营运成果及未来展望。
[33.04-40.74] 第二部分为问答环节,有意愿参加问答环节的投资人可以随时在直播画面右下角栏位输入你的问题。
[41.20-43.60] 我们将于整理问题后同意回复。
[44.44-49.14] 本次会议简报已经上传至直播平台,敬请各位前往下载。
[49.50-54.74] 另外提醒本次会议为全程录音,将于会后上传至公开资讯。
[54.76-62.32] 并请各位投资先进阅读免责声明。
[69.58-74.62] 现在有请新路投控财务部聪雅静副总为我们进行简报。
[75.94-76.90] 谢谢雨萱。
[77.56-82.60] 新路投控2024年合并营收为新台币307亿元。
[82.74-84.60] 一页经历为12.4元。
[84.76-86.76] 税后经历为11.7亿元。
[86.76-88.76] 每股盈余为1.43元。
[88.76-92.76] 2024年度合并营收跟前一年度相比是持平。
[92.76-96.76] 其中第四季单季营收为76.6亿元。
[96.76-100.76] 一页毛利较前一年度减少了1.9个百分点。
[100.76-108.76] 这个部分主要是来自营收组合中不动产开发事业的营收占新路投控合并营收比重较前一年度减少。
[108.76-111.58] 在毛利率较前一年度减少之下,
[111.58-113.52] 新路投控的收入增加了1.4亿元。
[113.52-114.58] 在新路投控的收入增加了1.4亿元。
[114.58-115.72] 在新路投控的收入增加了1.4亿元。
[115.72-117.72] 新路投控2024年营业经历和税后经历较前一年度减少。
[117.72-119.72] 新路投控2024年营业经历和税后经历较前一年度减少。
[119.72-121.72] 新路投控2024年营业经历和税后经历较前一年度减少。
[121.72-125.72] 另外我说明一下我们第四季单季税后是亏损了1.3亿元。
[125.72-127.72] 另外我说明一下我们第四季单季税后是亏损了1.3亿元。
[127.72-131.06] 业外的汇兑评价利益波动
[131.06-133.18] 造成的1.37亿元的
[133.18-134.40] 照面损益变动
[134.40-135.98] 实际费用上
[135.98-138.14] 主要是因为不动产开发事业
[138.14-139.58] 第四季交入量少
[139.58-141.92] 但预售的部分销售良好
[141.92-143.70] 持续热烈推销费用
[143.70-145.02] 造成整体亏损
[145.02-147.50] 另外我们在旧金山半径这边
[147.50-150.16] 在第四季度有调整了品牌经营
[150.16-152.58] 产生一次性的品牌转换费用
[152.58-154.14] 大约7500万台币
