[0.00-14.54] 各位投资先进午安
[14.54-18.42] 欢迎参加电影投控股份有限公司
[18.42-19.74] 线上法人说明会
[19.74-22.80] 首先为大家介绍今天与会的主讲人
[22.80-24.12] 是刘国金总经理
[24.12-26.82] 会议的程序将先由公司进行
[26.82-28.16] 因情况简报的说明
[28.16-29.36] 再进行Q&A
[29.36-30.96] 在简报的进行中
[30.96-31.94] 如果有任何提问
[31.94-33.48] 请输入到聊天的视窗
[33.48-35.86] 简报完毕后会一并回答您的提问
[35.86-37.90] 那我们就现在就把时间交给
[37.90-38.94] 刘国金总经理
[38.94-40.62] 大家好
[40.62-41.62] 我是静
[41.62-45.28] 首先谢谢永丰金证券的邀请和安排
[45.28-47.60] 也谢谢各位的关心和力量
[47.60-49.58] 今天法说会的议程
[49.58-50.78] 由我先做一个简报
[50.78-52.94] 接下来回答各位先进的提问
[52.94-61.44] 今天的简报内容包括这四个项目
[61.44-65.06] 那这个免责声明供各位了解一下
[65.06-69.22] 首先和大家分享市场资讯
[69.22-73.74] 根据国际货币基金组织IMF
[73.74-77.50] 2025年1月发布的世界经济展望更新
[77.50-81.74] 2024年全球经济增长率为3.2%
[81.74-82.92] 预测国际货币基金组织IMF的增长率为3.2%
[82.94-86.66] 2025年和2026年均为3.3%
[86.66-89.62] 低于历史平均的3.7%
[89.62-91.84] 各国增长分歧
[91.84-93.94] 美国增速提升
[93.94-97.42] 但其他经济体风险偏向下行
[97.42-101.62] 接下来分享Prismark
[101.62-103.68] 2024年12月的报告
[103.68-107.78] 有关于电子市场和印刷电路板市场的趋势
[107.78-111.24] 我们先看2024年电子市场
[111.24-112.92] 与2025年的展望
[112.94-116.42] 2024年整体经济挑战
[116.42-120.26] 包括需求疲弱与库存去化未完成
[120.26-124.84] 高通膨与高利率持续影响全年经济环境
[124.84-130.00] 中国、欧洲、日本等地面临宏观经济的挑战
[130.00-132.58] 地缘政治冲突加剧
[132.58-135.16] 美国半导体技术出口限制
[135.16-136.66] 供应链重组等
[136.66-141.92] 2024年电子市场成长4.6%
[141.92-142.92] 主要受到的是电子市场的增长
[142.94-144.06] 包括AI的驱动
[144.06-153.52] 包括伺服器、高效能运算、数据中心网路、高阶封装、高速电路板与Low-DK材料
[153.52-157.68] AI伺服器市场呈现爆发性的成长
[157.68-159.48] 增长48%
[159.48-162.70] 成为推动电子产业的关键动力
[162.70-165.40] 2025年的展望
[165.40-170.72] AI伺服器未来5年内预计将持续扩张
[170.72-172.48] 年均复合成长率达到1.5%
[172.94-175.84] 为主要的增长动力
[175.84-181.28] 中南亚国家、泰国、马来西亚、越南PCB产能扩张
[181.28-184.42] 也将成为电子产业发展的关键阶段
[184.42-193.90] 接下来是2024年印刷电路板市场与2025年的展望
[193.90-198.38] 2024年印刷电路板市场成长5.8%
[198.38-202.82] 其中18成以上多层板为增长最快的部分
[202.94-204.94] 达25.2%
[204.94-208.38] 虽然部分增长来自其基极较小
[208.38-211.44] 但更突显数据中心、网络设备
[211.44-214.14] 以及AI伺服器的强劲需求
[214.14-219.38] 高密度互联版市场则成长17.8%
[219.38-221.24] 为增速第二的类别
[221.24-226.10] 主要受到High Layer Count以及HDI版的带动
[226.10-232.40] 广泛应用于AI伺服器、高速网络、卫星通信及汽车等领域
[232.40-232.92] 并且增长了20.2%
[232.94-235.24] 展现强劲的成长动能
[235.24-238.10] 2025年的展望
[238.10-242.64] 2025年PCB市场预计成长6.1%
[242.64-246.40] 5年年均复合成长率达5.6%
[246.40-249.88] 全球PCB产能正加速转型
[249.88-254.10] 中国仍未居全球最大的生产基地
[254.10-257.46] 未来将专注于高附加价值产品
[257.46-259.92] 并扩大本地的生产占比
[259.92-262.92] 同时产业整合趋势日益明显
[262.94-266.58] 东南亚地区则迅速崛起
[266.58-270.90] 涵盖多层版、HDI、软板与载板等领域
[270.90-275.16] 未来数年内有望成为全球第二大的生产基地
[275.16-282.66] 此外,日本、台湾及韩国将更加聚焦于高附加价值的先进技术
[282.66-284.88] 进一步提升市场竞争力
[284.88-287.46] 推动产业持续升级发展
[287.46-292.92] 这一页成绩的展望将会带来的成长动能
[292.94-296.94] 并呈现PCB市场产品组合的变迁趋势
[296.94-298.94] 从上面的图可见
[298.94-302.94] HDI在2000年仅占市场的5%
[302.94-306.94] 至2020年已成长到17.8%
[306.94-311.94] 预计到2028年将进一步攀升到19.8%
[311.94-313.94] 下表则显示
[313.94-320.94] HDI在2023至2028年间的年均复合成长率达8.7%
[320.94-321.94] 为所有产品类别中的成长率达8.7%
[321.94-322.94] 为所有产品类别中的成长率达8.7%
[322.94-324.94] 并且在2020年将进一步推进
[324.94-326.94] 成长最快的领域
[326.94-328.94] 并且在2020年将进一步推进
[328.94-330.94] 成长最快的领域
[330.94-332.94] 这一页探讨PCB市场在不同应用领域的发展趋势
[332.94-334.94] 这一页探讨PCB市场在不同应用领域的发展趋势
[334.94-336.94] 由上图可见
[336.94-340.94] Server和DataStorage在2010年
[340.94-343.94] 在市场比重为7.1%
[343.94-346.94] 在2020年成长到9%
[346.94-348.94] 并且持续上升
[348.94-351.94] 预计到2028年将攀升至17%
[351.94-353.94] 预计到2028年将攀升至17%
[353.94-355.94] Automotive
