[0.00-4.80] 国产建材水业股本身公司
[4.80-6.46] 反映说明会正式开始
[6.46-9.14] 非常感谢各位贵宾和投资先进
[9.14-11.04] 波龙参加今天的法说会
[11.04-13.28] 很高兴邀请到公司的经营团队
[13.28-14.32] 来和大家与会
[14.32-16.16] 首先向大家介绍一下
[16.16-17.00] 今天的与会长官
[17.58-19.50] 一位是许建英发言人
[19.50-20.66] 大家好
[20.66-24.26] 第二位是邱随意副总
[24.26-25.58] 大家好
[25.58-28.86] 现在有请许建英发言人
[28.86-31.70] 在大公司营运进矿业绩成果
[31.70-33.44] 及未来展望进行简报
[33.44-34.40] 发言人请
[34.40-36.66] 好谢谢陈小姐
[36.66-39.36] 那欢迎各位投资先进来
[39.36-40.86] 参与这个国产的
[40.86-43.80] 2025年第一次的法说会
[43.80-45.38] 那我们今天的简报
[45.38-47.16] 主要就是这六个部分
[47.16-49.70] 那先开始第一部分
[49.70-51.26] 公司的基本情节
[58.86-60.16] 那这一页的话
[60.16-62.70] 这个应该大家看过之后
[62.70-63.66] 应该就知道
[63.66-65.12] 那主要我要先介绍一下
[65.12-66.62] 就是说我们2019年
[66.62-68.76] 有设立一个国语建材公司
[68.76-70.10] 那他这个主要产品
[70.10-72.62] 就是所谓的钦子砖ALC
[72.62-75.30] 那2021年设立了一个国鼎工程
[75.30-77.02] 那他这个功能就是
[77.02-80.10] 来负责施作钦子砖的
[80.10-82.10] 的工程的公司
[82.10-85.10] 那2024年去年我们跟
[85.10-86.42] 重跃科技的子公司
[86.42-86.70] 建业科技一起投资了这个重置砖的公司
[86.70-86.76] 建业科技一起投资了这个重置砖的公司
[86.76-87.26] 建业科技一起投资了这个重置砖的公司
[87.26-90.30] 建业科技一起投资了这个重置砖的公司
[90.30-91.92] 那这个主要是
[91.92-94.60] 回收科技厂房的一些废料
[94.60-96.16] 然后再生利用
[96.16-98.76] 然后产生混凝土
[98.76-100.90] 这个是未来我们的
[100.90-102.52] 减碳的一个方向
[102.52-105.10] 所以设立了这几家公司
[105.10-106.20] 好
