[0.00-29.40] 國金公司與簡報中提供的外部資料均取於市場公開訊息,並盡力維持最新資訊。
[30.00-54.86] 本公司亦無法就其保證可靠或正確與否。此外,本公司與簡報中提出的前瞻性看法均屬於方向之行為及判斷,會因風險考量、策略調整之故而有所變化,然而本公司沒有公告終止之義務,如者自行斟酌參考。若有因本簡報內容採取的行動而導致直接或間接損失的情勢,那跟本公司無關。
[54.86-66.42] 第二點是本公司在未經說明允許的情況下不得複製、修改、轉載、重編或片面使用於任何公開場所的商業用途。
[66.42-75.22] 今天的簡報內容我先針對幾個項目來跟各位做報告。
[75.22-84.26] 首先是公司的簡介與產品組合,以及公司的行銷模式及公司的成長與營運跡象。
[84.86-100.86] 公司是專業合成數值廠商,主要營運項目有光光化材料、電子化學材料、不薄的聚酯素質、骨料以及其他專項小項的素質。
[100.86-110.86] 生產基地目前有兩個,一個是高雄永安廠,以及在大陸廣東江門的江門廠。
[110.86-113.86] 在今年下半年,我們有一個在台南安南工科技工業公司,
[113.86-114.86] 在今年下半年,我們有一個在台南安南工科技工業公司,
[114.86-118.86] 在今年下半年,我們有一個在台南安南工科技工業公司,
[118.86-121.86] 應該是在今年下半年。
[121.86-130.86] 資本總共十億,去年的銷貨收入有四十億新台幣,員工總數目前459人。
[130.86-141.86] 公司的發展從1978年起到現在46年的歷史。
[141.86-143.86] 大家可能從圖上會看出來,每隔十年幾年,公司的發展會有一個不同的發展。
[143.86-146.86] 大家可能從圖上會看出來,每隔十年幾年,公司的發展會有一個不同的發展。
[146.86-154.86] 公司剛開始進入市場的時候,主要是UBR,就是不法技術素質的一組。
[154.86-163.86] 我們非常著重在基地上的合作,所以我們在跟國外,包含美國廠商Astraland,許多的技術上合作。
[163.86-168.86] 從90年代開始,持續陸續引進其他無料素質的技術,也跟Astraland簽訂了其他Foundryism的合作。
[168.86-170.86] 從90年代開始,持續陸續引進其他無料素質的技術,也跟Astraland簽訂了其他Foundryism的合作。
[170.86-173.86] 從90年代開始,持續陸續引進其他無料素質的技術,也跟Astraland簽訂了其他Foundryism的合作。
[173.86-176.86] 從2000年開始,我們就跨入了UV光固化的時代。
[176.86-180.86] 從2000年開始,我們就跨入了UV光固化的時代。
[180.86-185.86] 公司自身開始開發UV光固化的技術,並且也在大陸投資了加盟廠,準備要給加盟廠服務中國大陸的市場。
[185.86-190.86] 公司自身開始開發UV光固化的時代,並且也在大陸投資了加盟廠,準備要給加盟廠服務中國大陸的市場。
[190.86-193.86] 公司自身開始開發UV光固化的時代,並且也在大陸投資了加盟廠,準備要給加盟廠服務中國大陸的市場。
[193.86-200.86] 從2010年開始,我們擴大了UV光固化的生產,在永安區擴建了25000噸人產品。
