[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-212.00] 订阅 转发 打赏支持明镜与点点栏目
[212.00-216.00] 订阅 转发 打赏支持明镜与点点栏目
[216.00-220.00] 订阅 转发 打赏支持明椿izing 后期股段
[220.00-226.04] 订阅 转发 打赏支持明镜与点点栏目
[226.04-229.80] 订阅 转发 打赏支持明镜与点点栏目
[229.80-233.92] 订阅 转发 打赏支持明镜与点点栏目
[233.92-237.00] 订阅 转发 打赏支持明�Type 人和愛美社区
[237.00-237.90] 订阅 转发 打赏支持明镜与点点栏目
[237.90-242.04] 在前瞻法規創下了歷史新高的一個局面
[242.04-247.24] 我們的稅前存益來到13.79億
[247.24-250.34] 比去年同期增長了11.7%
[250.34-253.34] 稅後建立來到11.6億
[253.34-256.76] 也比去年同期增長了18.8%
[256.76-260.18] 這兩個數字也是我們公司成立以來的歷史新高
[260.18-262.26] 所以我們公司在去年
[262.26-264.16] 在從業務面的反應是
[264.16-267.52] 業績面跟營運獲利面都碰到歷史新高
[267.90-273.40] 所以我們的稅後EPS是3.21億元
[273.40-278.88] 然後資產報酬率是4.95%
[278.88-282.18] 股東區報酬率來到接近10%的9.95%
[282.18-285.42] 這個是去年的一個
[285.42-290.76] 如果我們來把獲利拆解成
[290.76-293.76] 我們的保險業務利益跟國資損益的話
[293.76-294.82] 會是怎樣的經驗
[294.82-297.76] 保險業務利益去年大概是
[297.76-297.90] 6.5%
[297.90-299.90] 6.08億
[299.90-302.90] 這個比去年同期少了接近12%
[302.90-305.90] 大概少了大概8100萬
[305.90-307.90] 這個沒辦法
[307.90-311.22] 就是有一些單一年度的農民
[311.22-314.22] 包括去年其實04、03的地震
[314.22-318.22] 然後7月的台米颱風
[318.22-321.22] 然後10月份的山陀兒跟
[321.22-324.22] 這是什麼颱風
[324.22-326.22] 10月有兩個颱風
[326.22-327.76] 這一定會造成我們在
[327.76-329.76] 領域面上有所增加
[329.76-331.76] 比起前年的無風無雨
[331.76-333.76] 火太明暗的話一定會有所增加
[333.76-335.76] 所以在去年的一個
[335.76-337.76] 因為呈現的表面上
[337.76-339.76] 我們在保險業務的確是下降
[339.76-342.76] 那這主要是受到天災運輸
[342.76-343.76] 並不是我們公司單一的
[343.76-345.76] 特別公司的單一因素
[345.76-348.76] 那我現在還沒看到其他同業的
[348.76-351.76] 我相信其他同業可能也是類似這樣的狀況
[351.76-353.76] 因為大家面臨的是同一個市場
[353.76-354.76] 同一個產業
[354.76-357.76] 這是我們在保險業務運輸的
[357.76-362.76] 那去年比較亮眼的是我們在投資運用的部分
[362.76-366.76] 我們去年投資稅前利益是707億元
[366.76-370.76] 這個比前年同期增加了接近60%
[370.76-375.76] 那有幾個主要的一個增長的部分
[375.76-376.76] 我來跟各位介紹一下
[376.76-380.76] 第一個我們在固定收益就是利息收入
[380.76-382.76] 就穩健收益的利息收入部分的話
[382.76-384.76] 我們成長的快25%
[384.76-386.76] 等一下還用表數字來跟各位報告
[387.76-389.76] 主要一個是我們這兩年持續的增加
[389.76-391.76] 台幣債券部位
[391.76-393.76] 增加債券部位就會產生利息收入
[393.76-396.76] 這兩年在利息收入上面增長是很明顯
[396.76-399.76] 因為最主要是我們的
[399.76-403.76] 欸 哥哥 面來了
[403.76-407.76] 好 就是我們在利息收入
[407.76-409.76] 我們在債券地上配行
[409.76-413.76] 大家可以看到我們這兩年在債券部位配置的比較積極一點
[413.76-416.76] 為此第一個 國際環境在升息
[417.76-420.76] 升息本來就是配置債券比較好的時機
[420.76-423.76] 第二個 台幣的債券市場
[423.76-426.76] 也產生了不錯的一個投資標的
[426.76-428.76] 這我們等一下再跟各位報告
[428.76-430.76] 所以我們在債券部位上的配置
[430.76-432.76] 等下我們可以看到我們在債券部位上配置的很多
[432.76-434.76] 增加了很多的配置
[434.76-436.76] 那這會衍生出什麼
[436.76-438.76] 往後的每一年
[438.76-441.76] 我們的利息收入都會出現的增加
[441.76-443.76] 這跟行情無關
[443.76-444.76] 跟股市行情無關
[444.76-446.76] 跟川普川普也無關
[446.76-447.76] 所以我們公司
[447.76-449.76] 如果一直在follow我們公司都知道
[449.76-451.76] 我在投資市場上配置
[451.76-454.76] 我希望我們公司來自於穩健型收益的比重
[454.76-456.76] 能夠持續往上升
[456.76-458.76] 這包括我們的債息收入
[458.76-459.76] 我們的股利收入
[459.76-461.76] 還有我們不動產的一個逐減收益
[461.76-464.76] 這些不受市場影響的穩健型經常性的收益
[464.76-466.76] 我們希望它能夠佔我們投資比重
[466.76-467.76] 越來越高
[467.76-470.76] 這樣對我們營運
[470.76-472.76] 營餘品質的一個呈現
[472.76-475.76] 我覺得是很好的一個方式
[476.76-478.76] 讓我們股東也是一個很好的
[478.76-480.76] 收益的一個回饋
[480.76-485.76] 去年還有兩個比較大因素
[485.76-487.76] 一個是股權的部分
[487.76-491.76] 去年台股就上漲了28.5%
[491.76-495.76] 我大概有30幾億的上市櫃的部分
[495.76-498.76] 這方面的評價收益會增加
[498.76-501.76] 另外我們在股利的部分的收入
[501.76-504.76] 也是比前年增加很多
[504.76-506.76] 這跟股市行情無關
[506.76-511.76] 所以這邊會有明顯的增加
[511.76-513.76] 我們去年有處分一個不動產
[513.76-516.76] 過去已經兩三年沒有處分
[516.76-518.76] 去年我們處分一個不動產
[518.76-520.76] 這個大概有2000多萬的收益
[520.76-521.76] 所以我們今天不動產的收益
[521.76-522.76] 中比較持平的
[522.76-525.76] 在去年都有比較明顯的增加
[525.76-526.76] 另外還有一塊
[526.76-531.76] 去年台幣貶值的6.5%
[531.76-533.76] 如果我沒記錯的話
[533.76-534.76] 因為我們海外投資
[534.76-536.68] 我們會因此產生匯匯收益的
[536.76-538.76] 這個匯兌收益大概接近1億元
[538.76-540.76] 9900萬也接近1億元
[540.76-547.76] 這個部分會有比較大的一個
[547.76-548.76] 就是說這7.7億元裡面
[548.76-551.76] 會有1億元的一個匯兌收益
[551.76-555.76] 大家都知道我們公司沒有在避險
[555.76-558.76] 我避險不是我對我匯率的痛感
[558.76-562.76] 而是我國外配置僅佔我投資資產裡面
[562.76-564.76] 大概5.6%
[564.76-568.76] 在美台利差有這麼大的情況下
[568.76-570.76] 避險成本都不會平穩
[570.76-571.76] 所以相較起來一下
[571.76-573.76] 因為我的暴露在美元的風險
[573.76-575.76] 占我整體資產比率比較低
[575.76-578.76] 再加上避險成本又比較大一點
[578.76-582.76] 所以我們公司沒有在做外匯的避險
[582.76-585.76] 這會造成去年的危險
[585.76-588.76] 好那我再整個overview一下
[588.76-592.76] 第一個我們在券配置上面
[592.76-593.76] 這是我建設的說明
[593.76-595.70] 這是 productions
[595.70-596.76] 這是我們了解到的
[596.76-597.64] 這大概就是我對給你的
[597.64-598.70] Look exceed的意思
[598.70-599.76] 所以我們就是一個
[599.76-600.76] 上菜單位
[600.76-603.32] 而且我們 brings
[603.32-604.76] 可能有很多人想說
[604.76-605.24] 我們沒有在這種形而行後
[605.24-607.76] 其實基本上你們這樣就如何
[607.76-612.66] 沒有不認得
[612.66-613.76] 你的思維
[613.76-613.96] 給你一個理解
[613.96-616.42] 他在洗碗這個會從 compassionate
[616.42-616.76] 跟 Summit 出現的
[616.76-617.76] 這個 relaxed
[617.76-619.76] 有地方都是可以是
[619.76-620.76] 來自放…
