[0.00-1.08] 谢谢
[1.08-5.22] 各位贵宾早安
[5.22-7.10] 非常欢迎今天所有贵宾
[7.10-7.68] 力临知道
[7.68-9.74] 元大证券第一季投资论坛
[9.74-12.20] 今日论坛我们特别邀请到
[12.20-13.96] 台达店投资关系人
[13.96-16.40] 刘志远经理来为我们讲解
[16.40-18.94] 让我们热烈掌声欢迎
[18.94-20.98] 大家早
[20.98-25.14] 这个画面
[25.14-27.88] 一定要在哪里
[27.88-28.88] 我调整一下
[28.88-30.96] 好 谢谢
[30.96-32.58] 大家好
[32.58-35.68] 那个就是一样
[35.68-37.78] 我这边这个简报稍微讲一下
[37.78-39.66] 那简报的话主要就是
[39.66-41.20] 第四季的财报
[41.20-43.30] 那我们是差不多两个星期前
[43.30-45.36] 实际上是不到两个星期
[45.36-47.74] 那个才公布的财报
[47.74-49.50] 所以算是新鲜的数字了
[49.50-51.32] 但是如果各位有来参加
[51.32-53.08] 我们那时候的法说会的话
[53.08-55.26] 可能就会包含一下
[55.26-57.06] 那个讲的内容会有一些雷同
[57.06-60.04] 那当然等一下会让大家问问题
[60.04-64.02] 那一样这个我还是要先声明一下
[64.02-65.52] 我们公司是没有做裁测的
[65.52-66.88] 所以我们这个
[66.88-70.00] 当然会讲一下我们的期待
[70.00-73.36] 但是没有办法给什么预测性的数字
[73.36-76.68] 好 那财报的部分
[76.68-79.42] 整年的所以它是有audit
[79.42-80.76] 那是整年的部分
[80.76-83.94] 第四季的部分就没有这个audit
[83.94-86.02] 但我先讲一下第四季
[86.02-86.88] 我们第四季的
[86.88-87.04] 应该是有很多的财报
[87.04-89.86] 营收是1142亿
[89.86-92.54] 那比第三季是好了大概两个percent
[92.54-93.84] 季对季两个percent
[93.84-95.98] 年对年是14个percent
[95.98-99.82] 那去年整年算是倒是干这了
[99.82-100.92] 第一季的时候
[100.92-105.84] 营收还比前一年的第一季衰退了两个percent
[105.84-108.62] 因为其实景气大概是在
[108.62-112.60] 二三年的下半年开始往下走
[112.60-116.06] 那事实上二四年的
[116.06-117.02] 大概是在
[117.04-119.86] 一二季相对来讲还算是比较难比一点
[119.86-122.66] 那第二季比第一季好一点点
[122.66-125.48] 我们正成长大概两个percent
[125.48-128.72] 然后第三季再增加到正成长大概五个percent
[128.72-130.74] 那第四季就相对好比了
[130.74-132.78] 因为前一年的第四季其实已经
[132.78-134.50] 景气不是很好了
[134.50-137.40] 所以我们就年对年有14个percent的增长
[137.40-141.76] 那我们今年一二月的营收也已经公告了
[141.76-143.64] 然后一月的话是15个percent
[143.64-145.02] 那二月有40个percent
[145.02-146.86] 那跟过年有关系了
[146.86-150.18] 所以一二月加在一起是差不多20个percent
[150.18-154.02] 那就是比去年整年还要再好一些
[154.02-155.76] 这个也是我们对今年的期待
[155.76-159.14] 因为相对来讲这个基期是比较低的
[159.14-162.44] 所以去年有很多的生意比较辛苦
[162.44-165.76] 除了这个资料中心相关的之外
[165.76-168.00] 很多都是市场是衰退
[168.00-172.86] 那现在的话就是比较的基期是稍微低了一些
[172.86-175.90] 像这个自动化或者是
[176.86-178.86] 网通啦
[178.86-183.00] 还有很多电源或者风扇相对
[183.00-184.80] 像这些应用
[184.80-187.86] 这个consumer啦或者是工业用啊等等
[187.86-189.14] 基期都比较低了
[189.14-192.22] 所以可能就是变成一个正成长
[192.22-193.76] 那就拖累的比较少
[193.76-196.32] 那成长的多的资料中心呢
[196.32-197.60] 今年的贡献又更多了
[197.60-199.38] 因为它占我们的比重越来越大
[199.38-201.94] 像这个伺服器的电源
[201.94-205.28] 前一年二三年的时候占我们的营收大概15个percent
[205.28-206.82] 到24年的时候已经成长了15个percent了
[206.86-208.14] 现在是增加到19个percent
[208.14-209.68] 成长了26个percent
[209.68-212.24] 那今年没有意外的话
[212.24-214.54] 可能占我们营收到20几个percent去了
[214.54-217.86] 那当然AI也是里面成长最快的一块
[217.86-220.94] 二三年的时候占我们营收大概2个percent
[220.94-222.48] 去年大概四五个percent
[222.48-223.76] 今年
[223.76-225.30] 当然如果顺利的话
[225.30-227.08] 还可以再多很多
[227.08-229.14] 如果这样子一倍一倍翻上去
[229.14-231.44] 它每年的贡献就是越来越大
[231.44-234.76] 所以这个是我们加速的主要的原因
[234.76-236.82] 那另外一个大的原因就是我们在这边
[236.86-237.88] 在这个益冷
[237.88-239.16] 这个生意上面
[239.16-242.50] 去年的这个营收其实还非常非常的少
[242.50-246.08] 我们的系统大概有10出头亿12亿左右
[246.08-247.86] 然后零组件大概做了14亿
[247.86-251.70] 但是今年我们预期这一块会有非常明显的贡献
[251.70-252.98] 光是一月
[252.98-255.30] 这两个部分加起来已经有大概26亿
[255.30-257.86] 就是跟去年整年做的营收已经差不多了
[257.86-259.14] 只是一月而已
[259.14-260.92] 那后面当然是
[260.92-263.22] 希望能够持续有很多的营收
[263.22-266.82] 所以这一部分今年会多很多的营收出现
[266.86-268.40] 所以这个
[268.40-271.72] 我们是预期营收会加速增长
[271.72-273.52] 多少的话当然还是要看
[273.52-276.84] 市场的这个需求的状况
[276.84-278.90] 然后另外一个就是这个供应链
[278.90-281.46] 是不是能够fulfill
[281.46-284.78] 因为像这个AI server目前为止
[284.78-289.38] 其实都还没有真的很充分的能够反应需求
[289.38-291.94] 就是供应链先前有一些
[291.94-295.28] 产品的技术啦performance啊等等
[295.28-296.04] 上面的问题
[296.04-296.82] 后来听说是
[296.86-297.88] 主装上面
[297.88-300.70] 还是有很多的困难
[300.70-301.46] 所以就是
[301.46-302.50] 整个
[302.50-304.54] 主装的速度不是很快
[304.54-306.84] 但是订单其实是很多的
[306.84-309.14] 那市场上有些摇曳
[309.14-312.22] 订单取消啊什么说老实话我们其实并没有
[312.22-316.06] 听到这些客人来跟我们讲说有这些事情
[316.06-316.82] 所以
[316.82-320.66] 大致上来讲我们还是很反乐观的
[320.66-322.72] 毛利率去年的波动比较大一点
[322.72-324.26] 第一季只有29.5
[324.26-326.82] 第二三季是record high
[326.86-328.90] 最高到34.9
[328.90-332.24] 第四季又掉下来回到30.8%
[332.24-336.34] 那二三季特别高有几个原因
