[0.00-6.00] 大家好,智盛的功力,由我這邊開始
[6.00-12.00] 還有一些針對第一季的也都要跟各位做說明
[12.00-19.00] 其實我們這次很高興參加國泰中心第一屆成年論壇
[19.00-24.00] 我們也是用G2C來作為一個開場
[24.00-30.00] 讓各位知道G2C,我還是會不斷地談出G2C聯盟的概念和價值
[30.00-38.00] 因為這樣對整體的,或是對應G公司的未來的海外發展
[38.00-40.00] 整個聯盟的方式都很重要
[40.00-48.00] 聯盟的方式會足以也才足夠壯大去面對接下來各個海外的事
[48.00-50.00] 海外的一個擴展的動作
[50.00-52.00] 那我們也是連續兩年
[52.00-54.00] 2023年到2024年
[54.00-59.00] 得到G公司的五個Supply Chain的一個產業
[59.00-62.00] 我們2024年,跟很多朋友分享
[62.00-69.00] 就是在2023年當時是十年來唯一一家台灣的設備商得到量產資源獎
[69.00-74.00] 那我們在去年也得了它的一個經濟獎
[74.00-77.00] 就是我們開始投入SOIC的技術
[77.00-81.00] 跟它再合作Share SOIC四代的一個設備
[82.00-84.00] 那回到G2C
[84.00-91.00] 那G2C,一樣2020年成立到現在其實已經將近五年了
[91.00-95.00] 然後這五年來有很多的變化
[95.00-102.00] 和很多文化的一個,彼此公司文化,企業文化的一個融合
[102.00-103.00] 這個很重要
[103.00-110.00] 因為早期是因為高階主管,經營主管在自身軍好,軍法有角色之外
[110.00-112.00] 現在有很多專案在實施
[112.00-116.00] 那這也是藉由這專案,這五年來這專案的一個合作
[116.00-119.00] 加強了研發人員的一些互動
[119.00-123.00] 尤其在去年開始,像軍好
[123.00-127.00] 軍好有一部分的在Supply產業的研發人員
[127.00-132.00] 一部分研發人員整個移轉到智慎跟軍法
[132.00-134.00] 整個Team已經過來
[134.00-138.00] 那這樣子是加速另外兩家在漫長的設備開發速度
[138.00-140.00] 這個是一個很大的變化
[140.00-141.00] 那當然
[142.00-144.00] 這幾年來我們看到人才
[144.00-147.00] 其實在國外參加很多外面的一些論壇
[147.00-150.00] 都有談到人才會是未來最大的問題
[150.00-155.00] 那我們對內就是內部的工程有點調整
[155.00-162.00] 另外未來是會用一些譬如商務或是方式
[162.00-165.00] 來吸引外部人才加進去體驗團隊
[165.00-168.00] 所以我覺得在也許要進2020年
[168.00-170.00] 看到一部分的費用會反映在這裡
[170.00-172.00] 就獎金的費用會反映在這裡
[172.00-174.00] 那當然2025年
[174.00-178.00] 我們也覺得這塊應該也會有這方面的幫助
[178.00-185.00] 因為我們希望高素質工程能力的變化是必要發展的方向
[185.00-190.00] 這也是藍志雲科工總23年開始就推著我們G2C
[190.00-197.00] 要活動工程能力的一個跟形態做分做一個增加
[197.00-200.00] 所以我們在一些軟體人才才在增加
[200.00-204.00] 所以各位可以看到我們的藍志雲科工程
[204.00-206.00] 現在超過1500位
[206.00-209.00] 尤其是二兩低超過500位
[209.00-211.00] 這個趨勢不會變
[211.00-218.00] 這也是國運到目前富國神山對於所有的工業商的一個很大的期待
[218.00-224.00] 但我們也發現的確很多人才往富國神山移動的速度也很快
[224.00-226.00] 這也是我們現在遇到的困難
[226.00-229.00] 那以整體來說至少還是維持我們
[229.00-233.00] 其實至少軍航軍航還是維持我們既有的一如既往自己的基本思維
[233.00-235.00] 就是我們專注自己核心技術
[235.00-239.00] 我們再把自己核心技術抓到那個領域的第一名
[239.00-240.00] 這是我們最重要的
[240.00-243.00] 至少這是壓力思考技術主軸
[243.00-247.00] 當然也有些複學像是INVIPLASMA技術是我們基本的技術
[247.00-249.00] 軍航就是減量磨砲
[249.00-256.00] 尤其到現在這兩年來它在減根磨跟砲的部分有一些新的琢磨
[256.00-258.00] 我覺得這塊我們是
[259.00-261.00] 我們和巨土系互相合作下
[261.00-270.00] 互相幫助下我們至上的量測也把軍航的檢測的技術包含到我們本身的設備技術
[270.00-272.00] 放在裡面來做整合
[272.00-275.00] 從誰可以做到其他人的工作
[275.00-279.00] 那軍航一樣也是100%的發導體設備商
[279.00-284.00] 它也是以BIG AND PLACE就是Diamonder跟TripSolid為主
[284.00-288.00] 這也是我們整個巨土系聯盟上比較
[289.00-291.00] 我們在軍航上的分類
[291.00-297.00] 當然在管理上就是現在至上的總經理是軍航精密的副組長兼執行長
[297.00-300.00] 在今年就是單日執行長的角色
[300.00-303.00] 那在軍航精密是組長兼執行長
[303.00-306.00] 所以在策略上的合作速度也很快
[311.00-313.00] 回到至上來說的話
[313.00-316.00] 至上其實我做一個比較簡單的介紹
[316.00-318.00] 就是我們在2022年的時候
[319.00-321.00] 我們在2023、24年的時候
[321.00-323.00] 我們都拿到GSNC的獎項
[323.00-325.00] 所以是我自己有去看
[325.00-329.00] 目前好像還沒有台灣設備商同時連續的比他佳
[329.00-330.00] 目前沒有
[330.00-334.00] 所以我覺得是一個對我們很好的期許
[334.00-337.00] 那員工跟家族的支付到底是什麼
[337.00-341.00] 這個是尤其是家族支付
[341.00-342.00] 這部分是穩定的
[342.00-343.00] 非常非常穩定
[343.00-345.00] 那也希望藉由穩定的支付
[345.00-348.00] 抵抗者和經營團隊在做決策上可以更放心
[348.00-350.00] 更大膽去做決策
[350.00-355.00] 那我們是現在已經準備步入第60年的研製的公司
[355.00-358.00] 事實上以至上、軍航、軍華三家公司
[358.00-360.00] 建成的研製差不多150年
[360.00-365.00] 所以我們這一塊在台灣的設備業的一個角色
[365.00-369.00] 其實是相對得到客戶很多的信任
[369.00-371.00] 因為光是正名字就得到很多信任
[371.00-374.00] 那現在是從經營人有沒有問他
[374.00-377.00] Frank他是2022年接任的
[378.00-381.00] 他也有幾個至上的轉距離
[381.00-385.00] 我今天會分成幾個Session跟各位分享
[385.00-389.00] 一個是怎麼採訪澳門的狀態到2025年2月份
[389.00-391.00] 然後第二個是我們看到一個PCB產業
[391.00-394.00] 因應AI狀態下變成了一些變化
[394.00-396.00] 再來是半導體先進封裝之想
[396.00-400.00] 其實很多投資朋友想要知道先進封裝
[400.00-402.00] 或者是Cowas變成方什麼事的
[402.00-404.00] 怎樣的接下來會怎麼走
[404.00-407.00] 那我們可以跟各位分享一下
[407.00-409.00] 我們現在我們自己是設備業的角色
[409.00-411.00] 我們在這裡擔任的角色
[411.00-413.00] 然後我們從我們視野看到了什麼
[413.00-416.00] 那我也看到去年開始的All-State的擴敞
[416.00-417.00] Subtree的擴敞
[417.00-420.00] 然後持續開始有網測試觀眾
[420.00-422.00] 這是我們看到的現象
[422.00-423.00] 那我們角色是什麼
[423.00-424.00] 這也跟各位分享
[424.00-426.00] 還有就是ESG
[426.00-429.00] 去年之前我們其實不太能耐可以提到ESG
[429.00-432.00] 但經過2024年整個能力之下
[432.00-434.00] 我們有做很多的轉變
[434.00-436.00] 然後也配合著我們的客戶
[436.00-438.00] 其實我們現在有很多的大的客戶
[438.00-441.00] 都對我們有一些ESG上的期待
[441.00-443.00] 這個是整個產品
[443.00-446.00] 到2月公告的是大一多
[446.00-449.00] 那整體其實很多的投資朋友
[449.00-451.00] 我跟各位建議是說
[451.00-453.00] 看設備業盡量是看YY
[453.00-455.00] 因為看了很多的時段
[455.00-457.00] 真的是我們任意的時間會快
[457.00-458.00] 不快進
[458.00-461.00] 所以我們當然會去看YY的肯定
[461.00-463.00] 那我們到2025年
[463.00-466.00] 累計到2月整個YY是
[466.00-468.00] 26%
[468.00-470.00] 當去年24年的
[470.00-472.00] 到相對2023年累計資訊
[472.00-474.00] 我等一下也會跟各位分享我們的
[474.00-476.00] 毛利率的變化
[476.00-478.00] 然後還有成業的一個配比的變化
[478.00-480.00] 跟各位分享
[480.00-483.00] 第一個是我們的歷年年抽組
[483.00-486.00] 從19年開始到24年
[486.00-488.00] 那我們可以看到的一個是24年的
[488.00-490.00] 最下面橘色的是
[490.00-492.00] 半導體的占能抽組
[492.00-495.00] 我們在24年的時候占能抽組是35%
[495.00-497.00] 那我們在3年的時候
[497.00-499.00] 半導體漲了17%
[499.00-501.00] 然後在2年的時候
[501.00-503.00] 占了11%左右
[503.00-504.00] 10到15%左右
[504.00-506.00] 所以大家可以看到
[506.00-509.00] 智盛整個的一個產品產業組的轉變
[509.00-510.00] 的具體的變動
[510.00-512.00] 而且看最上面這個淺黃
[512.00-514.00] 淺白色的就是DISPLAY產業
[514.00-516.00] 之前在智盛
[516.00-519.00] 40的一個宇宙品種的一個產業
[519.00-520.00] 急劇的變化
[520.00-522.00] 這也是應該剛好呼應到產業
[522.00-525.00] 產業景氣或是資本支出的變化的影響
[525.00-529.00] 所以我們也很有興趣的了解到說
[529.00-531.00] 事實上經過這幾年的調整
[531.00-534.00] 我們也穩穩的往半導體領域走
[534.00-535.00] 那半導體領域
[535.00-538.00] 相信在今年也會有一些
[538.00-539.00] 不配合我們
[539.00-542.00] 我們台灣的很多的大客戶的一個資本支出狀態
[542.00-544.00] 其實各位都可以大致了解
[544.00-547.00] 其實這裡還是持續成長的狀態
[549.00-550.00] 那在毛利率上
[550.00-551.00] 跟各位分享
[551.00-553.00] 在那個3年
[553.00-555.00] 其實很多朋友會問我們說
[555.00-557.00] 24年跟23年為什麼毛利率會差不多
[557.00-559.00] 都在41%左右
[559.00-561.00] 這邊可以跟各位分享兩個問題
[561.00-564.00] 第一個是23年的時候
[564.00-566.00] 我們在22年其實
[566.00-568.00] 當時半導體領域已經有一些訂單
[568.00-569.00] 開始陸續進來的
[569.00-570.00] 勾畫的訂單
[570.00-572.00] 但是22年
[572.00-575.00] 客戶的把訂單騙定
[575.00-577.00] 騙定之後我們智盛的
[577.00-580.00] 在產業環境上相對是比較保守的個性
[580.00-582.00] 我們就把它全部認列遺損
[582.00-584.00] 在22年認列遺損
[585.00-587.00] 但是23年的時候我們看到的是客戶開始
[587.00-589.00] 才有能力
[589.00-592.00] 要大幅的把先進封裝設備給我去拿
[592.00-594.00] 所以我們在23年的時候
[594.00-597.00] 就開始把22年提損的全部認回來
[597.00-601.00] 所以在我印象最深刻是在2023年
[601.00-603.00] 第三季的時候毛利到46%
[603.00-605.00] 我說根本就是大變化
[605.00-609.00] 那為什麼24年在整體的空
[609.00-612.00] 整個先進封裝的占比
[612.00-614.00] 我們從17到36%
[614.00-616.00] 為什麼毛利沒有跟著拉高
[616.00-618.00] 其實這個有點不明顯
[618.00-620.00] 第一個原因是因為
[620.00-623.00] 我們有一些新開發的機種
[623.00-628.00] 我們通常會設定它的一個裝機
[628.00-630.00] 裝機的一個二次費用
[630.00-632.00] 雖然還沒發生
[632.00-636.00] 我們會先預提一列裝機的一個專門費用
[636.00-638.00] 所以在24年會發生這問題
[638.00-639.00] 會預提的費用進來
[639.00-641.00] 然後第二就是PCB產業
[641.00-642.00] 因為PCB產業我們可以看到
[642.00-644.00] 2023年的時候
[644.00-646.00] 它比重很高
[646.00-647.00] 但是24年的時候
[647.00-649.00] 它可能比重還比較低
[649.00-651.00] 所以它一來一往之下
[651.00-653.00] 會讓整個毛利稍微變成
[653.00-655.00] 滿平均的狀態下
[655.00-656.00] 但今年應該會再
[656.00-659.00] 會更正常去看待這件事情
[659.00-663.00] 我們去年2024年第一次
[663.00-665.00] 記憶寶座會的時候
[665.00-667.00] 總經理有對外的正式
[667.00-669.00] 跟所有投資人分享
[669.00-672.00] 我們不會僅止於看頭髮式的
[672.00-674.00] 我們不會僅止於看頭髮式的
[674.00-676.00] 我們看的一件事叫AI
[676.00-679.00] 我們聚焦在AI的實際體驗
[679.00-681.00] 從Chip Level開始看的話
[681.00-683.00] 就有所謂的SOC SOI
[683.00-685.00] HVN
[685.00-687.00] 假設到Package Level的話
[687.00-689.00] 就有OWAS有CPU
[689.00-692.00] 然後到測試裡就有Testing
[692.00-694.00] 然後接下來資深也是
[694.00-696.00] 跨足的IC software的設備商
[696.00-698.00] 所以整個AI的實際體驗下來
[698.00-701.00] 你會可以看到從資深的角色
[701.00-703.00] 有在Chip Level的HVN產業
[703.00-705.00] 我們有較設備
[705.00-707.00] 然後資深在CoreOS的產業
[707.00-708.00] 我們有較設備
[708.00-710.00] 然後資深在SOIC產業
[710.00-711.00] 我們也有較設備
[711.00-713.00] 那當然IC Subtrade
[713.00-716.00] 跟PCB的HDI Micro-Pro
[716.00-718.00] 我們也是主要主力的設備供應商
[718.00-721.00] 所以我們從這個角度回去看自己說
[721.00-725.00] 我們去年的整個半導體佔了30%
[725.00-727.00] 那在這個AI Spread Chain的話
[727.00-729.00] 我們去年大概佔多少營收
[729.00-732.00] 我們看到是佔的大約50%的營收
[732.00-734.00] 只是在AI這個Supply Chain裡面
[734.00-738.00] 所以這個數字我們會持續去追蹤它
[738.00-742.00] 看我們當時在去年2014年第四季
[742.00-745.00] 對所有投資人承諾的事情是不是有持續發生
[745.00-747.00] 這點也是我們期待的
[749.00-753.00] 那現在更比方到像CPU
[753.00-755.00] 我們剛才有分享
[755.00-758.00] 資深在HVN,CoreOS,IC Subtrade
[758.00-760.00] 都是主力供應商
[760.00-762.00] 那在從前一兩年開始
[762.00-764.00] 我們陸續參加了
[764.00-766.00] 加入了客戶的一些關鍵的製程
[766.00-769.00] 比如說SOI型,比如說CPU的一個製程
[769.00-773.00] 那在今年也陸續會有一些新的發酵
[773.00-776.00] 我回到這個就是PCB產業
[776.00-778.00] 我們看到我還是用AI的
[778.00-781.00] AI Supply Chain的找路來看這個事情
[781.00-785.00] AI Supply Chain裡面PCB產業其實一直在變
[785.00-787.00] 製程一直在變
[787.00-788.00] 對聯想出變多了
[788.00-790.00] 然後Live Space變形了
[790.00-792.00] 這些都是明顯的趨勢
[792.00-794.00] 所以我們從去年第二季末開始
[794.00-797.00] 我們開始教很多的
[797.00-800.00] 因為製程改善的資本制度的設備
[800.00-802.00] 我們開始教給台灣
[802.00-803.00] 包括中國也好
[803.00-805.00] 教給泰國也好
[805.00-806.00] 我們開始做這個事情
[806.00-808.00] 所以我會覺得
[808.00-811.00] 現在在今年尤其在今年
[811.00-813.00] 我們看到了
[813.00-815.00] 我們從生成式AI
[815.00-817.00] 到現在我們看到的Edge Computing
[817.00-819.00] Concluding也陸續在發生
[819.00-822.00] 我們看到在PCB的市場
[822.00-827.00] 已經會有所謂的高中階的AI應用的
[827.00-830.00] 繼續在被引用
[830.00-831.00] 那我們也看到
[831.00-834.00] 所以我們會開始會去注意到
[834.00-836.00] 泰國HDI的發展
[836.00-841.00] 我們會注意到尤其在去年
[841.00-843.00] 去年NVIDIA到台灣之後
[843.00-848.00] 我們看到中階的顯卡的一個PCB版
[848.00-849.00] 不管是在台灣也好
[849.00-850.00] 在中國也好
[850.00-852.00] 它其實都得到很
[852.00-856.00] 這些的一個訂單都蠻集中化的
[856.00-858.00] 我們感受到這個事情
[858.00-860.00] 這個集中化也很幸運的
[860.00-862.00] 這些很多都是我們的客人
[862.00-863.00] 所以我們這些客人
[863.00-865.00] 他得到很好的訂單
[865.00-866.00] 他就開始整個支出
[866.00-868.00] 往這些設備商開始去要求
[868.00-870.00] 所以像在今年
[870.00-873.00] 我們在中階的顯卡
[873.00-875.00] 顯卡的版廠裡面
[875.00-876.00] 尤其在中國大陸這邊
[876.00-878.00] 我們一直處理用品商的問題
[878.00-881.00] 所以我覺得在PCB產業裡面
[881.00-889.00] 到沒有因為我們在PCB的AI領域
[889.00-893.00] 所以我們的進化是這樣子
[893.00-896.00] 當然在非AI應用的領域的PCB
