[0.00-8.68] 第二位是我們的財務長葉澤光
[8.68-16.36] 台下還有我們產品行銷事業部的黃耿義處長
[16.36-22.64] 現在的會議就交由總經理這邊先進行
[22.64-24.06] 現在把時間交給總經理
[30.00-36.20] 各位先進 投資的先進大家好 今天下午好
[36.20-39.60] 我是華新科技曾銘燦
[39.60-43.24] 代表華新科技來這邊做這一次的產業報告
[43.24-52.14] 我先簡單介紹一下華新科技
[52.14-58.88] 華新科技上位於1997年 現在上市是2001年
[58.88-59.98] 現在上市是2001年
[59.98-63.38] 2024年的營收是347億
[63.38-67.98] 截止到1月2月 總共營收是56億
[67.98-73.22] 7000多萬台幣
[73.22-76.86] 主要的營收我們是以出貨地點來看
[76.86-80.86] 出貨地點目前中國大陸大概佔51%
[80.86-85.14] 台灣跟東南亞大概佔40%
[85.14-88.86] 然後其他大概是在美國跟歐洲
[88.86-89.96] 所以現在大部分的營收是20%
[89.96-91.46] 我們是用的生產系統
[91.46-94.36] 很多客戶的生產機拍攝在中國
[94.36-99.76] 慢慢但是慢慢會有些是移轉到東南亞去
[99.76-109.72] 整個的共識的概括
[109.72-113.46] 那這個是整個華科事業群
[113.46-116.20] 生產的被動元件的基本概括
[116.20-119.82] 各位可以看到華科主要生產有
[119.82-123.32] 接電材料 從材料角度來講有接電材料
[123.32-126.52] 磁性材料 半導性的材料
[126.52-130.02] 色品 RF 的材料還有壓電材料
[130.02-134.02] 那在接電材料上面我們做的大概就是
[134.02-135.82] 討似電能 還有一個CC
[135.82-139.12] 安規的電能 還有薄膜的電能
[139.12-143.52] 還有碳電 光紋正的碳電這部分
[143.52-147.82] 那關於磁性材料大概就是電纜
[147.82-149.66] 還有一些濾波器
[149.66-155.86] 濾波器有從色品的濾波器到磁
[155.86-158.86] 簡單就是Baseband的濾波器到電源
[158.86-160.66] 低頻的濾波器
[160.66-165.36] 半導性材料大概我們就把它分類為電阻
[165.36-168.86] 可變電阻 保險絲之類的產品
[168.86-172.66] 另外一個RF大概就是色品的濾波器還有天線
[172.66-174.66] 這一塊產品上面
[174.66-177.86] 壓電的話大概就是做一些壓電變壓器
[177.86-179.66] 另外還有一些觸感
[179.66-181.66] 一些深色
[181.66-183.66] 這一類的東西
[183.66-187.66] 那主要就集中在以華信科技為主的
[187.66-193.66] 像KAMAYA 信長 加邦 雙信
[193.66-196.66] Nitsuko 久穎的Matsuo
[196.66-199.66] 那總共KAMAYA是日本公司
[199.66-200.66] 雙信也是日本公司
[200.66-202.66] Nitsuko 還有Matsuo都是日本公司
[202.66-204.66] 那當然就集中在這幾家公司
[204.66-206.66] 做一些產品的組合
[209.66-212.66] 那我們的產品大概主要集中
[212.66-214.66] 以MLCC來講大概佔50%
[214.66-216.66] 有42%
[216.66-220.66] 電阻大概佔了22%
[220.66-224.66] RF色品包含天線大概佔17%
[224.66-227.66] 另外一個安規的產品大概佔了11%
[227.66-232.66] 另外電感跟其他的元器件大概佔了11%
[232.66-234.66] 主要應用領域大概就是汽車
[234.66-235.66] 工業
[235.66-236.66] 然後PC的周邊
[236.66-237.66] 跟網路通訊
[237.66-239.66] 跟消費性電池
[239.66-243.66] 還有其他部分大概就是一些醫療的部分
[243.66-246.66] 所以主要的營收都還是來自電網
[246.66-249.66] 電網是佔我們比較大個的一個營收
[251.66-255.66] 我們看一下整個去年跟前年的表現
[255.66-256.66] 我們看一下去年
[256.66-258.66] 去年大概前年大概增長
[258.66-261.66] 大概以EPS來講大概6.5%
