[0.72-3.08] 各位線上參與的投資先進
[3.08-4.48] 大家下午好
[4.48-6.52] 我是今日法說會的主持人
[6.52-8.96] 寬量國際QIC執行長
[8.96-11.44] Alice Lee 李鴻基
[11.44-12.76] 歡迎大家參與
[12.76-14.52] 真鼎科技控股
[14.52-18.08] 2024年第四季及全年營運成果
[18.08-20.44] 線上法人說明會
[20.44-23.60] 在線上與會的公司代表有
[23.60-26.84] 真鼎董事長及集團策略長
[26.84-28.48] 沈慶芳先生
[30.00-33.40] 總經理簡貞富先生
[33.40-37.00] 董事及營運長李定轉先生
[37.00-40.88] 以及財務長江堅毅先生
[40.88-45.52] 在開始之前請各位閱讀本頁免責聲明
[45.52-50.28] 另外2024年第四季及全年財務數字
[50.28-52.40] 及法說會簡報
[52.40-57.40] 將於會後公告於公司官網及公開資訊官社站
[57.40-59.40] 供各位下載參閱
[59.40-59.96] 謝謝
[60.00-64.08] 本次法說會將分為四個部分
[64.08-67.48] 首先將由江財務長向大家說明
[67.48-71.32] 2024年第四季及全年營運成果
[71.32-77.12] 第二部分將由沈慶芳董事長及集團策略長
[77.12-82.20] 親自向各位說明真鼎的策略佈局與未來展望
[82.20-88.60] 第三部分將由簡貞富總經理說明真鼎的數位轉型與賦能
[88.60-89.40] 最後
[89.40-96.44] 李定轉董事及營運長將說明整體營運規劃及執行狀況
[96.44-100.68] 首先我們先邀請江財務長向各位說明
[100.68-103.96] 2024年第四季及全年的營運成果
[103.96-104.56] 謝謝
[104.56-109.28] 各位投資先請大家好
[109.28-111.44] 首先由我來向各位報告
[111.44-117.28] 申請2024年第四季及全年的營運成果及財務的表現
[117.28-119.24] 麻煩翻到地面
[119.24-122.32] 第一四季的營運成果
[122.32-129.80] 2024年第四季電腦消費伺服器車載光通訊和IC載板的銷售
[129.80-132.44] 持續雙位數的年增
[132.44-136.52] 推升的整個季營收達到了新台幣560億元
[136.52-139.32] 創下了歷年三季的新高
[139.32-141.00] 獲利方面
[141.00-143.76] 折舊費用及研發費用稍有增加
[143.76-146.80] 但在匯兌收益的依註之下
[146.80-148.88] 第四季的經理人達到
[149.24-151.36] 新台幣62.4億元
[151.36-155.36] 較去年統計成長了23%
[155.36-159.36] 麻煩第六頁以下演
[159.36-162.44] 2024年全年營運的成果
[162.44-165.88] 受惠於產品應用的結構性的調整
[165.88-170.96] 2024年全年營收達到新台幣1716.64億元
[170.96-174.00] 較2023年成長了13.4%
[174.00-176.64] 同時也創下了歷年來的新高
[176.64-177.28] 銀行費用增加比較多的成本
[177.28-177.76] 銀行費用增加比較多的成本
[177.76-178.16] 銀行費用增加比較多的成本
[178.16-178.68] 銀行費用增加比較多的成本
[178.68-179.20] 銀行費用增加比較多的成本
[179.24-181.20] 主要是在研發費用
[181.20-184.64] 研發費用增加了大概20.5億元
[184.64-186.64] 但2024年整體的營業利益
[186.64-189.84] 是較2023年高出了24億元
[189.84-194.68] 營業利益率也是增高了0.7個百分點
[194.68-195.36] 整體而言
[195.36-199.52] 2024年全年經理達到新台幣130.96億元
[199.52-202.76] 較2023年成長了38.9%
[202.76-206.20] 每股營運達到了9.67元
[206.20-208.68] 請到下一頁
[209.24-211.24] 請到下一頁
[211.24-213.24] 記錄營運成果
[213.24-215.24] 從圖表看來
[215.24-217.24] 我們清楚可以看到
[217.24-219.24] 今年各季的營收都較去年的同期提升
[219.24-221.24] 今年各季的營收都較去年的同期提升
[221.24-223.24] 符合公司先前預期的方向
[223.24-225.24] 各季的淨利率也都優於去年的同期
[225.24-227.24] 各季的淨利率也都優於去年的同期
[227.24-229.24] 下一頁
[229.24-231.24] 下一頁
[231.24-233.24] 下一頁
[233.24-235.24] 下一頁
[235.24-237.24] 下一頁
[237.24-238.24] 產品應用方面
[238.24-239.24] 產品應用方面
[239.24-241.24] 產品應用結構性調整持續進行
[241.24-243.24] 產品應用方面
[243.24-245.24] 整體營收成長的同時
[245.24-247.24] 整體產品應用組成更加多元分散
[247.24-249.24] 整體產品應用成長的同時
[249.24-251.24] 整體產品應用組成更加多元分散
[251.24-253.24] 產品應用方面
[253.24-255.24] IC載板年增率達到75.6%
