[0.00-7.00] 我们非常感谢大家的支持
[7.00-9.00] 我们的观众朋友们
[9.00-10.00] 谢谢
[10.00-12.00] 谢谢各位
[12.00-14.00] 谢谢
[14.00-16.00] 谢谢
[16.00-19.00] 谢谢各位
[19.00-21.00] 谢谢
[21.00-23.00] 谢谢
[23.00-25.00] 谢谢
[25.00-27.00] 谢谢
[30.00-33.00] 谢谢
[33.00-36.00] 谢谢
[36.00-38.00] 谢谢
[38.96-40.96] 谢谢
[50.96-54.00] 谢谢
[54.00-56.00] 谢谢
[56.00-58.00] 谢谢
[58.00-60.00] 谢谢
[60.00-68.60] 不好意思等一下
[68.60-74.86] OK好
[74.86-79.04] 其实应该大概今天主要的
[79.04-80.48] 大概讲到的大纲
[80.48-81.76] 大概就是有我们公司
[81.76-83.66] 在2024年的整个经营绩效
[83.66-85.92] 还有再跟大家说明一下
[85.92-87.88] 我们公司目前整个的
[87.88-89.44] 公司的生产据点
[89.44-90.64] 跟整个布局状况
[90.64-93.04] 然后第三个就是公司的产品
[93.04-94.90] 介绍应用跟市场气势
[94.90-96.78] 那最后一个就是未来的展望部分
[96.78-99.10] 那首先我们看
[99.10-100.58] 2024年
[100.58-102.44] 也就是最近三个年度的话
[102.44-104.86] 的经营绩效跟营运获利来看的话
[104.86-106.32] 可以很明显看到
[106.32-107.72] 2024年
[107.72-110.94] 其实我们上礼拜也开完董事会
[110.94-114.04] 所以这个相关的财务报数字
[114.04-116.46] 也已经有做那个公告了
[116.46-117.66] 那可以看到
[117.66-119.00] 其实营业收入的话
[119.00-122.04] 2024年的话的营业收入是有
[122.04-124.56] 来到64亿1000万
[124.56-126.10] 那如果跟今年同比的话
[126.10-129.04] 大概成长了145%
[129.04-131.88] 那营收大概增加有将近38亿
[131.88-135.68] 那在税前利益的部分的话
[135.68-136.52] 可以看到
[136.52-138.58] 2024年的话
[138.58-141.12] 这边的税前利益就14亿2200万
[141.12-143.68] 那对照2023年的话
[143.68-144.96] 2亿4700万
[144.96-147.90] 这边也增加了将近有11亿左右
[147.90-148.98] 那对照2023年的话
[149.00-150.94] 然后毛利率的部分
[150.94-156.10] 可以看到2023年的毛利率是35.55
[156.10-157.24] 那2024年的话
[157.24-162.54] 这边就直接从35.62提升到55.62
[162.54-164.38] 那为什么毛利率会这么高
[164.38-167.88] 我想大家也从我们每个月的营收公告
[167.88-168.62] 可以看得出来
[168.62-171.52] 其实主要的营收的动力来源
[171.52-173.02] 还是来自于我们被动
[173.02-176.12] 就被动有关数据中心这一块的部分
[176.12-178.66] 那其实从2020年开始
[179.00-183.98] 整个AI市场整个活络起来之后
[183.98-185.18] 其实带动的是说
[185.18-190.94] 整个所有国际大厂他们在一些数据中心的部件的话
[190.94-194.72] 其实相对整个动力是拉升
[194.72-197.42] 那虽然说我们目前往来的大厂部分
[197.42-199.52] 可能它也不算是最大的大厂
[199.52-201.98] 可是其实它的整个拉后力道的话
[201.98-203.42] 从气粘度来看的话
[203.42-206.90] 其实它力道是如果从上下半年来看的话
[206.90-209.00] 下半年的拉后的力道的话
[209.00-212.60] 是远远比上半年来的成长蛮多的
[212.60-218.18] 尤其是在去年12月还有今年1月的话
[218.18-222.18] 单月突破10亿的这个记录
[222.18-224.04] 那我想可能很多法轮别人会说
[224.04-227.98] 那这个10亿会不会是未来常态性的部分
[227.98-231.96] 那在这边我必须跟各位法轮别人说明就是说
[231.96-234.20] 因为12月跟1月的部分的话
[234.20-236.52] 其实单月突破10亿的话
[236.52-237.86] 主要是像12月的话
[237.86-239.00] 因为其实那时候
[239.00-242.74] 年底的话客户的话他的备货需求
[242.74-244.38] 所以他可以有加大拉货
[244.38-247.90] 再就是我们中国的农业新年
[247.90-250.78] 他也知道说包括两岸这边的话
[250.78-254.38] 我们都会有大概有这个时间的假期
[254.38-257.62] 所以在这边的备货部分他们也会增加
[257.62-260.76] 然后另外还有一个因素就是在川普
[260.76-262.42] 因为刚好那时候川普也当选
[262.42-266.12] 所以其实那时候也即将上任
[266.12-269.00] 所以对于关税这一块的部分的话
[269.00-270.94] 他们其实也存在
[270.94-274.48] 也蛮疑惑就是说到底川普上任之后
[274.48-276.08] 对于整个关税
[276.08-279.58] 对比如美中之间或者其他各国之间的关税
[279.58-280.78] 会怎么样的处理
[280.78-282.28] 所以可能那时候在工业上的部分
[282.28-284.12] 他当然也会有一些意气心理
[284.12-288.78] 他会在存货的这边的也会相对多提
[288.78-290.68] 也多拉一些货备质
[290.68-291.86] 那1月份的话也是一样
[291.86-293.82] 原本其实我们也是一起说
[293.82-298.66] 可能12月这个13亿的拉货之后
[299.00-300.86] 1月份会恢复达比较正常
[300.86-303.58] 大概会恢复到大概平常正常的水准
[303.58-305.24] 可是其实1月份的话
[305.24-309.18] 他的需求还是很旺的
[309.18-310.12] 所以你看1月份的话
[310.12-312.42] 其实单月也突破10亿的部分
[312.42-314.78] 那2月份我们前天也公告了
[314.78-318.52] 2月份的话大概目前公告是5点
[318.52-320.38] 大概将近5.2亿
[320.38-323.12] 那2月份的话其实会稍微比较低的话
[323.12-325.92] 主要是因为其实过完农历年之后
[325.92-328.90] 其实包括台湾这边
[328.90-330.44] 包括我们子公司那边的话
[330.44-332.10] 其实也才刚刚上班
[332.10-333.98] 所以有一些要重新开锅
[333.98-334.94] 备料生产的话
[334.94-340.74] 其实在进度上面也会比较稍微放缓一些
[340.74-346.86] 所以不过2月份还是有来到5.1亿的营收水准
[346.86-349.56] 那相信我想后续的部分的话
[349.56-351.22] 其实以目前来看的话
[351.22-352.62] 整个市场的需求
[352.62-355.92] 跟整个目前的出货状况来看的话
[355.92-357.32] 其实都还蛮不错的
[357.32-358.70] 至少上半年
[358.90-361.80] 其实是相较于7年同期的话
[361.80-366.58] 我想如果从1 2月的话营收15亿到
[366.58-367.84] 再加上第三季的话
[367.84-370.12] 应该有机会第一季的营收
[370.12-371.92] 就可以达成我们7年上半年
[371.92-375.02] 大概至少有9成的这个目标水准
[375.02-376.88] 那当然其实这个只是一个预测部分
[376.88-381.08] 其实还是要每个礼拜去统计的部分
[381.08-382.06] 那不过其实来看
[382.06-382.80] 相对来看的话
[382.80-385.90] 从数字从这些实际达成数字来看的话
[385.90-388.90] 应该是还蛮整理来说还是蛮乐观的
[388.90-391.04] 那EPS部分的话
[391.04-394.10] 这边可以看到我们2024年的话
[394.10-396.14] EPS有来到14.3
[396.14-400.32] 大概是2023年的大概成长了5.65倍
[400.32-401.98] 那14.3其实也是
[401.98-404.28] 包括营收毛利率跟EPS
[404.28-408.42] 都是我们光盛从上次以来创新高的
[408.42-410.52] 就是这个上高的记录
[410.52-412.40] 就是其实还蛮不错的
[412.40-415.80] 那今年的话其实在EPS14.3的话
[415.80-418.76] 我们在上礼拜的董事会也
[418.76-422.10] 同样的我们在配发盈余分配方面
[422.10-424.50] 我们也配发了先行股利8.6
[424.50-428.26] 那所以这个也是已经确定的部分
[428.26-429.98] 那这一张就是就两年度来看
[429.98-436.18] 那就是刚刚第一页就已经大概有列出来过了
[436.18-438.08] 那这大概营收的部分成长
[438.08-440.28] 然后整理来看两年度来看的话
[440.28-444.12] 不管是在EPS跟毛利率
[444.12-445.72] 还有这些各项数字的话
[445.72-448.16] 都是倍数成长的部分
[448.76-455.80] 那如果就财务绩效就几个主要的过面来看的话
[455.80-460.34] 我们可以看到其实2023跟2024的负债比例
[460.34-461.84] 其实都相对都还蛮低的
[461.84-463.64] 这大概就低50%以下
[463.64-466.30] 那流动比例的话其实还蛮不错
[466.30-468.16] 都是有超过200的部分
[468.16-471.96] 那另外在获利能力这边前一报酬的话
[471.96-475.26] 我们可以看到因为2020年整个营收获利成长
[475.26-478.66] 所以前一报酬率的话就有突破到36点
[478.76-481.26] 然后也有突破到381
[481.26-485.60] 那美股净值的部分也是从2023年的30.9升
[485.60-488.30] 推升到2024的48.63
[488.30-491.30] 我想这个部分其实都是我们从上市以来
[491.30-496.64] 就是整个数字目前都是创新高的部分
[496.64-500.52] 那接下来的部分就是有关公司的营运基点部分的话
[500.52-501.92] 我们先从台湾
[501.92-504.52] 台湾这边的话我们目前是在红树林
[504.52-507.88] 叫做红树林捷运站那个安泰登空大楼这边
[507.88-508.76] 我们就是在
[508.76-512.06] 我记得是2018或19的时候
[512.06-514.52] 我们是有买下我们的办公大楼
[514.52-516.80] 那后来
[516.80-521.64] 就以这边就是把从原本我们公司的基点是在关渡那边
[521.64-523.60] 也是大概在
[523.60-526.26] 何兴医院跟华硕
[526.26-527.68] 应该说跟华硕是邻居
[527.68-530.96] 后来我就搬到红树林捷运站这边来
[530.96-533.76] 那这边主要是我们公司主要是办公大楼
[533.76-536.26] 包括我们的业务
[536.26-538.72] R&D然后贫宝
[538.76-540.92] 还有我们后勤单位的话是在这边
[540.92-543.38] 那另外那主要生产祭典的话
[543.38-544.14] 我们有两个地方
[544.14-547.92] 一个是在淡水淡金路的一个上达厂
[547.92-549.10] 另外一个是利德厂
[549.10-553.46] 其实都在差大概在康书科技的附近
[553.46-558.76] 那上达厂那边主要的话是生产我们高频连接器RF的产品
[558.76-562.26] 那另外利德厂的部分就是最主要就是生产我们数据中心
[562.26-564.02] 就是我们美系大厂这边
[564.02-567.88] 他主要是被动这一块数据中心用的那个部分
[567.88-568.68] 那在七年度
[568.68-571.44] 其实我们也在上达厂这边
[571.44-574.76] 我们也因为被动数据中心这一块
[574.76-577.10] 他整个产能整个销售
[577.10-579.10] 其实都是增长的部分
[579.10-581.56] 所以我们七年在第三季的时候
[581.56-586.44] 我们也有在淡水这边的话有扣充我们被动这一块的性能
[586.44-590.26] 那目前的话就是也整个都已经那个ready ready好了
[590.26-591.44] 只是说目前的话
[591.44-593.68] 其实他可能还是足够应用的部分
[595.80-597.56] 那在中国这边就是林坡
[597.56-598.64] 我们在浙江林坡这边
[598.68-600.80] 的话就是有一个厂
[600.80-604.38] 那这边主要是以前是生产RF连接器
[604.38-606.52] 还有包括我们光主动
[606.52-610.02] 就是那个那个以前的模组的部分
[610.02-612.60] 就是光主动波刹那一块的部分
[612.60-614.10] 那目前的话
[614.10-615.64] 这边的话其实主要的话
[615.64-617.84] 他还有包括就是一些字节单
[617.84-621.30] 就是有一些中国当地内地的一些字节单部分
[621.30-622.80] 包括跳接线
[622.80-624.34] 包括一些闪电的部分
[624.34-626.22] 我们都有这些字节单
[626.22-628.68] 那在菲律宾这边的话
[628.68-630.68] 这个图其实这个是拿固拉
[630.68-634.56] 这是之前我们代工厂的那个所在地
[634.56-637.88] 不过我们在去年第第三季的时候
[637.88-642.30] 我们有启动我们在另外在菲律宾我们设立一个子公司
[642.30-647.76] 在尼玛也是在马尼拉附近的一个经济园区的部分
[647.76-652.10] 那目前的话大概目前一估我们菲律宾子公司
[652.10-657.68] 大概在第二季应该在四月五月就可以开始那个运工
[657.68-662.06] 开始可以运转开始给小小量的市场
[662.06-664.10] 那在捷克这边的话
[664.10-669.44] 其实捷克主要是我们的主要的一个一个研发技术的中心的部分
[669.44-675.10] 他原本是来主要的公司是以前是接受之前的英飞凌的部分
[675.10-680.84] 那主要就是以服务东欧大概附近地区的提供一些技术服务啊
[680.84-685.02] 还有包括帮台湾这边的话做一些产品技术的开发部分
[685.02-686.48] 那如果以二页底来看的话
[686.48-687.26] 整个集团
[687.26-687.68] 目前的
[687.68-690.80] 的员工的数大概是1300
[690.80-691.92] 1300个左右
[694.84-697.92] 那这一张是就公司的整个大概产品介绍
[697.92-702.22] 不我们可以来看从大概中间这条线来看的左手边哦
[702.22-706.80] 是简报左手边这边就是我们传统的公司的RF产品的部分
[706.80-707.80] 那RF产品的话
[707.80-712.48] 其实大概在其实RF产品这边是快大概有将近50公
[712.48-714.48] 如果以公司往前推说历史的话
[714.48-716.06] 大概有50年的历史
[716.06-717.68] 那主要是从以前的CADI
[717.68-720.80] 有线电视这一块起家
[720.80-725.34] 那大概在疫情前大概在七八年前的话
[725.34-728.68] 其实以前我们RF主要是有线电视最快为主
[728.68-736.14] 大概每年的年营业额大概占了将近整个RF有七到八成的部分
[736.14-740.48] 可是由于其实包括由于产品慢慢的标准化之后
[740.48-741.84] 再加上疫情期间
[741.84-744.68] 其实整个人工物料的上涨
[744.68-745.84] 加上因为现在其实数位时代的慢慢的标准化之后
[745.84-746.84] 加上因为现在其实数位时代的慢慢的标准化之后
[746.84-747.44] 加上因为现在其实数位时代的慢慢的标准化之后
[747.44-747.64] 加上因为现在其实数位时代的慢慢的标准化之后
[747.64-748.14] 加上因为现在其实数位时代的慢慢的标准化之后
[748.14-751.64] 所以其实目前会看电视的其实不多
[751.64-754.40] 我想可能一般年轻人大概也不太会去看电视
[754.40-755.98] 现在手机一般都比较方便
[755.98-757.80] 所以有线电视这一块的市场
[757.80-760.02] 它其实逐渐的慢慢的没落
[760.02-764.34] 所以变于说我们也逐渐的在刚好又碰到疫情期间
[764.34-769.02] 其实整个全球的经济有一点很大的变动的时候
[769.02-772.02] 我们也趁这个时候做一些转型
[772.02-776.68] 就是把CATV有线电视的部分慢慢转型到
