[0.00-10.82] 各位投资现金大家午安
[10.82-13.48] 欢迎参加由富邦证券所主办的
[13.48-16.10] 奇鸿科技股份有限公司法人说明会
[16.10-19.26] 那今天首先先跟大家介绍
[19.26-21.88] 公司代表出席的经营团队
[21.88-24.58] 欢迎沈庆航董事长
[24.58-29.50] 黄竹模执行长
[30.00-33.34] 陈奕诚财务长
[33.34-37.32] 黄崇伟事业处总经理
[37.32-41.58] 陈阳杰事业处副总经理
[41.58-45.40] 沈新豪总经理特处
[47.40-49.92] 以及陈燕良财务部经理
[49.92-53.10] 那在法说会开始之前
[53.10-54.82] 我们先有请我们沈董事长
[54.82-56.24] 为我们开场说几句话
[56.24-56.60] 谢谢
[60.00-64.36] 好非常欢迎各位参加本次的法说会
[64.36-66.98] 那今天的法说会我想我们分三个环节
[66.98-68.98] 第一个由我们那个必有
[68.98-71.10] 那做一个我们的今年的财务部
[71.10-72.36] 财务的说明
[72.36-75.64] 第二个那因为各位有很多想法
[75.64-76.92] 就第四个出来之后呢
[76.92-79.16] 那当然很想知道我们公司对未来的看法吧
[79.16-80.74] 那我有那个Masiu啊
[80.74-84.74] 他会来简单讲一下我们公司对未来AI的一个看法
[84.74-86.24] 那再来当然就Q&A吧
[86.24-87.88] 就由我们来回答问题
[87.88-89.96] 对对对那这样谢谢大家
[90.00-95.70] 有一个是我要补充说明一下
[95.70-98.16] 因为我们的发言人啊
[98.16-99.68] Gary跟Eric啊
[99.68-102.12] 他们都是我们事业处业务的总经理啊
[102.12-102.84] 所以一直很忙
[102.84-105.44] 那最近我们反正他们是很忙嘛
[105.44-108.00] 所以说未来他们会逐渐的淡出嘛
[108.00-110.66] 那时候有两个那个小年轻坐在后面
[110.66-113.92] 慢慢的他们会过渡到他们身上去的
[113.92-115.62] 希望能给各位服务的更好
[115.62-115.90] 谢谢
[115.90-119.98] 好
[120.00-121.12] 好的谢谢董事长
[121.12-124.28] 那接下来请有请我们陈经理
[124.28-127.04] 这边为我们做公司的营运状况简报
[139.92-142.80] 各位投资法人
[142.80-143.94] 各位媒体先进
[143.94-145.40] 各位贵宾大家好
[146.28-149.16] 这边由我来报告2024年度
[150.00-159.24] 那就是本报告中的内容
[159.24-161.70] 仅为资讯流通之目的而公布
[161.70-163.16] 并非投资建议
[163.16-166.66] 本公司不对报告内容之正确性完整性
[166.66-169.88] 或任何使用本报告内容所产生之损害
[169.88-170.92] 负任何责任
[170.92-172.96] 好
[172.96-175.96] 那接下来我们可以看到
[175.96-179.96] 我们2024Q4的单季的综合损益表
[180.00-186.36] 那我们2024Q4单季的营收有来到209亿
[186.36-192.06] 那相较2023年的同期成长了25%左右
[192.06-197.06] 那毛利率的部分单季则有25%
[197.06-201.10] 相较于2023的同期成长了15%
[201.10-206.16] 那营业净利率的部分单季也来到16%
[206.16-209.98] 相较2023年的同期也是成长了15%
[210.00-212.16] 一成左右
[212.16-214.56] 那再往下看到净利率的部分
[214.56-216.90] 单季则有11.2左右
[216.90-218.34] 11.2%左右
[218.34-222.24] 相较2023年的同期成长了12%
