[0.00-28.82] 接下來很榮幸能邀請到華擎的許龍倫總經理
[28.82-31.04] 為各位舊公司概況做說明
[31.04-34.48] 緊接著有問答交流的時間讓各位貴賓提問
[34.48-37.56] 現在讓我們歡迎許龍倫總經理 歡迎
[37.56-49.10] 各位先生大家好
[49.10-52.54] 那跟以往一樣都是由我先跟各位簡報一下
[52.54-57.02] 我們公司這個上一季度跟這一季度的一個相關的數字
[57.02-58.80] 那接下來的話會有總經理的提問
[58.82-63.74] 總經理來說明各個產品現況跟未來的展望
[63.74-66.74] 那會留比較多的時間讓各位做Q&A的
[66.74-74.70] 那今年的話跟以往比較不一樣的是
[74.70-80.02] 現在我們華擎本身的話消費型產品從一開始的主機板
[80.02-81.82] 然後到迷你電腦到顯示卡
[81.82-84.58] 然後到前年開始推出monitor
[84.58-86.20] 那今年來講的話
[86.20-88.80] 我們公司會再多一個Power Supply
[88.82-90.00] 的一個產品線
[90.00-95.38] 那希望是說在這兩年慢慢把電競monitor跟Power Supply
[95.38-100.32] 這部分的業績慢慢的讓公司可以持續的穩定成長
[100.32-104.18] 那另外的部分來講的話就是大家比較了解的是
[104.18-108.74] 我們非消費型的產品包含Server是在我們的子公司永勤
[108.74-112.48] 那IPC的話則是在子公司東勤
[112.48-114.66] 因為這兩間公司都已經公開發行了
[114.66-116.78] 所以他們的相關的每個月的營收
[116.78-118.66] 各位可以從公開資訊觀測站去取得
[118.82-123.82] 那首先來講一下整個第四季的狀況
[123.82-126.54] 第四季公司整個營收92.1億
[126.54-128.24] 那YOY是創歷史新高
[128.24-131.24] 那整個成長YOY是成長64%
[131.24-133.58] 主要的成長動能來講的話
[133.58-137.24] 我們在Q4來講YOY的角度來講的話
[137.24-140.26] 除了TaxTab是一個衰退之外
[140.26-142.58] 其餘產品線都有明顯的成長
[142.58-146.38] 那主要的成長動能是來自於大家比較了解的Server
[146.38-148.66] 那尤其又是AI Server這部分
[148.82-150.82] 這部分的成長動能最強
[150.82-154.32] 其次的話則是像我們的VGA
[154.32-156.32] 也有一個雙位數的成長
[156.32-157.82] Monitor因為機器比較小
[157.82-159.82] 它的成長幅度也比較大
[159.82-162.82] Monoball的話則是一個個位數的成長
[162.82-165.32] 那TaxTab的Monoball跟IPC
[165.32-168.32] 則是一個YOY都是呈現一個個位數的成長
[168.32-170.32] 那TaxTab的話則是下滑
[170.32-172.82] 那整體的毛利的部分來講的話
[172.82-176.32] 4.23億YOY只有成長10%
[176.32-178.82] 那主要是因為毛利率從23%下滑
[178.82-182.82] 那這主要的影響因素就是產品組合的改變
[182.82-185.82] 那整個產品組合在Q4來講
[185.82-187.82] 剛才講92.1億是創歷史新高
[187.82-191.82] 但是它主要的成長動能是來自於AI Server跟VGA
[191.82-194.82] 那AI Server跟VGA這兩個產品線
[194.82-198.82] 是以我們目前整個公司的產品線的一個margin來講的話
[198.82-199.82] 是屬於比較低的
[199.82-202.82] 所以它們兩個的比較大的成長動能
[202.82-203.82] 帶動了營收成長
[203.82-206.82] 但是也會使得我們毛利率明顯的下滑
[206.82-208.82] 那這個部分又以AI Server來講的話
[208.82-210.82] 是AI Server影響最大
[210.82-212.82] 那整個營業費用的話
[212.82-214.82] 8.93億YOY是成長24%
[214.82-218.82] 營業費用的成長主要來自於三個原因
[218.82-220.82] 一個主要就是我們的人事費用
[220.82-223.82] 因為整個YOY來講的話
[223.82-226.82] 人數我們整個在華東永都有增加
[226.82-228.82] 我們一些研發團隊的人數
[228.82-232.82] 那所以整個公司的人數有一個個位數的成長
[232.82-234.82] 那另外一個部分來講的話
[234.82-237.82] 是我們整個因為獲利的提升
[237.82-238.82] 所以整個
[238.82-241.82] 員工分融的費用也會相對應的提升
[241.82-243.82] 那除了人事費用的話
[243.82-245.82] 另外兩個增加比較大的一個是
[245.82-247.82] 我們的所謂的材料試試費
[247.82-249.82] 就是產品的開發費用
[249.82-251.82] 那因為永勤這邊的話
[251.82-254.82] 在SERVER這部分目前來在開發的過程之中
[254.82-258.82] 有關AI這邊的一些領用的號件會
[258.82-259.82] 單價都比較高
[259.82-262.82] 所以它的研發費用也會相對的比較高一點
[262.82-265.82] 那另外其次的話是廣告行銷費用
[265.82-267.82] 那以往的話整個華勤
[267.82-269.82] 主要是MARBLE為主
[269.82-272.82] 那剛才看到了我們現在的產品現在越來越多
[272.82-274.82] 所以公司在這部分在做廣告
[274.82-277.82] 整個對整個產品的貢獻會比較明顯
[277.82-279.82] 所以公司在這兩年的過程之中
[279.82-282.82] 在廣告費用的投入也會比較積極一點
[282.82-286.82] 那整個營業業外的部分的話
[286.82-288.82] 4700萬主要是利息收入
[288.82-290.82] 那有少部分的匯兌收益
[290.82-292.82] 那跟去年比較大不一樣
[292.82-295.82] 因為去年主要是有比較明顯的匯兌虧損
[295.82-296.82] 所以造成整個業外的部分的話
[296.82-300.82] 相較去年有比較明顯的改善
[300.82-302.82] 那整個稅後淨利4.12億
[302.82-304.82] 那EPS是3.34
[304.82-306.82] 那就YOY整年來講的話
[306.82-308.82] 2024年257億的營收
[308.82-310.82] YOY是成長35%
[310.82-313.82] 那以所有的產品線來看的話也是
[313.82-316.82] 剛才提到大概就只有一個Best Type是往下滑
[316.82-319.82] 那其餘產品線都是YOY都是成長的
[319.82-321.82] 那成長幅度也跟剛才的類似
[321.82-324.82] 主要是我們SERVER為主
[324.82-326.82] 那其次的話是
[326.82-328.82] VGA
[328.82-330.82] 那接下來的話成長動能的話
[330.82-332.82] 則是IPC然後是MALABO
[332.82-334.82] 他們的排序大概是這樣
[334.82-336.82] 那毛利的部分的話48.7億
[336.82-338.82] 那YOY是成長27%
[338.82-342.82] 那毛利率的話從20到19
[342.82-344.82] 那相較於去年整年來看的話
[344.82-348.82] 我們好像因為產品組合毛利率變動比較大
[348.82-350.82] 但是以整年來看比較小
[350.82-352.82] 是因為去年2023年的時候
[352.82-354.82] 公司有職業比較多的存貨被堵
[354.82-356.82] 所以其實2023年的時候
[356.82-358.82] 2023年扣除存貨被堵的話
[358.82-360.82] 2023年的毛利應該會比較好一點
[360.82-363.82] 所以整個毛利還是會受到產品組合影響
[363.82-365.82] 變動比較大一點
[365.82-367.82] 那營業費用的話32億
[367.82-369.82] 那YOY是成長19%
[369.82-371.82] 這個部分跟剛才報告的一樣
[371.82-373.82] 就主要三個因素
[373.82-375.82] 一個是人事費用的增加
[375.82-378.82] 第二個是材料市值費
[378.82-380.82] 然後第三個是廣告費用
[380.82-382.82] 那業外的部分因為有匯兌收益
[382.82-384.82] 再加上去年整個整年來講美金的利率是
[384.82-386.82] 是有一個大小的變化
[386.82-388.82] 其實是相對的比較好一點
