[0.00-2.00] 各位同志先敬大家午安
[2.00-6.00] 歡迎參加大峰有線電視股份有限公司法人說明會
[6.00-9.00] 今天公司代表出席的有張明志董事長
[9.00-10.00] 張董事長好
[10.00-12.00] 另外是劉登龍總經理
[12.00-14.00] 劉家軍發言人
[14.00-16.00] 柯昱廷財務副總
[16.00-19.00] 以及大大寬頻的鄭又為財務副總
[19.00-23.00] 今天訪收會流程將針對引運成果報告後再行QA交流時間
[23.00-26.00] 我們先將時間交給經營團隊
[26.00-34.00] 謝謝各位今天下午百忙之中來參加我們大峰的法說會
[34.00-37.00] 這個比較偏小規模的法說會
[37.00-41.00] 最主要也是針對2024年的一個引運
[41.00-43.00] 跟各位做個報告
[43.00-47.00] 我想等會就由我們總經理劉登龍劉博士來跟各位說明
[47.00-51.00] 我想他會更著重在整個產業的面向
[51.00-54.00] 尤其現在大家比較關心的AI世代
[54.00-55.00] 跟我們這個行業
[55.00-56.00] 快速的進步
[56.00-60.00] 我們在大大寬頻的業務本身有沒有什麼一個連結性
[60.00-62.00] 那財務的部分呢
[62.00-67.00] 就請我們的財務副總柯昱廷Selene來跟各位做回答
[67.00-72.00] 那會後如果各位對於大大寬頻我們的子公司
[72.00-73.00] 未來的一些規劃
[73.00-76.00] 有一些想提問的地方
[76.00-80.00] 那就等到這個法說會結束之後
[80.00-82.00] 停止錄音錄影之後
[82.00-85.00] 由我們鄭又為鄭副總來跟各位
[85.00-87.00] 簡單的說明一下
[87.00-89.00] 那我想就先開始吧
[89.00-90.00] 好 劉博
[90.00-96.00] 那謝謝各位投資先進今天參加大鳳有限電視的這個法說會
[96.00-102.00] 那我這邊主要第一個要開頭就是從產業的概況
[102.00-104.00] 那以及經營我們經營的一些時機
[104.00-108.00] 那以及財務表現由我們柯財務副總隊來解釋
[108.00-111.00] 那以及未來的營運的展望
[111.00-114.00] 那我想從產業的概況的話
[114.00-116.00] 我們在過去這幾年有發現
[116.00-119.00] 其實這場革命已經延續了20年了
[119.00-123.00] 從整個整體的平行的運算跟神經網路的發展
[123.00-126.00] 其實在過去20年一直都持續在進行
[126.00-129.00] 那從我們目前這幾年的觀察下
[129.00-133.00] 它對於整體的寬頻應用已經開始產生一些影響了
[133.00-136.00] 那第一個是除了說Google
[136.00-140.00] 因為他們相關在各地廣見IDC之外
[140.00-143.00] 那資本市場大概也觀察到說這體的趨勢
[143.00-145.00] 那這個產業的部件
[145.00-150.00] 所以大陸出現CAPO跟Mentage還有Equinis這些專業的IDC
[150.00-153.00] 他們已經在部件當然也包含台灣
[153.00-158.00] 那這時候就有一些私募基金跟REITs的方式在進行取得這些財務的部分
[158.00-162.00] 那從這裡面我們觀察其實整體的雲端的運算
[162.00-165.00] 跟雲端的儲存這些都是變得越來越重要
[165.00-168.00] 因為AI它有所謂的在地化跟客製化
[168.00-170.00] 所以這邊的話講算力的輸出
[170.00-173.00] 這個是目前最新興的
[173.00-175.00] 一個經濟商業模式
[175.00-182.00] 大概就是說如何讓新創讓現有的企業可以利用AI的能力來改善他們的生產流程
[182.00-185.00] 客戶的服務以及商務模式
[185.00-191.00] 那這個我們的預期是說當運算的基礎它達到一定的規模以及演算法成熟之後
[191.00-196.00] 那其實我們大家在家裡只要使用有Monitor甚至你的手機
[196.00-199.00] 然後就可以使用這些雲端的AI的服務
[199.00-201.00] 這是我們對未來的一個預警
[201.00-202.00] 那在這上面其實最重要的一點就是我們現在有一個新的設計系統
[203.00-208.00] 最重要就是要有穩定而且足夠大的頻繁資源
[208.00-210.00] 這是我們認為這是最重要的
[212.00-216.00] 那以及我們目前觀察是整個生產式AI它需要的運算很大
[216.00-219.00] 因為大家過年的時候大概都有一些波檔
[219.00-221.00] 就大概有一些看到股價上上下下的
[221.00-225.00] 那其實這個重點就在AI運算的確需要很大的運算力
[225.00-230.00] 那當然有一些小波浪出來的時候它會去影響說是否需要這個
[230.00-232.00] 還有沒有精進的空間大家在思考
[233.00-237.00] 那我們從整體來講大大寬頻的整個經營的區域
[237.00-241.00] 其實是目前台灣建IT系最密集的區域
[241.00-245.00] 那這是我們的一個最重要的一個商機跟我們的重點
[245.00-250.00] 那在西海整體的話NVIDIA SERVER當然這個AI SERVER目前很夯
[250.00-256.00] 那這個如何讓它去結合我們的寬頻部件到user家裡
[256.00-261.00] 其實一般人我們對於人在真的使用的時候你不會真正隨時隨地都在去上IT
[261.00-262.00] 其實一般人我們對於人在真的使用的時候你不會真正隨時隨地都在去上IT
[262.00-263.00] 其實一般人我們對於人在真的使用的時候你不會真正隨時隨地都在去上IT
[263.00-264.00] 其實一般人我們對於人在真的使用的時候你不會真正隨地都在去上IT
[264.00-266.00] 因為在西海整體有重端就可以使用
[266.00-268.00] 所以寬頻流量這是一個重點
[268.00-270.00] 那一起我們觀察因為我們目前有在算
[270.00-275.00] 其實整體的AI的運算跟服務他們最在意的是流量費用
[275.00-278.00] 那我們也去觀察整個的計算下來
[278.00-283.00] 其實我們的機房從整體網路架構是最適合做邊緣的
[283.00-289.00] 因為我們的機房是最後能夠touch到客戶的最後一里路是在我們的機房內
[289.00-292.00] 所以我們認為整個的AI的邊緣運算其實應該是發生在我們的機房之中
[292.00-293.00] 所以我們認為整個的AI的邊緣運算其實應該是發生在我們的機房之中
[293.00-294.00] 所以我們認為整個的AI的邊緣運算其實應該是發生在我們的機房之中
[294.00-298.00] 那也可以幫這些所謂的AI服務商節省他流量費用
[298.00-302.00] 這個是我們現在急於要開拓的一個模式
[302.00-310.00] 那再下來的話這目前的整個新創的公司如何去讓AI的落地變成是企業或家用
[310.00-314.00] 現在很多AI新創都希望能夠對準家用的客戶
[314.00-318.00] 那我們整個的節點我們的重點在我們是最後一里路
[318.00-322.00] 因為寬頻不往寬頻還是在user家最穩定的連線方式
[322.00-323.00] 因為寬頻不往寬頻還是在user家最穩定的連線方式
[323.00-328.00] 那這邊的話我們當然希望能夠把AI的這些服務商導
[328.00-331.00] 他們的服務器伺服器導到我們的機房內
[331.00-337.00] 那這些機房內我們可以增加我們的機房的收入以及整體的代管跟利潤的分享
[337.00-342.00] 那骨幹的部分目前我們大概在去年我們完成整個大豐這邊完成升級
[342.00-347.00] 那我們當然以10G的費用因為大概是接近之前10G的費用
[347.00-350.00] 但我們目前已經擴成100G的骨幹
[350.00-352.00] 這大概是目前大豐整個骨幹是100G的網路
[352.00-362.00] 那所以整體我們要強調的是整體在AI或算力時代期最重要的還是在傳輸的品質跟穩定度
[362.00-368.00] 這一只是大豐在追尋這整個企業成長我們最強調的一個重點
[368.00-376.00] 那經營實際上就要跟大家分享的第一個是有關在去年24年的話我們還是持續業績還是在成長
[376.00-379.00] 營收的部分現在是21.2億喔
[379.00-381.00] 那有限電視我們持續在
[382.00-391.00] 我們已經跌了 uh
[391.00-394.00] 把我們通往這 Шvänd那stes的了
[394.00-395.00] virtue
[395.00-401.00] 對這個 20G的物流 ordinary
[401.00-403.00] 那就是 mind
[403.00-404.00] skilled
[404.00-406.00] 那也是個優勢
[406.00-407.00] 對
[407.00-409.00] 那個 regulated
[409.00-409.92] 一個優勢
[409.92-410.00] 那如果我們來加個
[410.00-411.00] 那個既得計 og
[411.00-412.00] 氣溫
[412.00-417.64] 市值目前是82億,市值對營收比大概3.9
[417.64-421.72] 按照去年12月31的股價的話,本益比大概在14
[421.72-424.28] 這大概是去年整個經營的時機
[424.28-431.20] 整體我們來細看的話,第一個是合併營收的話,較23.4成長2.5%
[431.20-435.30] 所以是21.2億,這也是算它地點最佳的部分
[435.30-442.22] 那寬頻的營收又成長,然後目前是8.1億,大概佔整體營收38%
[442.22-445.02] 那較23年是成長17.6%
[445.02-447.84] 這大概是去年20年那個亮點
[447.84-452.96] 那寬頻的用戶成長,大概目前總戶數是173,800戶
[452.96-458.34] 我們來設定目標是去年要成長16,500戶
[458.34-464.22] 但是我們有超額去完成,大概最後成長是17,985戶
[464.22-465.00] 好
[465.00-466.54] 那整體的
[466.54-471.92] 目前所有的用戶裡面,大於360M的有效,或是7.4萬戶
[471.92-475.50] 那這個對我們來講是營收相對貢獻度相對高的
[475.50-477.80] 那目前佔比是42.5%
[477.80-479.60] 那我們也希望說
[479.60-482.40] 在看到去年的整個生裝的話
[482.40-486.50] 360M以上高貢獻度的客戶,大概已經大於60%
[486.50-490.08] 對比23年是57%而已
[490.08-492.40] 所以持續在成長是屬於
[492.40-494.96] 平寬相對大的,貢獻度相對大
[494.96-498.04] 所以我們現在看到的這個距離,大概是
[498.04-501.88] 大概是20%以上的高的客戶,也持續在成長
[501.88-504.44] 那整體來講,對我們的最
[504.44-508.28] 我們為大家把整個寬頻拉高,對我們有個好處是說
[508.28-512.62] 其實它能夠彌補我們在所謂的市區收入的缺口
[512.62-515.18] 這大概對我們來講是一個相對重要的
[515.18-519.02] 所以我們的整體的寬頻的營收占比持續每年
[519.02-521.08] 從過去這個曲線圖來看
[521.08-522.60] 還是持續在成長
[522.60-524.92] 那對比23年是33%
[524.96-529.06] 如果加計我們的電路,因為我們有一些是純粹租電路的
[529.06-531.88] 出租的收入,那加計這個電路出租
[531.88-533.92] 把它算作是寬頻的收入的話
[533.92-535.96] 目前已經達到39%
[535.96-537.50] 就是寬頻整體的收入
[537.50-539.80] 加計電路出租的部分
[539.80-544.92] 那對比於那個23年的情況下,23年大概是6億8千7百萬
[544.92-547.74] 那收入的話在去年達到8億8百萬
[547.74-553.12] 大概整體成長是17.6%
[553.12-554.92] 那我想說大家也很關心,就是說
[554.96-561.36] 整個其實大豐在有彈性的相對業務上面相對使用相對彈性的方案
[561.36-565.20] 讓我們積極去把客戶做完那個留住
[565.20-566.22] 那所以這邊
[566.22-569.04] 整體的去年流失率只有1.28
[569.04-572.36] 那這個當然是優於五大營收平均3.15
[572.36-574.42] 那以及獨立業者的5.2
[574.42-581.08] 那相對來講大豐在這一塊是很積極用業務方案搭配以及我們積極的行銷去
[581.08-583.88] 鞏固這個部分的收入跟用戶數
[584.96-593.16] 那我想說整體的寬頻的部分,我們這邊要再強調說整體的部分大概是17.4萬戶
[593.16-596.74] 那我們連續五年大概都已經超過10%的成長
[596.74-602.62] 這個是很不容易的,那我們在整體的經營上可以看到我們積極的去把這塊的
[602.62-607.24] 那個營收給拉高用戶數也拉高
[607.24-609.28] 那財務的部分我們盤客戶總嗎?
[614.96-622.90] 財務表現的部分首先
[622.90-626.48] 財務表現的部分首先來看這個合併水益表
[626.48-630.06] 那2024年就是去年的時候我們的市區收入
[630.06-631.34] 為10億
[631.34-632.88] 08300萬
[632.88-635.96] 相較前一年度減少了4.8%
[635.96-639.28] 那在寬頻收入的部分則是達到8億
[639.28-640.82] 8億08百萬
[640.82-644.40] 那相較前一年度成長了17.6%
[644.96-645.98] 那由
[645.98-650.08] 如剛剛總經理前面的經營實際這邊的說明
[650.08-653.40] 就是我們2024年去年呢大體上也是
[653.40-660.06] 由寬頻收入的這個增長的部分來彌補了我們在市區收入這邊的
[660.06-661.60] 的減少
[661.60-665.96] 那我的合併營收呢來到了21億1900萬
[665.96-669.54] 創造了也是歷年的一個最佳的表現
[669.54-671.84] 較去年成長了2.5%
[671.84-674.92] 那在營業支出的部分呢去年大概有一些
[674.92-678.50] 我們行資節度的調整調薪跟一些公益的支出
[678.50-680.04] 所以有略為增長
[680.04-682.60] 但是大體上也維持在10億以下
[682.60-686.44] 那我們的AVITR來到了11億1900萬
[686.44-687.46] 母公司的淨利呢
[687.46-691.04] 現在是5億3190萬
[691.04-702.56] EPS達到3.59元
[702.56-704.88] 接下來看各項的財務指標
[704.92-707.48] 那左上角毛利率的部分
[707.48-710.30] 在2024年毛利率51.9%
[710.30-714.64] 那我們在近五年來講我們的毛利率也都是一個比較穩定的狀態
[714.64-717.98] 大概都是50%的上下
[717.98-721.30] 那在費用率的部分也是大概在20%上下
[721.30-724.12] 那去年的部分2024年也是剛剛提到的
[724.12-725.66] 因為一些行資調整
[725.66-728.98] 跟公益的支出所以有略為的增長
[728.98-731.04] 那在右上角AVITR的這個部分呢
[731.04-734.10] AVITR的佔營收比52.8%
[734.10-734.88] 那2024年
[734.92-742.08] 2024年的AVITR有11億2000萬
[742.08-745.16] 左下角母公司淨利的部分
[745.16-749.00] 2024年的淨利5億3200萬
[749.00-751.82] 那EPS3.59
[751.82-756.94] 那右邊右下角這邊的圖表這邊顯示的我的一億進現金流入
[756.94-763.34] 在去年2024年也有10億左右的進現金流入
[763.34-764.88] 整體來看呢我們的
[764.92-766.96] 各項指標都是一個正向的表現
[766.96-769.28] 那也都是一個比較穩健的
[769.28-770.56] 穩健的趨勢
[770.56-771.06] 那
[771.06-774.90] 一億進現金流量唯獨這邊有一些高高低低的呈現
[774.90-776.70] 那是因為就是說
[776.70-779.76] 我們在一個比較大的版權成本這部分呢
[779.76-782.32] 因為它預約的時間通常是比較長
[782.32-786.68] 所以它可能一旦在預約完成的時候會有比較大的一次性的付出
[786.68-788.98] 所以在這邊看起來會有一些起伏
[788.98-791.80] 但是大體上呢以一億進現金流入來看
[791.80-793.60] 也都是一個正向的
[793.60-794.88] 也是金額也
[794.92-802.86] 至少也不少的金額在這裡
[802.86-804.40] 那接下來看
[804.40-808.48] 資產負債表
[808.48-812.84] 資產負債表我們在2024年底呢總資產是73億
[812.84-819.24] 其中現金呢有將近17億佔了我總資產的23%
[819.24-824.88] 那其實其他流動資產3億多裡面其實也含了2億的這個定存現金
[824.92-827.22] 因為它超過三個月的期限
[827.22-829.78] 所以放在其他流動資產
[829.78-832.86] 那總計呢我的流動資產有21億4千多萬
[832.86-836.96] 那現金的部分佔了蠻大的部分
[836.96-839.26] 算是品質很好的一個流動資產
[839.26-842.58] 那在非流動資產的部分呢有51億4千1百萬
[842.58-845.40] 其中含了金融資產5億2
[845.40-848.48] 然後不動產廠房跟設備21億
[848.48-852.06] 無形資產25億
[852.06-853.84] 總共51億4千萬
[853.84-854.88] 所以我的資產總共有21億4千2萬
[854.92-862.34] 總計呢73億
[862.34-864.14] 再來負債的部分呢
[864.14-869.52] 我們在2024年去年的3月發行了15億的無單保可轉換公司債
[869.52-874.64] 所以可以看到我的流動負債從去年21億降到11億
[874.64-877.70] 然後非流動負債則是為15億
[877.70-880.78] 總共呢我的負債總計26億5千萬
[880.78-884.88] 加上我的股本權益這裡46億3千7百萬
[884.92-894.14] 總負債加權益73億
[894.14-898.48] 那接下來看就是公司近年的這個股利政策
[898.48-905.14] 下方呢是最近10年的公司的EPS跟股利的派發
[905.14-912.06] 那可以看出來就是經過了早期的這個競業市場的變化之外
[912.06-914.88] 之後呢公司從2019年開始已經6年了
[914.92-918.24] 6年的表現是比較穩定的
[918.24-923.88] 我們的EPS大概都有3塊3到3塊5之間
[923.88-928.24] 那股利派發也都維持在3塊錢以上
[928.24-931.56] 那以市值以股價及市值來看呢
[931.56-936.68] 在2024年去年底的時候公司的這個股票每股價格51塊7
[936.68-941.28] 換算公司的市值有81.8億
[941.28-944.88] 那中上前面的這些的說明就是說
[944.88-951.54] 我們公司的就是我們在財務結構上面一直是採取一個比較穩健的方式在做處理
[951.54-956.92] 那加上我們在淨利率跟貨用率這邊也都維持了一個穩定的方式
[956.92-963.32] 所以整個我們財務面就是一個呈現穩定的然後正向慢慢增長的趨勢
[963.32-966.12] 那接下來營運展望就
[971.24-973.80] 那接下來我發現這個營運展望的部分
[973.80-974.84] 張董一直在要求
[974.88-976.92] 品質是我們最好的宣傳
[976.92-980.76] 我們把品質做好其實客戶他們之間也會口而相傳
[980.76-984.86] 那所以我們這邊的話在2024年的新北市有限電視調查裡面
[984.86-987.68] 大風跟台樹是分裂第一名跟第二名
[987.68-991.78] 那我們的新高有從2015年開播之後連續9年是第一名
[991.78-994.08] 是整個民調的部分
[994.08-996.38] 買一度的調查是最高的
[996.38-999.96] 那目前我們在未來三年的話我們持續
[999.96-1003.04] 第一個是我們北中南會擴建400G的聯網骨幹
[1003.04-1004.84] 因為現在是100G但是
