[30.00-33.60] 會參加永庸金證券舉辦的第一季投資論壇
[33.60-35.20] 那我們今天很高興邀請到
[35.50-38.20] 聯貿的投資人關係的 Ken
[38.40-39.60] 來跟各位聊聊
[39.90-41.80] 公司的一些發展
[42.10-43.30] 還有一些展望
[43.60-46.00] 那我們把時間交給 Ken 謝謝
[47.50-48.90] 我一樣簡單先把
[49.10-50.90] 去年第四季的
[51.70-52.60] 一些
[53.60-56.00] 成果跟大家先分享一下
[56.14-58.20] 那去年第四季其實可以
[58.20-59.80] 明顯看到我們
[59.80-60.80] 用這張圖
[63.00-65.60] 明顯看到我們的毛利率有回來了
[65.80-66.40] 那
[67.10-69.40] 主要當然就是一個是
[70.10-71.20] 我們的
[71.80-73.20] 那個 Utilization Rate
[73.20-73.70] 這個
[74.10-75.30] 這個產能利用率
[75.50-79.20] 還有就是我們持續在出這些
[79.70-81.00] 比較高
[81.50-84.00] 高速的材料跟高階的材料
[84.10-86.00] 那不外乎就是 AI
[86.10-88.00] 另外就是還有一個很
[88.00-88.10] 主要的
[88.10-88.20] 主要的材料就是AI 另外就是還有一個很
[88.20-89.60] 主要的原因是因為我們
[90.80-92.00] 去年第三季
[92.30-94.50] 第二季的時候有比較多的高價
[94.50-95.60] 原物料庫存
[95.90-99.10] 那這些東西大概在去年第三季底的時候
[99.10-100.10] 就都去化完
[100.10-103.70] 所以也就是表示說我們第四季的時候
[103.70-106.00] 去年第四季的時候用的這些原物料是
[106.00-107.10] 相對來說價位
[107.70-111.10] 比較成本上面比較有效的有效率的
[111.90-113.80] 所以我們第四季除了
[114.30-115.80] 產能利用率回升之外
[115.80-118.00] 還有高價原物料庫存
[118.00-118.80] 也都去化掉
[119.00-121.90] 所以讓我們的毛利率很明顯的提升
[121.90-125.60] 那當然我們的產品組合其實大家也可以看到
[125.60-128.90] 是持續在優化改善的
[129.90-132.70] 比起來我們的
[133.50-134.70] 這個
[136.50-139.30] 高階產品就是基礎建設這一塊
[139.70-141.60] 還有車用電子
[141.60-144.70] 其實它的那個占營收比都是持續在上升的
[144.70-147.00] 那但是雖然說
[147.40-147.90] 消費性
[147.90-150.70] 電子不論是手機或者是
[151.40-154.00] 或者是其他的一些PC
[154.00-158.70] 其實他們也都是有持續在對材料上面的需求
[159.40-162.30] 不要說需求應該說對材料的要求
[162.60-163.00] 的
[163.50-165.10] 的規格是持續在提升的
[165.10-166.70] 所以在這一部分上面
[167.40-170.30] 雖然說我們產品組合是用往高階走
[170.30-171.70] 但是其實
[172.70-176.90] 在消費性電子這一塊特別是PC AI PC這一塊
[176.90-181.60] 他們對應的材料也都有持續在往從以前的FR4 M2
[181.60-183.10] 往M4 M6這邊走
[183.10-185.80] 所以聯罵在這一塊也是相對來說很受惠的
[187.90-191.30] 那另外就是我們的營業費用
[192.30-194.90] 第四季的時候也稍微比較高一點
[194.90-199.30] 那當然就是有一些產消炎的一些管理費
[199.30-204.50] 在第四季有稍微比過去前三季來的多一點
[204.50-205.20] 所以如果
[205.80-206.60] 如果
