[0.00-29.98] 謝謝大家
[30.00-37.08] 各位投资先进大家午安
[37.08-42.56] 欢迎大家出席由元大证券举办的全科科技股份有限公司
[42.56-44.10] 线上法人说明会
[44.10-46.26] 为维护会议品质
[46.26-49.16] 先把大家的麦克风调成静音
[49.16-52.92] 简报结束后将开放投资先进提问
[52.92-54.74] 再开启麦克风
[54.74-59.02] 也可以在聊天室面板中留言提问
[59.02-64.34] 首先介绍全科公司线上与会的经营团队
[64.34-67.22] 第一位是谢鸿昌总经理
[67.22-69.24] 各位投资先进大家好
[69.24-70.02] 我是谢鸿昌
[70.02-73.84] 第二位是廖炎黄之声副总
[73.84-75.86] 各位投资先进大家好
[75.86-79.52] 第三位是孙卫南陈快副总
[79.52-82.74] 各位投资先进大家好
[82.74-84.00] 大家好我是孙卫南
[84.00-88.24] 今天将由总经理谢鸿昌先生
[88.24-93.10] 向各位投资先进说明公司进行的营运概况及展望
[93.10-95.54] 接下来把时间交给谢总
[95.54-97.62] 谢谢言大
[97.62-106.10] 很感谢各位投资先进参加这次全科技的法人说明会
[106.10-109.98] 昨天也经过董事会
[109.98-115.80] 也做了针对去年度的各种营运绩效的报告及议案
[115.80-118.22] 我们开始今天
[118.24-123.88] 在今天在今天的简报资料
[123.88-127.72] 还是分4个部分
[127.72-131.04] 一个就是公司简介还有整个应援的状况
[131.04-132.48] 再加上
[132.48-139.06] 再加上整个公司在策略面的
[139.06-145.10] 整个策略面的一个应援
[145.10-146.44] 最后就是Q&A
[148.24-153.24] 整個snapshot有變化的就是說
[153.24-156.48] 因為公司有發行可轉債
[156.48-158.88] 那預計今年會到期
[158.88-163.48] 那整個的轉換率目前已經達到93%了
[163.48-167.48] 那如果各位投資者
[167.48-170.74] 如果有購買全科可轉債的
[170.74-172.68] 可能請記得要提早轉換
[172.68-175.38] 因為目前整個轉換價大概28點多
[175.38-178.38] 所以應該還是有一個差距
[178.38-181.38] 那過去的例子有些人真的會忘了轉
[181.38-183.38] 所以可能大概就到時候會數回
[183.38-185.38] 那再加上這一頁
[185.38-188.38] 另外一個就是說公司在去年第四季的時候
[188.38-193.38] 正式將新加坡本來join venture的公司
[193.38-195.38] 我們把它百分之百變成子公司
[195.38-199.38] 那由新加坡公司來拓展這個東協十國家
[199.38-201.38] 印度及澳洲的一個生意
[201.38-204.38] 那當然自中美貿易之後
[204.38-205.38] 很多的
[205.38-207.38] 生產廠商兩岸都有
[207.38-209.38] 不管轉到東南亞
[209.38-212.38] 或者是印度或者是墨西哥
[212.38-215.38] 那主要東協十國跟印度
[215.38-219.38] 澳洲會由新加坡這個運營總部來做
[219.38-221.38] 更進一步的服務
[221.38-223.38] 那目前大概整個公司有18個據點
[223.38-227.38] 分屬在兩岸、三地還有新加坡
[232.38-235.38] 整個公司這30
[235.38-239.38] 幾年來所有的一個運營的方式
[239.38-242.38] 大概是用這張圖可以呈現
[242.38-248.38] 那以前發展最多的主要是在中間這個傳輸
[248.38-251.38] 還有左邊的這個所謂的西歐端
[251.38-255.38] 那後來到中期後段
[255.38-258.38] 會在右邊的所有的中端設備
[258.38-261.38] 不管是網通的設備或者是汽車
[261.38-264.38] 或者是很多HID相關的
[265.38-268.38] 那在這兩三年之間
[268.38-271.38] 即使頭端的生意就是又回到左邊這一塊
[271.38-274.38] 不管你是來自KB的頭端
[274.38-277.38] 還是來自早期有一段時間DSL頭端
[277.38-279.38] 或者是廣播的
[279.38-282.38] 那最後一個還加上
[282.38-287.38] 最近這五年這整個Data Center的不斷的快速增加
[287.38-289.38] 那Data Center在這一兩年
[289.38-292.38] 其實又是因為AI Server
[292.38-294.38] 跟傳統通用伺服器比起來
[294.38-296.38] 所以這個又是快速增加
[296.38-298.38] 在這個所謂的資料中心裡面
[298.38-302.38] 所以這一塊又成為在這一年當中很重要的主流
[302.38-305.38] 所以整個的生意大概是由這個圖來所構建
[309.38-311.38] 那我們先看去年還有這幾年
[311.38-313.38] 第一個是營業收入方面
