[0.00-2.00] 各位投資人今天是下午的時間
[2.00-9.00] 接下來我大概花幾分鐘時間先把公司的一些概況先update一下
[9.00-12.00] 接下來就直接進入Q&A看看大家有什麼問題
[12.00-15.00] 我想最近比較有一些消息
[15.00-18.00] 尤其我們剛公布所謂的COVID案
[18.00-20.00] 還有我們的心理鼓勵案
[20.00-23.00] 等等也會在這邊再多一些補充
[25.00-28.00] 首先看一下我們去年的成績
[28.00-31.00] 我們去年大概做200大3.7
[31.00-35.00] 比23年大概成長了16.4%
[35.00-37.00] 整個毛利率不錯
[37.00-39.00] 毛利率大概到了26.7
[39.00-43.00] 這應該算是歷史的一個高點
[43.00-45.00] 看起來的話今年看起來
[45.00-49.00] 一二月結束來的成績大概也都高於這樣一個成績
[49.00-53.00] 所以整個的一個狀況看起來是比較神聖樂觀
[53.00-58.00] 我們去年的一個整個的一個EPS是28.17
[58.00-62.00] 28.17大概是歷史的一個次高
[62.00-64.00] 所以說我們在二二年因為疫情關係
[64.00-67.00] 很多客戶overbooking的一個狀況之下
[67.00-72.00] 營收337億然後貨幣攤36.6%EPS
[72.00-73.00] 那都是新高
[73.00-77.00] 去年算是一個比較紮實的已經反映
[77.00-81.00] 客戶調安固存而且終關需求沒有掉下來的一個情況
[81.00-85.00] 所以整個成績算是一個還不錯的一個成績
[85.00-89.00] 那看一下過去的一個整個Chain
[89.00-92.00] 看起來的話都是一個往上走的一個趨勢
[92.00-97.00] 那這邊剛剛大概有稍微帶到我就不多做說明了
[97.00-100.00] 那整個毛利率的一個水準看起來也是相當不錯
[100.00-102.00] 應該是一個歷史新高的一個毛利率的水準
[102.00-107.00] 當然這個毛利率的一個高點除了受惠與所得的惠率之外
[107.00-110.00] 還有產品組合還有我們越南的比重拉高
[110.00-112.00] 這也是一個原因之一
[112.00-115.00] 那看一下整個資產不代表
[115.00-117.00] 我們在24年的一個年底的時候
[117.00-120.00] 我們的現金水位大概是74億
[120.00-124.00] 這個模樣程度也是在今年在配發青骨林
[124.00-127.00] 或者在做所謂的訂購投資案的時候的一個底氣
[127.00-131.00] 那我們的一個整個的Buy Ratio大概是
[131.00-134.00] 他們的在40%以下大概36.2
[134.00-137.00] 那其中我們的Net Cash可以看出來
[137.00-139.00] 就是說我們的一檔計畫並不多
[139.00-140.00] 大概不到12億
[140.00-142.00] 所以Net Cash大概將近2億美金
[142.00-144.00] 這大概就是我們一個狀況
[144.00-146.00] 那目前的公司在轉得差不多了
[146.00-147.00] 就是Siri1的部分
[147.00-151.00] 那我們目前因為今年的新鼓勵
[151.00-153.00] 再加上訂購案的關係
[153.00-156.00] 我們今年可能會再發一個Siri
[156.00-161.00] 在這邊也跟各位投資人做一個預先的一個報告
[161.00-164.00] 那這個大概有講到的
[164.00-167.00] 我們去年做了28.17
[167.00-171.00] 那根據董事會這邊的一個決議
[171.00-173.00] 再加上之前跟投資人的這樣的一個承諾
[173.00-176.00] 我們大概是配發率在65到70以上
[176.00-178.00] 那今天就可以70
[178.00-180.00] 那70的一個配發率大概就是
[180.00-182.00] 大概是49.7
[182.00-184.00] 本來想要超過的整數20億人
[184.00-187.00] 後來董事會覺得說我們還是Honor
