[0.00-5.76] 大家好謝謝
[5.76-9.48] 接下來我們歡迎海外部總經理
[9.48-12.32] 是我們美國地區的執行長莊執行長
[12.32-13.88] 大家好我是Susan
[13.88-14.88] 謝謝
[14.88-17.60] 接下來我們有請財務長
[17.60-19.08] 大家好我是Luke
[19.08-23.60] 接下來時間就交給預期的經理法人會
[23.60-25.48] 幫我們進行今天的法人說明會
[25.48-26.48] 謝謝
[26.48-29.04] 先開始
[31.64-32.36] 大家好
[32.36-35.48] 這次我們先做個簡單的一些內容的說明
[38.48-40.76] 待會我們簡報大概分了六個部分
[40.76-42.16] 第一個部分在於說
[42.16-44.04] 我們先追蹤一下
[44.04-45.96] 我們今天法人會所有東西
[45.96-47.64] 它到底有沒有實現
[47.64-50.04] 再來的話就是針對去年的成績
[50.04-51.20] 大家來看一下
[51.20-54.24] 到底我們的產品的獲利跟實力的分析
[54.24-55.76] 再來的話再評估
[55.76-56.44] 因為首選
[56.44-58.56] 大家目前最關心的關稅
[58.56-61.16] 到底關稅對於公司影響性有多大
[61.16-63.60] 以及公司應對的策略是什麼
[63.60-65.44] 第三的話就是
[65.44-68.88] 我們如果在現在的地緣政治中
[68.88-70.96] 我們如何保留一個優勢
[70.96-73.64] 我們怎麼調整我們的銷售上的戰略
[73.64-76.24] 去開出一條自己的路
[76.24-78.08] 第四的話就是說
[78.08-81.84] 我們目前已經在持續在開發出貨的產品
[81.84-84.68] 第五就是我們最近即將開發
[84.68-86.40] 然後也即將要出貨的產品
[86.44-90.04] 最後就是我們目標這個進步的一個追蹤
[90.04-93.92] 我們首先來看一下關於財務的部分
[93.92-96.20] 我們2024年營收
[96.20-97.56] 就是我們
[97.56-98.80] 那時候有提到就是
[98.80-101.28] 我們有機會可以超過10到41億
[101.28-103.40] 然後後來結果是40億
[103.40-104.76] 算是沒想達成
[104.76-108.84] 再來Q3跟Q4的比重本來說是4比6
[108.84-112.00] 後來有提到就是慢慢修正會到45比55
[112.00-114.12] 後來結束完是4 新疊比3
[114.12-116.04] 毛利一部分
[116.44-119.88] 就是我們到時候有講大概毛利低標帶42%
[119.88-122.12] 高標帶44%
[122.12-124.00] 然後結果我們結算43.4%
[124.00-128.04] 其實坦白說那時候我的土牌是44.5
[128.04-130.20] 其實我認為應該得到44.5
[130.20-133.76] 可是後來因為整個分店包的一些損失
[133.76-135.96] 可能在第四季沒有辦法均衡把它卡回來
[135.96-139.56] 所以我們整個產能調配跟訂單遞減
[139.56-143.08] 會讓整個毛利預算往下修一些
[143.08-144.84] 那再來的ODM比重
[144.84-146.28] 那時候承諾就是會超過7.5%
[146.44-149.88] 然後我們後來結算72%左右
[149.88-153.80] 那Pash率呢我們一樣就是不低於8成
[153.80-157.88] 那就是目前每股Pash是Pay13塊信心股幣
[157.88-163.16] 那以QIN來看的話
[163.16-165.80] 我們總營收是40.1億
[165.80-169.68] 那相較於2023年大概成長4%左右
[169.68-171.00] 不過很可惜就是說
[171.00-173.88] 我們的營業費用這邊多了1.9億
[173.88-175.20] 這1.9億呢
[175.20-176.28] 百分之99%的成長是4%左右的成長
[176.44-178.20] 所以我們在2024年的時候
[178.20-179.64] 我們在2023年的時候
[179.64-181.72] 我們的貨櫃是3,200塊的資金
[181.72-184.44] 所以光是這個整個海運費的費率
[184.44-185.72] 調整的影響下
[185.72-188.92] 就是會讓我們整個營業費用的比重會拉高
[188.92-192.44] 那所以我們必須在這樣的戰略的基礎下
[192.44-195.80] 我們如何在佈局2025就很重要
[195.80-197.72] 因為我們如果閃過
[197.72-199.56] 怎麼去降低我們的營業費用呢
[199.56-201.56] 就是因為我們在2025年的時候
[201.56-203.16] 我們在2025年的時候
[203.16-204.44] 我們在2025年的時候
[204.44-205.56] 我們在2025年的時候
[205.56-206.28] 我們在2025年的時候
[206.28-208.24] 我們要向其他全球市民多到一個atos
[208.24-209.12] 我們任何的產業戶口
[209.12-210.28] 我們得到 starred
[210.28-210.52] 就自動卸去
[210.52-222.76] 對一樣to
[222.76-223.48] 的成長
[223.52-224.08] 就是在1930年的時候
[224.08-224.76] 我們也問了
[224.80-226.40] 你對全球企業的收入
[226.40-227.28] 你對全球市場是 whom
[227.28-228.28] 你的資金
[228.28-228.72] 你對全球市場是 whom
[228.72-229.50] 你的資金
[229.88-230.76] 所以我們在2025年出來時
[230.76-231.56] 我們才可以in inefficient
[231.56-233.48] 所以我們才能夠就設立一個
[233.48-234.92] 原設的一個系統
[236.28-240.98] 這張圖跟大家報告的就是說
[240.98-242.48] 我們的營收有很特別的形象
[242.48-247.64] 就是它上來之後會踩煞車一段一陣子之後再上去
[247.64-248.96] 煞車之後再上去
[248.96-251.16] 這是我們的很基本的pattern
[251.16-253.20] 也就是說我們每一次營收的增長
[253.20-255.26] 都是會有一個代表性的客人打進去
[255.26-257.92] 所以會讓我們整個營收可以大幅的成長
[257.92-261.30] 每一個客人養成都需要到三年的時間
[261.30-263.92] 所以我們的營收都是從基地式成長
[263.92-265.92] 它不會不斷的往上攀爬
[265.92-268.28] 恐怕就沒有這麼樂觀
[268.28-271.28] 就比方說上去之後會休息然後再上去
[271.28-274.28] 這個態勢我想是不變的
[274.28-279.88] 這十年的話我們整個負荷成長大概18%左右
[279.88-284.20] 一樣就是所謂的基地式成長在客戶的觀察期
[284.20-286.78] 它需要觀察我們兩到三年的時間
[286.78-289.58] 我們看到整個產品組合
[289.58-293.68] 橘黃色這一塊是所謂的ODM的長實價
[293.68-295.86] 可以看到從2020年發育
[295.92-299.32] 我們到了目前2024年已經到27億左右
[299.32-303.72] 不過很可惜就是說我們的床這一段的漲幅
[303.72-305.32] 是不斷的往下下縮
[305.32-309.32] 就是說從最高的14億現在到7億左右
[309.32-313.40] 所以我們的去年ODM增加3.6
[313.40-315.24] 很可惜就是被床吃掉了
[315.24-318.68] 不然其實我們的營收可以更進一步的往上拉
[318.68-322.60] 同時也能問為什麼這個床的營收往上掉
[322.60-325.32] 最主要的原因就是美國的基本利率
[325.32-325.92] 不怪在調整的時候
[325.92-327.92] 美國的經濟發展
[327.92-329.92] 美國在消費一張床的時候
[329.92-331.92] 它是用信用卡去刷卡
[331.92-333.92] 刷卡過程中它就要負擔所謂的最大利息
[333.92-335.92] 所以你可以看到就是說
[335.92-337.92] 從2020年整個暴力消費之後
[337.92-341.92] 暴力升息之後慢慢的它就萎縮非常快
[341.92-343.92] 過了這樣的態勢
[343.92-346.92] 之後我們會先相對上調整
[346.92-348.92] 那之後再跟大家報告
[348.92-350.92] 我們怎麼去處理這一段
[350.92-352.92] 怎麼去想辦法把它拉起來
[352.92-354.92] 那整個移收佔比呢可以看到
[355.92-359.92] ODM的部分已經到了67%左右
[359.92-362.92] 然後床的部分大概是8%左右
[362.92-369.92] 那整個貨力其實基本上ODM的貨力
[369.92-372.92] 量佔了將近85%左右
[372.92-377.92] 所以公司的毛利85%都是來自於整個ODM的成長力道
[377.92-380.92] 所以隨著整個ODM的規模不斷擴大
[380.92-382.92] 當然公司的貨力又不斷增加
[382.92-385.92] 你就是為什麼這五年公司的貨力可以不斷增加
[385.92-387.92] 就是因為它們的貨力不斷的往上墊好
[387.92-390.92] 最主要就是因為ODM的貨價有很好的表現
[394.92-398.92] 那麼看看這四年的移收負荷成長率
[398.92-400.92] 就是我們總的來看的話
[400.92-403.92] 我們這四年移收負荷成長在13.5%
[403.92-406.92] ODM的負荷成長34.3%
[406.92-408.92] 所以可以看到就是我們移收成長動能
[408.92-411.92] 一樣是來自於美國的一個市場
[411.92-413.92] 那以保利率來看的話就是說
[413.92-415.92] 去年我們一直對這個市場的
[415.92-417.92] 大家投資者的共鳴就是說
[417.92-421.92] 為什麼公司的貨力從第一季的48%
[421.92-422.92] 到第二季的31%
[422.92-424.92] 到第三季的33%
[424.92-427.92] 到第四季又扭轉變成3%
[427.92-431.92] 其實就是說第一公司的產品的組合很重要
[431.92-433.92] 再來的話就是關稅
[433.92-436.92] 我們有沒有辦法很快做傳統關稅的利益
[436.92-439.92] 那坦白講在拜登那個時期
[439.92-441.92] 他是比較不講武德的
[441.92-442.92] 怎麼說呢
[442.92-443.92] 因為拜登我們印象中就是說
[443.92-445.92] 他傳統關稅是突然講
[445.92-447.92] 然後地馬直跌
[447.92-448.92] 他沒有那一個反衝的時間
[448.92-450.92] 可是以川普來講
[450.92-451.92] 他至少跟你講
[451.92-456.92] 我在三月或是在幾月之後發貨的船到美國
[456.92-457.92] 可是不可以關稅
[457.92-459.92] 所以他有一個很明確的切點
[459.92-461.92] 那很明確的切點
[461.92-463.92] 就是跟客人要價差
[463.92-464.92] 可是在拜登那個時期
[464.92-466.92] 我們是沒辦法要價差的
[466.92-469.92] 你可能就跟客人很清楚的計算
[469.92-471.92] 所以這個東西我們就很吃虧
[471.92-472.92] 所以從今天開始
[472.92-474.92] 雖然他暴利的傳統關稅
[474.92-475.92] 可是
[475.92-476.92] 後面幾年沒到報到
[476.92-477.92] 是關稅的定來漲
[477.92-478.92] 沒什麼
[478.92-480.92] 所以待會我會跟大家特別說明
[480.92-481.92] 那對
[481.92-482.92] 馬力去來看的話
[482.92-484.92] 基本上我們是不斷的在增加中
[488.92-489.92] 那未來的話
[489.92-492.92] 一樣是ODM的主要成長動力
[492.92-494.92] 那這個是我們去年整個
[494.92-496.92] 宇宙的成長走勢
[496.92-499.92] 就是基本上YOY都是一路往上成長
[499.92-502.92] 那只要高於這條綠色線的
[502.92-504.92] 就代表我們的YOY
[504.92-507.92] 是比2024比2026還好
[507.92-509.92] 所以可以看到12個月裡面
[509.92-511.92] 有9個月是打敗2023年
[511.92-513.92] 可是大家可能認為說
[513.92-515.92] 好像公司的營收可能會
[515.92-517.92] 波動的比較大一些
[517.92-520.92] 就是因為展現下的特性就是說
[520.92-521.92] 他們沒有
[521.92-524.92] 他們不像電子業或是所謂的行業
[524.92-526.92] 他的上架時間是很明確的
[526.92-528.92] 所以我們這個營收呢
[528.92-531.92] 是完全按照客人的開店時間表來做調整
[531.92-533.92] 所以這個營收會顯得比較波動
[533.92-537.92] 那我們一路追很辛苦
[537.92-541.92] 從我們去年1月的入落後63%
[541.92-543.92] 到後面到12月終於把它翻過來
[543.92-546.92] 翻正為漲成長4%96
[546.92-549.92] 那同時也有常問說說
[549.92-551.92] 以每個季有沒有一個pattern
[551.92-552.92] 可以讓我們知道說
[552.92-554.92] 到底第三季好還是第四季好
[554.92-556.92] 其實很遺憾的就是說
[556.92-558.92] 我們以這個表來看的話
[558.92-560.92] 2024年可以明顯看到就是
[560.92-562.92] 基本上我們算是除了第二季
[562.92-563.92] 比較差一點之外
[563.92-565.92] 基本上都季季高
[565.92-567.92] 那以2023年來看的話就不一樣
[567.92-568.92] 是季季低
[568.92-571.92] 第一季創新高之後就慢慢就往下走
[571.92-573.92] 那以2022年來看的話呢
[573.92-575.92] 基本上除了這一季比較特別之外
[575.92-578.92] 基本上一樣是季季高的區分不太細
[578.92-579.92] 所以總而來講
[579.92-582.92] 我們沒有很明顯的在忘記時分
[582.92-584.92] 可是一個比較明確的看法就是說
[584.92-587.92] 應該第三季跟第四季的忘記的機率
[587.92-589.92] 相對來講是比較高的
[589.92-591.92] 這個跟大家做個說明
[592.92-597.92] 那跟大家報告就是說
[597.92-600.92] 以公司的跟幾個消美博市場
[600.92-602.92] 或是歐美市場的
[602.92-603.92] 不是說同業
[603.92-605.92] 就是說市場取向比較相近的公司
[605.92-607.92] 做一些比較
[607.92-608.92] 以易鳳來講
[608.92-610.92] 當然這幾家華麗最高的
[610.92-611.92] 稅優經營最高的
[611.92-612.92] 可是你可以看到
[612.92-613.92] 其實我們公司的
[613.92-616.92] 基本上還是算是一個
[616.92-619.92] 相對來講不算太差的表現
[619.92-621.92] 那當然在ROE股東權益報酬率
[621.92-622.92] 我們也有看到
[622.92-623.92] 我們本身最高的
[623.92-626.92] 那在於整個營收負荷成長率來講
