[0.00-8.64] 那欢迎各位投资先进参加凯基举办美利达线上法人会议
[8.64-11.58] 那今天主讲的场官是张振庸协理
[11.58-15.76] 那我们首先请张协理跟各位分享一下近期的营运贷款
[15.76-17.24] 协理麻烦您
[17.24-20.52] 好各位投资先进大家好
[20.52-21.98] 请问大家可以看到我画面
[21.98-23.36] 可以
[23.36-24.98] 好那谢谢
[24.98-27.80] 那我就开始把电池
[27.80-32.42] 那谢谢大家参加今天的法人说明会
[32.42-36.02] 那我们今天下午刚今天下午才刚结束董事会
[36.02-38.34] 那这是我们法人说明会召开的比较早
[38.34-40.78] 主要就是因为有一些比较大变动
[40.78-43.64] 所以想第一时间跟大家说明一下
[43.64-49.78] 那我聪明就开始跟大家说明这整个2024年年度的结果
[49.78-53.32] 那我们今天董事会有通过财报
[53.32-56.38] 然后承认了2020年结果
[56.38-57.68] 那EPS的部分
[57.68-57.78] 那我们今天董事会有通过财报
[57.78-58.28] 那我们今天董事会有通过财报
[58.28-58.32] 那我们今天董事会有通过财报
[58.32-58.34] 那我们今天董事会有通过财报
[58.34-58.78] 那我们今天董事会有通过财报
[58.78-60.90] 很可惜的就是今年我们出现
[60.90-62.28] 这次我们出现了
[62.28-66.24] 2002年来首次出现亏损
[66.24-70.22] EPS我们是变亏损负亏损2.34%
[70.22-71.72] 你放在小声点
[71.72-76.32] 然后虽然说我们EPS是亏损
[76.32-79.34] 可是我们有决定要发放鼓励是
[79.34-81.42] 现金鼓励四块
[81.42-84.12] 那大家可能会想说为什么亏损
[84.12-86.18] 可是仍然决意要发放鼓励
[86.18-87.66] 那主要是两个
[87.66-88.72] 大的原因
[88.72-91.66] 第一个是我们本业的营收其实是成长
[91.66-92.92] 然后获利也稳定
[92.92-94.28] 营运其实是变好
[94.28-96.48] 那我们这次亏损主要是因为那个
[96.48-98.40] 任意业外的投资损失
[98.40-100.08] 所以针对这两点
[100.08-102.72] 后面我会跟大家做比较细节的说明
[102.72-105.12] 所以首先我们先
[105.12-107.68] 我先说明一下本业营运的部分
[107.68-109.78] 那我们先看营收
[109.78-111.12] 营收的话
[111.12-113.86] 我们的整年的营收其实还不错
[113.86-115.16] 大家都可能知道说
[115.16-117.54] 自行车业目前其实还在
[117.54-117.64] 啊
[117.66-120.12] 还是在那个去库存的阶段
[120.12-121.92] 所以各品牌的
[121.92-124.54] 在市场上还是销售上还是有一定的压力
[124.54-126.48] 可是我们去年结果其实还不错
[126.48-129.10] 整体我们还有8.7%
[129.10-130.42] 那可能有两几个重点
[130.42-131.72] 第一个是
[131.72-133.72] 大家可以看到我们整个市场
[133.72-135.30] 自行车市场去库存开始
[135.30-138.48] 大概是在2022年下半年那边
[138.48-140.38] 那我们这边可以比较明显看到
[140.38-142.48] 我们2023年的那个
[142.48-144.96] 绿色部分是我们台湾厂的营收
[144.96-147.62] 就很明显的开始每个月
[147.66-148.90] 逐季下降
[148.90-151.98] 然后到了2023年Q4部分
[151.98-153.36] 基本上大概就是谷底
[153.36-155.16] 然后后面又开始慢慢
[155.16-157.98] 2024年初就开始比较
[157.98-159.60] 逐步回温逐步慢慢回升
[159.60-160.62] 这样子
[160.62-165.24] 那去年另外一个除了那个欧美这边的需求开始回升
[165.24-169.46] 另外一个就是中国市场的部分也有出现明显的成长
[169.46-172.98] 尤其是在夏天那个春天夏天Q2 Q3的部分
[172.98-176.46] 跟前一年比起来几乎都是基本上都是翻倍成长
[176.46-177.54] 所以在这两个情况下
[177.54-181.60] 我们去年的成绩整体销售来讲本业还不错
[181.60-183.50] 最后就成长8.7%
[183.50-186.50] 那1月跟2月的结果我们也已经公布了
[186.50-190.38] 所以如果把1月2月比较来看的话
[190.38-193.38] 大家可以发现说我们1 2月台湾厂的部分
[193.38-194.50] 就是绿色这一条
[194.50-198.34] 跟去年比起来也相对好蛮多的
[198.34-202.30] 那整体来讲其实已经现在现在的金额是
[202.30-205.98] 其实跟去年的那个第一季也没有到差很多
[205.98-207.46] 所以我相信第一季
[207.54-209.50] 三月上去的话
[209.50-211.90] 结果应该是还蛮乐观的
[211.90-216.70] 那再来就是我们营收的分布也跟大家分享一下
[216.70-221.90] 2023年状况是比较跟跟往年比起来是比较正常的比例
[221.90-226.78] 我们的台湾牧场这边的销售跟销售的话
[226.78-231.04] 基本上一般都在我们整个集团大概营收的五成以上
[231.04-232.70] 所以这一年算是比较正常
[232.70-234.06] 那去年比较特别
[234.06-237.50] 因为去年跟刚才报告过的就是我们
[237.54-238.90] 大陆内销部分
[238.90-241.46] 去年的市场非常旺
[241.46-243.06] 所以成长幅度非常大
[243.06-249.78] 所以就导致说我们中国大陆内销的那个比重往上跳了8.6%
[249.78-250.66] 在整个集团
[250.66-252.38] 所以大概今年分布
[252.38-253.82] 那去年分布大概是这样子
[253.82-256.18] 不过这个不太算市场状况
[256.18-259.34] 但等那个欧美市场那个市场再慢慢回滚的话
[259.34-264.82] 这个比重应该慢慢又会回到应该会再稍微回到比较之前的状况
[264.82-267.38] 那再来我们看我们的市场状况
[267.54-269.62] 我们整个集团营业的毛利
[269.62-271.34] 那我们的毛利的话
[271.34-274.02] 这三年来都还蛮稳定的
[274.02-276.66] 这三年的话都是在18%上下
[276.66-277.14] 之前
[279.06-280.98] 这部分应该就没有什么太大变动
[280.98-283.20] 所以我觉得这是好现象
[283.20-287.04] 那最后就是那个我们如果以季来看的话
[288.12-291.12] 营收就刚刚报告过的营收基本上成长
[291.12-292.90] 那另外一个重点是EPS
[292.90-296.92] 我们有把我们的本业的部分的EPS拆出来看的话
[296.92-297.36] 那
[297.54-302.42] 可以看到我们EPS会是在大概可能1.5到2.8
[302.42-305.04] 或是在这个之间上下
[305.04-306.54] 随着业绩起伏
[306.54-308.04] 不过基本上都是正面的
[308.04-309.36] 所以啊
[309.36-311.34] 如果不要看业外转投资的话
[311.34-315.32] 我们整体的结果去年其实整个运营还蛮不错的
[315.32-318.84] 尤其是在这个整个自行车业还在去不准阶段的话
[318.84-320.96] 我们就表现算是好的
[320.96-326.58] 那不过很可惜的就是业外投资的部分导致我们有出现损失
[326.58-327.54] 那后面我说明一下
[327.54-332.16] 我们的公司的那个货力来源
[332.16-333.66] 如果我们把它拆成
[333.66-335.52] 其实也可以用这个角度来看
[335.52-339.50] 基本上就是我们台湾的牧场的生产跟销售
[339.52-342.60] 然后还有我们中国大陆厂的生产
[342.60-344.60] 还有中国大陆内销的销售
[344.62-349.14] 然后最后就是我们其他的业外的那个其他转投资
[349.14-351.42] 那大家可能也知道就是我们转投资部分
[351.42-355.62] 主要就是最大部分就是美国的自行车品牌
[355.62-356.64] 一家自行车品牌
[356.64-357.24] 然后再加上
[357.24-361.80] 我们其他自己美利达的各国经销商的
[361.80-364.32] 就是各国家经销商
[364.32-368.12] 不过美国那个品牌部分是占了绝大部分
[368.12-369.64] 那我们去年的结果
[369.64-370.98] 如果我们拆出来看的话
[370.98-375.60] 就是转投资的部分出现了EPS
[375.60-378.02] 我们如果拆出来看的话是-11.51
[378.02-381.74] 然后我们台湾跟中国部分看起来EPS是9.17
[381.74-384.66] 所以这个也是两个江湘
[384.66-387.06] 因为这一块大于我们的中国的
[387.24-388.08] 我们大陆营收
[388.08-392.24] 所以导致说最后会出现-2.34这个结果
[393.66-398.10] 那我们业外那一块会出现那么大的那个意外亏损
[399.30-403.32] 主要的在他们这样一张转投资公司那边来看的话
[403.32-407.42] 其实也不是这不是在营运上面发生的整个亏损里面
[407.42-408.90] 我们把它做分析
[408.90-411.80] 只有8%是在本身的营运部分
[411.80-415.86] 那其他的92%都是因为他们在Q4部分
[415.86-417.08] 在Q4的时候
[417.24-420.30] 提列了那个地缘所得税资产减损
[420.30-423.92] 还有那个车店通路的那个投资的商业损失
[423.92-426.86] 这两项基本上就是年底的时候做一次评价
[426.86-428.34] 然后一次性的提列
[428.34-431.46] 并不是日常营运上面的损失
[431.46-434.34] 那针对这两点我后面会再有更仔细的说明
[434.34-438.90] 那先针对那个地缘所得税资产减损的部分
[438.90-441.66] 那要这一块的话
[441.66-446.36] 首先我们要说明一下那个美国的GAP那个会计原则
[446.36-447.24] 在美国的话
[447.24-448.38] 那么美国公司的话
[448.38-451.20] 如果说有一个费损还有一些其他原因的话
[451.20-455.70] 其实是可以在未来获利的时候可以做抵税
[455.70-457.64] 那美国公司的话
[457.64-460.10] 基本上会把这一块可以抵税这个金额
[460.10-462.40] 会列在那个地缘所得税资产
[462.40-465.16] 会放在那个资产负债表上面的资产
[465.16-466.92] 那抵用年限的话
[466.92-468.28] 在美国那边比较复杂
[468.28-471.72] 他们有分那个美国税有分美国联邦等级的税
[471.72-473.92] 或是各州的税
[473.92-476.36] 那这个每个税的规定有点不一样
[476.36-479.68] 可以那个抵税的年限也不太一样
[479.68-482.06] 从五年十年到五期限都有
[482.06-484.52] 那specialized部分
[484.52-486.92] 就我们转投资的部分是
[486.92-491.92] 虽然说那个大部分都可以抵税
[491.92-495.42] 不过公司他们会以比较谨慎的角度说
[495.42-497.30] 虽然说未来可以抵税
[497.30-500.06] 不过因为第一个金额比较大
[500.06-505.36] 所以那个抵税应该不太有大机会说一次把它抵掉
[505.36-506.20] 所以可能会
[506.36-508.16] 可能需要几年时间
[508.16-513.92] 那加上说你要比较相对大的获利才能去把那些抵完
[513.92-518.84] 所以我们转投资公司这边有比较用谨慎角度去
[518.84-522.92] 现在先把它提列成地缘所得税资产减损
[522.92-524.36] 然后未来的话
[524.36-526.40] 在等未来的时候
[526.40-528.26] 可是这虽然有提列这个减损
[528.26-530.36] 可是未来可以一样可以抵税
[530.36-532.34] 所以大家有两个重点
[532.34-536.12] 第一个这个地缘所得税资产减损的提列制是
[536.36-539.30] 上面上调整并没有那个现金支出
[539.30-540.60] 然后再来第二个
[540.60-544.46] 我们未来转投资公司获利的时候
[544.46-548.84] 你提列的这个减损金的只要是在期限内都还是可以抵税
[549.98-550.52] 没有
[550.52-552.40] 然后尤其是联邦
[552.40-553.82] 就该上一页解释过的
[553.82-558.48] 就是他们说的那个美国联邦税跟那个各州税不太一样
[558.48-562.24] 那尤其是美国联邦税的部分是完全没有期限
[562.24-563.86] 大概是有点这两个重点
[563.86-564.92] 那另外一个
[564.92-566.36] 刚才另外一个比较大是那个
[566.36-569.48] 投资商业损失的部分
[569.48-573.60] 那个这个主要是因为在一起这段期间一起的那个时间点
[573.60-576.44] 因为自行车自行车业大概是这样子
[576.44-579.20] 如果有竞争性的品牌的话
[579.20-581.18] 一般车店如果卖A品牌的话
[581.18-583.34] 基本上就不能卖B品牌
[583.34-585.14] 因为比较不能卖对手品牌
[585.14-587.84] 所以疫情的期间那个销售非常猖獗
[587.84-591.50] 所以很多品牌都车流性的在收购车店
[591.50-595.34] 然后一边抢抢供那个整个市场市占率
[595.34-596.06] 所以
[596.36-597.44] 在当时的话
[597.44-600.12] 这个当然会对营收有营收跟获利有帮助
[600.12-600.92] 不过
[600.92-607.00] 独大之道的就是这几年在供到后期变成供过于求
[607.00-608.76] 所以在市场需求
[608.76-612.44] 需求有出现比较比较明显的反转
[612.44-613.82] 然后比较疲软
[613.82-615.02] 所以
[615.02-619.88] 所以当初以假设以A价格来收购这些车店的话
[619.88-625.36] 那现在回头来回头来评估这些车店的估值的话
[625.36-626.32] 基本上会比当
[626.36-627.72] 其实是比较低
[627.72-628.84] 因为我们在这个情况下
[628.84-630.32] 我们的估值的价值还低
[630.32-630.82] 所以
[630.82-632.92] 所以在去年底的时候
[632.92-636.24] 我们转投资公司这边也有做一次评估
[636.24-637.88] 那比较一下
[637.88-640.96] 就是估值跟限制当时
[640.96-643.96] 就是到那个时间点估大概是差多少
[643.96-646.16] 然后有提列的损失
[646.16-648.08] 所以大概主要是两块
[648.08-650.12] 那如果排除这两块的话
[650.12-654.92] 我们转投资公司那边的本业部分其实状况其实是逐步在改善的
[654.92-655.64] 首先第一个他们本业的业务费是多少呢?
[655.64-655.88] 那么我们现在来看一下
[655.88-658.10] 本业的营运亏损其实不大
[658.10-660.64] 已经快接近损益良平
[660.64-664.48] 然后第二个是库存相对其他品牌来讲低很多
[664.48-666.34] 因为毕竟他们比较强势品牌
[666.34-670.46] 所以那个在去库存的速度比其他品牌快
[670.46-674.36] 所以在去年中其实就已经回到疫情前的水准
[674.36-678.02] 在销售部分也相对稳定
[678.02-680.18] 疫情的时候每个品牌卖的都非常好
[680.18-681.86] 都很大成长
[681.86-685.76] 可是大部分的品牌在那个在疫情后
[685.76-687.34] 都有出现明显的下修
[687.34-691.28] 可是我们转投投资公司在这一块表现还蛮不错的
[691.28-698.90] 这目前这三年来营收的水准基本上都跟疫情前疫情时候的高点没有差很多
[698.90-700.10] 最后就是那个
[701.48-704.96] 我们转投投资公司这边已经疫情中因为订单非常好
[704.96-708.64] 所以大家每个品牌每家公司的那个订单量都变大
[708.64-710.68] 所以资金需求比较高
[710.68-713.42] 所以大部分都会有一些比较多借款
[713.42-715.30] 那转投投资公司这边
[715.76-719.60] 已经偿还在因为销售本身还不错
[719.60-722.08] 所以已经偿还绝大部分的借款
[722.08-723.64] 然后现金的水位有增加
[723.64-725.16] 所以整体来讲
[725.16-727.04] 营运营运上是健康的
[727.04-728.00] 营运上变得比较好
[728.00-732.26] 然后财务财务上的那个资产负债表部分也变得比较健康
[732.26-735.86] 所以整体来讲是有在好转
[735.86-738.50] 所以对所以刚才出现的那些亏损对啊
[738.50-741.28] 基本上对他们讲还是比较偏向是一次性的
[741.28-745.44] 那半年度一次性的的状况并不是营运上产生的
[745.76-746.84] 那最后啊
[746.84-750.10] 所以就是刚照刚才跟各位说明的原因
[750.10-752.60] 所以我们本业其实营收是成长
[752.60-754.10] 然后获利也还不错
[754.10-756.32] 那亏损主要是任列啊
[756.32-758.06] 转投资公司的损失啊
[758.06-760.64] 基本上并没有现金的支出
[760.64-764.48] 所以我们的加上我们对未来的成长前景还蛮有信心的
[764.48-770.00] 所以我们最后决定就是从那个保留盈余这边配发现金鼓励
[770.00-771.16] 每股4.0元
[772.14-774.98] 大概以上就是针对我们
[774.98-775.76] 去年状况
[775.76-777.92] 来跟大家跟大家做一个介绍
[777.92-780.02] 后面就看大家有什么问题
[780.02-780.74] 欢迎提出
[783.14-784.58] 谢谢谢谢张协理
[784.58-788.90] 那我们接下来就看各位投资先进有没有问题可以直接提出来做个交流
[797.00-800.38] 方便请教一下公司有考虑有配股的部分吗
[801.94-802.84] 配股啊
[802.84-805.50] 我们我们公司一向过去20年来啊
[805.50-810.72] 过去绝大部分年度基本上都是倾向配现金
[810.72-814.38] 所以这次我们一样也是决定是配现金鼓励
[816.74-821.70] 谢谢那请问关于电动自行车E-bike这个领域公司有什么规划
[822.90-825.02] E-bike部分啊
[825.02-826.32] 在过去啊
[826.32-829.20] 这可能我说明一下就是现在整个市场上
[830.74-832.28] 过去两年的话
[832.28-835.04] 我们市场库存偏高
[835.04-836.24] 然后偏高的部分
[836.24-839.30] 我们其实应该用那个产品比来看
[839.30-840.34] 并不是说
[840.34-842.56] 并不是说车款都是偏高
[842.56-844.42] 比如说像状况比较好的
[844.42-846.82] 比如说是像那个公路车
[846.82-848.90] 还有我们讲历史车就是BRAVO
[848.90-854.06] 就是类似在稍微有点陈列道路石头路上起的那种公路车
[854.06-855.68] 以及那个电动的登山车
[855.68-857.42] 这三这三款的话
[857.42-858.38] 这三个车款的话
[858.38-860.84] 基本上市场的销售都还蛮不错的
[860.84-864.32] 那其他的像一些比较便宜的入门车登山车
[864.32-866.56] 或者是那个电动的城市车
[866.56-867.74] 这一块就比较幸福
[867.74-869.44] 库存比较高
[869.44-872.82] 尤其是在那个电动城市车这一块
[872.82-875.24] 因为在欧洲这个非常多人买
[875.24-879.44] 他们欧洲人基本上很多都会买电动自行车来通勤
[879.44-880.82] 所以这块市场很大
[880.82-884.02] 那在疫情中的疫情的时候
[884.02-887.04] 生产出来的供给量也相对的偏高
[887.04-888.62] 所以那块最辛苦
[888.62-892.16] 那电动车主要就是整个市场基本上就就两大块
[892.16-893.08] 一个是电动登山车
[893.08-894.16] 一个电动城市车
[894.32-895.78] 然后所以登山车还不错
[895.78-898.36] 可是城市车这一块因为压力很大
[898.36-904.70] 所以导致我们前两年的那个电动车的那个销售跟有比较明显的
[904.70-907.20] 就是成长幅度有稍微减缓
[907.20-908.66] 不过后面的话
[908.66-909.58] 我们有预期说
[909.58-911.20] 因为登山车部分OK
[911.20-914.08] 然后城市车的那个库存也逐渐在去化
[914.08-915.58] 所以我们有预期说
[915.58-923.08] 后面的话那个电动车的部分会的出现的那个成长幅度开始会
[923.08-925.96] 又会比较回到之前的样子
[925.96-928.32] 大家可以从一月跟二月看起来
[928.32-929.46] 看得出来
[929.46-933.58] 如果我们一月跟二月其实在电动车的部分
[933.58-935.84] 成长幅度有比较明显
[935.84-939.32] 所以未来部分大概大概是这样子
[939.32-942.08] 所以电动登山车部分稳定成长
[942.08-947.00] 然后我们城市车部分有预期就后面会慢慢慢慢去困
[947.00-948.58] 之后慢慢回温这样子
[951.16-952.32] 可以顾一下那个
[952.32-952.54] 好
[952.54-956.38] 那刚刚那刚有看到那个有用留言的
[956.38-962.38] 我先华南这边有问说欧美市场跟中国市场目前状况跟市场库存
[962.38-966.78] 那欧美市场我先从欧美市场看欧美市场的话啊
[966.78-970.88] 基本上目前大土的业绩在看的话
[970.88-972.54] 比较倾向过今年算是
[973.92-978.74] 去库存的这件事已经大概经过两年了
[978.74-982.54] 所以今年有期待说大概就是渐渐步入为盛
[982.54-988.54] 那欧洲和美国速度其实外面大家一般都会讲说美国比较快
[988.54-994.04] 主要原因就是因为刚才跟大家跟刚才跟大家报告的那个电动
[994.04-997.30] 电动那个通勤的那城市车这一块
[997.30-998.70] 因为这一块通勤的车啊
[998.70-1000.62] 在欧洲非常风行
[1000.62-1002.62] 可是在美国销售量并不大
[1002.62-1004.38] 因为美国还是习惯开车
[1004.38-1008.62] 比较没有在比较没有让其电动自行车通勤的习惯
[1008.62-1010.92] 所以这两块市场就这边就差很多
[1010.92-1011.88] 所以啊
[1011.88-1013.16] 当在复苏的时候
[1013.16-1017.16] 如果其他其实每个车款复苏的程度在两个市场都差不多
[1017.16-1019.80] 可是美国因为少了那一块比较严重的那个库存
[1019.80-1022.16] 所以一般都会讲说美国比较好
[1022.16-1026.80] 同意那那那中国部分啊
[1026.80-1031.72] 去年大概在九月初开始就明显开始下降
[1031.72-1034.16] 那销售开始有下降
[1034.16-1038.38] 那那个下降趋势的幅度从那时候开始到现在
[1038.38-1040.30] 二月基本上都没有
[1040.30-1040.90] 都差不
[1040.92-1043.92] 不过在中国市场的话
[1043.92-1046.84] 因为那个从十月到二月本来就是淡季
[1046.84-1049.80] 所以销售金的量本来就会掉很多
[1049.80-1051.68] 所以今年的话
[1051.68-1055.42] 我们对基本上我们的态度啊
[1055.42-1058.62] 我们的看法是今年在中国市场这边啊
[1058.62-1060.36] 会比较会比较有压力
[1060.36-1062.94] 那至于说后面变怎样
[1062.94-1066.12] 我们这边其实也还不是很清楚啊
[1066.12-1070.54] 应该是会带大概到三月底四月等旺季开始的时候
[1070.92-1074.64] 但那个往开始进入旺季销售数字来看会比较准一点
[1074.64-1079.92] 不过我们整整体趋势的话大概是有预期是欧美市场会逐渐去
[1079.92-1080.84] 不能引到尾声
[1080.84-1082.10] 所以会逐渐回温
[1082.10-1083.40] 然后啊
[1083.40-1084.64] 中国这边会比较压力
[1084.64-1085.56] 大概是这样子
[1085.56-1086.12] 那边
[1086.12-1088.84] 然后刚才啊
[1088.84-1094.44] 有也好在问台湾场中国内需职公司三者的预期营收
[1094.44-1095.04] 不好意思
[1095.04-1100.72] 因为我们呃就今天才被证要所交代了不方便讲那个预期性的
[1100.72-1103.52] 所以这个可能就不过大大方向
[1103.52-1108.20] 刚才其实刚才那个在简报的时候跟大家讲就是那个比比例会慢慢回到之前
[1108.20-1109.90] 不过那个比例对我们讲不是很重要啊
[1109.90-1112.84] 所以那个这个大后面再再观察
[1114.68-1117.52] 那那个你从上面开始
[1117.52-1119.72] 应该是因为这个回到料
[1119.72-1126.52] 好那那我过早期我会先回答那个今年欧美市场跟中国市场的成长幅度啊
[1126.52-1128.38] 这个幅度其实现在真的很难预估
[1128.38-1130.72] 因为整个欧洲跟欧美跟
[1130.72-1135.94] 嗯中国部分都还没有进入但都还都还在淡季还没有真正进入销售季节
[1135.94-1141.34] 在市场上基本上都是大概三月底四月初才开始进入销售季节
[1141.34-1143.26] 因为这样在欧洲美国啊
[1143.26-1145.48] 这个时间点其实天气还蛮冷的
[1145.48-1149.20] 所以新车本来就在非常冷的时候本来就比较少人骑车
[1149.20-1151.18] 比较比较少会去买新车
[1151.18-1152.26] 所以比较看不出来
[1152.26-1158.48] 所以我们要到大概春天开始会比较看才能比较看得比较清楚一点
[1158.48-1160.60] 到时候再更大报告
[1160.72-1163.14] 然后
[1163.14-1169.36] 然后再就是那个减损
[1169.36-1172.14] 刚才另外Kelvin问到减损金额中
[1172.14-1174.90] DM资产减损金额为多少
[1174.90-1177.34] 那金额可能不太方便
[1177.34-1179.86] 可以跟大家讲
[1179.86-1181.72] 不过那两项的话
[1181.72-1183.52] 基本上大概接近各半
[1183.52-1185.86] 所以没有这个比例自己去算了
[1185.86-1188.52] 金额方子金额部分就不太方便
[1188.52-1189.42] 那
[1190.72-1193.48] 然后
[1193.48-1195.04] 这个转投
[1195.04-1196.34] 然后再可能一不幸
[1196.34-1198.60] 王小姐的那个问题
[1198.60-1202.10] 转投资的商业损失是每年做评价吗
[1202.10-1204.02] 那这个商业损失的话
[1204.02-1205.16] 基本上是
[1205.16-1209.50] 在我们转投资公司的话是每年会每年做一次
[1209.50-1213.64] 那他们上这次就是在今年去年年底
[1213.64-1216.10] 有认为做评价之后
[1216.10-1217.84] 觉得有比较大的差异
[1217.84-1218.94] 所以体验这个损失
[1218.94-1220.70] 那今年当然也不会是这样的
[1220.72-1222.72] 我们也不会做评价
[1222.72-1224.72] 不过因为绝大部分的
[1224.72-1227.72] 因为市场市场上目前看起来
[1227.72-1229.72] 但变好变坏还很难说
[1229.72-1231.72] 我们当然大家都预期会回问
[1231.72-1236.72] 不过实际上评价还是要等到我们年底的时候评价才知道
[1236.72-1238.72] 不过基本上我们不太预期会
[1238.72-1240.72] 有再出现相当大的变动
[1240.72-1244.72] 因为市场大概整个去库损大概已经到比较后段了
[1244.72-1248.72] 所以出现大幅变动机会应该不大
[1248.72-1250.72] 然后再来
[1250.72-1253.72] 另外投资人问那个川普对等关税
[1253.72-1256.72] 那对等关税这件事的话
[1256.72-1259.72] 川普两种关税一个就是针对中国
[1259.72-1261.72] 对自行车来讲大概有两个比较重要
[1261.72-1263.72] 第一个就是针对中国的关税
[1263.72-1265.72] 第二个是这个对等关税
[1265.72-1270.72] 那中国关税首先说明一下就是中国关税对我们基本上没有影响
[1270.72-1273.72] 因为川普其实这是他第二任的也不是第一任
[1273.72-1274.72] 那第一任的时候
[1274.72-1277.72] 他当时就已经对中国有一个25%关税
[1277.72-1280.72] 所以在那个时候基本上很多品牌都说
[1280.72-1281.72] 就已经离开中国了
[1281.72-1282.72] 包括我们
[1282.72-1286.72] 所以实际上从那时候就没有从中国出货到美国
[1286.72-1287.72] 所以他25%
[1287.72-1291.72] 他后面现在跟中国加20%或加几%关税
[1291.72-1294.72] 所以基本上对我们没有直接影响
[1294.72-1296.72] 那对等关税的话
[1296.72-1300.72] 这个我相信这个问题可能比较大
[1300.72-1302.72] 那可是我们不预期说这个
[1302.72-1304.72] 这个其实也不是针对交易
[1304.72-1305.72] 整个行业都一样
[1305.72-1310.72] 所以我们不预期这个会到时候
[1310.72-1312.72] 实际难度可能相当高
[1312.72-1316.72] 可能不太真的全面都这样做
[1316.72-1317.72] 可是如果真的做的话
[1317.72-1320.72] 因为自行车关税其实没有很高
[1320.72-1323.72] 不像有些其他产品可能%数比较高
[1323.72-1326.72] 那自行车的话在美国的关税
[1326.72-1327.72] 我要查一下
[1327.72-1328.72] 我记得一个是有分车款
[1328.72-1330.72] 可能一个是5%一个是十几%
[1330.72-1334.72] 所以其实跟台湾的关税没有差到很多
[1334.72-1338.72] 所以我们觉得这部分影响应该不会太大
[1338.72-1340.72] 确实的那关税是很大的
[1340.72-1342.72] 所以我等一下查一下
[1342.72-1344.72] 不过我们并不像其他行业
[1344.72-1346.72] 有的有的有的其他行业
[1346.72-1348.72] 那关税可能什么20% 30% 40%
[1348.72-1350.72] 这种的我们这边自行车业并没有
[1350.72-1353.72] 所以这边应该不会太大影响
[1353.72-1355.72] 然后再来那个
[1355.72-1359.72] 第四季
[1359.72-1361.72] 刚才那个南山问的第四季
[1361.72-1364.72] 毛利预教前几季下滑
[1364.72-1368.72] 是受中国市场销量下滑影响
[1368.72-1370.72] 毛利有下滑
[1370.72-1371.72] 这个我查一下
[1371.72-1372.72] 不好意思这个到我没注意到
[1372.72-1374.72] 因为目前没有特别去注意到
[1374.72-1375.72] 因为有下滑
[1375.72-1376.72] 下滑很多嘛
[1376.72-1377.72] 我们一起
[1377.72-1379.72] 这个等下会打那个
[1379.72-1385.72] 然后再来那个SBC
[1385.72-1389.72] 可以采集问的SBC今年展望何时可以转回
[1389.72-1391.72] 这个一样是预测性的
[1391.72-1394.72] 不好意思这个就比较不方便
[1394.72-1395.72] 说明
[1395.72-1399.72] 那再来
[1400.72-1409.72] 再来PGM问的4Q24季的存货金额
[1409.72-1413.72] 我们去年的去年底的话
[1413.72-1415.72] 这个之前我们可能一些
[1415.72-1417.72] 我记得之前好像说明过
[1417.72-1420.72] 就是我们的存货在去年比较特别
[1420.72-1424.72] 因为我们去年初是整个地方是90亿
[1424.72-1430.72] 然后到了去年底的话是有将近160亿
[1430.72-1432.72] 所以我们有不减反正
[1432.72-1434.72] 可是这个特殊状况
