[0.00-2.00] 歡迎大家來到投名證券
[2.00-7.00] 今天很榮幸邀請到智深科技股份有限公司舉辦法術委會
[7.00-9.00] 我們先介紹轉換來賓
[9.00-12.00] 第一位李慈欽總經理
[15.00-18.00] 第二位趙坤熙總經理特助
[19.00-23.00] 稍後有我們的趙特助替我們更新近況
[23.00-26.00] 我們直接把時間交給特助 謝謝
[26.00-28.00] 謝謝主持人
[30.00-33.00] 首先謝謝主持人
[33.00-37.00] 也謝謝投名證券邀請智深科技參加此次法術委會
[37.00-39.00] 感謝各位投資先進
[39.00-43.00] 波羅與今天下午兩點半在投名證券大樓
[43.00-50.00] 評定我們的2024年智深科技股份有限公司年度結算的成果
[50.00-54.00] 首先會由我趙坤熙總經理特助
[54.00-58.00] 顧美哲為大家帶來這公司的基本簡介
[58.00-60.00] 以及第二階段會員會員
[60.00-62.00] 為各位投資先進
[62.00-65.00] 帶來2024年全年財務結算的成果
[71.00-77.00] 第一部分我先帶來說明公司成品目前的發展與概況及歷史過程
[77.00-81.00] 首先智深科技成立於1987年2月18日
[81.00-83.00] 進行發展近近40年
[83.00-88.00] 我們長期耕耘於精密金屬加工元件等相關產品
[88.00-89.00] 我們目前的營運總部是
[90.00-92.00] 在新北市的矽竹
[92.00-99.00] 目前兩岸所有市場工廠包含直線接人數總人數約2317人
[99.00-103.00] 集團資本合共11.52億新台幣
[103.00-108.00] 截至於上個月底的集團市值大約130億新台幣
[108.00-111.00] 在經過40年的耕耘之後
[111.00-115.00] 我們的主要項目涵蓋以下四大類別
[115.00-118.00] 以及近年來新興發展的分別相關
[118.00-119.00] 首先四大類別的部分
[119.00-124.00] 以汽車為主是我們目前營收最大的部分
[124.00-127.00] 第一個部分是我們的雲端硬碟
[127.00-130.00] 近年來是發展我們最大的科技Gate
[130.00-131.00] 在AI的應用上
[131.00-134.00] 所以我們整體的硬碟出貨
[134.00-136.00] 精密雲端金屬的部分
[136.00-138.00] 出貨量也是增長相當的快速
[138.00-141.00] 第三個部分是我們的醫療產品相關
[141.00-144.00] 受惠於近年來全球的人口老化
[144.00-147.00] 以及相關醫療器械的創新
[147.00-151.00] 在手術資據上以及我們的風格器上的出貨
[151.00-154.00] 這兩個都不錯的出貨
[154.00-157.00] 第四個部分是我們的運動器材類相關的
[157.00-161.00] 我們以高階自行車的避震系統
[161.00-163.00] 以及我們部分出貨
[163.00-165.00] 搞命運動手錶相關零組件
[165.00-167.00] 以及騎士電動重要金屬零件
[167.00-169.00] 以及其他部分
[169.00-172.00] 這是整體公司近年的發展情況
[172.00-175.00] 接下來我想說明的是
[175.00-176.00] 我們在整體的運動手錶上的發展情況是
[177.00-179.00] 我們資深科技於兩岸
[179.00-182.00] 總共有四個製作生產基地
[182.00-185.00] 首先以台灣的桃園陽梅廠是最早成立的
[185.00-187.00] 目前出貨
[187.00-191.00] 2024年出貨約22.4億新台幣
[191.00-194.00] 在整體集團的營收佔約三成
[194.00-196.00] 我們在台灣廠的部分
[196.00-199.00] 主要的產品有運動相關
[199.00-201.00] 就是我們高階自行車
[201.00-203.00] 以及我們的醫療器材
[203.00-205.00] 醫療的金屬零件出貨
[205.00-207.00] 還有我們的部分新能源車
[207.00-208.00] 以及我們的工業用品
[208.00-211.00] 目前的員工人數大約727人
[211.00-212.00] 在大陸的部分
[212.00-216.00] 我們分為華中以及華南的兩帶區塊
[216.00-218.00] 首先我先說明是我們華南部分
[218.00-220.00] 是我們的廣東工館廠
[220.00-222.00] 成立於1995年
