[0.00-16.74] 中华纸箱股份有限公司2024年第四季营运概况季全年度的法收会
[16.74-18.56] 现在法收会即将开始
[18.56-20.42] 也为各位说明一下今天的议程
[20.42-25.32] 首先会由我们的财务协理侯思宜来简报一下这个营运概况
[25.32-29.94] 在之后的Q&A时间会经由我们的总经理陈瑞和来回答
[29.94-30.88] 大家的提问
[30.88-33.22] 现在开始进入今天的议程
[33.22-35.94] 我们请侯先生来报告一下营运概况
[35.94-42.02] 各位股东投资先进还有媒体记者大家午安
[42.02-48.54] 谢谢大家来参加我们中华纸箱2024年Q4的营运概况反说明会
[48.54-51.94] 接下来就开始进行今天的内容
[52.86-59.14] 这边的话这一页是我们公司的基本资料
[59.14-59.92] 跟主要财务
[59.94-62.44] 提供各位参考
[62.44-65.50] 中华纸箱的古代是1905
[65.50-68.98] 日本新台币110亿
[68.98-74.12] 那在这边可以看到我们的主要产品有一些特殊纸的标签纸
[74.12-78.12] 还有纸箱纸板跟一些循环材料
[78.12-82.80] 那下面可以看到我们主要就是凌江纸罐的
[82.80-83.50] 姜纸厂
[84.72-89.72] 接下来这边第二页是公司目前的投资架构跟对子公司的持肥
[89.94-93.18] 跟上市法收费和各位报告等没有变化
[93.18-99.64] 那这边的话我们在大陆是透过CHP BBI这边来进行投资
[99.64-105.54] 在台湾的部分我们主要是透过华丰投资来对上面的公司来进行投资
[105.54-109.74] 那在大陆这边可以看到有一些是纸业林业
[109.74-114.10] 还有我们近期也是在贵州有一个林业的投资
[114.10-117.94] 好
[117.94-118.62] 华纸生产基地这边的话我们的投资构是通过华丰投资来进行投资
[118.62-118.72] 华纸生产基地这边的话我们的投资构是通过华丰投资来进行投资
[118.72-125.08] 生产基地这边的话可以看到我们是有五个生产基地六个销售中心
[125.08-130.44] 这边可以看到照片是有花莲厂还有在高雄的九堂厂
[130.44-134.44] 以及台东厂还有在大陆的鼎峰厂
[134.44-137.28] 以及几年前取得的观音厂
[137.28-142.38] 那这边的话呢可以看到它的一个分布图在台湾这边
