[0.00-7.00] 上市時間是2019年12月9日
[7.00-11.00] 目前為止持收資本額是新台幣72.32億元
[11.00-13.00] 董事長是劉元生先生
[13.00-15.00] 總經理是林彥良先生
[15.00-19.00] 員工人數目前談投資轉投資的部分
[19.00-21.00] 就是臺灣跟大陸的部分
[21.00-23.00] 總共有2187人
[23.00-27.00] 整體合論企業股份有限公司的結構
[27.00-30.00] 這個是由風電財務服務諸事會社
[30.00-32.00] 就是日本的TFS
[32.00-37.00] 整體的話占22.96%的股份
[37.00-41.00] 而他汽車占了45.4%的股份
[41.00-43.00] 這個是不含特別的部分
[43.00-46.00] 在轉投資事業的部分有區分
[46.00-49.00] 在大陸跟臺灣特別都有轉投資事業
[49.00-51.00] 在大陸的投資事業
[51.00-55.00] 有合運國際融資租賃有限公司
[55.00-56.00] 這個部分的話
[56.00-57.00] 是由
[57.00-59.00] 這個關西企業
[59.00-63.00] 這個合泰關西企業的合運租車股份有限公司
[63.00-67.00] 占49.5%的股份
[67.00-70.00] 合論是投資50.5%
[70.00-72.00] 另外合運國際租賃
[72.00-74.00] 融資租賃有限公司
[74.00-77.00] 還有兩個百分百的轉投資公司
[77.00-80.00] 分別是合運上海的商業保留公司
[80.00-83.00] 和合運上海的汽車租賃公司
[83.00-86.00] 在臺灣的轉投資事業部分
[86.00-89.00] 有合進企業股份有限公司
[89.00-91.00] 合論電能股份有限公司
[91.00-93.00] 合論興業股份有限公司
[93.00-94.00] 這個分別都是由
[94.00-99.00] 合論81%跟80%還有80%轉投資的部分
[99.00-102.00] 合進企業股份有限公司
[102.00-106.00] 就剛才講除了合論投資81%之外
[106.00-110.00] 還有19%有合招實業轉投資
[110.00-115.00] 合論電能的話就是合論有80%的股份
[115.00-118.00] 另外煤炭汽車母公司有18%的股份
[118.00-121.00] 另外合運投資占了2%的股份
[121.00-125.00] 合論興業的話就是有100%轉投資的部分
[125.00-128.00] 我們請看到下一頁的部分
[128.00-134.00] 這邊說明的話就是在臺灣跟大陸
[134.00-138.00] 分別的合論企業跟相關的轉投資
[138.00-141.00] 事業體所從事的業務範圍
[141.00-144.00] 在合論企業的話主要是在
[144.00-146.00] 機車跟中午車的分析
[146.00-149.00] 另外還有機車跟商品的分析
[149.00-151.00] 另外就是醫療工具機
[151.00-153.00] 營建機具的分析跟處理
[153.00-156.00] 在合進企業的部分主要是聚焦在
[156.00-158.00] 商用車跟大客車分析的部分
[158.00-162.00] 另外在企業融資的部分也是合進企業
[162.00-164.00] 目前有在從事的業種
