[0.00-27.42] 现在时间下午两点半
[27.42-34.04] 欢迎各位投资先进级媒体朋友参加三商家购线上法人说明会
[34.04-38.80] 公司委会长官为三商家购刘燕秀财务长
[38.80-43.54] 法说会会提及公司营运进况与未来展望
[43.54-45.84] 最后会进行QA
[45.84-49.34] 接下来将时间交给财务长
[49.34-49.88] 谢谢
[49.88-53.48] 各位投资人大家好
[53.48-56.30] 我是三商家购的财务主管刘燕秀
[56.30-57.40] 那这一次
[57.42-61.38] 的法人说明会就由我来跟各位投资人报告一下
[61.38-65.76] 就是三商家购2024年全年度的一个经营的一个状况
[65.76-69.04] 还有最近这两个月的一个新经营现况
[69.04-73.46] 那这边就是给大家参考一下这个免责声明的部分
[73.46-74.82] 那就大家自己看一下
[74.82-77.20] 那跟各位说明一下
[77.20-80.80] 就是三商家购的几个主要的一个品牌
[80.80-83.40] 那目前的一个经营的一个状况
[83.40-87.40] 那首先是我们大概95%的一个营业额来自美国
[87.42-88.42] 那就是美联社
[88.42-93.00] 那美联社前两个月的一个同期店的一个经营的一个概况
[93.00-95.54] 大概像这个表格可以看到的
[95.54-97.68] 那因为营业天数少一天
[97.68-99.28] 去年的2月是29天
[99.28-101.04] 那今年是28天
[101.04-104.62] 那所以营业额的部分跟毛利额还有来客数的部分
[104.62-107.04] 就看起来好像就是略微下降
[107.04-108.96] 那但是如果还原这一天的部分
[108.96-111.10] 其实原则上是持平的
[111.10-114.18] 那另外就是在客单价的部分是上升
[114.18-116.84] 那建单价的部分是下降
[116.84-117.26] 那还有客建的部分是下降
[117.26-118.94] 客建数的部分是上升
[118.94-121.18] 那其实最主要是这两个月的话
[121.18-125.32] 美联社这边是有将价格杀得比较深一点
[125.32-128.26] 那所以在毛利的部分就毛利率的部分
[128.26-131.56] 就看起来比较相对去年的同期是比较低的
[131.56-134.76] 那我们也是希望说透过这样的一个折扣的一个策略
[134.76-136.94] 可以吸引更多的一个来客
[136.94-138.94] 那如果说将来客数还原
[138.94-141.76] 就是去年今年少掉的这一天的话
[141.76-143.82] 原则上来客数是成长的
[143.82-146.68] 那目前也有达到我们预期的希望说
[146.68-150.52] 客建数跟来客数上升这样的一个目的
[150.52-155.44] 那这个是有关于美联社这两个月的一个经营的一个现况
[155.44-158.32] 那第二个就是有关于宠物好市
[158.32-163.54] 那宠物好市是去年三安加购投资的一个新的一个宠物的通路
[163.54-168.46] 那大概在九月的时候就是正式并入三安加购集团里头
[168.46-172.12] 那在营收跟获利部分也是从去年的九月开始
[172.12-176.66] 那目前这间店大概到二月底总共有七间门市
[176.68-178.86] 等一下会有更详细的说明
[178.86-181.56] 那我们预期这个宠物好市这个通路品牌
[181.56-186.66] 可以帮三安加购整体带来一个营业额还有获利的一个成长
[186.66-189.64] 那另外就是有关于新电型的测试
[189.64-194.18] 那其实在前几次的法术会都有跟投资人大概说明说
[194.18-196.00] 有关于一些商品的一个调整
[196.00-199.54] 未来是希望说以提高自行进口的一个商品
[199.54-201.74] 还有自购品牌商品的一个占比
[201.74-206.08] 通过这样的一个策略来提升公司整体的一个毛利率
[206.08-206.64] 那另外
[206.68-209.20] 就是有关于巷口酒窖店的一个测试
