[0.00-12.08] 各位线上参与的投资先进大家午安
[12.08-15.04] 我是今天法说会的主持人
[15.04-19.08] 官僚国际QIC执行长Alice Lee李洪基
[19.08-23.70] 首先欢迎大家参与由元大证券主办的
[23.70-27.24] 南宝数值2024年第四季线上法人说明会
[27.24-30.76] 让我先介绍一下线上参与的公司代表
[30.76-34.28] 由南宝数值许明宪执行长
[34.28-36.14] 大家好
[36.14-40.98] 接着继业务总处郭声茂执行总经理
[40.98-42.56] 大家好
[42.56-47.56] 协财业务总处黄英林执行总经理
[47.56-49.26] 大家好
[49.26-54.30] 以及财务总管理处林坤静协理
[54.30-55.56] 大家好
[55.56-55.66] 大家好
[55.66-60.58] 2024年第四季财务数字及法说会简报
[60.58-65.60] 皆公告于公司的官网及公开观测资讯站
[65.60-68.58] 供各位下载参与谢谢
[68.58-72.34] 本次的法说会共分为三个部分
[72.34-76.26] 首先将由林坤静协理向大家说明
[76.26-78.50] 2024年第四季的营运成果
[78.50-84.32] 第二部分为大家介绍南宝2025年的营运展望
[84.32-85.64] 及策略布局
[85.66-90.22] 最后我们将进行Q&A
[90.22-94.76] 首先我们先邀请林坤静协理向各位说明
[94.76-97.00] 2024年第四季的营运成果
[97.00-98.54] 谢谢
[98.54-100.56] 谢谢
[100.56-104.58] 各位线上的投资先进朋友们大家好
[104.58-108.52] 我是南宝数字财务管理总处协理
[108.52-110.78] 其发言人林坤静
[110.78-113.78] 接下来由我来跟各位报告
[113.78-114.56] 南宝第四季的营运成果是什么样的?
[114.56-114.78] 南宝第四季的营运成果是什么样的?
[114.78-115.06] 南宝第四季的营运成果是什么样的?
[115.06-115.28] 南宝第四季的营运成果是什么样的?
[115.28-115.58] 南宝第四季的营运成果是什么样的?
[115.82-123.44] 南宝第四季的营运成果是什么样的?
[123.44-127.92] 眼报大纲会先跟大家分享第四季的经营成果
[127.92-133.68] 接着是南宝未来展望与策略布局
[133.68-135.52] 岂能到底三页?
[137.24-141.34] 首先分享南宝2024年第四季经营成果
[141.34-143.20] 岂能到底四页 grat?
[144.70-145.56] 只要到了眼报2共五名是蛮的
[145.56-147.64] 今年第四季的损益表
[147.64-152.76] 营业收入为新台币61.22亿
[152.76-157.26] 较去年同期增加11%
