[30.00-57.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-239.98] 订阅 转发 打赏支持明镜与点点栏目
[240.00-269.98] 订阅 转发 打赏支持明镜与点点栏目
[270.00-299.98] 订阅 转发 打赏支持明镜与点点栏目
[300.00-329.98] 订阅 转发 打赏支持明镜与点点栏目
[330.00-359.60] 订阅 转发 打赏支持明镜与点点栏目
[360.00-364.00] 订阅 转发 打赏支持明镜与点点栏目
[364.00-366.86] 订阅 转发 打赏支持明镜与点点栏目
[366.88-369.72] 订阅 转发 打赏支持明镜与点点栏目
[369.72-371.86] 订阅 转发 打赏支持明镜与点点栏目
[371.86-375.80] 订阅 转发 打赏支持明镜与点点栏目
[375.80-380.18] 订阅 转发 打赏支持明镜与点点栏目
[380.18-385.18] 订阅 转发 打赏支持明镜与点点栏目
[385.20-389.88] 订阅 转发 打赏支持明镜与点点栏目
[389.88-391.80] 会询问说
[391.80-394.20] 如果说我们在营收比较空档的时候
[394.20-395.46] 我EPS比较低的时候
[395.46-398.18] 那董事会对于配发现金鼓励
[398.18-399.64] 我们之前都一直想说
[399.64-402.30] 希望5块钱做一个地板价
[402.30-404.12] 对于这个承诺
[404.12-406.28] 金额的承诺到底有多高
[406.28-407.14] 那我想
[407.14-410.26] 这张图也很好看出来
[410.26-411.36] 就是我们去年
[411.36-412.68] 其实算是超发
[412.68-414.18] 算4.58
[414.18-416.94] 那我们超发到6块钱
[416.94-419.92] 那除了当年度的盈余之外
[419.92-421.82] 其实我们在账上的未分配盈余
[421.82-422.92] 还有160几亿
[422.92-425.66] 公司是有完全足够的能力
[425.66-427.62] 希望去回馈股东
[427.62-428.36] 那
[428.36-431.28] 在这边也可以看出
[431.28-432.62] 我们大概从去年开始
[432.62-435.42] 我们的开始少额的
[435.42-437.24] 去把股票鼓励
[437.24-439.16] 纳入我们的
[439.16-441.62] 盈余分派的一个配置里面
[441.62-443.74] 那主要是
[443.74-444.60] 想说
[444.60-446.22] 第一个我的
[446.22-446.82] 我的
[446.94-448.24] 从资本工具配发
[448.24-451.50] 它其实算是一个免税的一个
[451.50-453.70] 的一个对股东的回馈
[453.70-455.96] 那这边其实是可以帮助
[455.96-457.70] 就是可以照顾股东
[457.70-460.76] 那再来是我们也希望公司的股本
[460.76-462.56] 在我们其实过去大概十多年
[462.56-464.60] 我们一直保持在27亿多
[464.60-467.04] 我们希望公司能够也有机会
[467.04-469.18] 稍微的去壮大我们的股本
[469.18-470.12] 去
[470.12-471.42] 去茁壮
[471.42-472.22] 所以
[472.22-474.38] 接下来的一段时间
[474.38-475.12] 股票鼓励
[475.12-476.52] 我们都还是会纳入
[476.94-480.18] 在我们的盈余配发的考虑当中
[480.18-485.78] 那在这边是我们目前手上的
[485.78-488.32] 建案图
[488.32-491.22] 首先我们先看到在北投
[491.22-492.56] 市北科这边
[492.56-495.42] 市北科我们目前有一个厂办案
[495.42-497.58] 跟两个住宅案
[497.58-500.70] 厂办案我们的在成德路七段
[500.70-503.90] 我们已经正式定名叫华固创会园区
[503.90-506.82] 它是跟政大尼龙合建的一个案子
[506.94-509.28] 这个案子预计今年夏天
[509.28-513.54] 我们会搭外接带会开始销售
[513.54-517.62] 然后再来是我们在之前
[517.62-520.46] 取得的文宁北路市北科那边的住宅案
[520.46-521.66] 那新闻也有报
[521.66-524.40] 就是跟有跟HTC
[524.40-528.22] 就是跟王家那边的关系人去取得土地
[528.22-530.44] 那这块土地我们也预计今年
[530.44-531.68] 我们会推出住宅案
[531.68-533.72] 它在正面对福兴公园
[533.72-536.70] 所以我们觉得它的一个地地的位置
[536.70-539.96] 它的景观是有是很棒的
[539.96-543.46] 那再来是我们前几年推出华固上文林
[543.46-547.26] 这个住宅案我们预计明年就会完工了
[547.26-550.44] 它目前的销售率已经95%以上
[550.44-552.90] 大概就剩下一户两户未售
[552.90-555.12] 所以我们对于明年完工
[555.12-557.88] 这个案子全部完销认列
[557.88-560.70] 我们是有信心的
[560.70-564.14] 那我们先讲其他案子
[564.14-565.74] 我们再跳回来就是讲
[565.74-567.00] 中央之地跟时代之地
[567.00-569.14] 今年的重点
[569.14-572.24] 这次我们有多一个新摆上一个住宅案
[572.24-574.12] 叫敦化都更案
[574.12-580.44] 它是在中校敦化那个国泰市华那项转进去
[580.44-585.00] 在旁边有大陆建设正在兴建当中的一个案子
[585.00-586.56] 我们在他正隔壁
[586.56-592.28] 那中校敦化路口就算是在台北市的正核心的位置
[593.34-595.52] 然后接下来就是无双
[595.74-598.98] 就在我们公司信义光复路口
[598.98-603.48] 这个案子我们从去年其实第四季推出到现在
[603.48-607.14] 我们已经卖了接近六成多
[607.14-609.98] 接近七成的一个销售
[609.98-611.86] 那我们在住宅
[611.86-615.42] 因为他的我们都跟他分道的包含了店面
[615.42-618.42] 包含了一般事务所包含了住宅
[618.42-624.96] 我们在住宅这边的销售的平均单价到接近到210万
[624.96-625.72] 那
[625.74-627.46] 他算是一个高单价
[627.46-631.44] 然后我们又卖的相当不错的一个案子
[632.50-637.84] 那今年在预计在夏天我们会开始交华国大安学府
[637.84-638.28] 这个案子
[638.28-640.80] 我目前也只剩下一两户未售
[640.80-645.12] 那今年目标就是要把它交完毕
[646.28-647.90] 再就是政大新店案
[647.90-650.40] 这个是我们公司目前最大案子
[650.40-651.72] 他在500多亿
[651.72-655.72] 那这个会预计明年要去做推案准备
[655.74-657.74] 然后再来是华国育成
[657.74-664.74] 华国育成他也是我们公司新签的一个合建案
[664.74-668.28] 在央北从化区14张连开案的附近
[668.28-673.28] 那这个案子我们跟育成新业地主是育成新业合作
[673.28-676.28] 所以我们就叫他叫华国育成
[676.28-678.28] 就是两家公司的一个合作
[678.28-680.28] 那再来是华国德乐
[680.28-684.28] 华国德乐也是今年我们会交屋的住宅案
[684.28-684.42] 在中和华东桥公司的一个合作案
[684.42-684.50] 那在这个案子我们跟育成新业地主是育成新业合作
[684.50-685.62] 所以我们就叫他叫华国育成就是两家公司的一个合作
[685.62-687.62] 那再来是华国育成
[687.62-689.62] 在中和华东桥公司的一个合作
[689.62-692.62] 那这个案子目前大概就剩下一两户未售
[692.62-697.62] 所以这个案子跟大安学府会是我们今年要交屋的两个住宅
[697.62-700.62] 那接下来华国育庄他没有问题
[700.62-705.62] 他也是剩下个位数的未售
[705.62-707.62] 那预计明年完工
[707.62-714.62] 那就是我们在去年其实我们从第三季一直推案到第四季
[714.62-715.62] 我们录了一个新案件
[715.62-718.62] 我们陆续推出了在三重仁义从画区
[718.62-721.62] 这边有一个华国牧川一个华国知信
[721.62-723.62] 这两个住宅案
[723.62-730.62] 华国牧川我们先推是在去年919央行第七波管制之前推出的案子
[730.62-735.62] 那时候景气是在一个非常需求非常畅旺
[735.62-737.62] 景气非常好的一个状况
[737.62-740.62] 我们案子推出来很短时间我们就卖到九成
[740.62-743.62] 卖的单价也卖到平均大概八十万
[743.62-744.62] 在那边从画区里面
[744.62-747.62] 在那边从画区里算是卖到最高价
[747.62-750.62] 然后在919之后
[750.62-753.62] 我们推出了第二个案子华国知信
[753.62-759.62] 那华国知信这案子虽然是在919央行全面性的加重管制之后
[759.62-763.62] 但这案子我们从去年的九月底到现在
[763.62-765.62] 我们也卖了接近九成
[765.62-771.62] 然后单价一样跟目算一样都是在八十万左右
[771.62-773.62] 所以其实从去年打房到现在
[773.62-782.62] 我们看到台北我们推了无双高单价的淡黄区的住宅案
[782.62-785.62] 也有知信在新北市的住宅案
[785.62-788.62] 其实我们的销售表现都相当不错
[788.62-796.62] 那接下来这个是我们公司目前在台中这边有五块基地
[796.62-802.62] 鼎惠是在之前就推出了总共两百六十户的一个住宅案
[802.62-805.62] 我们第一波推了两百户
[805.62-807.62] 销售两百户已经销售完毕
[807.62-811.62] 剩下六十户我们预计成屋才会再拿出来卖
[811.62-817.62] 然后去年在下半年的时候我们推了第二案华国峰会
[817.62-820.62] 那华国峰会它就比较
[820.62-823.62] 因为台中那边的市场我们观察
[823.62-826.62] 它的确跟台北这边的结构就不太一样
[826.62-830.62] 台北这边的整个的刚性需求还是比较强
[830.62-832.62] 还是比较扎实的
[832.62-838.62] 然后消费者的财力也的确是比较雄厚
[838.62-841.62] 那峰会目前的销售率就接近五成
[841.62-844.62] 目前就是比较稍微slow一点
[844.62-848.62] 但是我们在今年的夏天我们会推出第三个案子
[848.62-850.62] 崇德石路案
[850.62-854.62] 那崇德石路案是在十四起崇化区算是在镇中心
[854.62-858.62] 它距离西边的水南经贸
[858.62-860.62] 其实开设大概就是五分钟的距离
[860.62-862.62] 那旁边有一个
[862.62-864.62] 有很好的学区
[864.62-867.62] 还有马里逊美国学校等等的
[867.62-868.62] 所以
[868.62-870.62] 崇德石路然后再来是我们
[870.62-873.62] 从峰会当中我们了解到
[873.62-877.62] 台中他们那边目前央行的现贷是四千万
[877.62-880.62] 他们对于四千万你的总价碰到四千万
[880.62-881.62] 其实是
[881.62-886.62] 这个就是一个你卖得动跟卖不动很明显的一个区别
[886.62-890.62] 所以我们崇德石路案我们的坪数又在略微下修
[890.62-893.62] 所以我们是以推二加一房到三房
[893.62-895.62] 二纸级平到三纸级平的为主
[895.62-899.62] 所以承让单价然后承加上车位
