[0.00-2.54] 2024年营运概况与未来展望
[2.54-5.00] 接着是QA交流时间
[5.00-9.16] 元大证券将依序开放投资先进提问与交流
[9.16-12.04] 现在我们开始今日的公司简报
[12.04-12.46] 谢谢
[12.46-20.68] 如同往常请大家参考我们的Safe Harbor Notice
[20.68-24.30] 接着我们来看营运绩效
[24.30-30.78] 首先是我们的历年营运纪要
[30.78-33.98] 1968年我们创立了五月花品牌
[33.98-37.78] 逐步推展成为消费者美好生活的温柔知己
[37.78-41.38] 2009年我们以纸出发淡布移植为线
[41.38-43.32] 拓展至家用清洁品类
[43.32-45.74] 橘子工坊成为台湾市场上
[45.74-48.54] 第一个以真正的天然为诉求的品牌
[48.54-53.50] 2017年我们以食品及化妆品等级的高规格
[53.50-55.74] 成立了全新的洁品工厂
[55.74-57.38] 并通过多项认证
[57.38-60.72] 2019年我们推出了后半卫生纸
[60.72-62.80] 成功吸引消费者的目光
[62.80-68.50] 2021年我们成为了上市公司资本额为新台币26.7亿元
[68.50-72.08] 2022年我们持续开发功能性的产品
[72.08-74.18] 我们推出了德意一手抽
[74.18-76.52] 月花集上抽取式卫生纸
[76.52-79.48] 我们同时拓展并广布后半通路
[79.48-81.92] 来满足消费者全面的需求
[81.92-83.42] 2023年
[83.42-83.48] 我们成立了全新的洁品工厂
[83.48-87.16] 我们进一步推出了橘子工坊的天然液态洗衣胶囊
[87.16-89.46] 运用多次方净化科技
[89.46-91.00] 洗净七大过敏原
[91.00-94.90] 加上外盒全纸设计与内袋无印刷的设计
[94.90-97.80] 以更友善生态环境的包装方式
[97.80-99.56] 受到消费者的青睐
[99.56-102.72] 2024年我们持续的创新
[102.72-103.86] 以值代数
[103.86-108.22] 我们推出了五月化后半全纸包装抽取式卫生纸
[108.22-113.46] 是台湾市场首创第一个全纸单包抽取式的卫生纸
[113.48-116.36] 我们同时也推出了橘子工坊的
[116.36-119.48] 致菌去味洗衣精与去味洗衣胶囊
[119.48-121.86] 运用天然围包的橘油
[121.86-125.46] 以及源自β胡萝卜素的除臭因子
[125.46-128.20] 我们达到了真正将臭味洗净
[128.20-131.24] 今年我们推出了橘子工坊
[131.24-133.72] 无香精三合一酵素洗碗定
[133.72-136.04] 无香精无有害物质
[136.04-138.64] 我们可以有效瓦解碗盘污垢
[138.64-141.00] 适用各种洗碗机的机型
[141.00-143.36] 我们未来将持续在
[143.36-143.46] 这一步推出橘子工坊的制菌去味洗衣精
[143.48-145.78] 推出创新的产品
[145.78-148.64] 满足群方为消费者的使用需求
[148.64-151.52] 在营收组成方面
[151.52-153.00] 就地区别来看
[153.00-155.34] 台湾的营收占比71%
[155.34-158.80] 中国大陆的营收占比29%
[158.80-160.28] 就产品别来看
[160.28-162.86] 纸品的营收占比85%
[162.86-166.56] 洁品及其他品类的营收占比15%
[166.56-169.78] 我们持续在品类结构上进行调整
[169.78-171.80] 推出了高品质的产品
[171.80-173.46] 并优化生产制成的产品
[173.48-175.84] 并成为自动化来提升我们的获利
[175.84-180.60] 接下来我们来说明
[180.60-183.08] 2024年合并财报载药
[183.08-187.92] 2024年合并营收为新台币108.97亿元
[187.92-191.70] 经历归属于本公司为新台币7.43亿元
[191.70-193.86] 每股营业2.78元
[193.86-195.42] 相较去年同期
[195.42-197.82] 合并营收成长6.2%
[197.82-200.36] 主要是因为我们创新高品质的产品
[200.36-201.78] 深受消费者的喜爱
[201.78-203.46] 带动了我们的营收的成长
[203.48-205.18] 最后净利减少
[205.18-208.12] 主要是因为原物料成本产生波动所致
[208.12-213.28] 接着我们来看到季度的营收及获利趋势
[213.28-217.78] 由于本公司推出创新高品质的产品持续成长
[217.78-221.68] 2024年第四季营收较去年同期成长
[221.68-224.16] 我们将持续优化产品结构
[224.16-225.70] 加强品牌投资
[225.70-229.32] 持续提高生产自动化并精进生产制程
[229.32-231.44] 开发优质的创新产品
[231.44-233.46] 提供消费者多元化的选择
[233.48-236.70] 以创新高品质的产品来带动成长
[236.70-240.14] 与策略合作伙伴建构长期合作模式
[240.14-243.46] 来提升公司未来的营运成长动能
[243.46-247.68] 接着看到我们的股利配发政策
[247.68-251.40] 永丰时的股利政策以稳健配发为原则
[251.40-254.48] 今年3月的董事会已经决议通过配发
[254.48-258.06] 2024年的现金股利为每股2.55元
[258.06-259.98] 配发率超过9成
[259.98-262.86] 我们将提报今年的股东常会
[263.48-267.88] 从原料配方到成品
[267.88-270.64] 每一个细节我们都坚持高标准
[270.64-273.44] 并运用先进的设备来进行检测
[273.44-277.28] 例如我们运用纤维分析仪及手感分析仪
[277.28-279.60] 调配出不同产品的柔软度
[279.60-283.14] 有气象程序质谱仪来分析原料的纯度
[283.14-285.02] 有环境模拟测试机
[285.02-287.12] 确保在最严苛的环境下
[287.12-289.14] 保持产品品质的稳定性
[289.14-292.12] 我们还成立了高规格的P2实验室
[292.12-293.46] 及优秀的专业研发人员
[293.48-298.14] 专注在产品品质上替消费者层层把关
[298.14-303.60] 在品牌定位上
[303.60-305.26] 我们的多规格的产品
[305.26-309.34] 柔情带给消费者则是温暖有爱心的感受
[309.34-313.00] 当然我们还有超值好用的得益卫生纸等
[313.00-315.68] 永丰时是台湾第一家
[315.68-318.32] 同时跨足纸品与洁品的公司
[318.32-320.38] 从2009年起
[320.38-322.14] 我们深耕洁品市场
[322.14-323.46] 针对不同的纸品和洁品市场
[323.48-325.66] 让消费族群推出不同的品牌
[325.66-327.34] 来满足消费者的需求
[327.34-329.92] 例如真正天然的橘子工坊
[329.92-332.88] 是许多重视健康与安全的消费者
[332.88-334.00] 所喜爱的品牌
[334.00-335.96] 直径美的天然香氛
[335.96-337.92] 让喜宜不再只是作家式
[337.92-339.86] 还多了一种愉悦的享受
[339.86-342.32] 另外我们也推出了
[342.32-344.30] 新晋、德义等强调实惠
[344.30-346.44] 及高CP值感受的品牌
[346.44-350.72] 在通路方面
[350.72-352.98] 我们掌握市场并经根市场
[353.48-355.98] 透过跟各大客户的良好互动
[355.98-359.04] 加上我们弹性有效率的物流团队
[359.04-362.48] 我们的产品遍及台湾2万多个零售点
[362.48-364.56] 另外我们拥有自己的电商平台
[364.56-365.72] 永丰商店
[365.72-367.86] 经营高度成长的电商通路
[367.86-372.86] 这是我们与其他公司不一样的地方
[372.86-376.24] 接下来我们将以持续成长的趋势掌握者
[376.24-377.36] 作为目标
[377.36-379.32] 发展方向有四大重点
[379.32-381.52] 首先是聚焦核心品类
[381.52-383.24] 身为在台湾扎根的企业
[383.48-385.98] 我们将提供了国际级的竞争对手
[385.98-389.24] 我们的在地化更能聆听到台湾消费者的声音
[389.24-392.98] 更有利于持续与创新的能力推动产品差异化
[392.98-395.32] 来贴近消费者的需求
[395.32-397.82] 再来是扩展潜力的洁品
[397.82-399.98] 洁品的市场是有无限可能的
[399.98-403.48] 也是提高公司获利能力的重要来源之一
[403.48-406.10] 未来我们会加速洁品的发展
[406.10-410.36] 像是消费者的主流需求是天然安心香氛疗愈等
[410.36-412.48] 我们发展主流需求的品牌
[412.48-413.44] 并结合绿色商机
[413.48-415.36] 扩大使用者的普及率
[415.36-417.86] 包括像是使用天然来源的原料
[417.86-420.86] 发展对环境友善的产品等
[420.86-424.28] 同时我们拓展新商机发展新品类
[424.28-428.36] 像是宠物商机与个人清洁用品家用香氛等
[428.36-431.68] 最后是提升供应链的竞争力
[431.68-434.48] 供应链的竞争力等同于成本的竞争力
[434.48-437.52] 我们将不断的提升生产自动化的能力
[437.52-441.18] 结合采购仓储及物流的策略合作
[441.18-443.14] 来提升供应链的效益
[443.14-443.18] 进而增加生产品的质量
[443.18-443.24] 进而增加生产品的质量
[443.24-445.14] 进而提升成本的竞争力
[445.14-451.50] 此外我们进一步说明永丰时近期的ESG成果
[451.50-454.38] 在环境方面我们致力资源管理
[454.38-455.88] 减少温室气体排放
[455.88-459.22] 并使用洁净的能源与提升燃煤替代率
[459.22-461.88] 我们使用对环境友善的原物料
[461.88-464.14] 并减少原生塑料的包裁
[464.14-468.10] 在社会方面我们以人为公司的重要资产
[468.10-471.04] 用心打造重视员工的幸福职场
[471.04-472.94] 我们与社会共生共乐
[472.94-473.20] 我们与社会共生共乐
[473.20-473.22] 我们与社会共生共乐
[473.22-473.24] 我们与社会共生共乐
[473.24-476.74] 以场区为轴心协助NGO团体
[476.74-481.16] 我们也结合了永丰时优质的绿色产品与服务
[481.16-483.22] 创意Good Life Goals
[483.22-485.02] 支持友善环境
[485.02-487.06] 在公司治理方面
[487.06-489.30] 我们持续推动永续经营
