[0.00-5.64] 好 两点整
[5.64-11.52] 感谢普通 投资人 法人 媒体朋友
[11.52-15.56] 百忙中参加公司今年第一次的法说会
[15.56-18.12] 此次会议将说明
[18.12-21.42] 振隆公司2024年经营状况
[21.42-23.46] 及未来的公司展望
[23.46-27.12] 首先来介绍今天出席的主管
[27.12-28.90] 总经理张清彪
[28.90-29.92] 大家好
[29.92-33.10] 纸绩事业部主管侯正富副总
[33.10-33.58] 大家好
[33.58-37.04] 公子事业部主管彭木祥副总
[37.04-37.74] 大家好
[37.74-40.12] 我是发言人何台良
[40.12-44.14] 今天法说会分成两个部分来进行
[44.14-47.94] 首先会以我来说明简报的内容
[47.94-49.96] 在会议的第一个阶段
[49.96-53.26] 你的电脑会设定成静音的状态
[53.26-55.50] 第二个阶段会
[55.50-57.38] 我的简报结束以后
[57.38-58.88] 会进入总统会议
[58.90-61.46] 总经理主持的U&A时段
[61.46-66.58] 这时候我们会接受各位的提问
[66.58-69.40] 那我们现在来进行我们的简报
[76.56-78.62] 简报我们
[78.62-82.46] 简报就分成我们的三段
[82.46-83.66] 公司概况
[83.66-84.76] 财务资讯
[84.76-87.06] 还有永续策略发展
[88.90-91.98] 下一页
[91.98-95.82] 正融是全方位的纸包装服务公司
[95.82-98.38] 成立于1959年
[98.38-100.42] 1971年上市
[100.42-105.02] 全球百大纸业公司有23个生产据点
[105.02-109.12] 正融重视资源循环的利用
[109.12-114.76] 去年使用将近166万公吨的回收纸
[114.76-118.08] 再生为各式各样的纸质品
[118.08-118.86] 再生规模的纸质品
[118.86-120.66] 全台第一
[120.66-121.68] 全台第一
[121.68-124.50] 下一页
[124.50-127.30] 我们现在报告的是公司的严格
[127.30-128.34] 公司的严格
[128.34-130.38] 分成奠定基石
[130.38-131.66] 海外拓展
[131.66-133.96] 及创新加值三个阶段
[133.96-137.04] 在1959年公司成立
[137.04-138.58] 在1971年
[138.58-142.16] 我们在台湾证件交易所上市
[142.16-145.22] 在2002年到2010年
[145.22-147.78] 布建中国越南的产销据点
[147.78-148.82] 这就已经进入了
[148.82-151.64] 在海外扩展的阶段
[151.64-153.18] 在2018年
[153.18-155.74] 我们在越南平遥造纸厂落成
[155.74-158.04] 扩大东协的布局
[158.04-162.64] 2021年我们推动Smart
[162.64-163.92] 低碳制纸
[163.92-166.48] 布局全循环经济蓝图
