[0.00-5.44] 各位福祉先進以及法人朋友們 大家午安
[5.44-9.92] 今天非常榮幸邀請開曼美食達人股份有限公司
[9.92-13.92] 受邀參加國票綜合證券舉辦法人說明會
[13.92-17.20] 說明公司的營利業務以及財務概況
[17.20-23.00] 今天的法事會我們邀請李漢林副總 布伯祥副理
[23.00-25.20] 兩位來為我們主講與分享
[25.20-28.68] 現在請副理為我們開始今天的公司簡報
[28.68-29.68] 副理請
[30.00-32.00] 謝謝
[32.00-34.00] 請問這樣聲音有清楚嗎
[34.00-37.00] 謝謝各位先進的時間
[37.00-40.00] 還有謝謝股票證券的安排
[40.00-42.00] 那我們慢慢請股票證券的朋友
[42.00-45.00] 幫我拿最前面的跟起票一台
[45.00-48.00] 這樣過一天比較看清楚 謝謝
[52.00-57.00] 感謝各位先進百忙中參加美食達人股份有限公司
[57.00-59.00] 2024年度財報
[59.00-60.00] 謝謝
[60.00-62.00] 然後說明會
[67.00-72.00] 首先公司總結去年第四季單季的獲利表現
[72.00-77.00] 公司認為大致上還算可圈可點
[77.00-82.00] 相較往年度的通期和成績來說呢
[82.00-88.00] 2024年第四季的毛利率 盈利率 還有淨利率
[88.00-89.00] 三率都來到了2024年度的財報表現上來說呢
[89.00-95.00] 都來到2020年以來的通期的新高
[95.00-101.00] 因此儘管呢第四季單季的合併營收
[101.00-107.00] 仍然是微幅年減大約2%左右
[107.00-111.00] 較前年通期年減2%左右
[111.00-114.00] 但是第四季單季的每股盈餘
[114.00-118.00] 仍然攀升到五個季度以來的新高
[119.00-121.00] 除了獲利能力的改善之外
[121.00-127.00] 當然我們很希望能看到合併營收早日的回到原真
[127.00-132.00] 那索性合併營收的動能在2024年第四季
[132.00-134.00] 也已經有好轉的現象
[134.00-140.00] 最主要的成長貢獻參考B公司的財務報告
[140.00-146.00] 可以看到最主要成長的貢獻仍然是美國市場
[146.00-148.00] 如果以當地貨幣也就是美金計算來看的話呢
[148.00-155.00] 2024年上半年它的YOY是10%左右
[155.00-159.00] 第三季來到了11%左右
[159.00-165.00] 第四季進一步的增速來到了YOY13%左右
[165.00-167.00] 以上都是用美金計價
[167.00-174.00] 那很令人振奮的2025年前兩月
[174.00-177.00] 如果參考B公司的公告的自己營收
[178.00-183.00] 其實我們的美國貢獻還是以美金計價的話
[183.00-186.00] 維持年增大約13%左右
[186.00-193.00] 2025年前兩月美國市場的美金營收維持年增13%左右
[193.00-196.00] 相同也很重要的
[196.00-198.00] 暫比第二的大陸市場
[198.00-201.00] 2024年前三季
[201.00-205.00] 前三季我們的銅電衰退比較不理想
[205.00-209.00] 因為大部分的時間在中高雙位數
[209.00-211.00] 甚至有到高雙位數
[211.00-217.00] 但是呢第四季大陸市場銅電衰退有明顯改善
[217.00-222.00] 來到了中高個位數的衰退
[222.00-224.00] 今年一二月就是如何呢
[224.00-229.00] 今年一二月還是有一點點的好的方向來前進
[229.00-232.00] 就是來到比較接近中個位數的衰退
[232.00-233.00] 今年一二月
[233.00-235.00] 雖然它還銅電還是衰退一點點
[235.00-239.00] 但是又比去年第四季稍微再改善一些些
[239.00-241.00] 至於台灣市場
[241.00-244.00] 台灣市場2024年最後一個季度
[244.00-249.00] 它的營收YY其實也來到了4%的正成長
[249.00-254.00] 其實算是2016年以來相對比較出色的成績
[259.00-262.00] 在報告各個市場的營收重點之前
[262.00-264.00] 我們花了很快的一點時間
[264.00-268.00] 像是郭衛銓跟新鴻合併財報的產品別的營收佔
[268.00-269.00] 一樣也是可以參考的
[269.00-271.00] 比公司的財務報告的
[273.00-275.00] 以2024年全年度來說
[275.00-276.00] 麵包
[276.00-278.00] 麵包佔到43%
[278.00-281.00] 西點來到了35%
[281.00-284.00] 飲料則是22%
[284.00-288.00] 也就是說麵包西點烘焙類的商品
[288.00-289.00] 在2024年全年度
[289.00-292.00] 合併財報來到了78%
[292.00-293.00] 78%烘焙商品
[294.00-296.00] 那過去4年來這個變化是如何
[296.00-300.00] 過去4年來我們抓了一下大概提升了5%
[300.00-303.00] 就是大約從73個股的升來到了78%
[303.00-309.00] 飲料同期當然反而言之就是下降了接近5%
[309.00-312.00] 同期今天就各位投資大眾參考
[312.00-315.00] 比公司合併財報的毛利率
[315.00-318.00] 它的這個4年期間其實是走升了
[318.00-323.00] 我們認為是代表公司持續的去強化烘焙產品的競爭力
[324.00-327.00] 除了對營收有正向貢獻之外
[327.00-331.00] 透過在這樣的一個市場對定價主導權強化
[331.00-333.00] 對未來的毛利率
[333.00-336.00] 對未來的毛利率公司希望是能有正向的貢獻
[336.00-338.00] 希望是有正向的貢獻
[342.00-345.00] 接著請各位投資大眾參考
[345.00-348.00] 各個市場2024年度的營收暫定
[348.00-351.00] 以報道貨幣新台幣來說
[351.00-353.00] 美國市場來到接近43%
[354.00-357.00] 大陸接近42%
[357.00-361.00] 台灣則是15%左右
[361.00-369.00] 接下來我們進入大陸市場
