[0.00-2.88] 各位先生的各位先生大家午安
[2.88-5.94] 欢迎参加由朱莉同讯股份有限公司
[5.94-9.86] 举办的130年度第四季线上法人说明会
[9.86-13.42] 首先让我们介绍今天出席的经营团队
[13.42-15.28] 总经营廖珍奇
[15.28-18.30] 发言人暨群众行销处处长谢邦彦
[18.30-20.00] 财务长林美玉
[20.00-23.70] 代工四月群职群副总经理陈幸成
[23.70-26.38] 品牌四月群副总经理郑胜夫
[26.38-28.64] 代理发言人暨设计处
[28.64-30.68] 设计验证处协理测讯因
[30.68-34.28] 现在我们有请经纬通讯总经理发表引言
[34.28-40.20] 线上的媒体与法人朋友们大家午安
[40.20-43.48] 我是经纬通讯总经理廖珍奇
[43.48-46.94] 欢迎各位先进参加经纬通讯法说会
[46.94-51.22] 也谢谢大家长期以来对公司的支持与关注
[51.22-55.30] 今天的会议本公司将分享经营成果
[55.30-58.18] 发展策略与产业趋势
[58.18-58.62] 和经营成果
[58.62-61.32] 首先由我来说明营运概况
[61.32-65.76] 面对全球经济变动与市场挑战
[65.76-69.20] 经纬通讯2024年合并营收为
[69.20-71.44] 新台币73.3亿元
[71.44-74.98] 全年税后存益为2.96亿元
[74.98-78.12] 每股盈余则为3.42元
[78.12-80.84] 2024年迟缓的表现
[80.84-84.06] 主要是因为上半年订单相对保守
[84.06-87.78] 直到第四季在品牌及代工双事业
[87.78-88.60] 业绩成长
[88.62-91.86] 客户库存去化的情况下
[91.86-96.36] 单季合并营收达21.73亿元
[96.36-98.06] 季增15%
[98.06-101.08] 税后存益1.72亿元
[101.08-104.08] 并创下近二年以来的高点
[104.08-108.16] 反应公司在掌握AI与Cloud趋势
[108.16-111.04] 推出创新产品与服务的成效
[111.04-114.80] 我们将持续在安防市场保持竞争优势
[114.80-117.62] AI发展芳心慰爱
[117.62-118.60] 经纬通讯会在2月份发布计划
[118.62-120.32] 提供AI解决方案
[120.32-123.82] 结合有边缘AI算力的安防产品
[123.82-125.84] 大型语言模型训练
[125.84-127.80] 深度搜寻技术
[127.80-130.00] 云端管理平台Vortex
[130.00-133.24] 以地端和云端的混合云架构
[133.24-135.82] 提高事件分析准确率
[135.82-138.20] 降低客户的运营成本
[138.20-140.58] 并与各国系统整合商
[140.58-142.14] 推动智慧城市
[142.14-143.58] 智慧交通
[143.58-144.86] 智慧工厂
[144.86-147.28] 打造更永续安全的环境
[147.28-148.60] 稍后我们将提供AI解决方案
[148.62-150.36] 接下来我们会介绍几项成功案例
[150.36-155.22] 说明AI技术在多元应用落地的实际成果
[155.22-160.16] 经纬通讯除了强化技术应用的满意度
[160.16-163.26] 在运营上也持续海外布局
[163.26-166.94] 结合集团资源建制泰国产线
[166.94-169.50] 在去年第四季完成市产
[169.50-171.86] 今年第一季将启动量产
[171.86-175.58] 提高营运韧性及供应链的竞争力
[175.58-178.22] 同时公司去年第四季
[178.62-181.48] 也参加美国欧洲省地的展会
[181.48-183.46] 推广品牌形象
[183.46-188.22] 包括法国规模最大的国际安全博览会
[188.22-192.64] 以及美国的美东安全科技专业大展
[192.64-193.88] IC East
[193.88-197.62] 展示完整的智慧安防解决方案
[197.62-200.52] 满足对创新技术的需求
[200.52-204.82] 触及更多潜在客户提高品牌知名度
[204.82-208.14] 根据美国权威安防杂志
[208.14-208.60] SDM
[208.62-209.98] 的产业调查
[209.98-211.30] 普遍认为
[211.30-214.24] 2025年是乐观成长的一年
[214.24-218.48] 今年是逢精锐通讯成立满25周年
[218.48-223.38] 公司秉持常年的研发能量和运营韧性
[223.38-227.66] 持续站在AI与云端发展浪尖上
[227.66-230.42] 提供最符合客户需求
[230.42-233.68] 且更便利维护的智慧安防解决方案
[233.68-237.84] 同时精锐通讯致力投入永续议题
[237.84-241.64] 积极推动海内外子公司减碳计划
[241.64-243.74] 以及节能产品的研发
[243.74-246.08] 呼应集团领先指标
[246.08-250.44] 2030年全球据点达成100%
[250.44-253.40] 使用再生能源及碳中和
[253.40-258.96] 致力成为社会上最值得信赖的永续安防品牌
[258.96-262.44] 以上是营运概况的更新
[262.44-265.16] 接下来关于第四季财报
[265.16-267.10] 以及未来几个发展重点
[267.84-270.70] 我们请发言人谢华彦先生来进行说明
[270.70-277.08] 各位媒体及法人朋友大家好
[277.08-280.78] 接下来是第四季财报法人说明会
[280.78-283.00] 首先我先读免责声明
[283.00-286.76] 本简报所提供的资讯包含前瞻性看法及展望
[286.76-289.32] 反映精锐通讯股份有限公司本公司
[289.32-291.16] 截至目前为止对未来的看法
[291.16-293.06] 这些前瞻性看法及展望
[293.06-296.44] 可能因各种公司所不能掌控的风险不确定
[296.44-297.82] 与假设等不同状况
[297.84-299.56] 而超出本公司的判断
[299.56-303.00] 实际结果可能以重大出入或是不一一意气发生
[303.00-306.38] 读者不完全依赖此简报资讯
[306.38-307.34] 对于这些看法
[307.34-309.44] 未来如果有些变更或调整
[309.44-312.40] 本公司不负责随时提醒更新或更正
[312.40-314.10] 精锐通讯股份有限公司
[314.10-316.72] 已经可能确保本简报资料之正确性
[316.72-317.88] 并无遗漏及过时
[317.88-322.62] 然而本公司概无就有资料之可靠性准确性
[322.62-326.06] 及完备性做出任何明示或暗示的声明或保证
[326.06-327.82] 其对本简报资料有任何的
[327.84-330.62] 或依赖该等内容所采取行动
[330.62-333.84] 而直接或间接引致的任何损失
[333.84-335.16] 本公司概不负责
[335.16-338.48] 未见本公司事前书面许可
[338.48-341.42] 任何人不可复制修改重新编译
[341.42-343.28] 删减或传送本简报内容
[343.28-347.00] 或将任何该等内容用于商业用途
[347.00-347.42] 以上
[347.42-351.48] 首先我们先来看财务资讯的部分
[351.48-355.78] 那在这次是第四季的法人说明会
[355.78-356.88] 我们先来看整年度
[356.88-357.78] 2020的一个回报
[357.84-358.34] 维度
[358.34-361.68] 2020年我们整个年度的合并营收是
[361.68-363.52] 7329.9
[363.52-365.28] 新台币百万元
[365.28-368.56] 营业净利是291新台币百万元
[368.56-370.56] 最后净利
[370.56-373.00] 收入是296
[373.00-374.14] 新台币百万元
[374.14-378.06] 在于EPS每股的部分是3.12元新台币
[378.06-383.28] 那我发放的每股现金鼓励的话是2.3元新台币
[383.28-385.32] 再一页
[385.32-387.12] 第四季节的财报的结算的部分
[387.12-388.62] 首先我们来看到营收及毛利
[388.62-391.78] 营收的部分年对年是17%的增加
[391.78-393.50] 季费季是15%的增加
[393.50-396.30] 毛利的部分的话是17%的增加
[396.30-398.30] 季费季的话是8%的增加
[398.30-398.84] 下一页
[398.84-401.78] 营业净利及费用的部分
[401.78-404.82] 年对年的部分在R&D的部分是-3%
[404.82-407.02] 季费季的话是-9%
[407.02-409.88] 小管费用的话是持平0%
[409.88-412.90] 季费季的部分的话是-5%
[412.90-415.98] OPEX总营业费用的部分年对年是-1%
[415.98-417.94] 然后季费季是-7%
[417.94-419.84] 整个OP的营业经济来说
[419.84-421.78] 年对年是122%
[421.78-425.02] 季费季的话是80%
[425.02-425.72] 下一页
[425.72-428.20] 另外属于的部分的话
[428.20-433.68] 去年的第四季整个的利益收益的部分是2.8
[433.68-434.60] 现在必把万元
[434.60-436.92] 然后汇兑的属于1.4
[436.92-438.12] 现在必把万元
[438.12-440.72] 其他的部分是26.8
[440.72-442.84] 总的合计起来是28.3
[442.84-444.20] 现在必把万元
[444.20-444.84] 下一页
[444.84-449.02] 在于税前经历及期税
[449.02-451.06] 则就集摊销前利润的部分
[451.06-453.52] 税前经历年对年是110%
[453.52-455.26] 季费季是81%
[455.26-459.42] 期税则就集摊销前利润的部分是年对年69%
[459.42-461.56] 季费季是59%
[461.56-462.62] 再一页
[462.62-464.26] 税后经历的部分
[464.26-466.60] 整个Q4的结算下来
[466.60-469.04] 税后的经历是172.2
[469.04-470.90] 那单位只信来必把万元
[470.90-471.46] 谢谢
[471.46-472.22] 下一个
[472.22-474.28] 回到EPS
[474.28-474.68] 当
[474.68-475.96] 经济的部分的话
[475.96-477.24] 1.99
[477.24-478.78] 新台币元
[478.78-481.08] 那整个2024年整个回复是3.
[481.08-483.64] 移动前述是3.42元
[483.64-484.40] 谢谢
[484.40-486.72] 营运的重点是下一页
[486.72-488.24] 整个营运重点部分
[488.24-491.06] 我们分四个部分来跟各位先说
[491.06-493.12] 第一个是品牌形象的推广
[493.12-496.70] 第二个是发展全线AI云端及安防产品
[496.70-499.76] 第三是海外渐进式的扩展
[499.76-502.58] 最后是致力于永续品牌推广
[502.58-504.64] 跟各位说明的是推广的品牌的形象是什么?
[504.68-505.96] 品牌形象部分的话
[505.96-508.52] 有一个AI安全方案的解决方案
[508.52-509.80] 成功案例是在
[509.80-510.56] 发生在日本
[510.56-511.84] 是一个野马工厂
[511.84-514.40] 这个对于客户的效益是提升营运的
[514.40-515.18] 效率
[515.18-517.74] 以及可以做远程监控产线的
[517.74-519.02] 一个这样的管理
[519.02-521.58] 那日本工业社费的制造商野马
[521.58-524.64] 导入精锐通信AI安防解决方案
[524.64-526.44] 通过网路摄影机观察
[526.44-527.98] 厂区无人搬运车
[527.98-530.80] 即使掌握车辆运行过程发生的事故
[530.80-533.60] 帮助工作人员事后改善
[533.60-534.64] 路径规划
[534.64-535.40] 此外
[535.40-541.56] 也远程监控产线提升整体的工厂营运效率
[541.56-545.14] 下一个AI解决方案的成功案例是
[545.14-546.42] 在巴西
[546.42-547.70] 马林家市
[547.70-550.52] 用户户的效率是推升执法的效率
[550.52-552.04] 建构一个智慧城市
[552.04-556.14] 巴西的马林家市是导入精锐通信AI解决方案
[556.14-559.22] 将网路摄影机安装在市区内的关键位置
[559.22-559.98] 例如
[559.98-561.78] 交通站或者主要贩道
[561.78-562.54] 广场
[562.54-564.34] 及交叉市入口
[564.34-564.60] 以及工厂
[564.60-566.14] 公共通道等地点
[566.14-569.46] 确保全面性的覆盖并且整合人脸辨识
