[0.00-8.18] 各位投资先生 大家晚安
[8.18-12.42] 欢迎参加下周的第一季法人说明会
[12.42-15.46] 稍后会议将分为两个部分
[15.46-19.64] 第一部分会先由今天的报告主持人
[19.64-23.46] 张晓文财务长为我们更新公司进行的因应状况
[23.46-25.58] 接下来再进行QA交流
[25.58-28.14] 我们把时间交给财务长 谢谢
[28.14-32.86] 谢谢主持人
[32.86-36.44] 各位投资先进 大家午安
[36.44-39.74] 我自我介绍 我叫做张晓文
[39.74-43.26] 我是下周的财务长兼公司治理主管
[43.26-47.82] 今天由我来跟各位报告有关
[47.82-53.96] 2024年的财务经营状况
[58.14-64.32] 今天简报分成四个部分
[64.32-67.16] 分别是公司简介 市场概况
[67.16-69.86] 经营时机以及永续发展
[69.86-75.94] 首先先跟各位介绍公司的简介
[81.26-85.22] 下都成立于1995年的9月
[85.22-86.86] 在2012年3月
[86.86-86.94] 在2012年3月
[86.94-87.90] 在2012年3月
[87.90-88.12] 在2012年3月
[88.14-89.94] 挂牌上市
[89.94-97.22] 主要的经营项目是旅馆跟餐饮服务
[97.22-100.74] 总市长陈协同总经理王靖奇
[100.74-103.14] 资本额14亿
[103.14-106.86] 目前员工人数是389人
[106.86-112.70] 主要股东为关田刚跟中刚所投资的关年头
[112.70-114.06] 以及中兴开发
[114.06-115.86] 另外还有中环
[115.86-116.34] 中环是一个公司的主要股东
[118.14-124.10] 下都的经营理念是以客为主的服务
[124.10-127.26] 以及以人为本的管理精神
[127.26-133.34] 我们治理理念主要是坚持诚信正直
[133.34-136.50] 同时鼓励员工在各方面的创新
[136.50-138.82] 注意长期的策略
[138.82-140.82] 追求永续经营
[140.82-146.94] 并且兼顾员工福利以及股东的权益尽力的来回馈社会
[148.14-153.42] 接着跟各位报告公司的主要的纪要
[153.42-157.50] 1995年9月成立了景海开发
[157.50-160.98] 投入了休闲娱乐产业的经营
[160.98-164.86] 那在同年的12月取得领务局
[164.86-167.98] 肯定森林游乐区海滨区的经营权
[167.98-171.58] 那在1998年的10月
[171.58-176.50] 以肯定下都沙滩酒店对外正式开幕营运
[178.14-180.50] 那在2012年的3月
[180.50-183.90] 本公司股票正式挂牌的上市买卖
[183.90-191.38] 在2018年4月
[191.38-194.90] 我们增加了第二个营运据点在台南
[194.90-197.42] 也就是下都城旅安品馆
[197.42-202.14] 正式在2018年的4月完工对外正式营运
[202.14-204.86] 那在同年7月
[204.86-206.14] 我们也取得了富朗公司过半的董事席的负责
[206.14-206.94] 那在同年7月我们也取得了富朗公司过半的董事席的负责
[206.94-207.90] 那在同年7月我们也取得了富朗公司过半的董事席的负责
[208.14-229.38] 然后进行了本公司宏 가까的商业方勇议
[229.42-234.78] 那就是北京 similar
[234.82-236.92] 广东
[237.22-237.34] 广东
[237.44-237.68] 广东
[237.68-237.78] 广东
[237.78-237.90] 许多
[237.90-238.04] 许多
[238.04-238.10] 许多
[238.10-238.12] 许多
[238.12-239.74] 在今年的3月
[239.74-241.50] 肯丁夏都沙滩酒店
[241.50-242.64] 我们取得了
[242.64-244.40] 银级环保旅馆的标章
[244.40-250.92] 那接着跟各位报告
[250.92-254.70] 介绍我们主要的产品服务
[254.70-257.04] 那先跟各位报告
[257.04-258.14] 是我们个体的部分
[258.14-260.38] 分成肯丁夏都沙滩酒店
[260.38-262.30] 以及夏都城旅安平馆
[262.30-265.68] 肯丁夏都呢
[265.68-267.96] 是在1998年10月
[267.96-268.74] 对外营业
[268.74-270.94] 那这个部分是向林务局
[270.94-274.06] 也就是现在改名为林保署
[274.06-275.34] 来做承租
[275.34-278.72] 共有三个馆
[278.72-281.74] 总房间数是295间
[281.74-287.62] 备有中式海鲜餐厅
[287.62-290.00] 以及欧式自助餐厅
[290.00-293.34] 合计可容纳人数为千人
[293.34-297.88] 馆内有三个咖啡厅
[297.88-297.94] 以及一间
[297.94-302.72] 以及一座户外酒吧
[302.72-306.28] 另外备有两座会议会议室
[306.28-312.68] 会议室可容纳人数为290人
[312.68-314.76] 在肯丁夏都
[314.76-318.26] 有三座户外的正婚广场
[318.26-320.66] 那在这边举办婚礼
[320.66-325.48] 宛如在小岛来举办婚礼一般
[327.94-332.56] 肯丁夏都持续推广永续旅游
[332.56-334.60] 那分成海上跟陆上
[334.60-337.18] 海上的部分主推无动力
[337.18-340.56] 低污染低碳排的水上活动
[340.56-342.98] 那陆上的活动主推
[342.98-344.68] 推广保育
[344.68-347.92] 我们也安排了一系列的生态活动
[347.92-353.04] 接着跟各位介绍
[353.04-355.82] 个体的第二家饭店
[355.82-357.36] 夏都城旅安福馆
[357.94-361.88] 安宁馆在2018年4月对外开幕
[361.88-366.70] 总房间数104间
[366.70-370.36] 主要设计风格以浮城漫活
[370.36-372.24] 以及人文为主题
[372.24-377.70] 餐饮的部分有
[377.70-380.32] 城市百会自助餐厅
[380.32-382.34] 城旅宣港式餐厅
[382.34-384.36] 以及城司的咖啡酒吧
[384.36-387.48] 那自助餐厅的部分
[387.48-387.92] 可容纳人数的多数人口
[387.94-389.94] 容纳人数是200人
[389.94-396.22] 另外备有会议室及宴会厅
[396.22-401.88] 饭店也有户外的正婚广场
[401.88-403.76] 以及两座的宴会厅
[403.76-410.02] 夏都城旅安品馆主题
[410.02-412.06] 主要是亲子友善饭店
[412.06-414.72] 那设有一座占地200平的
[414.72-417.82] 丛林风设计的儿童游戏空间
[417.94-425.68] 接着跟各位介绍的是
[425.68-427.30] 我们的子公司
[427.30-428.94] 夏都富朗
[428.94-433.30] 那饭店品牌为宅夏都
[433.30-438.34] 宅夏都的饭店位置是位在台南
[438.34-443.46] 宅夏都2012年成立
[443.46-446.90] 主要经营内容也是旅馆
[446.90-447.92] 以及餐厅
[447.94-452.04] 那房间数呢从54间
[452.04-454.52] 目前增加到93间
[454.52-459.36] 那增加的部分在去年第四季对外开始营业
[459.36-462.82] 另外还有背包客的宅单间
[462.82-464.16] 共有61床
[464.16-468.00] 那夏都富朗公司
[468.00-472.56] 总市长陈协同总经理陈宇田资本额5亿
[472.56-474.94] 员工人数54人
[474.94-477.92] 主要股东为夏都以及关田钢区
[477.94-486.82] 大家可以看一下简报
[486.82-491.54] 主要宅夏都餐厅的部分是巧食百会
[491.54-494.46] 那座位人数可以容纳100位
[494.46-497.58] 那另外有聊聊空间
[497.58-501.00] 这个部分是专为背包客来打造的使用空间
[501.00-506.36] 那接下来介绍的
[506.36-507.92] 客房呢
[507.94-513.34] 都是我们在去年第四季对外开始营业的新的楼层
[513.34-514.86] 新的房间
[514.86-517.50] 有紧致双床房
[517.50-521.86] 紧致客房
[521.86-523.66] 还有蜜月套房
[523.66-528.30] 还有和洋家庭房
[528.30-529.30] 北欧家庭房
[529.30-535.62] 还有尊爵双套房
[535.62-537.70] 另外还有61床位的客房
[537.70-537.82] 还有约3个房间的客房
[537.82-537.92] 还有约3个房间的客房
[537.92-538.68] 还有约3个房间的客房
[538.68-539.20] 还有约3个房间的客房
[539.20-539.32] 还有约3个房间的客房
[539.32-539.72] 还有约3个房间的客房
[539.72-540.48] 还有约3个房间的客房
[540.48-543.04] 这个是针对背包
[543.04-547.84] 就是背包客来打造的一个专属小天地
[547.84-556.76] 接着跟各位介绍另外一家子公司夏都地产
[556.76-562.24] 夏都地产开发在2024年9月成立
[562.24-567.80] 那主要主要投资是在新建公共
[567.80-570.36] 建设跟一般的投资
[570.36-573.64] 那董事长陈协同总经理王德成
[573.64-576.76] 目前实收资本额新台币6亿元
[576.76-586.56] 那主要是由我们夏都100%的投资
[586.56-593.36] 我们在去年2024年10月与退府会来签约
[593.36-597.44] 那主要呢是与退府会携手合作
[597.44-597.68] 来打发新建公共建设跟一般的投资
[597.68-602.84] 来打造一个宜兰站健康台湾未来的示范园区
[602.84-606.96] 那园区的这个基地呢
[606.96-612.52] 在宜兰市中心在目前的候火车站的位置
[612.52-616.12] 大家可以看到简报上面红色的区块
[616.12-622.96] 那从简报上可以看到宜兰站基地的占有的交通优势
[622.96-627.20] 不管是转运转运站火车站
[627.20-627.64] 或者是高天产站
[627.64-632.64] 到台北市中心交通非常的便捷
[632.64-637.64] 那附近周邊也有生衣的一個專區
[637.64-648.64] 那這一張簡報主要是介紹我們這個宜蘭站的基地的一個平面圖
[648.64-651.64] 整個基地面積有五萬平方公尺
[651.64-653.64] 約五公頃
[653.64-662.64] 那目前基地現況已經完成了道路、污水、海水跟耗質還有交通等等的基礎工程
[662.64-668.64] 那可以看到下方這個是宜蘭火車站後站
[668.64-672.64] 旁邊是楊交大醫院
[672.64-675.64] 還有生物的醫學產業園區
[675.64-682.64] 這個是目前我們歸居的一個公園
[682.64-683.64] 我們現在在這個公園裡面
[683.64-687.64] 我們也在做一個規劃的一個全區的配置圖
[687.64-692.64] 目前規劃設置的部分
[692.64-697.64] 主要有文化館跟觀光遊戲設施
[697.64-704.64] 那另外也規劃購物商城還有AI智慧的健康休閒的休憩園區
[708.64-712.64] 那我們是下都地產這邊主要目標
[712.64-716.14] 打造台灣的一個健康未來園區
[719.98-723.64] 接下來我們進入今天簡報的第二個重點
[724.24-725.24] 市場概況
[730.38-734.10] 從簡報上可以看得到到2024年
[734.90-737.78] 來台的旅客以及我們國人
[738.00-740.34] 國民出國的一個人次變化
[740.34-742.84] 大家可以看得到到2024年
[743.04-748.20] 幾乎已經達到了疫情前的一個人次
[748.88-751.30] 不過大家可以看到紅色這一條
[751.80-754.64] 是出國藍色這一條是
[755.14-758.78] 來台的部分可以看得到出國的人次
[758.78-762.80] 在2024年遠遠大於我們
[763.54-766.00] 國外來台旅客那幾乎是兩倍
[769.94-770.30] 接下來
[770.44-772.04] 這張簡報是
[772.58-774.94] 跟讓各位看就是
[775.18-780.40] 來台旅客跟國民出國的一個人次的變化情形
[783.24-786.70] 可以看得到就是我們出國人士已經
[787.70-791.98] 是約當是來台旅客的2.144倍
[797.18-799.80] 接著跟各位報告
[800.08-800.30] 最近的
[800.50-803.50] 幾年以全球地區別來看
[804.14-809.84] 主要來台的一個國地區別主要可以看到是那條紅色的
[809.84-815.54] 也就是亞洲地區也就是亞洲地區是主要來台的一個國家地區別
[816.40-817.94] 以國家來看的話
[818.80-822.10] 可以看到是綠色這一條是東南亞國家
[823.14-826.88] 最近這幾年來看都是以東南亞國家為主
[828.94-830.30] 接著是
[831.04-836.14] 日本跟日本然後港澳
[838.40-839.10] 韓國
[845.00-848.54] 那這張簡報主要是要讓大家看的就是我們
[848.84-850.54] 左邊是來台的
[851.00-855.28] 主要的國家然後右邊這個部分是我們
[855.54-858.28] 台灣人主要出國的目的地
[858.48-860.30] 大家可以看到來台的主要就是
[860.50-861.18] 日本
[862.00-863.04] 第一名是日本
[863.14-865.24] 然後香港接著是韓國
[865.24-867.18] 那我們台灣人主要出去
[867.50-869.84] 去的國家也是第一名也是日本
[870.40-871.74] 然後接著是中國
[872.48-874.30] 再來第三個是韓國
[879.14-884.74] 那來台旅客主要的目的統計起來也是主要以觀光為主
[890.34-895.14] 那目前交通部觀光署的資料統計到二零二三年
[895.14-904.34] 有關國人國內旅遊的總旅次變化到二零二三年已經超過了疫情之前的人次了
[911.00-918.40] 接著大家看到我這邊準備了最近五年台灣觀光旅館的加速住用率跟房居率的增加
[918.40-918.98] 加速住用率跟房居率的增加
[918.98-919.98] 加速住用率跟房居率的增加
[919.98-920.30] 加速住用率跟房居率的增加
[920.34-922.98] 以及營收的一個變化情形
[923.94-928.10] 紅色這個區塊講的是疫情的這三年
[928.94-930.54] 那我們可以看到
[930.74-936.58] 在二零一九年也就是疫情前的住用率是六十六點六九
[936.80-944.08] 那從簡報看到二零二三跟二零二四年基本上平均住用率已經達到
[944.14-945.90] 已經恢復到疫情前
[946.14-949.98] 那平均房價從二零一九年的三千七百七十元
[949.98-950.24] 平均房價從二零一九年的三千七百七十元
[950.24-950.30] 平均房價從二零一九年的三千七百七十元
[950.30-950.34] 平均房價從二零一九年的三千七百七十元
[950.34-955.54] 平均房價從二零一九年的三千七十六已經成長到二零二四年的四千五百三十一
[957.04-962.60] 那台灣觀光旅館的營收二零二四年增至二點八七percent
[969.14-973.90] 那這一張主要是針對最近兩年來做比較
[974.24-979.84] 那以最近兩年YOY來看的話住房率增成長了零點二二percent
[979.84-980.24] 平均房價從二零一九年增至二點八七percent
[980.24-980.78] 平均房價從二零一九年增至二零二七percent
[980.78-993.74] 那 НапHIR的單位購物房間形成 Nós entramos na déjà comendo uns
[993.74-1000.44] 我們今天要來看 Market Holiday актив show
[1000.44-1005.00] 我們今天正前來看它的展示著어� nothing
[1005.24-1008.92] EA得部門生產的地區ami
[1008.92-1010.04] 以對賦法 players
[1010.04-1013.36] 因为消费的一个形态有调整了
[1013.36-1018.02] 所以餐饮的营业额也逐步的增加
[1018.02-1020.86] 那以2023和2024比较呢
[1020.86-1022.32] 年增是3.58
[1022.32-1030.42] 接着我们进入今天简报的第三单元是经营时机
[1030.42-1038.26] 首先跟各位报告我们2024年的简明资产损益表
[1038.26-1040.72] 从简报上来看
[1040.72-1048.26] 变化比较大的部分是在股东权益的总额
[1048.26-1050.36] 权益金额呢
[1050.36-1058.34] 从2023年的22亿4千增加到2024年的27亿7千
[1058.34-1064.00] 那主要增加的原因是我们去年第四季有对外募资办理现金增资
[1064.00-1068.24] 那2024年的12月的
[1068.26-1073.90] 资产总额是36亿1630万
[1073.90-1077.94] 负债9亿负债比64.62
[1077.94-1080.96] 权益比75.38
[1080.96-1087.18] 接着我们看到简明综合损益表
[1087.18-1095.26] 在2024年的营收较同期衰退了17.44
[1095.26-1096.82] 主要衰退的原因
[1096.82-1098.24] 是因为
[1098.26-1104.46] 是国外旅客进来的部分呢
[1104.46-1108.08] 主要都在中北部
[1108.08-1112.72] 那以整个以交通部观光署的统计资料显示
[1112.72-1119.82] 全台湾营收成长的地区分别是新北台北新竹跟南投
[1119.82-1127.66] 那观光的衰退的地区分别是花莲台东屏东金门跟澎湖
[1127.66-1128.22] 那这些地区呢
[1128.22-1128.24] 那这些地区呢
[1128.26-1130.88] 都是在风景区
[1130.88-1135.36] 那也就是国外旅客下不到风景区
[1135.36-1139.70] 所以造成我们在2024年的营收有衰退的情形
[1139.70-1141.94] 2024年的
[1141.94-1146.60] 收入6亿3100万
[1146.60-1151.44] 那税本期进
[1151.44-1155.40] 合并的本期
[1155.40-1158.24] 本期的一个净损是1700万
[1158.26-1160.52] 那净损是1714万
[1160.52-1167.12] 那这一块归属于母公司的净利是341万9千
[1167.12-1169.58] 每股盈余是0.03
[1169.58-1180.18] 那简报上看到的是我们近几年的稳定的股利配发政策
[1180.18-1187.92] 也就是我们会把我们每年的可分配的分配可分配的盈余呢都拉到我们的股票上去
[1187.92-1187.98] 也就是我们会把我们每年的可分配的分配可分配的盈余呢都拉到我们的股票上去
[1187.98-1188.12] 也就是我们会把我们每年的可分配的分配可分配的盈余呢都拉到我们的股票上去
[1188.12-1192.80] 来分配给股东
[1192.80-1199.36] 接着来到今天简报的最后个单元永续发展
[1199.36-1202.08] 我们为了推动永续治理
[1202.08-1210.24] 设置了企业诚信经营及永续发展的推动委员会
[1210.24-1213.54] 那委员会向向下有四个小组
[1213.54-1215.30] 主要为环境发展
[1215.30-1217.84] 社会参与员工照顾以及公司治理
[1217.84-1218.10] 主要为环境发展社会参与员工照顾以及公司治理
[1218.12-1226.36] 那首先先跟各位介绍有关永续环境的部分
[1226.36-1226.42] 那首先先跟各位介绍有关永续环境的部分
[1226.42-1231.06] 永续环境我们主要在推行绿色采购
[1231.06-1234.84] 那提升每年1%的节电率
[1234.84-1243.66] 那目标能够达成每周期的垃圾减量跟节水率的目标
[1243.66-1247.32] 那第二个部分是致力于节能减碳
[1247.32-1247.84] 第三个部分是致力于节能减碳
[1247.84-1253.54] 第三个部分是持续推动无动力无污染低碳排的油气活动
[1253.54-1258.18] 那第四个部分是持续推广生态保育的活动
[1258.18-1268.26] 那在永续发展的部分的有一块是维护社会公益
[1268.26-1273.02] 我们主要推动的部分有四个部分
[1273.02-1275.48] 第一个是员工照顾
[1275.48-1276.76] 员工照顾呢
[1276.76-1277.82] 我们主要推动的部分有四个部分
[1277.84-1284.18] 主要在领选用人的部分是采用本地化的人力
[1284.18-1286.02] 并且任用原住民
[1286.02-1290.02] 那重视性别的一个职场的平等
[1290.02-1295.56] 目前男生跟女生的员工人数比例是47比53
[1295.56-1300.10] 那第二个部分是持续推广地方公益
[1300.10-1302.84] 第三个部分是文化推广
[1302.84-1307.72] 那第四个部分是社区发展推广打造永续城乡
[1307.84-1316.62] 那在落实公司治理的部分分成三块
[1316.62-1319.08] 主要是维护股东权益
[1319.08-1322.34] 强化董事会的结构与运作
[1322.34-1325.76] 以及提升资讯的透明度
[1325.76-1329.70] 那在强化董事会的结构运作来看
[1329.70-1332.20] 在第十届董事会的女性成员
[1332.20-1334.48] 我们达到了一半
[1334.48-1337.82] 男女董事的比例是一半以内
[1337.84-1339.96] 那在第十一半的公司的公司
[1339.96-1341.30] 我们达到了一半
[1341.30-1343.08] 那提升资讯透明度的部分
[1343.08-1345.84] 我们在财报跟年报的资讯透明
[1345.84-1347.84] 公告的速度也加快
[1347.84-1350.84] 避免股东的资讯不对称
[1350.84-1353.84] 那最后这个部分是
[1353.84-1357.84] 历年我们公司治理评鉴的结果
[1357.84-1359.84] 来跟各位分享
[1359.84-1363.84] 可以看到2023年
[1363.84-1367.52] 在上市柜观光产业
[1367.52-1369.52] 35%的部分呢
[1369.52-1371.52] 只有4家
[1371.52-1374.52] 那在上市公司有3家
[1374.52-1375.52] 我们是其中一家
[1375.52-1379.52] 那我们落的位置是在前21到35
[1379.52-1382.52] 那从这个部分可以看得出来
[1382.52-1385.52] 我们也是一直持续在推动
[1385.52-1389.52] 公司治理跟永续发展的这个部分
[1393.52-1395.52] 那我今天的简报就到这边
[1395.52-1397.52] 那看各位的感想
[1397.52-1400.52] 各位先进有没有什么想要提出来
[1400.52-1401.52] 跟我们互动
[1401.52-1402.52] 那欢迎提出来
[1402.52-1403.52] 谢谢
[1405.52-1407.52] 谢谢 谢谢财务长
[1407.52-1409.52] 那接下来进行第二阶段Q&A
[1409.52-1410.52] 线上也会先进
[1410.52-1412.52] 大家如果有任何问题或是想法
[1412.52-1414.52] 想要跟公司经营团队这边交流的话
[1414.52-1416.52] 都欢迎自己接触经营提问
[1416.52-1417.52] 谢谢
[1427.52-1431.52] 那如果都没有的话
[1431.52-1432.52] 我们今天下读的
[1432.52-1433.52] 先是说明会
[1433.52-1435.52] 就从这边搞一个段落
[1435.52-1437.52] 那再次感谢财务长
[1437.52-1439.52] 那也谢谢与会的各位
[1439.52-1440.52] 谢谢
[1440.52-1441.52] 谢谢
[1441.52-1442.52] 谢谢
[1442.52-1443.52] 谢谢
[1443.52-1444.52] 谢谢
[1444.52-1445.52] 谢谢
[1445.52-1446.52] 谢谢
[1446.52-1447.52] 谢谢
[1447.52-1448.52] 谢谢
[1448.52-1449.52] 谢谢
[1449.52-1450.52] 谢谢
[1450.52-1451.52] 谢谢
[1451.52-1452.52] 谢谢
[1452.52-1453.52] 谢谢
[1453.52-1454.52] 谢谢
[1454.52-1455.52] 谢谢
[1455.52-1456.52] 谢谢
[1457.52-1458.52] 谢谢
