[0.00-5.90] 现在时间为1点30分
[5.90-9.44] 我们现在开始玉龙汽车法人说明会
[9.44-13.12] 请玉龙长官为各位进行报告说明
[13.12-18.48] 各位法人股东大家好
[18.48-21.36] 我是玉龙汽车的总经理许国新
[21.36-26.58] 那今天很感谢这个富邦证券的邀请
[26.58-34.62] 让我有机会在线上跟各位法人股东在线上见面
[34.62-40.90] 这一次的法说会应该是今年的第一次
[40.90-48.52] 那也是我在去年8月份接任玉龙汽车总经理之后
[48.52-53.42] 首次来跟大家会面
[53.42-56.30] 那在过去的这
[56.30-56.56] 这一段时间
[56.58-58.62] 8个月的时间里头
[58.62-65.74] 那我也在梳理我们这个整个玉龙汽车的一些相关的事物
[65.74-69.18] 那我本身也出自玉龙
[69.18-75.78] 早期我也参与过这个玉龙的业务部门
[75.78-78.66] 在担任这个通路管理
[78.66-80.86] 经销通路的管理的工作
[80.86-85.78] 那也在顾客服务部门跟品质保证部门
[85.78-86.56] 多的工作
[86.58-88.70] 担任过主管的职务
[88.70-93.10] 所以当然对玉龙汽车的运作并不陌生
[93.10-100.02] 那这一段时间我相信除了在生产制造之外
[100.02-107.08] 那玉龙汽车事实上拥有非常完整的汽车的价值链的体系
[107.08-110.46] 那也在这个能源的发展
[110.46-115.50] 还有资产开发的各个领域逐步形成了规模
[115.50-115.54] 那在这个能源的发展还有资产开发的各个领域逐步形成了规模
[115.54-115.58] 那在这个能源的发展还有资产开发的各个领域逐步形成了规模
[115.58-121.94] 那在中国大陆还有海外事业也很有发展的潜力
[121.94-129.12] 那虽然大家相当程度比较关注在三亿工厂的产能的利用率
[129.12-129.14] 那虽然大家相当程度比较关注在三亿工厂的产能的利用率
[129.14-135.52] 但是我也更关注玉龙汽车整体价值链的这个资源的整合
[135.52-137.88] 还有各个事业的发展
[137.88-143.88] 那后续如果在各个事业的发展比较成熟的时候
[143.88-144.88] 那我会
[145.58-149.42] 继续利用一些时间来跟大家报告
[149.42-155.06] 那我想今天的这个法说会
[155.06-159.66] 主要是要来跟大家汇报一下去年
[159.66-163.24] 整年度的整个营运的成果
[163.24-168.10] 那这个部分我等一下会请我们罗文义副总
[168.10-169.90] 来跟各位报告
[169.90-175.28] 那保留一些时间我们来进行相关的QA
[175.58-180.70] 那接下来我想就请文义副总来跟大家做说明
[180.70-182.74] 谢谢大家
[182.74-184.80] 好 谢谢总经理
[184.80-189.92] 那接下来请各位法人投资朋友我们请看到今天的报告
[189.92-195.54] 首先我们先看到台湾汽车市场历年销售状况和展望
[195.54-202.20] 那眼看于今年一到二月份台湾汽车市场的总销量是6.2万辆
[202.20-205.42] 对比去年同期是下降了大概13.5个百分点
[205.42-205.54] 对比去年同期是下降了大概13.5个百分点
[205.58-211.22] 而在二月份适逢龙历年的一个传统销售淡季
[211.22-215.06] 所以导致新车的销量跟交车的量是有放缓的
[215.06-220.18] 展望今年各车厂仍然维持要推广现有车款的销售
[220.18-223.24] 同时也会积极规划新车上市的计划
[223.24-229.38] 所以目前我们估计全年台湾汽车市场的销售台数是46.2万辆
[229.38-234.76] 相较去年同期预估大概有2.9百分比的一个成长
[235.58-240.70] 接下来看到中国大陆汽车市场的一个状况
[240.70-242.74] 截止到今年一二月
[242.74-247.10] 中国大陆汽车市场的总销量大约是455.2万辆
[247.10-250.68] 其中乘用车的销量是394.8万辆
[250.68-255.54] 而欧盟在去年正式对中国大陆的电动车有征收
[255.54-257.60] 维持五年的一个返股天税
[257.60-262.98] 还有全球政治经济形势还有货币还有关税政策的一个变化
[262.98-265.54] 目前中国大陆外销市场仍然有变化
[265.58-269.42] 而中国大陆延长了已就换新的政策
[269.42-272.14] 并且更新了补贴的标准
[272.14-275.30] 相对的刺激了内销市场的成长
[275.30-277.30] 所以目前我们得到资料
[277.30-283.74] 预估在今年中国汽车的销量大概是3290万辆
[283.74-287.86] 相较2024年则是成长4.7%左右
[287.86-294.96] 接下来报告裕隆汽车在2024年的一个合并综合损益表
[295.58-297.88] 我们看到相关的一个数据
[297.88-300.96] 首先在2024年的一个营业收入
