[0.00-4.42] 欢迎各位同志先进
[4.42-5.30] 历龄今天
[5.30-9.08] 嘉宜健康事业股份有限公司的线上法事会
[9.08-12.14] 首先为大家介绍今天经营团队
[12.14-16.06] 张明正总经理以及周成孝财务长
[16.06-19.98] 那我们现在正式开始今天的法事会
[19.98-21.62] 也欢迎今天的主讲人
[21.62-22.96] 周成孝财务长
[22.96-23.32] 谢谢
[23.32-26.58] 各位同志先进大家好
[26.58-29.84] 那接下来是由我这边来跟各位介绍一下
[29.84-32.38] 嘉宜健康事业股份有限公司
[32.38-35.50] 一些近代在去年度的一个财务状况
[35.50-36.70] 与营业状况的部分
[36.70-40.46] 那首先的话就是我们的每个说明的话
[40.46-41.90] 完整的内容跟数据的话
[41.90-44.96] 我们还都在持续观测上的财务报表为准
[44.96-51.14] 那嘉宜集团的话主要有分成三大事业群
[51.14-52.78] 那第一个的话是贸易代
[52.78-55.50] 那主要是贸易产品
[55.50-56.68] 还有医学美容
[56.68-59.06] 还有外科的医疗设备跟耗材
[59.06-59.82] 还有健康事业
[59.82-60.96] 产品的部分
[60.96-62.34] 那另外一个事业群的话
[62.34-65.04] 主要是在focus在医疗风路的部分
[65.04-66.44] 那主要有透析中心
[66.44-67.38] 医美诊所
[67.38-68.28] 长照
[68.28-69.12] 地区医院
[69.12-70.80] 健保中心的部分
[70.80-72.30] 那医药物流的部分的话
[72.30-74.24] 我们主要分成药品
[74.24-78.00] 那个经销业务推广跟经销物流的
[78.00-81.20] 药品的经销物流跟业务推广的部分
[81.20-83.76] 那还有医疗器材的配销
[83.76-84.98] 那GMP GTP
[84.98-86.40] ISO的认证的部分
[86.40-88.56] 那我们自己的医疗设备的话
[88.56-89.76] 也有分业的维修
[89.82-90.66] 团队的部分
[90.66-95.42] 那在2024年的话
[95.42-96.74] 我们的合并营收的话
[96.74-99.60] 目前来讲是85亿3800万左右
[99.60-101.96] 那一页收入的来源可以分成
[101.96-103.04] 按照加一的话
[103.04-103.84] 血液透析
[103.84-105.42] 还有药液的医学美容
[105.42-106.86] 跟九一的医药物流
[106.86-108.02] 跟其他的部分
[108.02-110.22] 那加一的部分的话是成长的
[110.22-112.38] 那药液的话是些微是减少一些
[112.38-113.42] 那九一的话
[113.42-115.50] 在今年度的话也是成长的部分
[115.50-118.06] 那其他的部分主要是东南亚的销售
[118.06-118.66] 有增加
[118.66-119.54] 所以这部分的话
[119.54-119.80] 其他部分的话
[119.82-120.44] 也有增加
[120.44-121.18] 所以整个来讲
[121.18-122.50] 较前一年度的话
[122.50-125.40] 我们增加大概三亿元的一个收
[125.40-129.92] 那这个的话是合并营收
[129.92-131.98] 合并营业经历跟经历率
[131.98-133.12] 跟毛利率的状况
[133.12-134.24] 那我们可以看到
[134.24-135.02] 营业收入的话
[135.02-136.12] 就刚刚有提到
[136.12-137.02] 毛利率的话
[137.02-138.72] 大概是些微的成长一些
[138.72-139.76] 营业经历的话
[139.76-140.76] 是今年度的话
[140.76-142.42] 是七亿五千三百万
[142.42-144.66] 较去年度大概增加五千万左右
[144.66-146.46] 那经历率也相对来讲
[146.46-147.52] 也是有增加一些
[149.82-152.48] 转投资概况的话
[152.48-153.68] 我们是有分成
[153.68-155.40] 主要整个来讲
[155.40-156.92] 今年度的二零二十年的
[156.92-158.40] 转投资经历的话
[158.40-160.36] 是三亿两千三百万
[160.36-161.66] 较去年来讲的话
[161.66-164.02] 大概是减少一千九百万
[164.02-165.52] 那减少比较多的部分
[165.52-166.88] 就是APH跟APL
[166.88-168.32] 那增加的话
[168.32-170.40] 是FERS部分有增加
[170.40-172.04] 然后再来是其他的部分
[172.04-173.64] 一亿三千两百万有增加
[173.64-175.40] APH跟APL的话
[175.40-176.48] 减少都是因为
[176.48-177.30] 长照的话
[177.30-178.44] 它有一些新点的话
[178.44-179.54] 目前还是在推损的阶段
[179.54-179.80] 所以是在推损的阶段
[179.82-181.04] 所以这部分有减少
[181.04-182.44] 那APH的话
[182.44-184.72] 主要是医院端的那部分
[184.72-185.98] 营运端的部分的话
[185.98-187.02] 都跌了涨价
[187.02-188.30] 还有门库省的部分
[188.30-189.18] 有受到影响
[189.18-191.28] 所以这部分的收入是有减少
[191.28-193.58] 那其他的部分的话都是增加
[193.58-199.78] 所以我们从母公司业主的
[199.78-201.46] 本金记率来看的话
[201.46-203.28] 是七亿七千一百万
[203.28-204.50] 较去年同期
[204.50-206.42] 七亿四千六百万的话
[206.42-207.30] 大概是增加了
[207.30-208.48] 两千五百万左右
[208.48-209.78] 那EPS的话
[209.78-210.82] 从去年来讲的话
[210.82-211.76] 是四点五几
[211.76-213.50] 那今年的话是四点七二
[213.50-217.52] 那这部分的话
[217.52-218.58] 资产负债表的话
[218.58-220.58] 可以跟财务报表是相当的
[220.58-221.68] 那我们可以看到
[221.68-222.76] 二零二十年的话
[222.76-225.24] 这个资产总计是两百零三亿
[225.24-227.14] 较去年的一百八十亿的话
[227.14-228.08] 大概增加二十亿
[228.08-229.54] 那主要是现金的部分
[229.54-230.84] 是熊玉那边有收到
[230.84-231.98] 这个机关局的现金
[231.98-233.06] 所以这部分有增加
[233.06-234.02] 相对来讲
[234.02-235.24] 支持的部分增加了
[235.24-236.08] 二十亿左右
[236.08-238.98] 那负债的话就是
[238.98-239.50] 负债的话就是
[239.50-240.64] 负债的部分的话
[240.64-241.30] 是九十亿
[241.30-242.58] 去年是七十亿
[242.58-243.78] 增加大概十九亿
[243.78-245.04] 那相对来讲
[245.04-245.90] 现金增加了
[245.90-247.44] 那企业要付给原则的
[247.44-248.90] 反向其他一部分
[248.90-249.72] 这边也增加
[249.72-251.12] 大概到三亿
[251.12-252.26] 那股东权益的话
[252.26-253.36] 是一百一三亿
[253.36-254.90] 较去年一百五九亿
[254.90-255.72] 增加了四亿
[255.72-261.60] 纯益表的话
[261.60-262.62] 就是跟刚才那边
[262.62-264.04] 有盖瑞的介绍
[264.04-266.84] 那现金流量表
[266.84-267.46] 营业活动
[267.46-268.50] 净现金流入的话
[268.50-269.22] 就二十四亿
[269.22-269.48] 刚刚有提到
[269.50-270.74] 现金的部分
[270.74-271.74] 是因为九亿那边
[271.74-273.46] 有增加了现金收盘
[273.46-274.10] 那相对来讲
[274.10-275.20] 有其他因素反
[275.20-276.52] 那这部分现金的流入
[276.52-279.42] 是比较高一些
[279.42-280.52] 那投资活动的话
[280.52-282.90] 是减少大概六千五百万
[282.90-284.46] 主要是有取得
[284.46-285.74] 投资性不动产的部分
[285.74-286.70] 跟去年度的差异
[286.70-288.26] 主要是在取得投资性不动产
[288.26-289.02] 有增加
[289.02-289.84] 所以现金流出
[289.84-290.92] 会比去年来讲
[290.92-293.76] 很减少的
[293.76-295.18] 那投资活动的话
[295.18-296.34] 就是净现金流入
[296.34-298.00] 是九亿五千五百万
[298.00-299.46] 那除了股利的部分
[299.50-300.74] 那我们也偿还借款
[300.74-303.30] 有两亿多的一个偿还借款
[303.30-304.42] 所以今年来讲的话
[304.42-305.62] 去年是增加借款
[305.62-307.06] 今年是减少借款
[307.06-308.58] 现金流入是九亿五
[308.58-309.98] 那合并的期末现金流入
[309.98-311.22] 大概是四十亿亿
[311.22-314.90] 将近四十二亿的部分
[314.90-315.78] 那有据报告说
[315.78-317.02] 我们二零二三年
[317.02-318.46] 都已经出具了
[318.46-319.58] 那二零二四年的话
[319.58-320.54] 当然预计在今年
[320.54-322.42] 临终的时候才会出具
[322.42-326.10] 那ISO那个判排案认证也有做
