[0.00-1.90] 法人及媒体朋友午安
[1.90-6.08] 合户金控2024年第四季线上法人说明会
[6.08-9.16] 由本公司苏佐正总经理主持
[9.16-11.82] 在场的集团主管包括有
[11.82-14.16] 金控发言人陈佑晚副总经理
[14.16-17.00] 代理发言人黄明翠副总经理
[17.00-19.70] 证券子公司欧国良总经理
[19.70-24.52] 合户金控首席经济学家暨合库投顾徐先平董事长
[24.52-27.28] 能受子公司常名一例副总经理
[27.28-29.68] 以及相关业务部门主管与会
[29.68-32.28] 本次会议将于一分钟后开始
[33.18-43.54] 法宣会正式开始
[43.54-48.36] 感谢各位投资法人
[48.36-51.36] 媒体朋友们参加合户金控
[51.36-55.16] 113年度第四季法人说明会
[55.72-59.06] 各位的参与鼓励我们更加用心经营
[59.06-62.28] 用最好的经营绩效回报股东
[62.28-65.76] 今天在场的集团主管包括
[65.76-68.48] 我们金控发言人陈佑晚副总
[68.48-70.38] 还有黄明翠副总
[70.38-73.14] 以及相关业务部门主管
[73.14-77.16] 希望能为各位的提问做充分的说明
[77.16-82.14] 首先我报告本公司113年度的营运状况
[82.14-88.38] 113年全球经济表现呈现区域与产业之双重差异
[88.38-89.04] 不过在这一段时间里面
[89.06-92.00] 各国经济成长着势不均
[92.00-95.04] 全球经济成长呈现缓步复苏
[95.04-97.40] 考验企业经营任性
[97.40-104.38] IMF在114年1月份最新发布的世界经济展望报告中
[104.38-109.32] 预期114年全球经济成长率为3.3%
[109.32-115.40] 然而需关注地缘政治及贸易保护主义等因素的影响
[115.40-117.00] 国内方面
[117.00-118.90] 受惠于AI等
[118.90-119.04] 国内方面受惠于AI等因素的影响
[119.06-121.82] 新兴科技应用需求强劲
[121.82-124.88] 有助于提升民间投资动能
[124.88-128.50] 为内需方面因民间消费极其高
[128.50-130.30] 成长趋缓
[130.30-133.88] 秦振彦主席出114年2月
[133.88-138.68] 为调台湾经济成长率为3.1%
[138.68-143.06] 本公司113年合并税后净利为
[143.06-146.42] 新台币198.09亿元
[146.42-148.54] 较112年
[148.54-148.90] 比较高的成长率为3.1%
[148.90-151.02] 178.78亿元
[151.02-153.76] 增加19.31亿元
[153.76-155.68] 成长10.8%
[155.68-158.06] 每股移民1.26亿元
[158.06-161.92] ROE及ROA
[161.92-163.74] 申别为7.8次
[163.74-165.10] 及0.4
[165.10-166.36] 合赠
[166.36-168.40] 不利表现稳健
